Codigo_temporada;Codigo_competicion;Codigo_fase;Codigo_grupo;Codigo_equipo;Posicion;Puntos;Partidos_jugados;Partidos_ganados;Partidos_empatados;Partidos_perdidos;Goles_favor;Goles_contra;Nombre_temporada;Nombre_competicion;Nombre_fase;Nombre_grupo;Nombre_deporte;Nombre_categoria;Nombre_equipo;Nombre-Sexo;Nombre_distrito
2016;1         ;1;8;112778;7;15;16;5;2;9;36;48;2016/ 2017                                        ;JUEGOS DEPORTIVOS MUNICIPALES                     ;JDM GRUPO                                         ;F-7  SENIOR  ST  3;FUTBOL-7                                          ;SENIOR                                            ;DASER                                             ;MASCULINO;Salamanca
2016;1         ;1;8;113149;9;6;16;4;1;11;34;43;2016/ 2017                                        ;JUEGOS DEPORTIVOS MUNICIPALES                     ;JDM GRUPO                                         ;F-7  SENIOR  ST  3;FUTBOL-7                                          ;SENIOR                                            ;TOREROS C.F                                       ;MASCULINO;Salamanca
2016;1         ;1;8;113277;5;20;16;7;1;8;47;40;2016/ 2017                                        ;JUEGOS DEPORTIVOS MUNICIPALES                     ;JDM GRUPO                                         ;F-7  SENIOR  ST  3;FUTBOL-7                                          ;SENIOR                                            ;COMANDO PUSKAS                                    ;MASCULINO;Salamanca
2016;1         ;1;8;113427;2;36;16;11;3;2;62;35;2016/ 2017                                        ;JUEGOS DEPORTIVOS MUNICIPALES                     ;JDM GRUPO                                         ;F-7  SENIOR  ST  3;FUTBOL-7                                          ;SENIOR                                            ;LOS ANGELES DEL FARY                              ;MASCULINO;Salamanca
2016;1         ;1;8;113458;1;39;16;12;3;1;46;23;2016/ 2017                                        ;JUEGOS DEPORTIVOS MUNICIPALES                     ;JDM GRUPO                                         ;F-7  SENIOR  ST  3;FUTBOL-7                                          ;SENIOR                                            ;MANNSCHAFT                                        ;MASCULINO;Salamanca
2016;1         ;1;8;113673;4;24;16;8;0;8;56;65;2016/ 2017                                        ;JUEGOS DEPORTIVOS MUNICIPALES                     ;JDM GRUPO                                         ;F-7  SENIOR  ST  3;FUTBOL-7                                          ;SENIOR                                            ;U.D.R.                                            ;MASCULINO;Salamanca
2016;1         ;1;8;113688;6;16;16;4;4;8;28;47;2016/ 2017                                        ;JUEGOS DEPORTIVOS MUNICIPALES                     ;JDM GRUPO                                         ;F-7  SENIOR  ST  3;FUTBOL-7                                          ;SENIOR                                            ;MESUS JARIA F.C.                                  ;MASCULINO;Salamanca
2016;1         ;1;8;113689;3;27;16;8;3;5;60;40;2016/ 2017                                        ;JUEGOS DEPORTIVOS MUNICIPALES                     ;JDM GRUPO                                         ;F-7  SENIOR  ST  3;FUTBOL-7                                          ;SENIOR                                            ;FUTBOL PASION INTERNACIONAL                       ;MASCULINO;Salamanca
2016;1         ;1;8;113867;8;12;16;3;3;10;25;53;2016/ 2017                                        ;JUEGOS DEPORTIVOS MUNICIPALES                     ;JDM GRUPO                                         ;F-7  SENIOR  ST  3;FUTBOL-7                                          ;SENIOR                                            ;JORNADA DE DESCANSO                               ;MASCULINO;Salamanca
2016;1         ;1;9;112922;7;10;16;3;1;12;40;72;2016/ 2017                                        ;JUEGOS DEPORTIVOS MUNICIPALES                     ;JDM GRUPO                                         ;F-7  SENIOR  DM  4;FUTBOL-7                                          ;SENIOR                                            ;CASTILLA Y LEON F.C.                              ;MASCULINO;Salamanca
2016;1         ;1;9;112994;4;22;16;7;2;7;56;61;2016/ 2017                                        ;JUEGOS DEPORTIVOS MUNICIPALES                     ;JDM GRUPO                                         ;F-7  SENIOR  DM  4;FUTBOL-7                                          ;SENIOR                                            ;CAFETERIA MAGERIT AVENIDAS                        ;MASCULINO;Salamanca
2016;1         ;1;9;113292;9;0;16;3;0;13;25;77;2016/ 2017                                        ;JUEGOS DEPORTIVOS MUNICIPALES                     ;JDM GRUPO                                         ;F-7  SENIOR  DM  4;FUTBOL-7                                          ;SENIOR                                            ;SISHEIROS 1903                                    ;MASCULINO;Salamanca
2016;1         ;1;9;113428;6;12;16;4;0;12;34;86;2016/ 2017                                        ;JUEGOS DEPORTIVOS MUNICIPALES                     ;JDM GRUPO                                         ;F-7  SENIOR  DM  4;FUTBOL-7                                          ;SENIOR                                            ;CURSILLOS DC                                      ;MASCULINO;Salamanca
2016;1         ;1;9;113434;1;44;16;14;2;0;102;24;2016/ 2017                                        ;JUEGOS DEPORTIVOS MUNICIPALES                     ;JDM GRUPO                                         ;F-7  SENIOR  DM  4;FUTBOL-7                                          ;SENIOR                                            ;U.D. BOCA AVENIDAS                                ;MASCULINO;Salamanca
2016;1         ;1;9;113436;2;32;16;10;2;4;58;35;2016/ 2017                                        ;JUEGOS DEPORTIVOS MUNICIPALES                     ;JDM GRUPO                                         ;F-7  SENIOR  DM  4;FUTBOL-7                                          ;SENIOR                                            ;CRUZADOS                                          ;MASCULINO;Salamanca
2016;1         ;1;9;113480;8;0;16;10;2;4;75;46;2016/ 2017                                        ;JUEGOS DEPORTIVOS MUNICIPALES                     ;JDM GRUPO                                         ;F-7  SENIOR  DM  4;FUTBOL-7                                          ;SENIOR                                            ;G.E.R.N.E.                                        ;MASCULINO;Salamanca
2016;1         ;1;9;113682;3;32;16;10;2;4;74;39;2016/ 2017                                        ;JUEGOS DEPORTIVOS MUNICIPALES                     ;JDM GRUPO                                         ;F-7  SENIOR  DM  4;FUTBOL-7                                          ;SENIOR                                            ;CA¥A AQUI                                         ;MASCULINO;Salamanca
2016;1         ;1;9;113683;5;16;16;5;1;10;34;58;2016/ 2017                                        ;JUEGOS DEPORTIVOS MUNICIPALES                     ;JDM GRUPO                                         ;F-7  SENIOR  DM  4;FUTBOL-7                                          ;SENIOR                                            ;SH PUBLICIDAD                                     ;MASCULINO;Salamanca
2016;1         ;1;10;112771;1;45;16;15;0;1;96;19;2016/ 2017                                        ;JUEGOS DEPORTIVOS MUNICIPALES                     ;JDM GRUPO                                         ;F-7  SENIOR  DM  5;FUTBOL-7                                          ;SENIOR                                            ;BAYERN DE LOS CAIDOS                              ;MASCULINO;Salamanca
2016;1         ;1;10;113147;7;15;16;5;3;8;33;38;2016/ 2017                                        ;JUEGOS DEPORTIVOS MUNICIPALES                     ;JDM GRUPO                                         ;F-7  SENIOR  DM  5;FUTBOL-7                                          ;SENIOR                                            ;SPRINGBOKS                                        ;MASCULINO;Salamanca
2016;1         ;1;10;113453;3;29;16;9;4;3;73;47;2016/ 2017                                        ;JUEGOS DEPORTIVOS MUNICIPALES                     ;JDM GRUPO                                         ;F-7  SENIOR  DM  5;FUTBOL-7                                          ;SENIOR                                            ;BAR LEONES                                        ;MASCULINO;Salamanca
2016;1         ;1;10;113675;6;16;16;5;1;10;51;73;2016/ 2017                                        ;JUEGOS DEPORTIVOS MUNICIPALES                     ;JDM GRUPO                                         ;F-7  SENIOR  DM  5;FUTBOL-7                                          ;SENIOR                                            ;PARASITOS                                         ;MASCULINO;Salamanca
