CODIGO;DIRECCION;N_ELEMENTOS;TIPO DE AREA;TIPO DE SUELO;AREA;PERIMETRO;DIRECCION AUXLIAR;DISTRITO;BARRIO;latitud;longitud;UTMX_ETRS89;UTMY_ETRS89;IDENTIFICADOR;CODNDP
406002;CALLE VILLAAMIL, Nº 90;10;POSTES;ARENA;505,633;140,37;PARQUE DE AGUSTIN RODRIGUEZ SAHAGUN;TETUÁN;VALDEACEDERAS;40.469152;-3.711988;439642,649;4480074,03;9224;31050938
406003;AVENIDA GENERAL PERON, Nº 9;4;CONJUNTO MULTIPLE;ARENA;193,08;60,18;JARDINES DE PERON;TETUÁN;CUATRO CAMINOS;40.452867;-3.69766;440843,026;4478256,654;3980;31047944
406004;AVENIDA BRASIL, Nº 13;3;CONJUNTO MULTIPLE;ARENA;117,791;45,07;AVENIDA BRASIL, N? 13;TETUÁN;CUATRO CAMINOS;40.455989;-3.693673;441183,782;4478600,586;3311;11030057
406005;CALLE ANTONIO GONZALEZ ECHARTE, Nº 2;3;0;0;160,265;66,09;CALLE ANTONIO GONZALEZ ECHARTE, N? 2;TETUÁN;ALMENARA;40.467036;-3.691992;441335,894;4479825,657;11025;11031333
406007;CALLE GOIRI, Nº 19;3;CONJUNTO;ARENA;151,271;49,22;PLAZA POETA LEOPOLDO LUIS;TETUÁN;BELLAS VISTAS;40.453118;-3.704147;440293,163;4478288,88;3151;31043760
406008;CALLE SAN RAIMUNDO, Nº 41;4;MARQUESINAS;ARENA;45,635;30,89;CALLE SAN RAIMUNDO, N? 41;TETUÁN;BELLAS VISTAS;40.45165;-3.706685;440076,601;4478127,691;10151;11027980
407001;PLAZA OLAVIDE, Nº 17;7;MARQUESINAS;ARENA;91,926;39,41;PARQUE PLAZA DE OLAVIDE;CHAMBERI;TRAFALGAR;40.432941;-3.701222;440523,412;4476047,33;3905;31048931
407002;CALLE BRAVO MURILLO, Nº 49;7;MARQUESINAS;ARENA;171,295;52,76;PARQUE ENRIQUE HERREROS;CHAMBERI;VALLEHERMOSO;40.438962;-3.704922;440214,91;4476718,155;3991;31044176
407003;CALLE BLASCO DE GARAY, Nº 38;6;MARQUESINAS;SOLADO;67,479;37,43;Jar · JARDINES CENTRO CULTURAL GALILEO GALILEI ,;CHAMBERI;ARAPILES;40.43353;-3.711454;439656,028;4476119,643;5603;31008009
407004;CALLE RAIMUNDO FERNANDEZ VILLAVERDE, Nº 28;3;CONJUNTO MULTIPLE;ARENA;142,944;48,13;C · CALLE RAIMUNDO FERNANDEZ VILLAVERDE N?30 , AS;CHAMBERI;RIOS ROSAS;40.446315;-3.699319;440696,578;4477530,515;3596;31047945
407005;CALLE DOMENICO SCARLATTI, Nº 2;1;0;0;0;0;C · CALLE DOMENICO SCARLATTI , ASCENDIENTE 1: 076;CHAMBERI;VALLEHERMOSO;40.442;-3.716131;439267,0104;4477062,966;12216;11042753
408001;CALLE MANUEL ALONSO, Nº 8;1;0;0;0;0;Parque · PARQUE MAR OCEANA , ASCENDIENTE 1: 081 ·;FUENCARRAL - ELPARDO;EL PARDO;40.519603;-3.775939;434270,543;4485719,815;11031;31051877
408002;PASEO VAGUADA, Nº 13;1;0;0;436,863;99,22;PARQUE DE LA VAGUADA;FUENCARRAL - ELPARDO;PILAR;40.479948;-3.711274;439712,8375;4481271,85;11024;20095218
408003;CALLE MADERUELO, Nº 15;3;POSTES;SOLADO;75,176;40,88;C · CALLE ISLAS JARVI 2 , ASCENDIENTE 1: 086 · VA;FUENCARRAL - ELPARDO;VALVERDE;40.492388;-3.687828;441710,836;4482636,984;8104;11047736
408004;PLAZA FONSAGRADA, Nº 6;1;0;0;0;0;PLAZA FONSAGRADA, N? 6;FUENCARRAL - ELPARDO;PILAR;40.476686;-3.708367;439956,296;4480907,869;2651;31045309
408005;CALLE FRESNEDILLAS, Nº 12;1;CONJUNTO;SOLADO;157,49;48,83;CALLE FRESNEDILLAS, N? 12;FUENCARRAL - ELPARDO;FUENTELAREINA;40.479192;-3.739949;437281,615;4481207,955;4502;20167454
408006;CALLE GABRIELA MISTRAL, Nº 12;4;MARQUESINAS;SOLADO;112,008;42,29;CALLE GABRIELA MISTRAL, N? 12;FUENCARRAL - ELPARDO;PEÑAGRANDE;40.481998;-3.737518;437490,276;4481517,759;10034;11051271
408007;CALLE MIRADOR DE LA REINA, Nº 137;3;POSTES;SOLADO;49,015;28,99;CALLE MIRADOR DE LA REINA, N? 137;FUENCARRAL - ELPARDO;MIRASIERRA;40.490879;-3.716653;439266,735;4482488,995;6279;31049540
408008;CALLE MARIA DE MAEZTU, Nº 120;5;CONJUNTO;ARENA;212,925;58,32;PARQUE ARROYOFRESNO;FUENCARRAL - ELPARDO;MIRASIERRA;40.494593;-3.723349;438702,662;4482905,879;5144;31050035
