"dc:identifier";"dc:modified";"id";"lpgc:nombre_concesion";"lpgc:num_concesion";"lpgc:num_variante"
"1477";"2017-10-31 12:02:23";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas_parada/1477";"HOYA DE LA PLATA - SAN FRANCISCO DE PAULA";"6";"321"
"1475";"2017-10-31 12:02:23";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas_parada/1475";"HOYA DE LA PLATA - SAN FRANCISCO DE PAULA";"6";"311"
"1465";"2017-10-31 12:02:23";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas_parada/1465";"HOYA DE LA PLATA - HOSPITAL DR. NEGRÍN";"9";"322"
"1464";"2017-10-31 12:02:23";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas_parada/1464";"TEATRO - TAMARACEITE";"91";"312"
"1463";"2017-10-31 12:02:23";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas_parada/1463";"TEATRO - TAMARACEITE";"91";"311"
"1462";"2017-10-31 12:02:23";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas_parada/1462";"SANTA CATALINA - LOMO DE LA CRUZ";"81";"312"
"1461";"2017-10-31 12:02:23";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas_parada/1461";"SANTA CATALINA - LOMO DE LA CRUZ";"81";"311"
"1459";"2017-10-31 12:02:23";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas_parada/1459";"TEATRO - TAMARACEITE";"63";"312"
"1458";"2017-10-31 12:02:23";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas_parada/1458";"TEATRO - TAMARACEITE";"63";"311"
"1446";"2017-10-31 12:02:23";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas_parada/1446";"ESCALERITAS- CAMPUS UNIVERSITARIO";"48";"312"
"1443";"2017-10-31 12:02:23";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas_parada/1443";"TAMARACEITE - SIETE PALMAS (POR SAN LORENZO)";"46";"311"
"1442";"2017-10-31 12:02:23";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas_parada/1442";"GUINIGUADA - PUERTO (POR CIUDAD ALTA)";"33";"322"
"1441";"2017-10-31 12:02:23";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas_parada/1441";"GUINIGUADA - PUERTO (POR CIUDAD ALTA)";"33";"321"
"1436";"2017-10-31 12:02:23";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas_parada/1436";"SANTA CATALINA - CAMPUS UNIVERSITARIO (POR SIETE PALMAS)";"26";"322"
"1434";"2017-10-31 12:02:23";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas_parada/1434";"SANTA CATALINA - CAMPUS UNIVERSITARIO (POR SIETE PALMAS)";"26";"312"
"1432";"2017-10-31 12:02:23";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas_parada/1432";"AUDITORIO - CAMPUS UNIVERSITARIO";"25";"322"
"1430";"2017-10-31 12:02:23";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas_parada/1430";"AUDITORIO - CAMPUS UNIVERSITARIO";"25";"312"
"1428";"2017-10-31 12:02:23";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas_parada/1428";"SANTA CATALINA - LA PATERNA";"22";"312"
"1427";"2017-10-31 12:02:23";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas_parada/1427";"SANTA CATALINA - LA PATERNA";"22";"311"
"1426";"2017-10-31 12:02:23";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas_parada/1426";"SANTA CATALINA - EL SEBADAL ";"19";"331"
