CALLE, FECHA DE COMIENZO, HORARIO, FECHA  DE FINALIZACION
"FRANCISCO GOURIE, 5","09/08/2012","8-18",""
"OBISPO RABADAN 30","10/08/2012","8-18",""
"EUFEMIANO JURADO 16","10/08/2012","24",""
"JUAN DE QUESADA-FRANCISCO GOURIE Y LOSERO","13/08/2012","8-18",""
"JUAN DE QUESADA, 9-15-30","27/08/2012","8-18",""
"AVDA ALCALDE JOSE RAMIREZ BETHENCOURT 21","09/08/2012","24",""
"AVDA ALCALDE JOSE RAMIREZ BETHENCOURT, 44","09/08/2012","24",""
"VENEGAS 43","13/08/2012","8-18",""
"Avd. Pintor Felo Monzon, varios tramos","09/08/2012","8-20","16/08/2012"
"perez muñoz, 66 con perchel","10/08/2012","24","16/08/2012"
"cordoba","09/08/2012","7,30-19,00",""
"galicia 26","13/08/2012","8-20",""
"gravina  4","13/08/2012","24",""
"leon y castillo  32","10/08/2012","8-20",""
"juan rejon  69","13/08/2012","8-20",""
"avda jose mesa y lopez  57","10/08/2012","24",""
"avda jose mesa y lopez  57","10/08/2012","24",""
"varias calles","08/08/2012","24",""
"varias calles","09/08/2012","24",""
"sor simona  42","13/08/2012","8-18",""
"blas de lezo edificio el confital s/n","16/08/2012","24",""
"portugal  46","10/08/2012","10-18",""
"numancia 1","13/08/2012","8-18",""
"termino municipal","13/08/2012","n/c",""
"varias calles termino municipal","13/08/2012","n/c",""
"segura  22","16/08/2012","8-18",""
"PRESIDENTE ALVEAR  18","20/08/2012","8-20",""
"CIRILO MORENO 17","13/08/2012","8-20",""
"YERMINO MUNICIPAL","11/08/2012","N/C",""
"DOMINGO J NAVARRO, 30","14/08/2012","8-20",""
"avd. alcalde jose ramirez bethencourt, 21","13/08/2012","24",""
"luis de la cruz,10","16/08/2012","24","07/09/2012"
"paseo de chil,16","13/08/2012","8-18","27/08/2012"
"jordan nestor alamo 79 viceversa","14/08/2012","variado","24/08/2012"
"gobernador marin acuña  44","16/08/2012","24",""
"varias calles","13/08/2012","24",""
"varias calles","07/08/2012","24",""
"varias calles","10/08/2012","24",""
"alemania  38 esq. Italia","16/08/2012","24",""
"virgen de begoña  18","20/08/2012","24",""
"pedro sanz sainz  34","27/08/2012","",""
"avda pintor felo monzon tramo  hoya de la gallina san lazaro","17/08/2012","8-20",""
"Alejandro idalgo, 6 con leopardi, 1 (o viceversa)","16/08/2012","8-18",""
"mayor de triana  103","17/08/2012","8-18",""
"juan apostol  16","16/08/2012","24",""
"travieso  14","17/08/2012","8-18",""
"ruiz de alda  6","18/08/2012","8-20",""
"granadera canaria  12","27/08/2012","24",""
"rafael mesa y lop'ez  83","20/08/2012","24",""
"domingo j. navarri  41","20/08/2012","8-20",""
"lkeon toltoy  12","23/08/2012","8-20",""
"paseo de la cornisa s/n","20/08/2012","8-18",""
"varias calles","16/08/2012","24",""
"vasrias calles","17/08/2012","24",""
"plazoleta stagno trasera teatro perez galdos","19/08/2012","8-18",""
"joaquin costa esq. Isla de cuba","20/08/2012","7,30-19,00",""
"francisco gourie  21","20/08/2012","7,30-10,30",""
"perdomo  1","20/08/2012","7,30-10,30",""
"las torres","23/08/2012","normal",""
"luis  dorestes  silva 52-54","21/08/2012","8-20",""
"varias calles","20/08/2012","24",""
"via 8010 nº 17","21/08/2012","8-18",""
"profesor lozano  14","23/08/2012","24",""
"sucre  14","23/08/2012","24",""
"hoya de la plata","21/08/2012","normal",""
"valencia  56","22/08/2012","8-18",""
"castrillo  39","23/08/2012","8-18",""
"olof palme  11-13","20/08/2012","24",""
"varias calles","21/08/2012","24",""
"varias calles","14/08/2012","24",""
"la naval, 129","22/08/2012","8-18","22/08/2012"
"carvajal 1","22/08/2012","8-20",""
"leon y castillo  128","28/08/2012","8-20",""
"realidad  11","24/08/2012","24",""
"varias calles","22/08/2012","24",""
"doctor juan dominguez perez","20/08/2012","normal",""
"avda mesa y lopez esq. El cid","23/08/2012","",""
"juan de gutemberg  22","23/08/2012","24",""
"alfredo martin reyes  4","23/08/2012","8-20",""
"paseo de tomas morales 58 esq. Obispo rabadan","23/08/2012","24",""
"cordoba","22/08/2012","8-20",""
"tauro  18-20","23/08/2012","8-20",""
"plaza de españa  3","25/08/2012","8-20",""
"pàseo de tomas morales  57","24/08/2012","8-18",""
"enrique sanchez  54","24/08/2012","8-20",""
"leon  y castillo semaforo acceso avanida maritima  alcaravaneras","26/08/2012","7-11",""
"cadiz  entre bailen y palza de don benito  26","29/08/2012","8-12",""
"corregidor  aguirre 9","27/08/2012","24",""
"varias calles","23/08/2012","24",""
"avenida de rafael cabrera esq. Muelle las palmas","25/08/2012","8-20",""
"paseo blas cabrera felipe princesa abenahora o viceversa","27/08/2012","8-20",""
"torres quevedo  20","04/09/2012","8-20",""
"malaga  alicante","28/08/2012","8-20",""
"ruiz cde alda 30","29/08/2012","8-20",""
"leon y castillo 40 esq. Murga  6","03/09/2012","8-20",""
"juan de la cruz  7","03/09/2012","8-20",""
"avda pintor felo monzon entre lomo san lazaro las borreras","27/08/2012","8-20",""
"fuentes frente 1","27/08/2012","8-18",""
"profesor garcia tello entre  el 1 -5 plaza santo domingo 29","27/08/2012","8-18",""
"dolores de la rocha 33 padre jose de sosa 17 viceversa","29/08/2012","24",""
"pio xii, 20","27/08/2012","8-18","27/08/2012"
"carvajal, 46","28/08/2012","24","03/09/2012"
"varias calles","27/08/2012","24",""
"clavel  6","27/08/2012","8-18",""
"gc 340pk 0.05 ctra de tamaraceite","03/09/2012","7,30-19,00",""
"albareda  21","29/08/2012","8-18",""
"canonigo suarez miranda  6","28/08/2012","24",""
"mayor de triana  86","29/08/2012","24",""
"isla de cuba  10","28/08/2012","24",""
"segundo delgado  2","28/08/2012","24",""
"segundo delgado  2","28/08/2012","24",""
"PLAZA DE ESPAÑA 3","29/08/2012","8-18",""
"LUIS DORESTES SILVA  58","03/09/2012","8-18",""
"A VDA JUAN CARLOS  I","31/08/2012","8-18",""
"general mas de gaminde  16-18","03/09/2012","8-18",""
"pio xii  75-77","05/09/2012","8-18",""
"los martinez de escobar  57","08/10/2012","24",""
"reyes catolicos  75","10/09/2012","24",""
"candelaria de leon   s/n","03/09/2012","24",""
"marin cubas  22","31/08/2012","8-20",""
"poetista agustina romero 60","31/08/2012","8-20",""
"poetisa agustina romero frente  60","31/08/2012","24",""
"teobaldo power plaza de la libertad","29/08/2012","8-20",""
"varias calles","29/08/2012","24",""
"fondos del segura c.c centro comercial siete palmas","01/09/2012","7,30-11,00","01/09/2012"
"El  Molino, 36","30/08/2012","24",""
"LEON Y CASTILLO  332","29/08/2012","24",""
"SAN JUSTO  20","03/09/2012","24",""
"SAN NICOLAS  SAN JUSTO VICEVERSA","06/09/2012","24","04/11/2012"
"DIDEROT","30/08/2012","NORMAL",""
"fernando guanarteme, 34","30/08/2012","8-18","30/08/2012"
"matias padron pamochamoso leon y castillo","30/08/2012","8-20",""
"paseo de tomas morales 71-75","30/08/2012","normal",""
"varias calles","29/08/2012","24",""
"varias calles","24/08/2012","24",""
"la naval  143","30/08/2012","normal",""
"TORRES ACCEDIENDO A CLAVEL N 10","31/08/2012","8-18",""
"SIMANCAS, 31","31/08/2012","8-18",""
"BENARTEMI ESQUINA CON FONTANALES (Y VICEVERSA)","31/08/2012","8-20",""
"LUIS ANTUNEZ, 3","05/09/2012","8-20",""
"EMILIO CASTELAR LEON Y CASTILLO","04/09/2012","8-20",""
"LEON Y CASTILLO  EMILIO CASTELAR NICOLAS ESREVANEZ","05/09/2012","24",""
"tamaraceite","31/08/2012","normal",""
"alonso alvarado, 16","31/08/2012","8-18","31/08/2012"
"paseo tomas morales, 42","31/08/2012","8-18",""
"paseo tomas morales, 42-44","31/08/2012","","07/09/2012"
"PARROCO SEGUNDO VEGA, 148","07/09/2012","8-20",""
"JUAN MANUEL DURAN GONZALEZ, 9","03/09/2012","8-18",""
"ADVA ALCALDE JOSE RAMIREZ BETHERCOURT, 10","07/09/2012","8-20",""
"AV PINTOR FELO MONZON ENTRE LOMO SAN LAZARO Y LAS BORRERAS, ZONAS DE CARGA Y DESCARGA N 23, Y FRENTE AL 23 Y EN EL 19 Y PARADA DE GUAGUAS DEL N17 EN TODO EL SENTIDO DE BAJADA","","8-20",""
"ARRECIFE, 20","03/09/2012","",""
"ARRECIFE, 20","03/09/2012","8-20",""
"ARRECIFE, 20","03/09/2012","8-20",""
"JERONIMO FALCON, 6","03/09/2012","8-18",""
"pelayo 37-39","05/09/2012","8 a 18","05/09/2012"
"siloe 43 con cafarnaun ( o viceversa )","04/09/2012","8 a 18","10/09/2012"
"bernardo de la torre (luis morote-fernando guanarteme )","05/09/2012","8 a 18 horas","05/09/2012"
"paseo de chil (trasera c/ garcia morato 38)","05/09/2012","8 a 18","06/09/2012"
"el salvador, 33","06/09/2012","24","05/10/2012"
"salvador, 33","06/09/2012","8-18",""
"avd. alcalde jose ramirez bethencourt 14","05/09/2012","","05/09/2012"
"el cid 53","07/09/2012","","07/09/2012"
"luis correA medina (altura mercadona) S/N","10/09/2012","22 A 05 HORAS",""
"palafox","06/09/2012","8-18",""
"jose franchy roca, 48","06/09/2012","24","03/10/2012"
"PASEO DE TOMAS MORALES 69","10/09/2012","24 HORAS","24/09/2012"
"AVD. ALCALDE FRANCISCO HERNANDEZ GONZALEZ 10","06/09/2012","8-18",""
"garcia tello 30","05/09/2012","8-18","17/10/2012"
"alfredo s. perez","06/09/2012","8-18",""
"doctor hernan perez de grado 3","17/09/2012","8-19",""
"blasco ibañez 42","07/09/2012","8-18","07/09/2012"
"avd. ALCALDE JOSE RAMIREZ BETANCOURT 6","11/09/2012","8-18","11/09/2012"
"murga, 50","10/09/2012","24","13/09/2012"
"TAMARCO (TRASERA ACOSAYDA, 8) Nº11","14/09/2012","8 A 20","14/09/2012"
"CARRETERA DEL FONDILLO 49","14/09/2012","8 A 19","14/09/2012"
"FRANCISCO GOURIE CON PILARILLO SECO","10/09/2012","8-18","11/09/2012"
"MONTEVIDEO 14","10/09/2012","8-18","11/09/2012"
"JUAN MANUEL DURAN GONZALEZ 18","10/09/2012","24 HORAS","21/09/2012"
"CORRIENTES 10","12/09/2012","8-18","12/09/2012"
"PERU 38","11/09/2012","24 HORAS","10/10/2012"
"PERU 38","11/09/2012","",""
"FRANCISCO GOURIE  LATERAL TEATRO","10/09/2012","8-18","11/09/2012"
"PLAZA DEL PILAR NUEVO ALTURA CASA DE COLON","04/09/2012","8-18",""
"LUIS DORESTE SILVA CON CARVAJALO VICVERSA 18","11/09/2012","",""
"ALONSO ALVARADO","12/09/2012","8-19","13/09/2012"
"TERRERO 8","14/09/2012","8 A 19","14/09/2012"
"AVD. JOSE MESA Y LOPEZ 25-27","11/09/2012","","12/09/2012"
"Aguadulce,suárez naranjo,pamochamoso,matías padrón y león y castillo","11/09/2012","","11/09/2012"
"obispo rabadán, 58","14/09/2012","",""
"magnolias 12-14","11/09/2012","24 horas","26/09/2012"
"fernando guanarteme (entre almansa y cayetana manrique) 158-161","11/09/2012","9,30 a 14 horas",""
"avda. Escaleritas n105","17/09/2012","24h","16/10/2012"
"VELARDE N19-21-93","12/09/2012","8A19","13/09/2012"
"alcalde josé ramírez bethencourt, 21","11/09/2012","",""
"venezuela con viriato o (viceversa) 7","14/09/2012","","14/09/2012"
"avd. jose mesa y lopez con casta rica o viceversa","14/09/2012","8-19","15/09/2012"
"viera y clavijo 16-20","04/10/2012","8 a 22",""
"viera y clavijo 18-20","18/10/2012","8 a 22",""
"muellle las palmas 10","14/09/2012","8 a 18","14/09/2012"
"curva 51","19/09/2012","","20/09/2012"
"constantino de las lagunetas","14/09/2012","13 a 20","14/09/2012"
"avd. jose mesa y lopez 60","19/09/2012","8 a 19","20/09/2012"
"obispo rabadan","17/09/2012","8 a 18",""
"p. las canteras 13","17/09/2012","24 horas,","01/10/2012"
"Tomás miller","17/09/2012","",""
"DOCTOR GRAU BASSAS N18-20","","",""
"DOCTOR GRAU BASSAS N18","","",""
"DOCTOR GRAU BASSAS 18-20","","",""
"GORDILLO N 40","","",""
"COLOMBIA N19","24/09/2012","8/18","28/09/2012"
"COLOMBIA N19","24/09/2012","8/18","28/09/2012"
"DISTRITO TAMARACEITE-SAN LORENZO","","",""
"VARIAS","","",""
"PI Y MARGALL N22 y valencia 58","18/09/2012","8/18","18/09/2012"
"RUIZ DWE ALDA CON GENERAL VIVES","25/09/2012","","26/09/2012"
"GRAL VIVES CON JUAN MANUEL DURAN N14","27/09/2012","08/18","28/09/2012"
"CASTILLO","21/09/2012","16/21H","21/09/2012"
"Joaquim Blume 18","","",""
"VARIAS","","",""
"Paraguay 20","20/09/2012","","20/09/2012"
"malaga (ceip islas baleares) s/n","19/09/2012","24 horas","18/10/2012"
"almirante benitez inglott (ceip federico garcia lorca) 1-3-5","19/09/2012","8 a 15",""
"ana benitez frente 62","19/09/2012","24 horas","16/10/2012"
"eufemiano fuentes cabrera (nave) 13","19/09/2012","24  horas","16/10/2012"
"avd. alcalde jose ramirez bethencourt 14","24/09/2012","8 a 18","24/09/2012"
"nestor de la torre 44","20/09/2012","8:30 a 14","20/09/2012"
"emilio satelar 4-6","21/09/2012","",""
"leon y castillo 20","22/09/2012","8-19","22/09/2012"
"secretario padilla-pizarro y panama 81-83","19/09/2012","24 horas","17/11/2012"
"numancia (ceip fernando guanarteme) s/n","24/09/2012","","24/09/2012"
"albareda 21","25/09/2012","8 a 20","25/09/2012"
"rafael almeida,4-6","21/09/2012","","21/09/2012"
"isas,45","24/09/2012","","28/09/2012"
"remedios,4","21/09/2012","",""
"tristana con federico viera","20/09/2012","",""
"avd. jose  mesa y lopez 34","20/09/2012","8 a 19",""
"lentini-francisco gourie 4","21/09/2012","8-18","21/09/2012"
"plaza garcia escamez 5","26/09/2012","8 a 18","26/09/2012"
"viera y clavijo (frente teatro cuyas )","08/10/2012","",""
"urbanizacion copherfan 2","24/09/2012","8 a 18",""
"venegas 65-67","25/09/2012","8-18","25/09/2012"
"general mas de gaminde","24/09/2012","",""
"LUIS MOROTE-ESQUINA SECRETARIO PADILLA 28","27/09/2012","24 HORAS","25/11/2012"
"tomas miller 76-78","27/09/2012","8- 18","27/09/2012"
"lopez botas, 48","26/09/2012","8-18","29/09/2012"
"olof palme 49","29/09/2012","","29/09/2012"
"thomas a. edison 5","26/09/2012","8 a 18",""
"nispero (residencial palmeral)","02/10/2012","9 a 18","02/10/2012"
"presidente alvear 18","27/09/2012","8 a 18","27/09/2012"
"ctra. Gral. Tamaraceite 119","29/09/2012","","29/09/2012"
"obispo codina (altura catedral)","29/09/2012","20 a 21.30","29/09/2012"
"avd. escaleritas 149","28/09/2012","8 a 19","28/09/2012"
"varias (observaciones)","24/09/2012","8 a 20","11/10/2012"
"castillejos 38","28/09/2012","8 a 18","28/09/2012"
"simon bolivar 3","03/10/2012","8 a 18","03/10/2012"
"luis doreste siva","29/09/2012","9 a 20","29/09/2012"
"san bernardo 6","28/09/2012","8 a 18","28/09/2012"
"judas tadeo 68","01/10/2012","8 a 18","01/10/2012"
"francico gourie 110","30/09/2012","9 a 14","30/09/2012"
"lopez botas 48","30/09/2012","8-19","03/10/2012"
"avd, escaleritas 149","01/10/2012","8 a 18","01/10/2012"
"pedro de vera 23","01/10/2012","8 a 18","01/10/2012"
"sargento llagas 7-9","02/10/2012","8.30 a 19","03/10/2012"
"mayor de triana 22","03/10/2012","","05/10/2012"
"losero 3","02/10/2012","8-20",""
"pancho guerra 35","02/10/2012","8 a 20",""
"paseo tomas morales 116","03/10/2012","24 HORAS","17/10/2012"
"presidente alvear con lenon y castillo","08/10/2012","",""
"VARIAS","02/10/2012","",""
"dolores de la rocha 14","05/10/2012","",""
"antonio de viana 17","05/10/2012","",""
"prudencio morales 51","05/10/2012","",""
"ermita de san antonio abad","06/10/2012","",""
"cebrian 8 - 10","05/10/2012","24","03/12/2012"
"diferentes de la ciudad","","",""
"audiencia 9","05/10/2012","",""
"obispa codina 4","08/10/2012","24","21/11/2012"
"obispo codina 4","08/10/2012","",""
"molino de viento 27","15/10/2012","24","19/10/2012"
"leopardi 1 alejandro hidalgo","04/10/2012","","14/10/2012"
"franchy roca 72","05/10/2012","",""
"carretera a tafira 147","06/10/2012","",""
"leon y castillo 427","08/10/2012","",""
"tucuman 23","08/10/2012","","06/11/2012"
"barcelona 27","08/10/2012","",""
"pintor felo monzon 34","15/10/2012","","19/10/2012"
"joaquin blume 11","15/10/2012","","19/10/2012"
"avda. juan carlos 1","08/10/2012","","12/10/2012"
"republica dominicana esq. Velarde","08/10/2012","","12/10/2012"
"numancia","04/10/2012","","17/10/2012"
"sagasta 86","05/10/2012","",""
"agustina de aragon 180","05/10/2012","",""
"agustina de aragon 180","05/10/2012","","06/10/2012"
"luis doreste silva","08/10/2012","","28/12/2012"
"diferentes de la ciudad","04/10/2012","",""
"cano 8","08/10/2012","24 horas",""
"avd. jose mesa y lopez 7 con pte. Alvear (o viceversa)","10/10/2012","8 a 19","11/10/2012"
"procurador luis mesa suarez. Avd. de canarias","15/10/2012","24 horas",""
"farmaceutico miguel padilla 5","08/10/2012","24 horas","06/12/2012"
"avd, escaleritas (tasera farma. Miguel de padilla 5)","08/10/2012","24","06/12/2012"
"avd. escaleritas (trasera luis benitez inglot 32)","08/10/2012","24","06/12/2012"
"luis benitez inglot 32","08/10/2012","24","06/12/2012"
"bentaguayre 34","10/10/2012","8-18","10/10/2012"
"sucre 14","22/10/2012","",""
"profesor lozano 14","22/10/2012","","20/12/2012"
"parroco villar reina","08/10/2012","8 a 22",""
"juan manuel duran gonzalez 14","09/10/2012","",""
"lui doreste silva ( entre fuente luminosa y supercomisaria)","08/10/2012","24","06/11/2012"
"luis doreste silva (fuente luminosa y supercomisaria)","08/10/2012","24","06/11/2012"
"matias padron 106","09/10/2012","8 a 19","09/10/2012"
"madian esquina natan o viceversa","08/10/2012","24 horas",""
"leon y castillo 427","15/10/2012","8-18","15/10/2012"
"los gofiones con sagasta o viceversa. 100","15/10/2012","8 a 18","16/10/2012"
"juan sanchez de la coba (lateral cancha deportiva zarate)","11/10/2012","8 a 19",""
"dominjgo e. doreste","15/10/2012","24",""
"doctor chil 7","16/10/2012","8 a 18","16/10/2012"
"alcl. Jose ramirez bethencourt (centro insular)","12/10/2012","8 a 23","13/10/2012"
"paseo tomas morales 114","16/10/2012","24 horas",""
"nestor de la torre 25","16/10/2012","8-18",""
"nestor de la torre 25","17/10/2012","","29/11/2012"
"nuñez de balboa inter. Doña perfecta y pedro infinito","15/10/2012","","29/11/2012"
"emilio arrieta 50","29/10/2012","24 horas","07/11/2012"
"diferentes de la ciudad","15/10/2012","08 a 15","15/10/2012"
"avda. pintor felo monzon 44","22/10/2012","","26/10/2012"
"jose mota perez  2","18/10/2012","8-18",""
"castillo de mata","15/10/2012","normal",""
"manuel de falla  s/n","16/10/2012","24",""
"avda jose mesa y lopez  galicia","15/10/2012","23-1,00",""
"manzana josr franchy roca leon y castillo nicolas esrevanez","16/10/2012","24",""
"leon xiii","16/10/2012","24",""
"avda de la galera tramo junto guayaberos","16/10/2012","24",""
"victor hugo esq. Luis antunez 10","17/10/2012","normal",""
"menedez y pelayo  15","22/10/2012","24",""
"pedro de vera  39","19/10/2012","8-18",""
"Nestor de la torre 18","","",""
"leon y castillo 427","18/10/2012","8-18",""
"varias calles","16/10/2012","24",""
"plaza de doctor rafael osahanan s/n","16/10/2012","normal",""
"simancas con parroco francisco rodriguez","22/10/2012","normal",""
"simancas esq. Cayetana manrique","12/11/2012","normal",""
"doña perfecta  98 y frente nº 89-91-93","18/10/2012","8-18",""
"teobaldo power trasera avda de escaleritas 105","18/10/2012","24",""
"churruca junto  ed avda mesa y lopez","17/10/2012","8-18",""
"autovia maritima ambos sentidos","17/10/2012","8-12",""
"pintor miro mainou 3","18/10/2012","8 a 18","18/10/2012"
"luigi pirandeli  7","18/10/2012","24",""
"varias calles","17/10/2012","24",""
"galicia  29","18/10/2012","8-18",""
"sagasta  86","29/10/2012","8-12",""
"bernardino correa viera","22/10/2012","normal",""
"perez muñoz  22","30/10/2012","24",""
"juan rejon   59","14/11/2012","24",""
"olof palme  22","19/10/2012","8-20",""
"juan de miranda  18","19/10/2012","8-18",""
"ruiz de alda  28","18/10/2012","8-18",""
"ingeniero salinas  17-19-21 20-22-24-26","19/10/2012","8-20",""
"mary sanchez  24","18/10/2012","8-20",""
"juan rejon princesa guayermina","19/10/2012","8-20",""
"PEROJO  17","17/02/2012","8-18",""
"paseo de chil nº311","24/02/2012","8/18",""
"presidente alvear nº46","24/02/2012","8/18",""
"princasa guayermina 2-4 juan rejon y viceversa","19/10/2012","8-20",""
"cordoba  12","29/10/2012","24",""
"cordoba  12","29/10/2012","8-20",""
"sagunto 7-9","22/10/2012","24",""
"eduardo benot  ed woermann agustin millares crlo","18/10/2012","8-20",""
"colombia entre el cid y gravina y colombia entre gravina y churruca","22/10/2012","08 a 20","05/11/2012"
"varias calles","18/10/2012","24",""
"portugal entre kant y gravina","18/10/2012","24",""
"avda de jose mesa y lopez  12-14","22/10/2012","8-20",""
"ALBAREDA  MERCADO DEL PUERTO HOTEL AC","19/10/2012","8-18",""
"LEON Y CASTILLO 183","22/10/2012","8-18",""
"ANZOFE  110","22/10/2012","NORMAL",""
"VARIAS CALLES","19/10/2012","24",""
"RAMON Y CAJAL  15","23/10/2012","24",""
"PLAZA DE SANTA ANA","22/10/2012","8-12",""
"VARIAS CALLES","22/10/2012","24",""
"JUDAS TADEO  68","24/10/2012","8-18",""
"DOÑA PERFECTA  203","29/10/2012","24",""
"SECRETARIO  ARTILES  4","23/10/2012","8-18",""
"CAFARNAUN S/N","23/10/2012","24",""
"leon y castillo 170","23/10/2012","08-18","24/10/2012"
"mariana de pineda con franchy roca","23/10/2012","24 HORAS","01/12/2012"
"el cid 53","23/10/2012","","23/10/2012"
"avda juan carlos altura del negrin  recogida corona","24/10/2012","8-18",""
"varias calles","23/10/2012","24",""
"mariucha  64-66","25/10/2012","24",""
"mariucha  64-66","25/10/2012","24",""
"salvia 4 d","23/10/2012","8-20",""
"sancho pamza  33","29/10/2012","normal",""
"audaz - cadiz  24","30/10/2012","24",""
"dolores de la rocha  5","29/10/2012","24",""
"daoiz  15","30/10/2012","8-18",""
"bravo murillo   10","26/10/2012","8-18",""
"varias calles","24/10/2012","24",""
"leon y castillo 25-27","31/10/2012","8-20",""
"jose y maria  35","25/10/2012","24",""
"parroco fracisco rodriguez rodriguez 40-44","29/10/2012","24",""
"pedro infinito  98","25/10/2012","24",""
"terrero 5","31/10/2012","8-18",""
"avda pintor felo monzon  46","26/10/2012","8-18",""
"francisco gourie  39","26/10/2012","8-18",""
"varias calles","25/10/2012","24",""
"avenida maeitima tramo playa la laja juan xxxiii ambos sentidos","27/10/2012","8,30-17,30",""
"leon y castillo  a yuntamiento p. de lugo ob. Rabadan","26/10/2012","8-18",""
"juan rejon princesa guyermina","29/10/2012","8-18",""
"varias  calles","26/10/2012","24",""
"cochabamba  5","30/10/2012","variado",""
"termino municipal","27/10/2012","8-12",""
"espartero  6","30/10/2012","8-18",""
"corregidor aguirre  24","05/11/2012","normal",""
"daoiz secretario padilla  16","29/10/2012","24",""
"leon y castillo 226","02/11/2012","8-18",""
"general vives  51","30/10/2012","24",""
"aldea blanca la ballena las torres","30/10/2012","normal",""
"varias calles","29/10/2012","24",""
"juan de quesada  3","06/11/2012","24",""
"general vives  51","30/10/2012","",""
"agustina de aragon pepe rey","30/10/2012","24",""
"plaza de canarias intercambiador","05/11/2012","8-12",""
"ssecretario padilla  165","05/11/2012","8-20",""
"secretario padilla  167-169","05/11/2012","8-20",""
"tecen  132 a 151","05/11/2012","8-20",""
"pedro infinito 206 plaza santa j. de castilla","07/11/2012","8-20",""
"lujan perez 108 esq. Tinguaro7","05/11/2012","8-20",""
"general rocha esq. Alonso quijano","05/11/2012","8-20",""
"jacinta 11-13","07/11/2012","8-20",""
"barcelona 49 esq. Galicia","12/11/2012","8-20",""
"doctor grau bassas nº 17-19","31/10/2012","",""
"angel guerra nº 22","02/11/2012","24h",""
"peru nº 38","05/11/2012","",""
"hortensia  (residencia el palmeral(","05/11/2012","24",""
"nardo nº 8","05/11/2012","",""
"nardo nº8","05/11/2012","",""
"nardo nº 8","05/11/2012","24h",""
"plaza de stagno - lateral perez galdos","10/11/2012","",""
"secretario artiles nº 48-50","05/11/2012","",""
"joaquin costa nº 16","05/11/2012","8/18",""
"mayor de triana nº 98","03/11/2012","24h",""
"avda jose mesa y lopez nº 18","","",""
"covadonga nº 72","02/11/2012","",""
"Jose franchy roca 57","05/11/2012","8-18",""
"portugal  70","06/11/2012","8-20",""
"varias calles","31/10/2012","24",""
"varias calles","02/11/2012","24",""
"parque de santa catalina museo de la ciencia","05/11/2012","8-18",""
"pavia  45","05/11/2012","24",""
"eufemiano jurado 16 o antonio de viana  25","06/11/2012","24",""
"alcalde diaz saavedra navarro 37","06/11/2012","24",""
"pintor pepe damaso  49-57","10/12/2012","24",""
"leon y castillo  427","05/11/2012","8-20",""
"joaquin blume nº 11-a","08/11/2012","",""
"simancas nº 21","05/11/2012","",""
"Simancas - espartero nº 10","06/11/2012","",""
"churruca  41","07/11/2012","24",""
"varias  calles","06/11/2012","24",""
"doctor juan dominguez perez 23","07/11/2012","8-20",""
"juan rejon  59","07/11/2012","8-20",""
"alcalde francisco hernandez gonzalez  16-18","07/11/2012","normal",""
"la galera parcela  85 b","08/11/2012","normal",""
"29 de abril  74","10/11/2012","8-20",""
"menedez y pelayo  21","12/11/2012","24",""
"triana  10-31","09/11/2012","8-18",""
"varias calles","07/11/2012","24",""
"luis dorestes silva entre fuente luminosa y supercomisaria","07/11/2012","24",""
"republica dominicana zona de carga descarga","08/11/2012","8-20",""
"candelaria de leon 48","12/11/2012","normal",""
"travieso  12","08/11/2012","8-12",""
"avda alcalde jose ramirez bethencourt 14","08/11/2012","8-18",""
"jose antonio gutierrez mellado","08/11/2012","8-20",""
"general jose antonio gutierrez mellado","08/11/2012","8-20",""
"varias calles","08/11/2012","24",""
"barranquillo de don zoilo","09/11/2012","normal",""
"parque de la ballena","09/11/2012","normal",""
"reina mercedes virgen del pilar","09/11/2012","normal",""
"virgen del pilar zona que bordea el talud","12/11/2012","24",""
"e.l. entre cordoba y leon vega de san jose","09/11/2012","normal",""
"castillo  de mata","09/11/2012","normal",""
"carretera de mata paseo san antonio","09/11/2012","normal",""
"el cortijo san gregorio  50","09/11/2012","normal",""
"luis dorestes silva  36","14/11/2012","8-20",""
"franchy roca  nicolas estevanez","12/11/2012","8-20",""
"simancasd  33peru 44","12/11/2012","8-20",""
"luis  morote  16","12/11/2012","8-18",""
"varias calles","09/11/2012","24",""
"carretera de mata","12/11/2012","normal",""
"isabel marario  brito","12/11/2012","normal",""
"avda jose mesa y lopez  15","15/11/2012","8-18",""
"avda jose mesa y lopez  18","13/11/2012","8-20",""
"paseo de las canteras  38","10/11/2012","8-18",""
"Juan e. doreste nº 7-8","13/11/2012","8-20","13/11/2012"
"padre pedro sanz sanz  21","13/11/2012","24",""
"sa n francisco   2","16/11/2012","8-18",""
"viera y clavijo  18-20","28/11/2012","8-22",""
"vergara   9","14/11/2012","normal",""
"albareda  3","13/11/2012","24",""
"obispo rabadan  32","15/11/2012","8-20",""
"cortijo de san gregorio  50","13/11/2012","24",""
"daoiz con secretario padilla o viceversa","13/11/2012","24",""
"varias calles","12/11/2012","24",""
"leon y castillo esq. Jose mesa y lopez y lepn y cas. 290","12/11/2012","22,00-6,00",""
"domigo  dorestes  13","20/11/2012","8-18",""
"la naval  162","14/11/2012","8-18",""
"paseo de tomas morales  116","14/11/2012","24",""
"la palma  5","15/11/2012","8-18",""
"lorenzo godoy maestro de la danza s/n","13/11/2012","24",""
