"Sede","Dirección","Teléfono","Geolocalización","Latitud","Longitud","Especialidad","Media anual de usuarios/as","Curso"
"Las Rehoyas","Calle Montejurra, 1, Las Palmas de Gran Canaria"," 945 360 538, 928 361 308","https://www.google.es/maps/place/Colegio+P%C3%BAblico+Jos%C3%A9+Calvo+Sotelo/@28.1079726,-15.4340981,17z/data=!4m2!3m1!1s0x0:0x39f9186c2e7fa4a23","28.1079726","-15.4340981","Bajo eléctrico",10,"2014/2015"
"Las Rehoyas","Calle Montejurra, 1, Las Palmas de Gran Canaria"," 946 360 538, 928 361 308","https://www.google.es/maps/place/Colegio+P%C3%BAblico+Jos%C3%A9+Calvo+Sotelo/@28.1079726,-15.4340981,17z/data=!4m2!3m1!1s0x0:0x39f9186c2e7fa4a24","28.1079726","-15.4340981","Batería",60,"2014/2015"
"Las Rehoyas","Calle Montejurra, 1, Las Palmas de Gran Canaria"," 948 360 538, 928 361 308","https://www.google.es/maps/place/Colegio+P%C3%BAblico+Jos%C3%A9+Calvo+Sotelo/@28.1079726,-15.4340981,17z/data=!4m2!3m1!1s0x0:0x39f9186c2e7fa4a25","28.1079726","-15.4340981","Fagot",2,"2014/2015"
"Las Rehoyas","Calle Montejurra, 1, Las Palmas de Gran Canaria"," 949 360 538, 928 361 308","https://www.google.es/maps/place/Colegio+P%C3%BAblico+Jos%C3%A9+Calvo+Sotelo/@28.1079726,-15.4340981,17z/data=!4m2!3m1!1s0x0:0x39f9186c2e7fa4a26","28.1079726","-15.4340981","Lenguaje musical",745,"2014/2015"
"Las Rehoyas","Calle Montejurra, 1, Las Palmas de Gran Canaria"," 950 360 538, 928 361 308","https://www.google.es/maps/place/Colegio+P%C3%BAblico+Jos%C3%A9+Calvo+Sotelo/@28.1079726,-15.4340981,17z/data=!4m2!3m1!1s0x0:0x39f9186c2e7fa4a27","28.1079726","-15.4340981","Oboe",6,"2014/2015"
"Las Rehoyas","Calle Montejurra, 1, Las Palmas de Gran Canaria"," 951 360 538, 928 361 308","https://www.google.es/maps/place/Colegio+P%C3%BAblico+Jos%C3%A9+Calvo+Sotelo/@28.1079726,-15.4340981,17z/data=!4m2!3m1!1s0x0:0x39f9186c2e7fa4a28","28.1079726","-15.4340981","Tuba",1,"2014/2015"
"Las Rehoyas","Calle Montejurra, 1, Las Palmas de Gran Canaria"," 952 360 538, 928 361 308","https://www.google.es/maps/place/Colegio+P%C3%BAblico+Jos%C3%A9+Calvo+Sotelo/@28.1079726,-15.4340981,17z/data=!4m2!3m1!1s0x0:0x39f9186c2e7fa4a29","28.1079726","-15.4340981","Bombardino",3,"2014/2015"
"Vegueta","Calle Granadera Canaria, 11, Las Palmas de Gran Canaria","928 331 662","https://www.google.es/maps/place/Calle+Granadera+Canaria,+11/@28.0965123,-15.4137461,17z/data=!3m1!4b1!4m2!3m1!1s0xc40958cbc1cb54d:0xf12eef7f079b423a","28.0965123","-15.4137461","Música y movimiento",124,"2014/2015"
"Vegueta","Calle Granadera Canaria, 11, Las Palmas de Gran Canaria","929 331 662","https://www.google.es/maps/place/Calle+Granadera+Canaria,+11/@28.0965123,-15.4137461,17z/data=!3m1!4b1!4m2!3m1!1s0xc40958cbc1cb54d:0xf12eef7f079b423a","28.0965123","-15.4137461","Viola",3,"2014/2015"
"Vegueta","Calle Granadera Canaria, 11, Las Palmas de Gran Canaria","930 331 662","https://www.google.es/maps/place/Calle+Granadera+Canaria,+11/@28.0965123,-15.4137461,17z/data=!3m1!4b1!4m2!3m1!1s0xc40958cbc1cb54d:0xf12eef7f079b423a","28.0965123","-15.4137461","Violín",37,"2014/2015"
"Vegueta","Calle Granadera Canaria, 11, Las Palmas de Gran Canaria","931 331 662","https://www.google.es/maps/place/Calle+Granadera+Canaria,+11/@28.0965123,-15.4137461,17z/data=!3m1!4b1!4m2!3m1!1s0xc40958cbc1cb54d:0xf12eef7f079b423a","28.0965123","-15.4137461","Violoncello",15,"2014/2015"
"Vegueta","Calle Granadera Canaria, 11, Las Palmas de Gran Canaria","932 331 662","https://www.google.es/maps/place/Calle+Granadera+Canaria,+11/@28.0965123,-15.4137461,17z/data=!3m1!4b1!4m2!3m1!1s0xc40958cbc1cb54d:0xf12eef7f079b423a","28.0965123","-15.4137461","Flauta",13,"2014/2015"
"Vegueta","Calle Granadera Canaria, 11, Las Palmas de Gran Canaria","933 331 662","https://www.google.es/maps/place/Calle+Granadera+Canaria,+11/@28.0965123,-15.4137461,17z/data=!3m1!4b1!4m2!3m1!1s0xc40958cbc1cb54d:0xf12eef7f079b423a","28.0965123","-15.4137461","Saxofón",12,"2014/2015"
"Vegueta","Calle Granadera Canaria, 11, Las Palmas de Gran Canaria","934 331 662","https://www.google.es/maps/place/Calle+Granadera+Canaria,+11/@28.0965123,-15.4137461,17z/data=!3m1!4b1!4m2!3m1!1s0xc40958cbc1cb54d:0xf12eef7f079b423a","28.0965123","-15.4137461","Piano",137,"2014/2015"
"Vegueta","Calle Granadera Canaria, 11, Las Palmas de Gran Canaria","935 331 662","https://www.google.es/maps/place/Calle+Granadera+Canaria,+11/@28.0965123,-15.4137461,17z/data=!3m1!4b1!4m2!3m1!1s0xc40958cbc1cb54d:0xf12eef7f079b423a","28.0965123","-15.4137461","Guitarra",70,"2014/2015"
"Vegueta","Calle Granadera Canaria, 11, Las Palmas de Gran Canaria","936 331 662","https://www.google.es/maps/place/Calle+Granadera+Canaria,+11/@28.0965123,-15.4137461,17z/data=!3m1!4b1!4m2!3m1!1s0xc40958cbc1cb54d:0xf12eef7f079b423a","28.0965123","-15.4137461","Educación de la voz",60,"2014/2015"
