"Centro","Nombre actividad","Participantes","Curso"
"UP CIUDAD ALTA","ENERO 2015","Técnica de repujado",10,"2014/2015"
"UP CIUDAD ALTA","ENERO 2015","Elaborar marcador de libro muñeca de trapo",10,"2014/2015"
"UP CIUDAD ALTA","ENERO 2015","Hacer una cajita de regalo con cartulinas",9,"2014/2015"
"UP CIUDAD ALTA","ENERO 2015","Ruta de la sal",28,"2014/2015"
"UP CONO SUR","ENERO 2015","Cesta tejida a trapillo",7,"2014/2015"
"UP CONO SUR","ENERO 2015","Tortas desayuno de la India",17,"2014/2015"
"UP CONO SUR","ENERO 2015","Elaboración de bolso en cartonaje",15,"2014/2015"
"UP CONO SUR","ENERO 2015","Gestionar el stress","-","2014/2015"
"UP CONO SUR","ENERO 2015","Elaboración de reloj cuco en patchwork",17,"2014/2015"
"UP CONO SUR","ENERO 2015","Ruta de senderismo los volcanes recientes",43,"2014/2015"
"UP GUANARTEME","ENERO 2015","Carne cochino",15,"2014/2015"
"UP GUANARTEME","ENERO 2015","Risoterapia",15,"2014/2015"
"UP GUANARTEME","ENERO 2015","Introducción a la informática",8,"2014/2015"
"UP GUANARTEME","ENERO 2015","Cocina marroquí",15,"2014/2015"
"UP GUANARTEME","ENERO 2015","Ruta de senderismo",45,"2014/2015"
"UP GUANARTEME","ENERO 2015","Aprender a montar en bici",15,"2014/2015"
"UP GUANARTEME","ENERO 2015","Ecoescucha",15,"2014/2015"
"UP LA ISLETA","ENERO 2015","Bolso de cartonaje",12,"2014/2015"
"UP LA ISLETA","ENERO 2015","Creación de necesswer",14,"2014/2015"
"UP LOMO BLANCO","ENERO 2015","Iniciación a la cata de vinos, para camareros",15,"2014/2015"
"UP LOMO BLANCO","ENERO 2015","Taller de video curriculum",12,"2014/2015"
"UP LOMO BLANCO","ENERO 2015","Manipulador de alimentos",25,"2014/2015"
"UP TAMARACEITE","ENERO 2015","Pintura al óleo con espátula",12,"2014/2015"
"UP TAMARACEITE","ENERO 2015","Iniciación al Internet",19,"2014/2015"
"UP TAMARACEITE","ENERO 2015","Taller de trapillo",15,"2014/2015"
"UP TAMARACEITE","ENERO 2015","Taller de zumba",14,"2014/2015"
"UP CIUDAD ALTA","FEBRERO 2015","Auto maquillaje",15,"2014/2015"
"UP CIUDAD ALTA","FEBRERO 2015","Lámpara con aplicaciones decorativas",16,"2014/2015"
"UP CIUDAD ALTA","FEBRERO 2015","Cesta trapillo",17,"2014/2015"
"UP CIUDAD ALTA","FEBRERO 2015","Taller social de radio",11,"2014/2015"
"UP CIUDAD ALTA","FEBRERO 2015","Decoloración y estampación de ropa",11,"2014/2015"
"UP CIUDAD ALTA","FEBRERO 2015","Bufanda hecha sin agujas",13,"2014/2015"
"UP CONO SUR","FEBRERO 2015","Auto depilación",17,"2014/2015"
"UP CONO SUR","FEBRERO 2015","Exposición de bolsos en tela y pañuelos (pintados con la técnica de seda)","-","2014/2015"
"UP CONO SUR","FEBRERO 2015","Tatuaje de henna",14,"2014/2015"
"UP CONO SUR","FEBRERO 2015","Diferentes tipos de salsa",13,"2014/2015"
"UP CONO SUR","FEBRERO 2015","Lienzo con decoupage",10,"2014/2015"
"UP GUANARTEME","FEBRERO 2015","Visita guiada a la fundación Juan Negrín",15,"2014/2015"
"UP GUANARTEME","FEBRERO 2015","Costura rápida",15,"2014/2015"
"UP GUANARTEME","FEBRERO 2015","Introducción a la informática",9,"2014/2015"
"UP GUANARTEME","FEBRERO 2015","Introducción al word",9,"2014/2015"
"UP GUANARTEME","FEBRERO 2015","Aprender a montar en bici",15,"2014/2015"
"UP GUANARTEME","FEBRERO 2015","Cocina del mundo cuscús",15,"2014/2015"
"UP GUANARTEME","FEBRERO 2015","Garbanzada",15,"2014/2015"
"UP GUANARTEME","FEBRERO 2015","Cocina del mundo corea",15,"2014/2015"
"UP GUANARTEME","FEBRERO 2015","Iniciación a la autoestima",20,"2014/2015"
"UP GUANARTEME","FEBRERO 2015","Victoria sponge-cake",15,"2014/2015"
"UP LA ISLETA","FEBRERO 2015","Estimulación de la memoria",12,"2014/2015"
"UP LA ISLETA","FEBRERO 2015","Decoración de sombreros",9,"2014/2015"
"UP LA ISLETA","FEBRERO 2015","Creación de panel decorativo",10,"2014/2015"
"UP LA ISLETA","FEBRERO 2015","Elaboración de cesta",10,"2014/2015"
"UP LOMO BLANCO","FEBRERO 2015","Fundas de cartonaje",13,"2014/2015"
"UP LOMO BLANCO","FEBRERO 2015","Taller de radio",12,"2014/2015"
"UP LOMO BLANCO","FEBRERO 2015","Menú de cabo verde",16,"2014/2015"
"UP LOMO BLANCO","FEBRERO 2015","Menú africano de Mali",19,"2014/2015"
"UP LOMO BLANCO","FEBRERO 2015","Ruta de las acequias",45,"2014/2015"
"UP LOMO BLANCO","FEBRERO 2015","Menú hindú",19,"2014/2015"
"UP LOMO BLANCO","FEBRERO 2015","Manipulador de alimentos",28,"2014/2015"
"UP LOMO BLANCO","FEBRERO 2015","Iniciación a la cata. sidra",15,"2014/2015"
"UP LOMO BLANCO","FEBRERO 2015","Preparación de montaditos",15,"2014/2015"
"UP TAMARACEITE","FEBRERO 2015","Taller de zumba",10,"2014/2015"
"UP TAMARACEITE","FEBRERO 2015","Taller de bailes latinos",32,"2014/2015"
"UP TAMARACEITE","FEBRERO 2015","Taller de constelaciones familiares",17,"2014/2015"
"UP TAMARACEITE","FEBRERO 2015","Ruta de senderismo pinar húmedo",45,"2014/2015"
"UP CIUDAD ALTA","JULIO 2015","Fofucha en hamaca","-","2014/2015"
"UP LOMO BLANCO","JULIO 2015","Cata de cervezas","-","2014/2015"
"UP LOMO BLANCO","JULIO 2015","Como realizar llaveros con toallas","-","2014/2015"
"UP TAMARACEITE","JULIO 2015","Creación de bolsos - toallas para playa","-","2014/2015"
"UP TAMARACEITE","JULIO 2015","Manipulador de alimentos","-","2014/2015"
"UP CIUDAD ALTA","JUNIO 2015","Recicla tus viejos vaqueros",18,"2014/2015"
"UP CIUDAD ALTA","JUNIO 2015","Fofucha en sofá",10,"2014/2015"
"UP CIUDAD ALTA","JUNIO 2015","Decoupage en bolso, pamela y sombrero",11,"2014/2015"
"UP CIUDAD ALTA","JUNIO 2015","Exposición talleres y actividades del centro","-","2014/2015"
"UP CIUDAD ALTA","JUNIO 2015","Fiesta de fin de curso",80,"2014/2015"
"UP CIUDAD ALTA","JUNIO 2015","Retrato exprés actividad cerrada",14,"2014/2015"
"UP CONO SUR","JUNIO 2015","Bolso y neceser de playa elaborado en patchwork",15,"2014/2015"
"UP CONO SUR","JUNIO 2015","Encuentro fin de curso. Teror - Osorio","-","2014/2015"
"UP CONO SUR","JUNIO 2015","Menú cordobés","-","2014/2015"
"UP CONO SUR","JUNIO 2015","Trapera canaria a ganchillo","-","2014/2015"
"UP CONO SUR","JUNIO 2015","Bordado en cinta","-","2014/2015"
"UP CONO SUR","JUNIO 2015","Restauración de muebles","-","2014/2015"
"UP GUANARTEME","JUNIO 2015","Cómo hacer crema de caléndula",15,"2014/2015"
"UP GUANARTEME","JUNIO 2015","Hábitos saludables","-","2014/2015"
"UP GUANARTEME","JUNIO 2015","Cocinas del mundo",15,"2014/2015"
"UP GUANARTEME","JUNIO 2015","Aprender a montar en bici",15,"2014/2015"
"UP GUANARTEME","JUNIO 2015","Artenara cultural","-","2014/2015"
"UP GUANARTEME","JUNIO 2015","Cocina canaria",15,"2014/2015"
"UP GUANARTEME","JUNIO 2015","Cocina marroquí",15,"2014/2015"
"UP GUANARTEME","JUNIO 2015","Excursión a los llanos de Ana López","-","2014/2015"
"UP LA ISLETA","JUNIO 2015","Risoterapia",14,"2014/2015"
