"INVENTARIO","NOMBRE","AUTOR","VIAL","CALLE"
223,"JUAN PABLO II","MANUEL GONZALEZ","CALLE","HOYA DEL ENAMORADO"
224,"HOMENAJE A MARY SANCHEZ","ANA LUISA BENITEZ SUAREZ","CALLE","SALVADOR CUYAS"
226,"HOMENAJE A LOS TRABAJADORES FALLECIDOS EN ACCIDENTE LABORAL","ETUAL OJEDA","PASEO","DE LAS CANTERAS"
227,"CAMBULLONERO","LUIS ALEMAN MONTULL","PLAZA","DEL CASTILLO DE LA LUZ"
228,"PORTICOS","JUAN CORREA BORDES","CALLE","LEON XIII"
229,"MONUMENTO A NESTOR MARTIN-FERNANDEZ DE LA TORRE","JUAN BORGES LINARES","PARQUE","DORAMAS"
230,"HOMENAJE A JUAN CASALLA SAAVEDRA ""EL CHACALOTE""","SEBASTIAN M. NAVARRO BETANCOR","PLAZA","DE LA PUNTILLA"
231,"OTOMANA","LEOPOLDO EMPERADOR","PLAZA","DE LOS DERECHOS HUMANOS"
232,"LUMINARIAS DE LOS PUERTOS ATLANTICOS","OSCAR TUSQUETS BLANCA","ESPACIO LIBRE","JARDINES PUERTOS ATLANTICOS"
233,"FUENTE DE LA PLAZA DEL PUENTE DE LA FERIA","","AVENIDA","ESCALERITAS"
234,"EL NACIMIENTO DE GRAN CANARIA","ABRAHAN CARDENES","PARQUE","DORAMAS"
235,"MONUMENTO A ADARGOMA  -  MANUEL GONZALEZ  1989","MANUEL GONZALEZ","JARDINES","DE SANTA ISABEL"
237,"MONUMENTO AL MUELLE DE LAS PALMAS (ANCLA)","","JARDINES","MUELLE LAS PALMAS"
238,"LOS MARTIRES DE SAN LORENZO","AGUSTIN TORON","CALLE","PINTOR NICOLAS MASSIEU"
239,"MARQUESINA NORTE PARQUE SANTA CATALINA","","CALLE","LUIS MOROTE"
240,"MARQUESINA SUR PARQUE SANTA CATALINA","","PARQUE","SANTA CATALINA"
241,"MONUMENTO DE LA PLAZA DE LA MEMORIA","","CALLE","VENEGAS"
242,"ROCODROMO DEL ESPACIO DEPORTIVO DE LA CALLE LEON","","CALLE","LEON"
243,"ROCODROMO DEL PARQUE JUAN PABLO II","","CALLE","HOYA DEL ENAMORADO"
244,"ROCODROMO DE LA LAJA","","CALLE","NO VIAL"
245,"LOS GUARDIANES DEL TERRERO","MANUEL GONZALEZ","CALLE","PEDRO HIDALGO"
246,"RAICES","SALVADOR GIL CLEMENTE","CALLE","PROFESOR LOZANO"
247,"BUSTO DE JOSE FRANCHY ROCA","JOSE LUIS MARRERO CABRERA","CALLE","JOSE FRANCHY ROCA"
248,"BUSTO DEL TENOR SUSO MARIATEGUI","SANTIAGO VARGAS JORGE","CALLE","GOMERA"
249,"LUCES EN EL VACIO","JUAN VELAZQUEZ PADRON E IVAN S. RODRIGUEZ CABRERA","PASEO","DE LAS CANTERAS"
250,"JOSE CASTELLANO SANTANA - PEPE MONAGAS","SUSANA REQUENA","CALLE","MENDIZABAL"
251,"HITO CONMEMORATIVO ""DIA DE LA ISLETA 26.02.2011""","","PLAZA","DEL PUEBLO"
252,"HITO CONMEMORATIVO DE ""LA NAVAL""","","PLAZA","DEL CASTILLO DE LA LUZ"
253,"MONUMENTO A BENITO PEREZ GALDOS","JOSE LUIS CARDENES","CALLE","ZARAGOZA"
254,"LA VIRGEN DEL PINO PARQUE JUAN PABLO II","","CALLE","HOYA DEL ENAMORADO"
255,"MONOLITO - MONUMENTO A LA PALMERA CANARIA","","CALLE","VIRGEN DE LA MACARENA"
256,"CARABELA ""LA NI�A III"" (CESION DE USO)","CARLOS ETAYO (IMPULSOR DE LA CONSTRUCCION","PLAZA","DE CANARIAS"
257,"ESCULTURA HOMENAJE AL COMPOSITOR SINDO SAAVEDRA","FRANCISCO JOSE CELIS ALEMAN","PASEO","DE LAS CANTERAS"
258,"ATLANTICA IV","MARTIN CHIRINO","PLAZA","DEL CASTILLO DE LA LUZ"
259,"ULISES Y EL ODRE DE LOS VIENTOS","MAXIMO RIOL CIMAS","CALLE","BATERIA DE SAN JUAN"
260,"LAPIDA CONMEMORATIVA A SOR BRIGIDA CASTELLO","ANONIMO","CALLE","SOR BRIGIDA CASTELLO"
261,"MONUMENTO FUNERARIO A MATIAS PADRON Y FERNANDEZ","ANONIMO","PLAZA","DE LAS TENERIAS"
262,"PLACA DEL HOSPITAL DE SAN MARTIN","ANONIMO","CALLE","HERRERIA"
263,"LAPIDA CONMEMORATIVA AL DOCTOR CHIL","ANONIMO","CALLE","DOCTOR CHIL"
