"dc:identifier";"dc:modified";"geo:lat";"geo:long";"id";"lpgc:nombre_parada"
"1759";"2017-10-31 12:01:30";"28.0766";"-15.47835";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_paradas/1759";"CARRETERA SAN LORENZO, 230"
"1758";"2017-10-31 12:01:30";"28.074615";"-15.465117";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_paradas/1758";"C/ CAMILO MARTINÓN NAVARRO, 69"
"1757";"2017-10-31 12:01:30";"28.09252";"-15.461965";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_paradas/1757";"C/ PLUTÓN (CEIP HOYA ANDREA)"
"1756";"2017-10-31 12:01:30";"28.07467";"-15.463885";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_paradas/1756";"C/ CAMILO MARTINÓN NAVARRO, FRENTE 32"
"1754";"2017-10-31 12:01:30";"28.076567";"-15.463567";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_paradas/1754";"C/ CAMILO MARTINÓN NAVARRO, 3"
"1753";"2017-10-31 12:01:30";"28.087933";"-15.460114";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_paradas/1753";"C/ SERVENTIA, 85"
"1752";"2017-10-31 12:01:30";"28.07775";"-15.4625";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_paradas/1752";"CARRETERA SAN LORENZO, 400 "
"1751";"2017-10-31 12:01:30";"28.086697";"-15.459606";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_paradas/1751";"C/ SERVENTÍA, 101"
"1750";"2017-10-31 12:01:30";"28.080317";"-15.461767";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_paradas/1750";"CARRETERA DE ALMATRICHE, 259"
"1749";"2017-10-31 12:01:30";"28.090822";"-15.460252";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_paradas/1749";"C/ SERVENTÍA, 189"
"1748";"2017-10-31 12:01:30";"28.08355";"-15.461567";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_paradas/1748";"CARRETERA DE ALMATRICHE, 169"
"1747";"2017-10-31 12:01:30";"28.08955";"-15.459317";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_paradas/1747";"CARRETERA DE ALMATRICHE, FRENTE 71"
"1746";"2017-10-31 12:01:30";"28.085182";"-15.459567";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_paradas/1746";"CARRETERA DE ALMATRICHE, 135"
"1745";"2017-10-31 12:01:30";"28.090733";"-15.4595";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_paradas/1745";"CARRETERA DE ALMATRICHE, FRENTE 47"
"1744";"2017-10-31 12:01:30";"28.089483";"-15.459233";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_paradas/1744";"CARRETERA DE ALMATRICHE"
"1743";"2017-10-31 12:01:30";"28.092817";"-15.459817";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_paradas/1743";"CARRETERA DE ALMATRICHE, 20"
"1742";"2017-10-31 12:01:30";"28.090933";"-15.4594";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_paradas/1742";"CARRETERA DE ALMATRICHE (GASOLINERA)"
"1741";"2017-10-31 12:01:30";"28.117933";"-15.443431";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_paradas/1741";"C/ LEOPOLDO ALONSO, 5"
"1740";"2017-10-31 12:01:30";"28.093367";"-15.4598";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_paradas/1740";"CARRETERA DE ALMATRICHE (FÁBRICA DE TEJAS)"
"1739";"2017-10-31 12:01:30";"28.095064";"-15.46189";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_paradas/1739";"C/ PLUTÓN, FRENTE 14"
"1738";"2017-10-31 12:01:30";"28.088955";"-15.460152";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_paradas/1738";"C/ SERVENTIA, 145"
"1736";"2017-10-31 12:01:30";"28.0952";"-15.456183";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_paradas/1736";"AVDA. PINTOR FELO MONZÓN (HIPERCOR)"
"1735";"2017-10-31 12:01:30";"28.090395";"-15.48134";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_paradas/1735";"C/ JUDAS TADEO, 61"
"1734";"2017-10-31 12:01:30";"28.134834";"-15.429695";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_paradas/1734";"AVDA. MESA Y LÓPEZ, 3"
