"TITULO","TEMATICA","AUTOR","FECHA"
"Paseando por la barra. Desnudo femenino, bajorrelieve de la Sala Sinfónica","    Artes Plásticas. Escultura. Alegoríca -  Marítima","    Juan Bordes Caballero","    1997"
"Paseando por la barra. Desnudo femenino, bajorrelieve de la Sala Sinfónica","    Artes Plásticas. Escultura. Alegoríca -  Marítima","    Juan Bordes Caballero","    1997"
"Paseando por la barra. Desnudo femenino, bajorrelieve de la Sala Sinfónica","    Artes Plásticas. Escultura. Alegoríca -  Marítima","    Juan Bordes Caballero","    1997"
"Paseando por la barra. Desnudo femenino, bajorrelieve de la Sala Sinfónica","    Artes Plásticas. Escultura. Alegoríca -  Marítima","    Juan Bordes Caballero","    1997"
"Paseando por la barra. Desnudo femenino, bajorrelieve de la Sala Sinfónica","    Artes Plásticas. Escultura. Alegoríca -  Marítima","    Juan Bordes Caballero","    1997"
"Paseando por la barra. Desnudo femenino, bajorrelieve de la Sala Sinfónica","    Artes Plásticas. Escultura. Alegoríca -  Marítima","    Juan Bordes Caballero","    1997"
"Paseando por la barra. Desnudo femenino, bajorrelieve de la Sala Sinfónica","    Artes Plásticas. Escultura. Alegoríca -  Marítima","    Juan Bordes Caballero","    1997"
"Paseando por la barra. Desnudo femenino, bajorrelieve de la Sala Sinfónica","    Artes Plásticas. Escultura. Alegoríca -  Marítima","    Juan Bordes Caballero","    1997"
"Paseando por la barra. Desnudo femenino, bajorrelieve de la Sala Sinfónica","    Artes Plásticas. Escultura. Alegoríca -  Marítima","    Juan Bordes Caballero","    1997"
"Paseando por la barra. Desnudo femenino, bajorrelieve de la Sala Sinfónica","    Artes Plásticas. Escultura. Alegoríca -  Marítima","    Juan Bordes Caballero","    1997"
"Paseando por la barra. Desnudo femenino, bajorrelieve de la Sala Sinfónica","    Artes Plásticas. Escultura. Alegoríca -  Marítima","    Juan Bordes Caballero","    1997"
"Paseando por la barra. Desnudo femenino, bajorrelieve de la Sala Sinfónica","    Artes Plásticas. Escultura. Alegoríca -  Marítima","    Juan Bordes Caballero","    1997"
"Paseando por la barra. Desnudo femenino, bajorrelieve de la Sala Sinfónica","    Artes Plásticas. Escultura. Alegoríca -  Marítima","    Juan Bordes Caballero","    1997"
"Paseando por la barra. Desnudo femenino, bajorrelieve de la Sala Sinfónica","    Artes Plásticas. Escultura. Alegoríca -  Marítima","    Juan Bordes Caballero","    1997"
"Paseando por la barra. Representación solar. Bajorrelieve de la Sala Sinfónica","    Artes Plásticas. Escultura. Alegoríca -  Marítima","    Juan Bordes Caballero","    1997"
"Paseando por la barra. Representación solar. Bajorrelieve de la Sala Sinfónica","    Artes Plásticas. Escultura. Alegoríca -  Marítima","    Juan Bordes Caballero","    1997"
"Paseando por la barra. Almeja. La Rosa de los Vientos","    Artes Plásticas. Escultura. Almeja","    Juan Bordes Caballero","    1997"
"Paseando por la barra. Peces. Escaleras de Neón","    Artes Plásticas. Escultura. Peces","    Juan Bordes Caballero","    1997"
"Paseando por la barra. Peces. Escaleras de Neón (5)","    Artes Plásticas. Escultura. Peces","    Juan Bordes Caballero","    1997"
"Paseando por la barra. Peces. Escaleras de Neón","    Artes Plásticas. Escultura. Peces","    Juan Bordes Caballero","    1997"
"Paseando por la barra. Langosta marina. Celosía","    Artes Plásticas. Escultura. Langosta","    Juan Bordes Caballero","    1997"
"Paseando por la barra. Pulpo. Terraza del nivel dos","    Artes Plásticas. Escultura. Pulpo","    Juan Bordes Caballero","    1997"
"Paseando por la barra. Caracola marina. Terraza","    Artes Plásticas. Escultura. Caracola","    Juan Bordes Caballero","    1997"
"Paseando por la barra. Manta marina. Terraza","    Artes Plásticas. Escultura. Manta marina","    Juan Bordes Caballero","    1997"
"Paseando por la barra. Cangrejo y Morena. Escalera principal","    Artes Plásticas. Escultura. Cangrejo y Medusa","    Juan Bordes Caballero","    1997"
"Paseando por la barra. Cola de morena. Escalera principal","    Artes Plásticas. Escultura. Cola de morena","    Juan Bordes Caballero","    1997"
"Paseando por la barra. Lapa marina. Escalera principal","    Artes Plásticas. Escultura. Lapa marina","    Juan Bordes Caballero","    1997"
"Paseando por la barra. Caracol marino. Escalera principal","    Artes Plásticas. Escultura. Caracol","    Juan Bordes Caballero","    1997"
"Paseando por la barra. Rascacio. Veleta","    Artes Plásticas. Escultura. Veleta","    Juan Bordes Caballero","    1997"
"Paseando por la barra. Caboso.","    Artes Plásticas. Escultura. Sirena","    Juan Bordes Caballero","    1997"
"Paseando por la barra. Cabeza de medusa","    Artes Plásticas. Escultura. Cabeza de medusa","    Juan Bordes Caballero","    1997"
"Múltiple. La Portada (2)","    Artes Plásticas. Maqueta escultórica conmemorativa","    Máximo Riol Cimas","    C. 1997"
"Maqueta de la escultura a Lolita Pluma","    Artes Plásticas. Maqueta escultórica conmemorativa","    F. Ávila","    1992"
"Maqueta del monumento: La  Alianza","    Artes Plásticas. Maqueta escultórica conmemorativa","    Facundo Fierro","    C. 1999"
"Maqueta del monumento al tenor Alfredo Kraus","    Artes Plásticas. Maqueta escultórica conmemorativa","    Víctor Ochoa","    2000"
"Maqueta del monumento al tenor Alfredo Kraus","    Artes Plásticas. Maqueta escultórica conmemorativa","    Víctor Ochoa","    2000"
"Maqueta del monumento al tenor Alfredo Kraus","    Artes Plásticas. Maqueta escultórica conmemorativa","    Víctor Ochoa","    C.  2000"
"Minerva","    Artes Plásticas. Escultura. Alegórico - Mitológica","    Anónimo","    C. Fines del Siglo XIX, principios del Siglo XX"
"Accidente       (Monaguillo)","    Artes Plásticas. Escultura. Monaguillo","    Mariano Benlliure","    C. Fines del Siglo XIX, principios del Siglo XX"
"""Niño de la espina""","    Artes Plásticas. Escultura. Niño","    Anónimo","    C. Fines del Siglo XIX, principios del Siglo XX"
"Animal fantástico (2)","    Artes Plásticas. Escultura. Animal fantástico","    Anónimo","    C. Primera década del siglo XX"
"Proyecto de monumento al Doctor D. Carlos Navarro Ruiz","    Artes Plásticas. Maqueta Escultórica Conmemorativa","    Abraham Cárdenes","    C. 1949"
"Pila de la Ermita Santa Catalina (2)","    Artes Plásticas. Escultura. Pila de Agua Bendita","    Atribuida a Abraham Cárdenes","    C. 1960"
"El forjador","    Artes Plásticas. Escultura. Forjador","    A. Richoviol","    Sin fecha"
"Busto de Don Benito Pérez Galdós","    Artes Plásticas. Busto","    Victorio Macho","    C. 1914"
"Busto del maestro Don Francisco González Díaz","    Artes Plásticas. Busto","    Manolo Ramos","    C. 1926"
"Busto de Alonso Quesada","    Artes Plásticas. Busto","    Eduardo Gregorio"," C. 1936 - 1940"
"Busto de Néstor Martín Fernández de la Torre","    Artes Plásticas. Busto","    Eduardo Gregorio","    C. 1940"
"Busto del General García Escámez","    Artes Plásticas. Busto","    Plácido Fleitas Hernández","    C. 1944"
"Busto de Pedro de Mendoza","    Artes Plásticas. Busto","    Luis Perlotti","    C. 1961"
"Busto de Benito Pérez Galdós","    Artes Plásticas. Busto","    Eduardo Gregorio","    C. 1967"
"Busto de Juan del Río Ayala","    Artes Plásticas. Busto","    José Perera Valido","    1975"
"Busto preparatorio en yeso de Manolo Millares","    Artes Plásticas. Busto","    Miguel Alonso Muñoz","    1983"
"Busto preparatorio en yeso de Manolo Millares","    Artes Plásticas. Busto","    Miguel Alonso Muñoz","    1983"
"Busto de Miguel Martín Fernández de la Torre","    Artes Plásticas. Busto","    Juan Borges Linares","    1985"
"Busto de Néstor Martín Fernández de la Torre","    Artes Plásticas. Busto","    Juan Borges Linares","    1985"
"Busto de Alfredo Kraus","    Artes Plásticas. Busto","    J.L.M.C.","    C. 1991"
"Busto de Agustín Millares Carló","    Artes Plásticas. Busto","    Juan Borges Linares","    C. 1993"
"Busto de Blas Cabrera Felipe","    Artes Plásticas. Busto","    Agustín León Bautista Sosa","    C. 1994"
"Busto de Pedro Agustín del Castillo","    Artes Plásticas. Busto","    Escultora: Isabel López Padrón. Fundidor: Antonio Higinio Rodríguez Sosa","    C. 1994"
"Monumento a Don Antonio López Botas","    Artes Plásticas. Busto","    Escultor: Máximo Riol Cimas. Fundidor: Antonio H. Rodríguez Sosa","    C. 1994"
"Busto de Pablo Iglesias","    Artes Plásticas. Busto","    Juan Borges Linares","    1994"
"Monumento a  Baltasar Champsaur Sicilia","    Artes Plásticas. Busto","    Agustín Bautista Sosa","    C. 1995 -  inaugurado el 13.11.2003"
"Busto de  Baltasar Champsaur Sicilia","    Artes Plásticas. Esculturas y monumentos conmemorativos","    Agustín Bautista Sosa. Fundido por el taller de Eugenio Correa Rijo","    C. 1995"
"Busto de Alfredo Kraus","    Artes Plásticas. Busto","    Santiago de Santiago","    1998"
"Busto de Don Gregorio Chil y Naranjo","    Artes Plásticas. Busto","    Anónimo","  "
"Busto de Don Juan Rodríguez Doreste","    Artes Plásticas. Busto","    Juan Delgado","    C. Finales de la década de 1980, principios de la década de 1990 del Siglo XX."
"Busto de Gelu Barbu","    Artes Plásticas. Busto","    Ulises Jiménez","    C. Inicios de la década de 1990 del siglo XX"
"Las cuatro estaciones - El Invierno","    Artes Plásticas. Escultura. Alegórica","    Anónimo","    1815"
"Las cuatro estaciones - El Otoño","    Artes Plásticas. Escultura. Alegórica","    Anónimo","    1815"
"Las cuatro estaciones - El Verano","    Artes Plásticas. Escultura. Alegórica","    Anónimo","    1815"
"Las cuatro estaciones - La Primavera","    Artes Plásticas. Escultura. Alegórica","    Anónimo","    1815 (la original)"
"Cruz del cementerio de Vegueta","    Artes Plásticas. Monumento Funerario","    Manuel Ponce de León","    1862 (proyecto)"
"Monumento a Cristóbal Colón","    Artes Plásticas. Monumento Conmemorativo","    Paolo Triscornia di Ferdinando","    1892"
"Monumento a Bartolomé Cairasco de Figueroa","    Artes Plásticas. Monumento Conmemorativo","    Busto de Cairasco de Paolo Triscornia di Ferdinando. Pedestal de Antonio López Echegarreta.","    Busto en 1894. Pedestal o basamento en 1876"
"Perros de la Plaza de Santa Ana (8) y Cabezas de León (2)","    Artes Plásticas. Escultura. Perros y Cabezas de León","    Alfred Jacquemart","    1895"
"Arte","    Artes Plásticas. Escultura. Alegórica","    Boutellier","    C. 1908"
"Comercio","    Artes Plásticas. Escultura. Alegórica","    Boutellier","    C. 1908"
"Navegación","    Artes Plásticas. Escultura. Alegórica","    Boutellier","    C. 1908"
"Agricultura","    Artes Plásticas. Escultura. Alegórica","    Boutellier","    C. 1908"
"Monumento a Don Benito Pérez Galdós","    Artes Plásticas. Escultura Conmemorativa","    Victorio Macho","    1921 - 1923"
"Monumento a Tomás Morales","    Artes Plásticas. Monumento Conmemorativo","    Victorio Macho","    1921"
"Monumento a Ambrosio Hurtado de Mendoza","    Artes Plásticas. Monumento Conmemorativo","    A. Neri","    1922"
"Monumento a Fernando León y Castillo","    Artes Plásticas. Monumento Conmemorativo","    Mariano Benlliure","    1926"
"Virgen de la Luz","    Artes Plásticas. Escultura. Religiosa","    Atribuido a Abraham Cárdenes","    C. 1941-1942"
"Dánae","    Artes Plásticas. Escultura. Mitológica","    Plácido Fleitas Hernández","    C. 1944"
"Monumento a Cristóbal del Castillo Manrique de Lara","    Artes Plásticas. Monumento Conmemorativo","    Abraham Cárdenes Guerra","    C.1945"
"Máter Ínsula","    Artes Plásticas. Monumento Conmemorativo","    Juan Márquez Peñate","    C. 1951-1956"
"Monumento a Alonso Quesada","    Artes Plásticas. Escultura Conmemorativa","    Plácido Fleitas Hernández","    1955"
"Obelisco de la Plaza  de la Constitución","    Artes Plásticas. Monumento Conmemorativo","    Juan Margarit Serradell y Cayetano Guerra del Río","    1955 - 1957"
"Gente de mar (Marineros)","    Artes Plásticas.  Escultura Conmemorativa","    Pedro Barral","    C. 1956"
"Monumento a Don Diego Mesa de León","    Artes Plásticas. Monumento Conmemorativo","    Plácido Fleitas Hernández","    1957"
"Monumento a Don Juan de León y Castillo","    Artes Plásticas. Monumento Conmemorativo","    Pedro Barral","    1958"
"Monumento a Don José Viera y Clavijo","    Artes Plásticas. Escultura Conmemorativa","    Plácido Fleitas Hernández","    1958"
"Monumento al General San Martín","    Artes Plásticas. Escultura Conmemorativa","    Luis Perlotti","    C. 1961"
"Monumento a Alonso de Alvarado","    Artes Plásticas. Monumento Conmemorativo","    Anónimo","    1962"
"Monumento a los Juegos Olímpicos de México","    Artes Plásticas. Monumento Conmemorativo","    Anónimo","    C. 1968"
"Torre helicoidal","    Artes Plásticas. Escultura. Abstracta","    Juan  Antonio Giraldo","    C. 1969"
"Monumento a Don Benito Pérez Galdós","    Artes Plásticas. Monumento Conmemorativo","    Pablo Serrano","    1969"
"Monumento al General García Escámez","    Artes Plásticas. Escultura Conmemorativa","    Abraham Cárdenes Guerra"," C. 1970 - 1973"
"Satélite. Monumento a Venezuela"," Artes Plásticas. Monumento Conmemorativo","    Luis Chacón","    1978"
"Sin título","    Artes Plásticas. Escultura. Abstracta","Puede atribuirse a Miguel Rodríguez","    1974"
"Monumento a la Lucha Canaria","    Artes Plásticas. Monumento Conmemorativo","    Santiago Vargas Jorge","    1976"
"Actividades primitivas canarias","    Artes Plásticas. Monumento Conmemorativo","    Luis Alemán Montull","    1977"
"Cruceiro","    Artes Plásticas. Monumento Conmemorativo","    Anónimo","    1979"
"Atis Tirma","    Artes Plásticas. Monumento Conmemorativo","    Manuel Bethencourt Santana","    1981"
"Monumento a San Francisco de Asís","    Artes Plásticas. Escultura. Religiosa","    Paquita Melián Chirino","    1981"
"Monumento a Belén María","    Artes Plásticas. Monumento Conmemorativo","    Federico Hernández Corujo ""Fillo""","    1982"
"Monumento a Simón Bolívar","    Artes Plásticas. Monumento Conmemorativo","    Juan Jaen Díaz","    1982"
"Monumento a Saulo Torón","    Artes Plásticas. Escultura Conmemorativa","    Juan Jaén Díaz","    1982"
"Monumento al Atlante","    Artes Plásticas. Escultura. Alegórica","    Tony Gallardo","    1986"
"Monumento a Pepe Juan ""el Chacalote""","    Artes Plásticas. Escultura Conmemorativa","    Anónimo","    1986"
"Monumento al doctor Don Apolinario Macías","    Artes Plásticas. Escultura Conmemorativa","    Juan Delgado","    1987"
"Soporte del monumento a Néstor Álamo","    Artes Plásticas. Monumento Conmemorativo","    José de Armas","    1988"
"Sin título","    Artes Plásticas. Escultura. Instalación","    Alfons Sard Sánchez","    1998"
"La mujer y su sombra","    Artes Plásticas. Escultura. Abstracta","    César Manrique","    C. Década de 1990 del siglo XX"
"Monumento a Don Benito Pérez Galdós","    Artes Plásticas. Monumento Conmemorativo","    Manuel Bethencourt Santana","    1991"
"Monumento a Pepe Caña Dulce","    Artes Plásticas. Escultura Conmemorativa","    Diseño de Vega Domínguez. Ejecución de la Escuela Taller de Aguimes","    1992"
"Monumento a las Olimpiadas de Barcelona’ 92","    Artes Plásticas. Escultura Conmemorativa","    Juan Antonio Giraldo","    1992"
"Monumento a Manolo Millares","    Artes Plásticas. Escultura Conmemorativa","    Miguel Alonso Muñoz","    1993"
"Monumento a Agustín Millares Carló","    Artes Plásticas. Escultura Conmemorativa","    Juan Borges Linares","    1993"
"Pirámide del Paseo de Las Canteras","    Artes Plásticas. Monumento Conmemorativo","    Anónimo","    1993"
"Monumento al doctor Don Juan Negrín López","    Artes Plásticas. Monumento Conmemorativo","    Juan Bordes Caballero","    1993"
"Los niños de la barra","    Artes Plásticas. Escultura. Urbana","    Juan Bordes Caballero","    1993"
"Los niños de la barra","    Artes Plásticas. Escultura. Urbana","    Juan Bordes Caballero","    1993"
"Los niños de la barra","    Artes Plásticas. Escultura. Urbana","    Juan Bordes Caballero","    1993"
"Los niños de la barra","    Artes Plásticas. Escultura. Urbana","    Juan Bordes Caballero","    1993"
"Monumento a Camille Saint - Saëns","    Artes Plásticas. Escultura Conmemorativa","    Juan Borges Linares","    1986"
"Monumento a Juan Rodríguez Doreste","    Artes Plásticas. Monumento Conmemorativo","    Santiago Vargas Jorge","    C. 1994"
"Monumento a Gregorio Chil y Naranjo","    Artes Plásticas. Escultura Conmemorativa","    Anónimo","    C. 1994"
"Monumento al doctor Domingo J. Navarro","    Artes Plásticas. Monumento Conmemorativo","    Busto: Fátima Cabrera Rodríguez. Fundidor: Eugenio Correa Rijo","    C. 1994"
"Monumento a Pablo Iglesias","    Artes Plásticas. Escultura Conmemorativa","    Juan Borges Linares","    1994"
"Monumento a ""Pepe"" Gonçálvez","    Artes Plásticas. Escultura Conmemorativa","    Tony Gallardo","    1954 (yeso), 1994 (bronce)"
"Monumento a José Franchy Roca","    Artes Plásticas. Monumento Conmemorativo","    Escultor: Juan Trujillo Hernández. Fundidor: Eugenio Correa Rijo","    C. 1995"
"Monumento a Felo Monzón","    Artes Plásticas. Monumento Conmemorativo","    Escultor: Tony Gallardo. Fundidor: Taller Bronzo en Tenerife","    C. 1995"
"Monumento a Rafael O'Shanahan","    Artes Plásticas. Escultura Conmemorativa","    Escultor: José Perera Valido / Fundidor: Eugenio Correa Rijo","    1995"
"Lady Harimaguada","    Artes Plásticas. Escultura Abstracta","    Martín Chirino","    1996"
"La Portada","    Artes Plásticas. Escultura. Abstracta","    Máximo Riol Cimas","    1997"
"Monumento a Adargoma","    Artes Plásticas. Escultura Conmemorativa","    Manuel González","    C. 1989"
"Juguete del Viento","    Artes Plásticas. Escultura. Abstracta","    César Manrique","    1991"
"Monumento a Lolita Pluma","    Artes Plásticas. Monumento Conmemorativo","    F. Ávila","    1998"
"Monumento a Jacques Cousteau","    Artes Plásticas. Monumento Conmemorativo","    Manuel González","    1998"
"Circo silencioso","    Artes Plásticas. Escultura. Pública","    Pep Durán Esteva","    1998"
"Monumento a San Juan Bosco","    Artes Plásticas. Monumento Conmemorativo","    Anónimo","    1998"
"Monumento a la Vela Latina","    Artes Plásticas. Monumento Conmemorativo","    Juan Antonio Giraldo","    1998"
"Monumento a Juan Brito García","    Artes Plásticas. Escultura Conmemorativa","    Anónimo","    C. 1996"
"Alianza","    Artes Plásticas. Escultura. Abstracta","    Facundo Fierro","    1999"
"Al Padrecito","    Artes Plásticas. Escultura Pública","    Máximo Riol Cimas","    C. 1999"
"Monumento al doctor Don José Ponce Arias","    Artes Plásticas. Escultura Conmemorativa","    Juan Delgado","    1999"
"Monumento a Don Benito Pérez Galdós","    Artes Plásticas. Monumento Conmemorativo","    Teo Mesa","    2000"
"Monumento a Alfredo Kraus","    Artes Plásticas. Escultura Conmemorativa","    Víctor Ochoa","    C. 2000"
"Monumento a Don José Perojo","    Artes Plásticas. Escultura Conmemorativa","    Facundo Fierro","    C. 2000"
"Monumento a Don Gregorio Chil y Naranjo","    Artes Plásticas. Escultura Conmemorativa","    Busto: Juan Correa Bordes. Fundidor: Eugenio Correa Rijo","    2001"
"Monumento a Don Antonio López Botas","    Artes Plásticas. Escultura Conmemorativa","    Busto: Juan Correa Bordes. Fundidor: Eugenio Correa Rijo","    2001"
"Homenaje a los Olímpicos de la Provincia de Las Palmas","    Artes Plásticas. Escultura Conmemorativa","    Juan Bordes Caballero","    C. 2001"
"Dolorosa","    Artes Plásticas. Escultura. Religiosa","    Anónimo","    C. Primer tercio del siglo XX"
"San Juan Evangelista","    Artes Plásticas. Escultura. Religiosa","    Anónimo","    C. Primer tercio del Siglo XX"
"Las tres cruces","    Artes Plásticas. Escultura Conmemorativa","    Anónimo","    C. Último cuarto del siglo XX"
"Pleamar XXVII","    Artes Plásticas. Escultura. Abstracta","    Amadeo Gabino","    1963"
"Figura antropomórfica - RETIRADA","    Artes Plásticas. Escultura Conmemorativa","    Anónimo","    C. Último cuarto del siglo XX."
"Homenaje de la Ciudad de Telde a Las Palmas de Gran Canaria","    Artes Plásticas. Monumento Conmemorativo","    Anónimo","    C. Último cuarto del siglo XX"
"Homenaje de la Ciudad de Arucas a Las Palmas de Gran Canaria","    Artes Plásticas. Monumento Conmemorativo","    Anónimo","    C. Último cuarto del siglo XX"
"Monumento a Cayo Ramírez","    Artes Plásticas. Escultura Conmemorativa","    Anónimo","    C. Último cuarto del siglo XX"
"Monumento a la Paz","    Artes Plásticas. Escultura. Alegórica","    Anónimo","    C. Inicios de la década de 1990."
"Sin título","    Artes Plásticas. Escultura. Desnudo (torso)","    Anónimo","  "
"Sin título","    Artes Plásticas. Escultura. Desnudo","    Anónimo","  "
"El Nacimiento de Gran Canaria","    Artes Plásticas. Escultura alegórica","    Abraham Cárdenes","Circa 1950  (1952)"
"Alegoría del antiguo Puente de Palo","    Artes Plásticas. Monumento Conmemorativo","    Anónimo","    C. Último cuarto del siglo XX."
"Virgen de la Cuevita o de las Nieves","    Artes Plásticas. Escultura. Religiosa","    Anónimo","    Sin fecha"
"Vegueta - La Catedral (detalle)","    Artes Plásticas. Dibujo. Vista Urbana","    Ernesto Rodríguez Padilla","    C. 1980 - 1981"
"Vegueta - Rincón típico","    Artes Plásticas. Dibujo. Vista Urbana","    Ernesto Rodríguez Padilla","    1980 - 1981"
"Vegueta - Plaza del Pilar Nuevo","    Artes Plásticas. Dibujo. Vista Urbana","    Ernesto Rodríguez Padilla","    1981"
"Vegueta - Faycan","    Artes Plásticas. Dibujo. Vista Urbana","    Ernesto Rodríguez Padilla","    1981"
"Vegueta - Rincón de la Plaza Santa Ana","    Artes Plásticas. Dibujo. Vista Urbana","    Ernesto Rodríguez Padilla","    1981"
"Vegueta -  esquina Pelota, Herrería","    Artes Plásticas. Dibujo. Vista Urbana","    Ernesto Rodríguez Padilla","    1981"
"Vegueta - Fuente del Espíritu Santo","    Artes Plásticas. Dibujo. Vista Urbana","    Ernesto Rodríguez Padilla","    1981"
"Vegueta - Plaza Santo Domingo","    Artes Plásticas. Dibujo. Vista Urbana","    Ernesto Rodríguez Padilla","    1980"
"Plaza de Santa Ana","    Artes Plásticas. Dibujo. Vista Urbana","    Santiago Santana Díaz","    1991"
"Plaza de Santo Domingo","    Artes Plásticas. Dibujo. Vista Urbana","    De Andrés","     C. Segunda mitad del siglo XX"
"Retrato de la Reina Mª Cristina de Habsburgo y Lorena","    Artes Plásticas. Grabado. Retrato","    Anónimo","     C. Segunda mitad del Siglo XIX"
"Casa de Colón","    Artes Plásticas. Grabado. Vista Urbana","    Anónimo","    1978"
"Fuente de la Plaza de Santo Domingo","    Mobiliario y Aderezos Urbanos. Fuente","    Anónimo","    1792"
"Fuente Monumental del Espíritu Santo","    Mobiliario y Aderezos Urbanos. Fuente","    Manuel Ponce de León y Falcón. Tanto el proyecto como la realización de la fuente.","    Proyecto de 1861. Construcción de la fuente de 1862 a 1869."
"Fuente en San José","    Mobiliario y Aderezos Urbanos. Fuente","    Antonio López Echegarreta","    C. 1875"
"Fuente del patio de las Casas Consistoriales","    Mobiliario y Aderezos Urbanos. Fuente","    Proyecto: Arquitecto Municipal (Miguel Martín-Fernández de la Torre). Cantero: Pedro Díaz","    1942"
"Fuente en la Plazoleta de Emilio Ley","    Mobiliario y Aderezos Urbanos. Fuente","    Anónimo","    C. 1958"
"Fuente en los Jardines de Buenavista","    Mobiliario y Aderezos Urbanos. Fuente","    Anónimo","    C. Década de 1980 del siglo XX"
"Antigua Fuente de las Islas Canarias","    Mobiliario y Aderezos Urbanos.  Fuente (antes)","    Anónimo","    C. 1997"
"Fuente de Las Ranas en la Plaza Hurtado de Mendoza","    Mobiliario y Aderezos Urbanos. Fuente","    Enrique Spinola González y Enrique Spinola Cabrera (Proyecto reforma de la plaza); Juan Correa (ranas)","    2000"
"Fuente en la Plaza Rafael O’Shanahann","    Mobiliario y Aderezos Urbanos. Fuente","    Anónimo","    2001"
"Fuente de los leones o Fontana de oro","    Mobiliario y Aderezos Urbanos. Fuente","    Anónimo","    C. Primera mitad del siglo XX"
"Fuente del Parque Santa Catalina","    Mobiliario y Aderezos Urbanos. Fuente","    Anónimo","    C. Década de 1940 del siglo XX."
"Fuente del Pilar Nuevo","    Mobiliario y Aderezos Urbanos. Fuente","    Anónimo","    C. Inicios de la década de 1980 del siglo XX."
"Fuente en piedra volcanica de la Feria del Atlántico","    Mobiliario y Aderezos Urbanos. Fuente","    Anónimo","    C. Inicios de la década de 1990"
"Fuente","    Mobiliario y Aderezos Urbanos. Fuente","    Anónimo","    C. Inicios de la década de 1990 del siglo XX"
"Placa conmemorativa en la fachada de la Ermita de San Antonio Abad","    Mobiliario y Aderezos Urbanos. Placa Conmemorativa","    Anónimo","    1893"
"Lápida conmemorativa de la Casa Benito Pérez Galdós","    Mobiliario y Aderezos Urbanos. Placa Conmemorativa","    Anónimo","    C. 1901"
"Lápida conmemorativa de la visita de Alfonso XIII","    Mobiliario y Aderezos Urbanos. Placa conmemorativa","    Anónimo","    1906"
"Lápida en honor a Don José de Viera y Clavijo","    Mobiliario y Aderezos Urbanos. Placa Conmemorativa","    Fulgencio Roca","    1913"
"Placa dedicada a Luján Pérez","    Mobiliario y Aderezos Urbanos. Placa Conmemorativa","    Anónimo","    1915"
"Lápida conmemorativa de la visita del ministro Galo Ponte","    Mobiliario y Aderezos Urbanos. Placa Conmemorativa","    Anónimo","    1927"
"Lápida conmemorativa de la creación de la provincia de Las Palmas","    Mobiliario y Aderezos Urbanos. Placa Conmemorativa","    Anónimo","    1927"
"Placa de la Cruz de Piedra","    Mobiliario y Aderezos Urbanos. Placa Conmemorativa","    Anónimo","    1973"
"Lápida conmemorativa de la visita de los Príncipes de España","    Mobiliario y Aderezos Urbanos. Placa Conmemorativa","    Anónimo","    1973"
"Lápida conmemorativa del 485 aniversario del descubrimiento de América","    Mobiliario y Aderezos Urbanos. Placa Conmemorativa","    Anónimo","    1977"
"Placa conmemorativa de la construcción de la Plaza Cruz de Piedra.","    Mobiliario y Aderezos Urbanos. Placa Conmemorativa","    Anónimo","    1993"
"Placa conmemorativa en el Castillo de la Luz.","    Mobiliario y Aderezos Urbanos. Placa Conmemorativa","    Anónimo","    1993"
"Placa en honor del paso de Cristóbal Colón por Gran Canaria","    Mobiliario y Aderezos Urbanos. Placa Conmemorativa","    Anónimo","    Junio 1993"
"Placa de la Escuela Luján Pérez","    Mobiliario y Aderezos Urbanos. Placa Conmemorativa","    Anónimo","    1993"
"Placa conmemorativa de la fundación del Museo Canario","    Mobiliario y Aderezos Urbanos. Placa Conmemorativa","    Anónimo","    Junio 1993"
"Lápida conmemorativa de las Casas Consistoriales.","    Mobiliario y Aderezos Urbanos. Placa Conmemorativa","    Anónimo","    Junio 1993"
"Lápida conmemorativa del V Centenario del Fuero de Gran Canaria.","    Mobiliario y Aderezos Urbanos. Placa Conmemorativa","    Anónimo","    1994"
"Placa conmemorativa de la construcción de la Catedral de Santa Ana.","    Mobiliario y Aderezos Urbanos. Placa Conmemorativa","    Anónimo","    Junio 1994"
"Placa conmemorativa de la fundación de la Real Audiencia de Canarias","    Mobiliario y Aderezos Urbanos. Placa Conmemorativa","    Anónimo","    Junio 1994"
"Placa conmemorativa a Tomás Morales","    Mobiliario y Aderezos Urbanos. Placa Conmemorativa","    Anónimo","    1994"
"Placa conmemorativa del Pilar Nuevo","    Mobiliario y Aderezos Urbanos. Placa Conmemorativa","    Anónimo","    Junio 1994"
"Placa de la calle Triana","    Mobiliario y Aderezos Urbanos. Placa Conmemorativa","    Anónimo","    24 - XI - 1994"
"Placa en memoria de la fundación de la Real Sociedad Económica de Amigos del País","    Mobiliario y Aderezos Urbanos. Placa Conmemorativa","    Anónimo","    Junio 1995"
"Placa conmemorativa de la fundación del Colegio de la Sagrada Familia","    Mobiliario y Aderezos Urbanos. Placa Conmemorativa","    Anónimo","    Junio 1995"
"Placa de la Cuesta de Mata","    Mobiliario y Aderezos Urbanos. Placa Conmemorativa","    Anónimo","    1995"
"Placa  del Colegio San Agustín","    Mobiliario y Aderezos Urbanos. Placa Conmemorativa","    Anónimo","    Junio 1995"
"Placa conmemorativa de la Iglesia de San Francisco","    Mobiliario y Aderezos Urbanos. Placa Conmemorativa","    Anónimo","    1996"
