CALLE, FECHA DE COMIENZO, HORARIO, FECHA  DE FINALIZACION
"saucillo entre lujan perez e ines chemida","23/01/2014","",""
"nuñez de blaboa entre mariucha y sor simona","29/01/2014","10-14","29/01/2014"
"voctor hugo entre valencia y menedez y pelayo 59","29/01/2014","10-14","29/01/2014"
"parroco  francisco rodriguez rodriguez 20","28/01/2014","10-14","29/01/2014"
"valencia 4","25/01/2014","8 a 12",""
"viriato entre juan manuel duran gonzalez y avda jose mesa y lopez","27/01/2014","8-20","27/01/2014"
"albareda entre luis morote alfredo l. jones","24/01/2014","9 a 13","24/01/2014"
"francisco gonzalez gutierrez  4","30/01/2014","10-14","31/01/2014"
"rosario alvarez  hernandez  7","30/01/2014","10-14",""
"aguadulce entre molino de viento y leon y castillo 17-19","30/01/2014","9,30-13,30",""
"ZONA APARCamientos campos futbol del rincon","29/01/2014","","27/07/2014"
"bernardo la torre64 con franchy roca 40","01/02/2014","24 horas","02/02/2014"
"varias","29/01/2014","según permiso","31/12/2014"
"galileo entre 22 y fernando guanarteme","31/01/2014","","01/04/2014"
"varias","","",""
"tiscamanita","05/02/2014","8,15 a 8,40 y 13,15 -13,40",""
"san cristobal de la laguna( a partir de la calle oviedo)","06/02/2014","8/20","06/02/2014"
"eduardo benot a la altura de la calle tenerife","09/02/2014","8/20","09/02/2014"
"juan de quesada, 10","11/02/2014","9-13",""
"variasa calles","01/02/2014","22-6,00",""
"fernando guanarteme entre leon toltoi  y viriato","17/02/2014","20,00-6,00",""
"julio luengo","18/02/2014","","20/02/2014"
"blas de lezo ( entre lujan perez y faro )","21/02/2014","8/12",""
"el salvial 1 al 17","24/02/2014","8-20",""
"tenesoya vidina  8","03/03/2014","9-13",""
"tenesoya vidina  20","03/03/2014","9-13",""
"domingo j. navarro  30","28/02/2014","10,30-14,30","28/02/2014"
"jose franchy roca ( entre joaquin costa y tomas miller)","05/03/2014","9/13",""
"dolores de la rocha  5","01/03/2014","8-12",""
"san diego de alcala  13","05/03/2014","10-14",""
"san cristobal de la laguna ( entre oviedo y hoya del rosario)","10/03/2014","24","14/03/2014"
"santiago de compostela san cristobal de la laguna","12/03/2014","24","14/03/2014"
"ROSARITO  28","14/03/2014","9-13",""
"san diego de alcala  13","14/03/2014","9-13",""
"poeta agustin millares sall","15/03/2014","8/20","15/03/2014"
"san diego de alcala 13","19/03/2014","8,30 a 12,30","19/03/2014"
"lujan perez 67","22/03/2014","8/12","22/03/2014"
"alcalde francisco hernandez gonzalez entre juan e doreste y doctor chil)","20/03/2014","16:30/19:00",""
"aguadulce  59-61","27/03/2014","14-18",""
"dolores de la rocha entre juan e. direstes y domingo dorestes+","24/03/2014","24",""
"faro ( entre tinguaro y gamonal)86","26/03/2014","15/19","26/03/2014"
"don pedro infinito miesericordia","01/04/2014","8/20","03/04/2014"
"victor hugo nº 2","27/03/2014","",""
"camino los perez 31-b","31/03/2014","8-12",""
"san agustin nº 5-7","03/04/2014","",""
"velarde entre republica dominicana y avda jose mesa y lopez 26","08/04/2014","10-12","09/04/2014"
"secretario padilla entre gravina y el cid 43","10/04/2014","8-20","11/04/2014"
"juan manuel duran glez entre viriato y olof palme","10/04/2014","24",""
"luis benitez inglot (antes del paso peatones del colegio Gran Canaria)","","",""
"joaquin blume (antes del paso de peatones situado en el nº 4)","14/04/2014","",""
"palmital rntre faya y juan de garay  5-7","21/04/2014","9-13","22/04/2014"
"fama 23","22/04/2014","9-13",""
"bernardo de la torre 64 esquina jose franchy roca 40","26/04/2014","8 a 12","26/04/2014"
"juan manuel duran gonzalez 8 con pte alvear 23","26/04/2014","8 a 12","26/04/2014"
"lujan perez entre tufia y saucillo","26/04/2014","8 a 12","26/04/2014"
"carretera de san lorenzo desde la rotonda con la GC 23 ( gasoliner BP) hasta carretera tamaraceite","10/05/2014","24 horas","11/05/2014"
"fernando guanarteme entre bernardo de la torre y  diderot","26/04/2014","8 a 12","26/04/2014"
"doctor juan de padilla 40","02/05/2014","10,30-14,30",""
"victor hugo nº 20","12/05/2014","8-12",""
"llucas fernandez navarro entre presidente alvear y general vives","05/05/2014","12-16","05/05/2014"
"sagasta entre salvador cuyas y gomera","08/05/2014","8-12",""
"fama nº 23","09/05/2014","",""
"LOS MARTINEZ DE ESCOBAR ENTRE LEON Y CASTILLO Y GENERAL VIVES 1","13/05/2014","8-12","13/05/2014"
"palma de mallorca","18/05/2014","19-6,00","19/05/2014"
"el audaz con cadiz nº 25","19/05/2014","8-20",""
"parrroco francisco rguez rguez con vergara nº 78","22/05/2014","8-20",""
"san marcial con herreria 6","20/05/2014","8-12",""
"lujan perez  67","24/05/2014","8-12","24/05/2014"
"el audaz a la altura de la calle cadiz 25","19/05/2014","8-20","20/05/2014"
"parroco  francisco  rodriguez rodriguez  altura  vergara  78","22/05/2014","8-20","23/05/2014"
"mallorca menorca e ibiza","25/05/2014","19 a 06 horas","26/05/2014"
"carretera general del norte desde virgen de fatima hasta santa luisa marillac","20/05/2014","21 a 6 hotas",""
"virgen del pilar trasera 34 al 38","05/06/2014","9-13",""
"el audaz 25","19/05/2014","8-20","20/05/2014"
"nuñez de balboa entre maruicha y sor simona","23/05/2014","8-20","24/05/2014"
"voctor hugo  entre menendez y pelayo valencia","23/05/2014","8-20","24/05/2014"
"parroco francisco rodriguez rodriguez 20","22/05/2014","8-20","23/05/2014"
"manuel  gozanlez  martin entre  valencia y pio xii 38","22/05/2014","8-20","23/05/2014"
"fondos del segura (entre las borreras y lomo san lazaro)","22/05/2014","",""
"victor hugo entre luis antunez y alemania  20","23/05/2014","9-13",""
"dr chil entre alcalde fco gonzalez y reyes catolicos","22/05/2014","",""
"juan e. dorestes dolores de la rocha alcalde fco gonzalez","26/05/2014","",""
"juan e. dorestes tramo alcalde fco gonzalez alcalde diaz saavedra","27/05/2014","",""
"pedro de vera entre murga y cebrian 30","26/05/2014","9-13","26/05/2014"
"luis correa medina s/n","25/05/2014","19 a 6","26/05/2014"
"aconcagua","26/05/2014","19 a 06","27/05/2014"
"batalla de brunete entre isaac newton y mallorca","27/05/2014","19 a 06","28/05/2014"
"diego miguel 11","28/05/2014","9 a 13",""
"el mondalon 24","28/05/2014","","29/05/2014"
"colmenares, entre pedro de vera y perojo","26/05/2014","8 a 20","27/05/2014"
"aguadulce  59-61","26/05/2014","",""
"alamo  10","05/06/2014","10-14",""
"carretera general del nortevirgen de taima hasta santa luisa de marllac","26/05/2014","21-6,00","27/05/2014"
"almirante benitez inglott entre obispo romo y avda escaleritas","27/05/2014","20,00-6,00",""
"albert einstein  28","07/06/2014","7,30-16,00",""
"ingeniero salinas 64 entre valencia y PIOXII","02/06/2014","8-12",""
"av de cesar manrique subida entre ctra tamaraceite y tiberiades","02/06/2014","20,00- 06,00",""
"leopoldo matos  20","10/06/2014","8-12","11/06/2014"
"termino municipal de las palmas","04/06/2014","no consta","03/06/2015"
"paseo de san antonio entre mariucha y carretera gral del norte","","17 a 06",""
"cirilo moreno entre leon y castillo y presidente alvear","07/06/2014","12-16",""
"leon y castillo entre presidente alvear y cirilo moreno","07/06/2014","8-12",""
"angel guimera  13","07/06/2014","9-13","07/06/2014"
"pio XII tramo entre ingeniero salinas e italia","10/06/2014","9-12",""
"nuñez de la peña 7","11/06/2014","8 a 12",""
"luis morote 30","12/06/2014","8 a 12","12/06/2014"
"secretario padilla entre el cid y gravina","09/06/2014","8 a 20","30/06/2014"
"domingo doreste entre alcalde fco. Glez y alcade diaz saavedra","10/06/2014","15-19",""
"pedro infinito entre rotonda electra y  zaragoza","10/06/2014","",""
"nicolas estevanez entre parque sta catalina, simon bolivar  y salida autovia","14/06/2014","8 a 18","14/06/2014"
"simon bolivar entre nicolas estevanez y emilio castelar","12/06/2014","24 horas",""
"la tornera las magnolias y p. bartolome bermudez","15/06/2014","19-6,00",""
"bravo murillo entre 23y primero de mayo","16/06/2014","19,00-6,00","17/06/2014"
"ingeniero perez galdos ambos sentidos alternativamente","16/06/2014","19,00-6,00","17/06/2014"
"domigo guerra del rio entre carretera de mata y saturno","17/06/2014","19,00-6,00","18/06/2014"
"sierra nevada","18/06/2014","19,00-6,00",""
"lazaro de ortega pr alc lug san lorenzo y fondo de saco","17/06/2014","8-22,00",""
"nicolas estevanez entre parque santa catalina simon bolivar salida","17/06/2014","24",""
"domingo j. navarro nº 24","19/06/2014","",""
"simon cananeo (entre judas tadeo y nº 80)","19/06/2014","8-22",""
"real de san juan","29/06/2014","19-06",""
"alfredo l. jones","","",""
"tecen entre artemi semidan y gordillo 33","26/06/2014","9 a 13",""
"SECRETARIO PADILLA ENTRE CHURRUCA Y GRAVINA","20/06/2014","24 HORAS","25/06/2014"
"nilo nº 21-23","01/07/2014","",""
"gongora","27/06/2014","7-11",""
"pintor pepe damaso entra pintor jorge oramas y lucy cabrera","27/06/2014","24",""
"genaral bravo entre maninidra y malteses","30/06/2014","24",""
"guaydil entre lomo la pviuda y jocama","30/06/2014","8-22",""
"viñatico entre lomo la viuda y fondo de saco","01/07/2014","8-22",""
"FUENTE Y SAN DIEGO DE ALCALA","02/07/2014","19-6,00",""
"AVDA ALCALDE RAMIREZ BETHENCOURT ENTRE AVDA JUANxxiii 6","02/07/2014","19-6,00",""
"saucillo entre  lujan perez ines chemida","03/07/2014","8-12",""
"mahon entre juan rejon y calle rosario","02/07/2014","",""
"pepe damaso entre pintor jorge oramas y lucy cabrera estacion de guaguas","01/07/2014","24",""
"jose franchy roca entre joaquin costa y tomas miller  28","04/07/2014","9-13",""
"carretera del cardon 12 y manuel lois","14/07/2014","8-22,00",""
"real d3 san juan","07/07/2014","7-19","09/07/2014"
"bravo murillo entre  23 y 1º de mayo","10/07/2014","19-6,00","11/07/2014"
"ingeniero perez galdos ambos sentidos alternativamente","10/07/2014","19-6,00","11/07/2014"
"pedro hidalgo y sargento salom","10/07/2014","19 a 06",""
"avda alcalde ramirez bethencourt entre juan XIII y nº 5","10/07/2014","19,00-6,00",""
"secretario padilla entre olof palme y pavia","13/07/2014","20-6,00",""
"fuente y san diego de alcala","13/07/2014","19-6,00",""
"nicolas estevanez entre joaquin costa y tomas miller","17/07/2014","8-20",""
"pelayo entre fdo. Guanarteme y secretario padilla","16/07/2014","24",""
"daoiz entre secretario padilla y panama","14/07/2014","24",""
"fernando guanarteme entre bernardo de la torre y galileo","16/07/2014","7,30-9,30","16/07/2014"
"ibiza entre batalla de brunete  ctra tarahales","21/07/2014","24",""
"fernando galvan","01/09/2014","13,30-13,45",""
"Agustina de Aragon nº14","30/07/2014","9-13",""
"","28/07/2014","",""
"nicolas estevanez","30/07/2014","",""
"NUÑEZ DE LA PEÑA ENTRE PLAZOLETA HILARIO Y CANALEJAS 7","29/07/2014","8-12",""
"la pelota, 11","01/08/2014","16-20",""
"el maestro  5","01/08/2014","8-12",""
"iganacio perez galdos y bravo murillo entre el nº 23 de 1º de mayo","03/08/2014","19,00-6,00",""
"ingeniero perez galdos bravo murillo entre el n1 23 y 1º de mayo","05/08/2014","19,00-6,00",""
"colmenares entre alonso alvarado y leon y castillo","06/08/2014","19,00-6,00",""
"secretario padilla entre espartero y pazarro","31/07/2014","8-20",""
"1º luis suarez suarez 47 2º luis suarez suarez 50-al 56","01/08/2014","16-20",""
"olof palme entre portugal y secretario padilla nº 4","05/08/2014","",""
"alfonso XIII plaza de la constitucion","11/08/2014","8-20",""
"angel guimera entre carvajal y pamochamoso 53","13/08/2014","15-19",""
"el carpintero 21 al 27","18/08/2014","8-12",""
"juan  de quesada 9","14/08/2014","10-14","14/08/2014"
"pascal entre fdo guanarteme y padre raymond y galileo entre fdo guanarteme y tomas a. edison","14/08/2014","24",""
"luis millares  7","18/08/2014","9-13","18/08/2014"
"perez muñoz entre poeta agustin millares sall y juan rejon","18/08/2014","24",""
"eduardo benot entre gran canaria y rafael benton travieso","24/08/2014","24","24/08/2014"
"juan de padilla entre san bernardo y maninidra 7","22/08/2014","",""
"victor hugo 60 entre concepcion arenal gral mas de gaminde","26/08/2014","8-20",""
"venezuela  34 entre el cid y pelayo","26/08/2014","8-20",""
"acceso salida plaza benalmadena","26/08/2014"," 22-6,00",""
"viera y clavijo entre buenos aires y perdomo","31/08/2014","7-22",""
"secretario artiles entre lucas fernandez navarro y cirilo moreno 16","22/08/2014","10-14",""
"diderot 13-15","25/08/2014","8-20","26/08/2014"
"perez muñoz esqn la naval 92-94","07/09/2014","8-20",""
"doña perfecta 200","25/08/2014","10-14","25/08/2014"
"los martinez de escobar entredoctor grau bassas  y dos mayo 46- 48 53-5","25/08/2014","9-13","26/08/2014"
"paeo de los martires  43","28/08/2014","9-13",""
"Viriato 56","09/09/2014","8 a 20",""
"carretera san lorenzo tramo ctra gral tamaraceite rotonda circunvalacion","28/08/2014","n/c","31/12/2014"
"Rosarito ( entre Mahón y Perez Muñoz )","03/09/2014","24 horas",""
"La Pelota","02/09/2014","07 a 19",""
"Doctor Chil 8","05/09/2014","9 a 13",""
"Domingo Guerra Del Rio","10/09/2014","09 a 13",""
"nuñez de la peña 7","16/09/2014","8 a 10,30 y 12 a 13,30",""
"guadiana 3","16/09/2014"," 8 a 20","17/09/2014"
"saucillo, 39 entre lujan perez e ines chemida","18/09/2014","",""
"princesa guayarmina 54","18/09/2014"," 10 a 14","18/09/2014"
"alemania 45","18/09/2014","",""
"albert einstein 28 - 30","27/09/2014","07,30 a 16,00","27/09/2014"
"fernando guanarteme entre bernardo de la torre y leon tolstoi","28/09/2014","nocturno","30/09/2014"
"mahon( entre rosarito y agustin millares sall)","24/09/2014","","30/09/2014"
"colon nº 4","02/10/2014","8/12",""
"juan ramon jimenez 45","04/10/2014","","03/11/2014"
"albareda entre alfredo l jones y luis morote","06/10/2014","24","04/11/2014"
"paseo de las canteras entre pizarro y california","03/10/2014","8 a 19",""
"daoiz entre bolivia y secretario padilla","13/10/2014","7-18","13/10/2014"
"domingo j. navarro 27-30","16/10/2014","8-12","16/10/2014"
"mimosa entre camelia y gardenia 44","17/10/2014","9-13",""
"doctor julio barry entre juan carlos I y virgen del pilar","23/10/2014","8,30-12,30","24/10/2014"
"real del castilloº 82","22/10/2014","",""
"dr juan dominguez perez","23/10/2014","21-5,00",""
"canalejas  14","23/10/2014","9-13","23/10/2014"
"glorieta cruz del ovejero","22/10/2014","21,30-6,30","24/10/2014"
"carretera tamaraceite","21/10/2014","22-6,00",""
"blasco ibañez  28","22/10/2014","14,30-18,30",""
"CAYETANA MANRIQUE ENTRE SIMANCAS Y CASTILLEJOS 44","29/10/2014","8-20","30/10/2014"
"PASEO DE LOS MARTIRES 118","29/10/2014","8-20","30/10/2014"
"peru entre secretario padilla y paso de las canteras","23/10/2014","9-13",""
"leon y  castillo  entre murga y cebrian 24","26/10/2014","8-12","26/10/2014"
"pablo penaguilas entre voluntad y zaragoza 62","29/10/2014","8-20","30/10/2014"
"el cid 25 con fernando guanarteme","27/10/2014","8-20","27/10/2014"
"AVDA JUAN CARLOS I,DR. ALFONSOCHISCANO DIAZ Y VIRGEN DEL PILAR","","",""
"poeta pino betancort","27/10/2014","8-19","28/10/2014"
"poeta jose maria millartes sal 2 poeta pino betancrt","27/10/2014","8-19",""
"antonio de la nuez caballero","28/10/2014","8-19",""
"san marcial con herrreria","30/10/2014","9 a 13",""
"poetisa josefina de la torre","29/10/2014","8 a 19","31/10/2014"
"pintora jane millares sall","29/10/2014","8 a 19","31/10/2014"
"luis morote ( edif elder )","01/11/2014","","01/11/2014"
"doctor jose guerra navarro","01/11/2014","","01/11/2014"
"saucillo entre lujan perez e ines chemida","30/10/2014","9 a 13","30/10/2014"
"la pelota nº11","29/10/2014","16:00-20:00",""
"bernardo de la torre entre los martinez de escobar y guanarteme","03/11/2014","24","01/05/2015"
"los martinez de scobar estre guanarteme y bernardo de la torre","03/11/2014","24","01/05/2015"
"varias ( ciudad del campo )","03/11/2014","9 a 18","07/11/2014"
"varias ( ciudad del campo )","03/11/2014","8 a 18","05/11/2014"
"isidro gomez","03/11/2014","8 a 18","05/11/2014"
"graciliano afonso 13","04/11/2014","8 a 12",""
"padre cueto entre eduardo benot y 29 de abril","05/11/2014","21-6,00",""
"alfredo l. jones entre eduardo benot albareda","04/11/2014","21-6,00",""
"debussy","10/11/2014","09,30 a 13","11/11/2014"
"angel guimera entre galo ponte y paseo de lugo","09/11/2014","19-6,00",""
"angel guimera entre galo ponte y paseo de lugo","09/11/2014","19-6,00",""
"doctor garcia castrillo entre jovellano y velazquez w. ruben dario","09/11/2014","19-6,00",""
"doctor garcia castrillo entre jovellanos y velazquez","09/11/2014","19-6,00",""
"quintana entre antonio zerolo y jovellano campoamor","10/11/2014","19-6,00",""
"alejandro hidalgo entre leon y castillo y emilio ley gago couthino","10/11/2014","19-6,00",""
"albareda entre tenerife u luis morotre","09/11/2014","23-5.00",""
"29 de abril entre padre cueto juan manuel duran gonzalez","10/11/2014","21-6,00",""
"luis maffiote 2","10/11/2014","8-20","11/11/2014"
"cirilo moreno entre leon y castillo y presidente alvear","11/11/2014","",""
"suarez naranjo entre  paseo de lugo jeronimo falcon","11/11/2014","19-6",""
"suarez naranjo   paseo cayatano de lugo y jeronimo falcon","11/11/2014","19-6,00",""
"perez del toro entre paseo madrid y tomas morales  emilio ley luan XXIII paseo","12/11/2014","23-6,00",""
"PASEO DE CHIL ENTRE 220 Y184 FUNCHAL VELAZQUEZ GARCIA MORATO","12/11/2014","23-6,00",""
"fdo. Guanarteme y tomas miller, 29 de abril","12/11/2014","19-06",""
"","13/11/2014","23-06",""
"","13/11/2014","19-06",""
"doctor waksman entre plaza de la constitucion canalejas y varias n mas","25/11/2014","23-6",""
"plaza de la feria leon y castillo canalejas","18/11/2014","19-6",""
"ingeniero bosch y sintes entre paso de tomas morales y paseo de chil","20/11/2014","19-6,00",""
"canalejas entre obispo rabadan bravo murillo  colmenares","17/11/2014","19-6,00",""
"jose franchy roca entre joaquin costa  y tomas miller 28","14/11/2014","9-13",""
"cruz del ovejero ( glorieta )","18/11/2014","21,30 a 06,30","20/11/2014"
"pio xii entre alejandro  hidalgo y maestro valle. Mirar observaciones","16/11/2014","23/06","20/11/2014"
"nestor de la torre entre concepcion arenal  y mas de gaminde","18/11/2014","23-6,00",""
"galicia entre mesa y lopez nestor de latorre","19/11/2014","23-6,00",""
"marie courie  5-9","26/11/2014","8-20","27/11/2014"
"presidente alvear con juan manuel duran","18/11/2014","21 a 6",""
"san diego de alcala 13","21/11/2014","9-13",""
"avda escaleritas subida","01/12/2014","21 - 06",""
"LEON Y CASTILLO ENTRE 287 AVDA JUAN xxIII","24/11/2014","22-6,00",""
"MENENDEZ Y PELAYO ENTRE BARCELONA I PIO XII","24/11/2014","22,00-6,00","26/11/2014"
"ALEMANIA ENTRE LEOPDO MATOS MANUEL GOZALEZ MARTIN","25/11/2014","19-6,00","26/11/2014"
"ALEMANIA ENTRE BARCELONA Y MENEDEZ Y PELAYO","25/11/2014","19,00-6,00","26/11/2014"
"avda de escaleritas subida entre la rorotonda de bus 059 rotonda fdo gimenez","25/11/2014","21-6,00",""
"VIAL DE  SALIDA DE TAMARACEITE GC-300 VIAL","21/11/2014","21,30-6,30","23/11/2014"
"pablo penguilas 62","27/11/2014","8-20","28/11/2014"
"leopoldo matos ( entre pio xii y leon y castillo) luis antunez, alemania, valencia","26/11/2014","19:00/06:00",""
"avda juan XXIII","27/11/2014","22-5",""
"anzofe 62","26/11/2014","8-20",""
"avda 1º de mayo entre bravo murillo y san nicolas","07/12/2014","23-06",""
"juan xxiii entre alcalde ramirez bethencout y luis doreste silva","26/11/2014","22:00/05:00","27/11/2014"
"rafael cabrera entre muelle las palmas y pilarillo seco","01/12/2014","",""
"avda de escaleritas subida rotonda fernanado gimenez 176","01/12/2014","21-6",""
"avda escaleritas bajada entre la rotonda dernando gimenez y el i.e. s. alonso quesada","01/12/2014","21-6,00",""
"avda de escaleritas bajada entre acceso 5 continentes y rotonda fernando gimenez","01/12/2014","21-*6,00",""
"cerezo  a la altura roux","28/11/2014","8-20","29/11/2014"
"el audaz entre doctor centeno cadiz","01/12/2014","8-20",""
"el cotillo  3","01/12/2014","8-20",""
"eduardo benot frente al hotel ac entre diego de orgaz padre cueto","01/12/2014","21-6,00",""
"gran canaria entre albareda y autovia","30/11/2014","21-6","30/11/2014"
"secretario padilla entre espartero y pizarro 1","02/12/2014","",""
"eduardo benot entre gran canaria y tenerife","02/12/2014","21-6",""
"eduardo benot entre luis morote y tenerife","30/11/2014","21-6",""
"carretera del rincon zona rotonda antigua","03/12/2014","21-6,00",""
"obispo rabadan entre venegas y senador castillo olivares","09/12/2014","19-6",""
"bravo murillo entre muelle las palmas triana leon y castillo","14/12/2014","23-6",""
"1º arauz, 2º faicanes, palmar, tamadaba, fataga","06/12/2014","8-18",""
"1º artemi semidan y 2º osorio, isaac peral","05/12/2014","8-18",""
"santa luisa de marillac entre calzada lateral del norte y agustina de aragon","08/12/2014","19-6,00",""
"gc-1 calle luis morote zona ed. Elder","04/12/2014","11-18",""
"acceso gc-1 luis morote zona ed elder","05/12/2014","11,30-13,30",""
"gran canaria (entre albareda y autovia)","08/12/2014","","08/12/2014"
"via paralela paseo de tomas morales zana biblioteca ebtre dr wakman galo ponte","11/12/2014","9-13","11/12/2014"
"victor hugo nº 34","11/12/2014","",""
"la pelota nº 11","11/12/2014","",""
"anzofe entre benecharo artemi semidan 63","10/12/2014","",""
"portugal entre galileo y viriato","11/12/2014","8/18","11/12/2014"
"osorio y alrededores","16/12/2014","8-18",""
"gran canaria entre alvareda y autovia","10/12/2014","",""
"alemania entre lepoldo matos  manuel gonzalez martin","15/12/2014","19-6,00",""
"alemania entre barcelona y menendez y pelayo","15/12/2014","19-6,00",""
"leopoldo matos entre pio XII y leon y castillo","15/12/2014","19-6,00","19/12/2014"
"carretera del centro rotonda acceso san juan 48","11/12/2014","19-6,00",""
"carretera del centro entre ramon y cajal nº 40","11/12/2014","19-6,00",""
"benecharo entre menceyes y guayedra 2º osorio faicanes tamaran","19/12/2014","8-18",""
"escultor tony gallardo ( entre gutierrez medallo y pintor pepe damaso )","15/12/2014","8/20","15/12/2014"
"paseo de san jose entre sor jesus y eufemiano jurado","15/12/2014","19-6,00","17/12/2014"
"malaga entre cordoba y tarragona","21/12/2014","19-06",""
"malaga entre el 17 y c/ leon","21/12/2014","19-06",""
"tarragona entre malaga y alicante","14/12/2014","19-06",""
"betel entre jamat y golgota y cafarnaun, natan","20/12/2014","8-18",""
"siloe entre jamat y golgota cafernaum natan","22/12/2014","8-18","23/12/2014"
"madian entre natan y palestina cafrnaun","23/12/2014","8-18",""
"cafarnaun entre betania y palestina  betel siloe madian","29/12/2014","8-18",""
"jerusalen entre jamay y golgta cafarnaun","30/12/2014","8-18","07/01/2015"
"doctor rafael gonzalez entre malteses y torres","22/12/2014","8-12",""
"misiones nº 12","26/12/2014","",""
"domingo guerra del rio 127","07/01/2015","",""
"AMAZONAS ENTRE IGUAZU Y ROTONDA","09/01/2015","8-18",""
"IGUAZU ENTRE AMAZONAS ACONCAGUA","09/01/2015","8-18",""
"ACONCAGUA ENTRE IGUAZU Y CARONI","10/01/2015","8-18",""
"CARONI ENTRE AMAZONAS Y ACONCAGUA","12/01/2015","8-18",""
"siloe con golgata","07/01/2015","",""
"valencia 4","09/01/2015","",""
"parroco bartolome hernandez esquina las magnolias","30/01/2015","","30/01/2015"
"san diego de alcala 13","14/01/2015","11 a 15",""
"la pelota, 11","12/01/2015","8-12",""
"orinoco","15/01/2015","8/18",""
"jose franchy roca entre joaquin costa y tomas miller 28","19/01/2015","8 a 18",""
"lopez botas entre san marcos y reyes catolicos","19/01/2015","8,30 a 12,30",""
"doctor juan de padilla 7","22/01/2015","12-16","22/01/2015"
"saucillo entre lujan perez e ines chemida 39","21/01/2015","","26/01/2015"
"el cotillo  3","26/01/2015","10-14",""
"eufemiano jurado rotonda de alcacer","26/01/2015","8-18","27/01/2015"
"nuñez de la peña 7","30/01/2015","8/10:30 y 12/13:30",""
"jose franchy roca  entre joaquin costa y tomas miller","06/02/2015","",""
"tisiano 54","07/02/2015","8:30/14:30","07/02/2015"
"jose frsnchy  roca  42","10/02/2015","9-13","11/02/2015"
"varias calles","11/02/2015","variado",""
"victor hugo 34","10/02/2015","",""
"hortensia altura de nardo 8","","9/13",""
"nispero a la altura de nardo 8","18/02/2015","14:30a08:30","20/02/2015"
"dolores de la rocha 5","14/02/2015","8/12",""
"alonso quintero  entre plaza isabel y avda, alcaldee diaz saavedra navaro","16/02/2015","8/20",""
"rafael mesa y lopez ( entre salvador monsauld y maruihucha )","23/02/2015","24",""
"acero entre bentaguayre y nadargoma","25/02/2015","24",""
"el cid entre secretario padilla y colombia","05/03/2015","9,30-13,30",""
"perez muñoz entre salvago y tinguaro","11/03/2015","8-18",""
"los martinez de escobar entre tomas miller y fernando guanarteme","10/03/2015","",""
"secretario padilla entre espartero y pizarro","12/03/2015","24",""
"los martines de escobar, 46-48","16/03/2015","",""
"alcorac ( entre majadillas y tirma)","17/03/2015","9/13","17/03/2015"
"pedro hidalgo  17","17/03/2015","9-13",""
"tony gallardo entre pintor pepe damaso y gutierrez mellado","19/03/2015","8-18",""
"rio pisuerga","25/03/2015","",""
"anzofe 67","26/03/2015","9 a 14","26/03/2015"
"mayorazgo","26/03/2015","24","24/05/2015"
"perez del toro entre juan XXIII y perez del toro 89","28/03/2015","8-12",""
"pizarro entre secretario padilla y bolivia","25/03/2015","18-8,00","26/03/2015"
"murga entre tomas morales y senador castillo olivares 57","30/03/2015","9-13","30/03/2015"
"santa barbara  3","31/03/2015","9-13",""
"dolores de la rocha a la altura juan e. dorestes  1","30/03/2015","8-12",""
"doña perfecta 44 con zaragoza","06/04/2015","8-20","07/04/2015"
"pajonales entre egido y alonso de ojeda","07/04/2015","9 --12",""
"suarez naranjo entre castrillo y paseo cayetano de lugo","07/04/2015","",""
"real  del castillo san nicolas domingo guerra del rio","07/04/2015","24",""
"varias calles de la ciudad","08/04/2015","8-18",""
"bernardo de la torre entre fdo guanarteme y tomas a. edison","09/04/2015","24","10/04/2015"
"lopez botas entre luis millares y doctor vernau","11/04/2015","8-12",""
"gordillo entre  plaza la luz y juan rejon","11/04/2015","8-12","12/04/2015"
"varias calles","13/04/2015","8-18",""
"general vives entre nicolas estevanez y ripoche 78","11/04/2015","8-12",""
"pascal entre martinez de escobar y fernando guanarteme","17/04/2015","9 - 13",""
"avda amurga sentido subida","15/04/2015","8 a 20","15/05/2015"
"gordillo entre plaza la luz y juan rejon","18/04/2015","",""
"plaza de la feria  40","23/04/2015","10-14",""
"fernando guanarteme ( entre tomas miller y diderot)","23/04/2015","22/06","24/04/2015"
"lopez botas entre luis millares y reyes catolicos","25/04/2015","8-18","25/04/2015"
"galicia 13 con barcelona 45","26/04/2015","8-18","26/04/2015"
"cirilo moreno  1","27/04/2015","16-20",""
"pedro de vera, 25","23/04/2015","",""
"blazco ibañez 8","27/04/2015","10/14","27/04/2015"
"tomas de iriarte ( entre ovbispo rabadan y nuñez de la peña)","28/04/2015","8:30/12:30","29/04/2015"
"teodoro 38","29/04/2015","8/12","29/04/2015"
"antigua carretera del centro, a la altura de la finca de dominguito","04/05/2015","9,30-10,00",""
"cardenas 56","04/05/2015","8-20",""
"clemente jordan  3","06/05/2015","8.30-12,30",""
"marques de muni 1","07/05/2015","8-18,30",""
"agudulce entre paseo de tomas morales y angel guimera 63","15/05/2015","8-12","15/05/2015"
"tomas miller altura de jose franchy roca","11/05/2015","23 a 3","11/05/2015"
"san marcial herreria","11/05/2015","8-18",""
"pajonales entre egido y alonso ojeda","14/05/2015","",""
"domingo guerra del rio 135","14/05/2015","9/13",""
"varias calles zonas peatonales","14/05/2015","n/c",""
