Fecha de la Visita,Distrito,Barrio,Dirección,Origen Petición,Área Actuación,Servicios Aplicados,Vectores Tratados
18/03/2014,ESTE,PEDREGALEJO PLAYA,CL NIÑA DE LA PUEBLA Nr: 1,Linea 900,Vía Pública,Desratización,Ratas
18/03/2014,TEATINOS-UNIVERSIDAD,HACIENDA ROLDAN,CL PEDRO ORTIZ Nr: 1,ALTA DE OFICIO,Vía Pública,Desratización,Ratas
18/03/2014,CENTRO,MARMOLES,PJE MARMOLES Nr: 1,Linea 900,Vía Pública,Desinsectación,Cucarachas
18/03/2014,CHURRIANA,CHURRIANA,CL PIEDRA BLANQUILLA Nr: 4,Linea 900,Vía Pública,Desratización,Ratas
18/03/2014,BAILEN-MIRAFLORES,LOS MILLONES,GPO MILLONES LOS Nr: 1,Linea 900,Vía Pública,Desinsectación;Desratización,Cucarachas;Ratas
18/03/2014,CIUDAD JARDIN,HERRERA ORIA,CL VIRGEN DE LA SIERRA Nr: 1,Actuación Programada,Vía Pública,Desratización,Ratas
18/03/2014,CIUDAD JARDIN,SAGRADA FAMILIA,CL MONTE CORTO Nr: 1,Actuación Programada,Vía Pública,Desratización,Ratas
18/03/2014,CIUDAD JARDIN,DSMO DM CIUDAD JARDIN,Nr: 1,Actuación Programada,Vía Pública,Desratización,Ratas
18/03/2014,CRUZ DE HUMILLADERO,CEMENTERIO SAN RAFAEL,CMNO SAN RAFAEL Nr: 90,Actuación Programada,Servicios Operativos,Desratización,Ratones;Ratas
18/03/2014,CENTRO,ENSANCHE CENTRO,PSO CURAS DE LOS Nr: 1,Actuación Programada,Vía Pública,Desratización,Ratas
18/03/2014,CENTRO,PERCHEL SUR,AV ANDALUCIA Nr: 1,Actuación Programada,Vía Pública,Desratización,Ratas
18/03/2014,CENTRO,CRISTO DE LA EPIDEMIA,CL CRISTO DE LA EPIDEMIA Nr: 1,Actuación Programada,Vía Pública,Desratización,Ratas
18/03/2014,CENTRO,ENSANCHE CENTRO,CL CORDOBA Nr: 1,Actuación Programada,Vía Pública,Desratización,Ratas
18/03/2014,CENTRO,PUERTO,PSO CURAS DE LOS Nr: 2,Actuación Programada,Vía Pública,Desratización,Ratas
18/03/2014,CENTRO,SEMINARIO,DSMO CAPILLA DEL CALVARIO Nr: 1,Actuación Programada,Vía Pública,Desratización,Ratas
18/03/2014,ESTE,ECHEVERRIA DEL PALO,AV PIO BAROJA Nr: 1,Actuación Programada,Vía Pública,Desratización,Ratas
18/03/2014,ESTE,LAS ACACIAS,PSO ACACIAS Nr: 1,Actuación Programada,Vía Pública,Desratización,Ratas
18/03/2014,CAMPANILLAS,EL TARAJAL,CL GENERACION Nr: 31,Actuación Programada,Colégio Público,Desratización,Ratones;Ratas
18/03/2014,CENTRO,LA MALAGUETA,PSO MARITIMO PABLO RUIZ PICASSO Nr: 1,Actuación Programada,Vía Pública,Desratización,Ratas
18/03/2014,BAILEN-MIRAFLORES,CARLINDA,CL RONDA LEONARDO Nr: 1,Ciudadano,Vía Pública,Desratización,Ratas
