FID,residuo,recogida,volumen,cantidad,fecha,tooltip,geometry
da_industria.fid--295bdb9_15f5b982349_-1af9,INDUSTRIA,CARGA TRASERA,5000,1,2017-02-02T07:46:16.863,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (368385.2544008909 4063817.0754491854)
da_industria.fid--295bdb9_15f5b982349_-1af8,INDUSTRIA,CARGA TRASERA,5000,1,2017-02-02T07:50:26.577,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (368413.6899048259 4063813.7749982923)
da_industria.fid--295bdb9_15f5b982349_-1af7,INDUSTRIA,CARGA TRASERA,5000,1,2017-02-02T07:53:40.797,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (368271.54331280815 4063832.275982978)
da_industria.fid--295bdb9_15f5b982349_-1af6,INDUSTRIA,CARGA TRASERA,5000,1,2017-02-02T07:55:10.43,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (368223.84883205267 4063853.17180525)
da_industria.fid--295bdb9_15f5b982349_-1af5,INDUSTRIA,CARGA TRASERA,5000,1,2017-02-02T07:58:03.517,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (368234.30528269394 4064030.3767381324)
da_industria.fid--295bdb9_15f5b982349_-1af4,INDUSTRIA,CARGA TRASERA,5000,1,2017-02-02T08:06:39.253,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (368077.3981116252 4063899.4195543854)
da_industria.fid--295bdb9_15f5b982349_-1af3,INDUSTRIA,CARGA TRASERA,5000,1,2017-02-02T08:17:16.313,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (368025.79717901524 4063872.836116607)
da_industria.fid--295bdb9_15f5b982349_-1af2,INDUSTRIA,CARGA TRASERA,5000,1,2017-02-02T08:20:16.803,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (367900.16687486565 4063901.7061319854)
da_industria.fid--295bdb9_15f5b982349_-1af1,INDUSTRIA,CARGA TRASERA,5000,1,2017-02-02T08:20:53.437,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (367897.32559312496 4063903.927189983)
da_industria.fid--295bdb9_15f5b982349_-1af0,INDUSTRIA,CARGA TRASERA,5000,1,2017-02-15T11:47:44.783,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (366720.0227876934 4066979.8474058374)
da_industria.fid--295bdb9_15f5b982349_-1aef,INDUSTRIA,CARGA TRASERA,5000,1,2017-02-15T11:49:58.98,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (366772.55616412166 4066942.2377081034)
da_industria.fid--295bdb9_15f5b982349_-1aee,INDUSTRIA,CARGA TRASERA,5000,1,2017-02-15T11:53:29.74,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (366885.07412928116 4067143.578061273)
da_industria.fid--295bdb9_15f5b982349_-1aed,INDUSTRIA,CARGA TRASERA,5000,1,2017-02-15T11:59:07.78,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (366682.55642445874 4067486.305245625)
