ID;MARCA;MODELO;FABRICANTE;DESCRICION;NIVEL;FECHA_TOMA_DATO
1;Cesva;LRF-04;CESVA;Limitadores;94.6;05-MAR-11 05.00.48,030322 AM
1;Cesva;LRF-04;CESVA;Limitadores;92.4;06-MAR-11 12.01.21,438721 PM
1;Cesva;LRF-04;CESVA;Limitadores;80.9;06-MAR-11 12.01.21,446606 PM
1;Cesva;LRF-04;CESVA;Limitadores;94.6;06-MAR-11 12.01.21,565323 PM
1;Cesva;LRF-04;CESVA;Limitadores;95.1;06-MAR-11 12.01.21,570490 PM
1;Cesva;LRF-04;CESVA;Limitadores;94.1;06-MAR-11 12.01.21,576036 PM
1;Cesva;LRF-04;CESVA;Limitadores;76.6;07-MAR-11 05.00.41,476317 PM
1;Cesva;LRF-04;CESVA;Limitadores;69.4;07-MAR-11 05.00.41,542837 PM
1;Cesva;LRF-04;CESVA;Limitadores;98.4;07-MAR-11 05.00.41,691654 PM
1;Cesva;LRF-04;CESVA;Limitadores;98.7;07-MAR-11 05.00.41,730894 PM
1;Cesva;LRF-04;CESVA;Limitadores;97.8;07-MAR-11 05.00.41,736806 PM
1;Cesva;LRF-04;CESVA;Limitadores;96.8;07-MAR-11 05.00.41,747453 PM
1;Cesva;LRF-04;CESVA;Limitadores;79.5;08-MAR-11 05.01.18,397315 AM
1;Cesva;LRF-04;CESVA;Limitadores;61.8;08-MAR-11 05.01.18,413025 AM
1;Cesva;LRF-04;CESVA;Limitadores;51;08-MAR-11 05.01.18,422062 AM
1;Cesva;LRF-04;CESVA;Limitadores;50.9;08-MAR-11 05.01.18,427286 AM
1;Cesva;LRF-04;CESVA;Limitadores;50.2;08-MAR-11 05.01.18,574944 AM
1;Cesva;LRF-04;CESVA;Limitadores;73.8;08-MAR-11 05.01.18,580654 AM
1;Cesva;LRF-04;CESVA;Limitadores;80.4;08-MAR-11 05.01.18,587852 AM
1;Cesva;LRF-04;CESVA;Limitadores;80.8;08-MAR-11 05.01.18,595742 AM
1;Cesva;LRF-04;CESVA;Limitadores;82.1;09-MAR-11 05.01.10,276937 AM
1;Cesva;LRF-04;CESVA;Limitadores;50.9;09-MAR-11 05.01.10,336764 AM
1;Cesva;LRF-04;CESVA;Limitadores;51.1;09-MAR-11 05.01.10,343063 AM
1;Cesva;LRF-04;CESVA;Limitadores;51.2;09-MAR-11 05.01.10,350124 AM
1;Cesva;LRF-04;CESVA;Limitadores;81.4;09-MAR-11 05.01.10,485378 AM
1;Cesva;LRF-04;CESVA;Limitadores;83.7;09-MAR-11 05.01.10,490447 AM
1;Cesva;LRF-04;CESVA;Limitadores;80.1;09-MAR-11 05.01.10,495591 AM
1;Cesva;LRF-04;CESVA;Limitadores;82.6;10-MAR-11 05.00.53,075428 AM
1;Cesva;LRF-04;CESVA;Limitadores;51.1;10-MAR-11 05.00.53,108545 AM
1;Cesva;LRF-04;CESVA;Limitadores;50.8;10-MAR-11 05.00.53,114812 AM
1;Cesva;LRF-04;CESVA;Limitadores;50.5;10-MAR-11 05.00.53,125045 AM
1;Cesva;LRF-04;CESVA;Limitadores;79.4;10-MAR-11 05.00.53,277036 AM
1;Cesva;LRF-04;CESVA;Limitadores;80.3;10-MAR-11 05.00.53,282507 AM
1;Cesva;LRF-04;CESVA;Limitadores;79.5;10-MAR-11 05.00.53,287275 AM
1;Cesva;LRF-04;CESVA;Limitadores;85;11-MAR-11 05.00.41,714762 AM
1;Cesva;LRF-04;CESVA;Limitadores;63;11-MAR-11 05.00.41,793663 AM
1;Cesva;LRF-04;CESVA;Limitadores;51.3;11-MAR-11 05.00.41,806148 AM
1;Cesva;LRF-04;CESVA;Limitadores;51;11-MAR-11 05.00.41,813668 AM
1;Cesva;LRF-04;CESVA;Limitadores;74.7;11-MAR-11 05.00.41,939269 AM
1;Cesva;LRF-04;CESVA;Limitadores;87.7;11-MAR-11 05.00.41,948607 AM
1;Cesva;LRF-04;CESVA;Limitadores;88.1;11-MAR-11 05.00.41,954317 AM
1;Cesva;LRF-04;CESVA;Limitadores;84.8;12-MAR-11 12.01.37,857183 PM
1;Cesva;LRF-04;CESVA;Limitadores;51.1;12-MAR-11 12.01.37,902042 PM
