Fecha de la Visita,Distrito,Barrio,Dirección,Origen Petición,Área Actuación,Servicios Aplicados,Vectores Tratados
06/09/2017,CARRETERA DE CADIZ,POL IND GUADALJAIRE,CL JESUS ARAMBARRI Nr: 1,Actuación Programada,Vía Pública,Desratización,Ratas
06/09/2017,BAILEN-MIRAFLORES,LA CORTA,CL FAUNO Nr: 1,Actuación Programada,Vía Pública,Desratización,Ratas
06/09/2017,PALMA-PALMILLA,,Nr: 1,Actuación Programada,Vía Pública,Desratización,Ratas
06/09/2017,PALMA-PALMILLA,LAS VIRREINAS,CL JOAQUIN GAZTAMBIDE Nr: 1,Actuación Programada,Vía Pública,Desinsectación,Mosquitos
06/09/2017,BAILEN-MIRAFLORES,PAVERO,CL GENOVESES Nr: 1,Actuación Programada,Vía Pública,Desratización,Ratas
06/09/2017,CENTRO,CENTRO HISTORICO,PL ENRIQUE GARCIA-HERRERA Nr: 1,Actuación Programada,Vía Pública,Desinsectación,Mosquitos
06/09/2017,CARRETERA DE CADIZ,NUEVO SAN ANDRES 2,CL LUIS GARCIA BERLANGA Nr: 1,GECOR,Vía Pública,Desratización,Ratas
06/09/2017,BAILEN-MIRAFLORES,PARQUE ARROYO DEL CUARTO,CL JUANITA REINA Nr: 1,Actuación Programada,PARQUE CANINO,Desinsectación,Indeterminado
06/09/2017,CARRETERA DE CADIZ,EL BULTO,PSO ANTONIO MACHADO Nr: 1,Actuación Programada,PARQUE CANINO,Desinsectación,Indeterminado
06/09/2017,CENTRO,OLLETAS,CL ZURBARAN Nr: 32,Actuación Programada,PARQUE CANINO,Desinsectación,Indeterminado
06/09/2017,ESTE,EL MORLACO,CMNO DESVIACION DE LA Nr: 16,Actuación Programada,PARQUE CANINO,Desinsectación,Indeterminado
06/09/2017,TEATINOS-UNIVERSIDAD,EL ROMERAL,CL CARMEN LAFORET Nr: 6,Actuación Programada,PARQUE CANINO,Desinsectación,Indeterminado
06/09/2017,BAILEN-MIRAFLORES,MIRAFLORES DE LOS ANGELES,CL MERO Nr: 1,Actuación Programada,PARQUE CANINO,Desinsectación,Indeterminado
06/09/2017,CARRETERA DE CADIZ,PARQUE MEDITERRANEO,CL REALENGA DE SAN LUIS Nr: 11,Actuación Programada,PARQUE CANINO,Desinsectación,Indeterminado
06/09/2017,CRUZ DE HUMILLADERO,LA BARRIGUILLA,PL JOSE BERGAMIN Nr: 7,Actuación Programada,PARQUE CANINO,Desinsectación,Indeterminado
06/09/2017,CRUZ DE HUMILLADERO,R.E.N.F.E.,CL POETA MUÑOZ ROJAS Nr: 13,Actuación Programada,PARQUE CANINO,Desinsectación,Indeterminado
06/09/2017,PUERTO DE LA TORRE,SOLIVA ESTE,AV ESCRITOR ANTONIO SOLER Nr: 1,Actuación Programada,PARQUE CANINO,Desinsectación,Indeterminado
06/09/2017,TEATINOS-UNIVERSIDAD,CORTIJO ALTO,CL PIERROT Nr: 2,Actuación Programada,PARQUE CANINO,Desinsectación,Indeterminado
06/09/2017,CENTRO,LA MALAGUETA,CL REDING Nr: 10,GECOR,Vía Pública,Desratización,Ratas
06/09/2017,BAILEN-MIRAFLORES,LA ENCARNACION,CL ENCARNACION FONTIVEROS Nr: 4,GECOR,Colégio Público,Desinsectación,Cucarachas
06/09/2017,PUERTO DE LA TORRE,OROZCO,CL MADRID Nr: 1,ALTA DE OFICIO,Vía Pública,Desinsectación;Desratización,Cucarachas;Ratas
06/09/2017,ESTE,LAS ACACIAS,CL ALMIRANTE ENRIQUEZ Nr: 17,GECOR,Vía Pública,Desratización,Ratas
06/09/2017,ESTE,EL PALO,CL OLIVAR Nr: 11,GECOR,Vía Pública,Desratización,Ratas
06/09/2017,CRUZ DE HUMILLADERO,SANTA MARTA,PJE SANTO TOMAS Nr: 5,GECOR,Centro Educación Adultos,Desratización,Ratas
06/09/2017,CARRETERA DE CADIZ,ARDIRA,CL COCHERITO Nr: 5,GECOR,Colégio Público,Desinsectación,Cucarachas
06/09/2017,PUERTO DE LA TORRE,EL ATABAL,CL SUMATRA Nr: 15,GECOR,Vía Pública,Desratización,Ratas
06/09/2017,TEATINOS-UNIVERSIDAD,CIUDAD SANTA INES,CL NAVARRO LEDESMA Nr: 175,GECOR,Vía Pública,Desinsectación,Mosquitos
06/09/2017,PUERTO DE LA TORRE,LOS MORALES 2,CRIL MOLINO DEL Nr: 84,GECOR,Vía Pública,Desratización,Ratas
06/09/2017,CAMPANILLAS,PARQUE TECNOLOGICO,CL MARIA CURIE Nr: 20,GECOR,Otro Edificio de Depdencia Mun,Desinsectación,Avispas
06/09/2017,CENTRO,MONTE SANCHA,CMNO GIBRALFARO Nr: 5,GECOR,Vía Pública,Desinsectación,Cucarachas
06/09/2017,CENTRO,LAGUNILLAS,CL ALTOZANO Nr: 10,GECOR,Vía Pública,Desinsectación,Cucarachas
06/09/2017,CENTRO,LA CALETA,PSO SANCHA Nr: 12,GECOR,Vía Pública,Desinsectación,Pulgas
06/09/2017,CENTRO,ENSANCHE CENTRO,CL CASAS DE CAMPOS Nr: 23,GECOR,Vía Pública,Desratización,Ratas
06/09/2017,CENTRO,LA TRINIDAD,CL EMPEDRADA Nr: 3,GECOR,Vía Pública,Desratización,Ratas
06/09/2017,CIUDAD JARDIN,CIUDAD JARDIN,CL SANCHEZ ALBARRAN Nr: 8,GECOR,Vía Pública,Desratización,Ratas
