"EPIGRAFE","SUBEPIGRAFE","TOTAL ESTABLECIMIENTOS","TOTAL ESTABLECIMIENTOS VISITADOS","TOTAL INSPECIONES","TOTAL ANOMALIAS","TOTAL ACTUACIONES","MES"
"COMERCIO MAYOR ALIMENTARIO","ALMACEN ALIMENTARIOS CONGELADOR POLIVALENTE",18,1,1,1,0,"ABRIL"
"COMERCIO MAYOR ALIMENTARIO","ALMACEN ALIMENTARIO POLIVALENTE NO FRIGORIFICO",137,9,10,0,2,"ABRIL"
"COMERCIO MENOR ALIMENTARIO","CARNICERIAS, CHARCUTERIAS, SALCHICHAS",499,20,25,7,0,"ABRIL"
"COMERCIO MENOR ALIMENTARIO","PESCADERIAS",420,2,2,1,0,"ABRIL"
"COMERCIO MENOR ALIMENTARIO","FRUTERIAS",425,2,2,2,0,"ABRIL"
"COMERCIO MENOR ALIMENTARIO","PANADERIAS",508,1,1,1,0,"ABRIL"
"COMERCIO MENOR ALIMENTARIO","ULTRAMARINOS, SUPERMERCADOS, TIENDAS COMESTIBLES",1542,21,21,4,6,"ABRIL"
"COMERCIO MENOR ALIMENTARIO","COMERCIO ALIMENTOS CONGELADOS POLIVALENTE",143,2,2,0,0,"ABRIL"
"COMERCIO MENOR ALIMENTARIO","MENOR VINOS, LICORES, AGUARDIENTES",34,1,1,0,0,"ABRIL"
"COMERCIO MENOR ALIMENTARIO","MENOR FRUTOS SECOS, CARAMELOS, GOLOSINAS",201,2,2,0,2,"ABRIL"
"COMERCIO MENOR ALIMENTARIO","ASADOR DE POLLOS Y COMIDAS ELABORADAS",299,3,4,0,0,"ABRIL"
"COMERCIO MENOR ALIMENTARIO","CARNICERIAS CON ELABORACION",16,1,2,1,0,"ABRIL"
"COMERCIO MENOR ALIMENTARIO","PASTELERIAS",59,2,3,1,0,"ABRIL"
"COMERCIO MENOR NO ALIMENTARIO","FARMACIAS",367,1,2,0,0,"ABRIL"
"COMERCIO MENOR NO ALIMENTARIO","TIENDAS TODO A 100, BAZARES",253,4,4,0,0,"ABRIL"
"HOSTELERIA","HELADERIAS",100,1,1,0,0,"ABRIL"
"HOSTELERIA","CAFETERIAS CON COCINA, BARES, TABERNAS",2816,23,24,4,4,"ABRIL"
"HOSTELERIA","CAFETERIAS SIN COCINA, BARES, TABERNAS",727,9,9,4,2,"ABRIL"
"HOSTELERIA","RESTAURANTE, VENTA, CHIRINGUITO, PIZZERIA, CHINO",1123,23,29,6,4,"ABRIL"
"HOSTELERIA","BARES CON MUSICA Y PUBS",275,0,0,0,1,"ABRIL"
"HOSTELERIA","COMEDORES ESCOLARES",46,2,2,0,0,"ABRIL"
"SERVICIOS PROFESIONALES","ESTETICA, BELLEZA",351,2,3,1,0,"ABRIL"
"SERVICIOS PROFESIONALES","PELUQUERIAS",1449,9,9,1,1,"ABRIL"
"SERVICIOS PROFESIONALES","PIERCING Y TATUAJES",49,1,1,0,0,"ABRIL"
"ENSEÑANZA","COLEGIOS, INSTITUTOS",150,6,8,2,1,"ABRIL"
"ENSEÑANZA","JARDIN INFANTIL",194,6,11,2,0,"ABRIL"
"HOTELES","HOTELES",166,8,8,0,0,"ABRIL"
"HOTELES","HOSTALES",27,1,1,0,0,"ABRIL"
"HOTELES","RESIDENCIAS Y ALBERGUES",37,1,2,1,0,"ABRIL"
"HOTELES","RESIDENCIAS DE ANCIANOS",82,0,0,0,2,"ABRIL"
"INDUSTRIA ALIMENTARIA ELABORADORA O ENVASADORA","MATADERO VACUNO,OVINO,CAPRINO",1,1,21,0,0,"MAYO"
"INDUSTRIA ALIMENTARIA ELABORADORA O ENVASADORA","CONSERVAS CARNE, AHUMADOS, EMBUTIDOS, SALAZONES",15,1,1,0,0,"MAYO"
"INDUSTRIA ALIMENTARIA ELABORADORA O ENVASADORA","CONGELACION PESCADO, PRODUCTOS DE PESCA",13,1,1,0,0,"MAYO"
"INDUSTRIA ALIMENTARIA ELABORADORA O ENVASADORA","CONSERVAS PESCADO, AHUMADOS, SALAZONES",3,0,0,0,1,"MAYO"
"INDUSTRIA ALIMENTARIA ELABORADORA O ENVASADORA","ELABORACION P. LACTEOS, LECHE, YOGUR, MANTEQUILLA",3,2,3,0,0,"MAYO"
"INDUSTRIA ALIMENTARIA ELABORADORA O ENVASADORA","ELABORACION BEBIDAS ALCOHOLICAS, REFRESCOS",13,1,1,0,0,"MAYO"
"INDUSTRIA ALIMENTARIA ELABORADORA O ENVASADORA","ELABORACION ACEITES",7,3,7,0,0,"MAYO"
"INDUSTRIA ALIMENTARIA ELABORADORA O ENVASADORA","ELABORACION POLIVALENTES",11,2,2,1,1,"MAYO"
"INDUSTRIA ALIMENTARIA ELABORADORA O ENVASADORA","CATERING ELABORACION COMIDAS",23,2,2,0,2,"MAYO"
"INDUSTRIA ALIMENTARIA ELABORADORA O ENVASADORA","OBRADOR DE PANADERIA Y CONFITERIA",348,12,13,5,1,"MAYO "
"INDUSTRIA ALIMENTARIA ELABORADORA O ENVASADORA","ELABORACION DE HELADOS",10,1,1,0,0,"MAYO"
"INDUSTRIA ALIMENTARIA ELABORADORA O ENVASADORA","MATADERO DE AVES",2,1,42,0,0,"MAYO"
"INDUSTRIA ALIMENTARIA ELABORADORA O ENVASADORA","SALA DESPIECE CARNE VACUNO PORCINO",16,3,3,1,0,"MAYO"
"INDUSTRIA ALIMENTARIA ELABORADORA O ENVASADORA","SALA DESPIECE AVES",5,1,1,1,0,"MAYO"
"COMERCIO MAYOR ALIMENTARIO","ALMACEN CARNES FRESCAS, CONGELADOS, REFRIGERADOS",35,4,4,0,1,"MAYO"
"COMERCIO MAYOR ALIMENTARIO","ALMACEN PESCADOS FRESCOS, CONGELADOS, CONSERVAS",46,2,3,1,0,"MAYO"
"COMERCIO MAYOR ALIMENTARIO","ALMACEN FRUTAS,HORTALIZAS,TUBERCULOS,LEGUMBRES",76,2,3,0,1,"MAYO"
"COMERCIO MAYOR ALIMENTARIO","ALMACEN BEBIDAS ALCOHOLICAS, REFRESCANTES",68,2,3,1,0,"MAYO"
"COMERCIO MAYOR ALIMENTARIO","ALMACEN ALIMENTARIOS FRIGORIFICOS POLIVALENTES",86,7,20,0,1,"MAYO"
"COMERCIO MAYOR ALIMENTARIO","ALMACEN ALIMENTARIOS CONGELADOR POLIVALENTE",18,3,4,0,0,"MAYO"
"COMERCIO MAYOR ALIMENTARIO","ALMACEN ALIMENTARIO POLIVALENTE NO FRIGORIFICO",137,2,3,2,6,"MAYO"
"COMERCIO MAYOR ALIMENTARIO","ALMACEN ADITIVOS Y ESPECIAS",16,1,1,0,0,"MAYO"
"COMERCIO MENOR ALIMENTARIO","CARNICERIAS, CHARCUTERIAS, SALCHICHAS",499,25,30,10,2,"MAYO"
"COMERCIO MENOR ALIMENTARIO","PESCADERIAS",420,4,5,4,1,"MAYO"
"COMERCIO MENOR ALIMENTARIO","FRUTERIAS",425,3,4,0,1,"MAYO"
"COMERCIO MENOR ALIMENTARIO","PANADERIAS",508,3,4,1,0,"MAYO"
"COMERCIO MENOR ALIMENTARIO","ULTRAMARINOS, SUPERMERCADOS, TIENDAS COMESTIBLES",1542,12,12,3,4,"MAYO"
"COMERCIO MENOR ALIMENTARIO","COMERCIO ALIMENTOS CONGELADOS POLIVALENTE",143,3,3,1,0,"MAYO"
"COMERCIO MENOR ALIMENTARIO","MENOR FRUTOS SECOS, CARAMELOS, GOLOSINAS",201,1,1,0,1,"MAYO"
