DATA_ACCIDENT,ANY_ACCIDENT,MES_ACCIDENT,HORA_ACCIDENT
10/06/2016,2016,6,16:45
10/06/2016,2016,6,18:45
03/06/2016,2016,6,21:07
03/06/2016,2016,6,11:15
02/06/2016,2016,6,18:35
06/04/2017,2017,4,07:20
08/04/2017,2017,4,12:40
08/04/2017,2017,4,15:20
08/04/2017,2017,4,17:05
08/04/2017,2017,4,17:05
10/04/2017,2017,4,10:30
20/04/2017,2017,4,13:30
20/04/2017,2017,4,13:40
28/10/2017,2017,10,06:35
04/10/2017,2017,10,21:35
06/10/2017,2017,10,07:00
06/10/2017,2017,10,10:30
06/10/2017,2017,10,10:45
12/10/2017,2017,10,09:00
13/10/2017,2017,10,14:05
13/10/2017,2017,10,15:05
27/10/2017,2017,10,07:05
27/10/2017,2017,10,16:10
26/10/2017,2017,10,23:15
28/10/2017,2017,10,02:30
28/10/2017,2017,10,09:45
27/11/2012,2012,11,11:45
29/11/2012,2012,11,07:30
29/11/2012,2012,11,08:25
29/11/2012,2012,11,10:20
29/11/2012,2012,11,18:50
30/11/2012,2012,11,08:45
30/11/2012,2012,11,14:45
01/12/2012,2012,12,12:06
01/12/2012,2012,12,15:38
03/12/2012,2012,12,01:20
03/12/2012,2012,12,08:55
03/12/2012,2012,12,13:00
04/12/2012,2012,12,18:10
04/12/2012,2012,12,08:55
04/12/2012,2012,12,19:20
06/12/2012,2012,12,13:55
10/12/2012,2012,12,19:15
10/12/2012,2012,12,18:30
08/12/2012,2012,12,04:50
13/12/2012,2012,12,22:20
14/12/2012,2012,12,17:50
14/12/2012,2012,12,19:30
15/12/2012,2012,12,21:25
16/12/2012,2012,12,05:40
15/12/2012,2012,12,16:40
18/12/2012,2012,12,09:15
18/12/2012,2012,12,13:08
19/12/2012,2012,12,14:40
18/12/2012,2012,12,09:15
20/12/2012,2012,12,10:35
21/12/2012,2012,12,23:00
22/12/2012,2012,12,19:20
22/12/2012,2012,12,22:50
23/12/2012,2012,12,08:00
25/12/2012,2012,12,02:15
24/12/2012,2012,12,17:35
26/12/2012,2012,12,15:05
29/12/2012,2012,12,14:30
29/12/2012,2012,12,20:20
01/01/2013,2013,1,01:52
02/01/2013,2013,1,07:50
02/01/2013,2013,1,20:25
03/01/2013,2013,1,08:00
03/01/2013,2013,1,14:40
03/01/2013,2013,1,11:00
04/01/2013,2013,1,12:35
06/01/2013,2013,1,06:55
02/01/2013,2013,1,13:50
08/01/2013,2013,1,11:25
09/01/2013,2013,1,09:34
09/01/2013,2013,1,14:00
10/01/2013,2013,1,09:15
10/01/2013,2013,1,18:00
10/01/2013,2013,1,19:20
12/01/2013,2013,1,07:15
12/01/2013,2013,1,09:15
12/01/2013,2013,1,17:50
13/01/2013,2013,1,14:40
