ID,DATA_CONVOCATORIA,ANY_CONVOCATORIA,CODI_TIPUS_CONVOCATORIA,TIPUS_CONVOCATORIA,CODIGO_CONVOCATORIA,CONVOCATORIA,MESA_CODI,MESA_DISTRICTE,MESA_SECCIO,MESA,MESA_OBERTA,MESA_COMUNICADA,MESA_HORA_COMUNICADA,MESA_CENS,MESA_AVANÇ1,MESA_AVANÇ2,MESA_AVANÇ3,MESA_VOTS_NULS,MESA_VOTS_BLANCS,MESA_TOTAL_VOTS,PARTIT_ENTEL,PARTIT_COLOR,PARTIT_CODI,PARTIT_SIGLES,PARTIT_NOM,PARTIT_VOTS,TOTAL_CENS,TOTAL_AVANC1,TOTAL_AVANC2,TOTAL_AVANC3,TOTAL_VOTS_NULS,TOTAL_VOTS_BLANCS,DADES,ESTAT
2016-C2016-3905-14,25/06/2016,2016,4,Congrés,C2016,Eleccions Generals 2016,3905,1,3,B,SI,SI,22:49,679,243,341,473,1,7,473,9,#FF0000,14,PCPC,Partit Comunista del Poble de Catalunya,0,53822,17497,24624,34742,199,265,12/10/2016 09:20:16 PM,1
2016-C2016-3906-200,25/06/2016,2016,4,Congrés,C2016,Eleccions Generals 2016,3906,1,4,A,SI,SI,22:47,580,206,272,417,5,6,417,1,#DF0101,200,PSC,Partit Socialistes de Catalunya,63,53822,17497,24624,34742,199,265,12/10/2016 09:20:16 PM,1
2016-C2016-3906-4,25/06/2016,2016,4,Congrés,C2016,Eleccions Generals 2016,3906,1,4,A,SI,SI,22:47,580,206,272,417,5,6,417,2,#FFBF00,4,ERC-CATSÍ,Esquerra Republicana de Catalunya-Catalunya Sí,52,53822,17497,24624,34742,199,265,12/10/2016 09:20:16 PM,1
2016-C2016-3906-2,25/06/2016,2016,4,Congrés,C2016,Eleccions Generals 2016,3906,1,4,A,SI,SI,22:47,580,206,272,417,5,6,417,3,#2E9AFE,2,PP,Partit Popular,67,53822,17497,24624,34742,199,265,12/10/2016 09:20:16 PM,1
2016-C2016-3906-222,25/06/2016,2016,4,Congrés,C2016,Eleccions Generals 2016,3906,1,4,A,SI,SI,22:47,580,206,272,417,5,6,417,4,#6B8B23,222,PACMA,Partit Antitaurí Contra el Maltractament Animal,5,53822,17497,24624,34742,199,265,12/10/2016 09:20:16 PM,1
2016-C2016-3906-223,25/06/2016,2016,4,Congrés,C2016,Eleccions Generals 2016,3906,1,4,A,SI,SI,22:47,580,206,272,417,5,6,417,5,#EF7A36,223,Cs,Ciutadans - Partido de la Ciudadania,77,53822,17497,24624,34742,199,265,12/10/2016 09:20:16 PM,1
2016-C2016-3906-298,25/06/2016,2016,4,Congrés,C2016,Eleccions Generals 2016,3906,1,4,A,SI,SI,22:47,580,206,272,417,5,6,417,6,#08088A,298,CDC,Convergencia Democràtica de Catalunya,27,53822,17497,24624,34742,199,265,12/10/2016 09:20:16 PM,1
2016-C2016-3906-294,25/06/2016,2016,4,Congrés,C2016,Eleccions Generals 2016,3906,1,4,A,SI,SI,22:47,580,206,272,417,5,6,417,7,#008000,294,RECORTESCERO,Recortes Cero-Grupo Verde,0,53822,17497,24624,34742,199,265,12/10/2016 09:20:16 PM,1
2016-C2016-3906-296,25/06/2016,2016,4,Congrés,C2016,Eleccions Generals 2016,3906,1,4,A,SI,SI,22:47,580,206,272,417,5,6,417,8,#97668B,296,ECP,En Comú Podem,115,53822,17497,24624,34742,199,265,12/10/2016 09:20:16 PM,1
2016-C2016-3906-14,25/06/2016,2016,4,Congrés,C2016,Eleccions Generals 2016,3906,1,4,A,SI,SI,22:47,580,206,272,417,5,6,417,9,#FF0000,14,PCPC,Partit Comunista del Poble de Catalunya,0,53822,17497,24624,34742,199,265,12/10/2016 09:20:16 PM,1
2016-C2016-3907-200,25/06/2016,2016,4,Congrés,C2016,Eleccions Generals 2016,3907,1,4,B,SI,SI,22:48,687,229,305,471,4,5,471,1,#DF0101,200,PSC,Partit Socialistes de Catalunya,69,53822,17497,24624,34742,199,265,12/10/2016 09:20:16 PM,1
2016-C2016-3907-4,25/06/2016,2016,4,Congrés,C2016,Eleccions Generals 2016,3907,1,4,B,SI,SI,22:48,687,229,305,471,4,5,471,2,#FFBF00,4,ERC-CATSÍ,Esquerra Republicana de Catalunya-Catalunya Sí,57,53822,17497,24624,34742,199,265,12/10/2016 09:20:16 PM,1
2016-C2016-3907-2,25/06/2016,2016,4,Congrés,C2016,Eleccions Generals 2016,3907,1,4,B,SI,SI,22:48,687,229,305,471,4,5,471,3,#2E9AFE,2,PP,Partit Popular,87,53822,17497,24624,34742,199,265,12/10/2016 09:20:16 PM,1
2016-C2016-3907-222,25/06/2016,2016,4,Congrés,C2016,Eleccions Generals 2016,3907,1,4,B,SI,SI,22:48,687,229,305,471,4,5,471,4,#6B8B23,222,PACMA,Partit Antitaurí Contra el Maltractament Animal,11,53822,17497,24624,34742,199,265,12/10/2016 09:20:16 PM,1
2016-C2016-3907-223,25/06/2016,2016,4,Congrés,C2016,Eleccions Generals 2016,3907,1,4,B,SI,SI,22:48,687,229,305,471,4,5,471,5,#EF7A36,223,Cs,Ciutadans - Partido de la Ciudadania,72,53822,17497,24624,34742,199,265,12/10/2016 09:20:16 PM,1
2016-C2016-3907-298,25/06/2016,2016,4,Congrés,C2016,Eleccions Generals 2016,3907,1,4,B,SI,SI,22:48,687,229,305,471,4,5,471,6,#08088A,298,CDC,Convergencia Democràtica de Catalunya,31,53822,17497,24624,34742,199,265,12/10/2016 09:20:16 PM,1
2016-C2016-3907-294,25/06/2016,2016,4,Congrés,C2016,Eleccions Generals 2016,3907,1,4,B,SI,SI,22:48,687,229,305,471,4,5,471,7,#008000,294,RECORTESCERO,Recortes Cero-Grupo Verde,0,53822,17497,24624,34742,199,265,12/10/2016 09:20:16 PM,1
2016-C2016-3907-296,25/06/2016,2016,4,Congrés,C2016,Eleccions Generals 2016,3907,1,4,B,SI,SI,22:48,687,229,305,471,4,5,471,8,#97668B,296,ECP,En Comú Podem,135,53822,17497,24624,34742,199,265,12/10/2016 09:20:16 PM,1
2016-C2016-3907-14,25/06/2016,2016,4,Congrés,C2016,Eleccions Generals 2016,3907,1,4,B,SI,SI,22:48,687,229,305,471,4,5,471,9,#FF0000,14,PCPC,Partit Comunista del Poble de Catalunya,0,53822,17497,24624,34742,199,265,12/10/2016 09:20:16 PM,1
2016-C2016-3908-200,25/06/2016,2016,4,Congrés,C2016,Eleccions Generals 2016,3908,2,1,A,SI,SI,22:09,560,191,278,361,2,1,361,1,#DF0101,200,PSC,Partit Socialistes de Catalunya,59,53822,17497,24624,34742,199,265,12/10/2016 09:20:16 PM,1
2016-C2016-3908-4,25/06/2016,2016,4,Congrés,C2016,Eleccions Generals 2016,3908,2,1,A,SI,SI,22:09,560,191,278,361,2,1,361,2,#FFBF00,4,ERC-CATSÍ,Esquerra Republicana de Catalunya-Catalunya Sí,55,53822,17497,24624,34742,199,265,12/10/2016 09:20:16 PM,1
2016-C2016-3908-2,25/06/2016,2016,4,Congrés,C2016,Eleccions Generals 2016,3908,2,1,A,SI,SI,22:09,560,191,278,361,2,1,361,3,#2E9AFE,2,PP,Partit Popular,49,53822,17497,24624,34742,199,265,12/10/2016 09:20:16 PM,1
2016-C2016-3908-222,25/06/2016,2016,4,Congrés,C2016,Eleccions Generals 2016,3908,2,1,A,SI,SI,22:09,560,191,278,361,2,1,361,4,#6B8B23,222,PACMA,Partit Antitaurí Contra el Maltractament Animal,8,53822,17497,24624,34742,199,265,12/10/2016 09:20:16 PM,1
2016-C2016-3908-223,25/06/2016,2016,4,Congrés,C2016,Eleccions Generals 2016,3908,2,1,A,SI,SI,22:09,560,191,278,361,2,1,361,5,#EF7A36,223,Cs,Ciutadans - Partido de la Ciudadania,47,53822,17497,24624,34742,199,265,12/10/2016 09:20:16 PM,1
