ACTIVITAT,NOM_COMERCIAL,EMPLAÇAMENT,ZONA,WEB
COPISTERIA,COPISTERIA CAN ORIOL,"C GENERAL CASTAÑOS, 21",DA4,
COPISTERIA I COMERÇ AL DETALL D'ARTICLES DE PAPERERIA,COPYMAT,"C PRAT DE LA RIBA, 26 PB 01",DA4,
VENDA DE MENJARS PREPARATS AMB OBRADOR,COQUES I PANADONS MONTSE,"C PERE ESMENDIA, 10",DA4,
COMERÇ AL DETALL D'ARTICLES DE BISUTERIA,CORIUM BIJUTERIA,"C CERVANTES, 51 LOC 01",DA4,
OFICINA DE CORREUS I TELÈGRAFS,CORREOS,"C TERRASSA, 47",DA4,
PERRUQUERIA,CORTO Y CAMBIO,"C MONTURIOL, 10",,
CENTRE D'ESTÈTICA,COS D'OR SENSACIONS INFINITES,"PG TORRES, 100",DA3,
DISCOTECA,COSTA LATINA,"CTRA TERRASSA, 132",PI. CTRA. TERRASSA,
COMERÇ AL DETALL D'ALIMENTS EN REGIM D'AUTOSERVEI,COSUM CHARTER,"AV CASTELLNOU, 147",DA2,
COMERÇ AL DETALL D'ARTICLES TÈXTILS PER LA LLAR I CONFECCIÓ,COYPE CORTINAS,"AV ESTATUT, 7",DA6,
ENGINYERIA MECÀNICA,CPM INTEGRACION,"C COLLITA, 2-6 NV 02",PI. LA BASTIDA,
MAGATZEM DE MATERIAL ELÈCTRIC,CPP 2000,"C PRAGA, 11",PI. COVA SOLERA,
FABRICACIÓ DE PAPER I CARTRÓ,CR CARTONATGES RUBI,"AV CAN SUCARRATS, 134 NV 04",PI. COVA SOLERA,
COMERÇ AL DETALL D'OBEJCTES DE REGAL I MARROQUINERIA,CREAL,"C SANT CUGAT, 10 LOC 02",DA4,
FABRICACIÓ DE PRODUCTES METÀL·LICS,CREMALLERAS RUBI,"C TRES D'ABRIL, 8",DA6,
APARCAMENT PRIVAT DE VEHICLES,"CREYCON, SA",C MALLORCA,DA5,
FUSTERIA METÀL·LICA,CRISLUMAR,"C MADRID, 54",DA5,
VIDRERIA,CRISTALERIA MEDINA,"C BARTRINA, 9 Esc 1 PB 03",DA6,
MAGATZEM I VENDA AL DETALL DE MATERIAL ELÈCTRIC,CSI,"C TAMARIT, 114 PB",PI. CAN ROSES,
OFICINA BANCÀRIA,CT CAIXA TERRASSA,"PL ESBART DANSAIRE DE RUBI, 4-5 PB 01",DA5,www.caixaterrassa.es
COMERÇ AL DETALL D'ACCESSORIS PER ANIMALS I PERRUQUERIA,CUIDA TUS MASCOTAS,"C GETAFE, 2 Esc 1 PB 02",DA5,
BAR RESTAURANT,CURRY,"PL DOCTOR PEARSON, 4",DA4,
LOCAL DE FITNESS,CURVES,"C CERVANTES, 70",DA4,
TALLER DE REPARACIÓ DE MOTOCICLETES I COTXES,CYCLE MONSTER,"CTRA SANT CUGAT, 17-19 LOC 07",DA6,
TALLER DE REPARACIÓ DE CARRETONS ELEVADORS,DAM TALLERS,"AV CAN SUCARRATS, 108-110 NV 10",PI. COVA SOLERA,
AGÈNCIA IMMOBILIÀRIA,"DANJA PATRIMONIAL,","C RAFAEL CASANOVA, 19-21",DA4,
CENTRE DE DESENVOLUPAMENT INFANTIL I ATENCIÓ PRECOÇ,DAPSI RUBI,"C MARIA AURELIA CAPMANY, 32-34",DA5,
AUTOESCOLA,DAS CENTRE DE FORMACIÓ I INVESTIGACIÓ VIÀRIA,"AV ESTATUT, 10-14",DA6,
TALLER DE MANIPULACIÓ DE PAPER I CARTRÓ,DATA LABEL,"CTRA SABADELL, 247 NV 09",PI. LA BASTIDA,
COMERÇ AL DETALL DE ROBA,DE LI,"C PRAT DE LA RIBA, 4 Esc 1 PB 01",,
FABRICACIO I IMPRESSIO D'ENVASSOS PER LA INDUSTRIA DE LA COSMETICA,DECOPAK EUROP,"AV COVA SOLERA, 25",PI. COVA SOLERA,
MAGATZEM D'ENVASOS,DECOPAK EUROP,"AV COVA SOLERA, 21",PI. COVA SOLERA,
MANIPULACIÓ I TRACTAMENT DE SUPERFÍCIES D'ENVASOS,"DECOPAK EUROP, SL","AV COVA SOLERA, 23",PI. COVA SOLERA,
FABRICACIÓ DE PRODUCTES DE MATÈRIES PLÀSTIQUES,DELETRANS,"AV CAN ROSES, 20-22 NV 03",PI. CAN ROSES,
TALLER DE REPARACIÓ DE VEHICLES,DELPHI TALLERES MARTINEZ,"C NATACIO, 25",PI. CAN ROSES,
OFICINES D'INDÚSTRIA,DELTA DORE ELECTRONICA,"C ANTON DE BORJA, 9 LOC 02",DA5,
VENDA A L'ENGRÒS DE TUBS PLÀSTICS,DELTALAB,"AV LLANA, 115",PI. LA LLANA,
MAGATZEM DE MATERIAL ELÈCTRIC,DELTALIGHT FREPI,"C PONT DE CAN CLAVERI, 56",PI. LA LLANA,
FABRICACIÓ DE PANYS I FERRAMENTES,"DEMYA, SL","C BADAJOZ, 13 LOC DE",DA5,
CLINICA DENTAL AMB APARELLS RAIG-X,DENTIX,"PG FRANCESC MACIA, 60",DA4,
CENTRE D'ESTÈTICA,DEPILA'T I MES,"C PINTOR MURILLO, 43",DA4,
SOLÀRIUM,DEPILINE CENTER,"C GENERAL PRIM, 33-35",DA4,www.depiline.com
CENTRE D'ESTÈTICA I PERRUQUERIA,DEPILINE CENTER RUBI,"PG FRANCESC MACIA, 56",DA4,
FABRICACIÓ DE PERFUMS I PRODUCTES DE BELLESA,DERMOFARM,"C LEONARDO DA VINCI, 16-22",PI. CAN SANT JOAN,
"FABRICACIÓ DE PRODUCTES DE BELLESA, HIGIENE I PERFUMS",DERMOFARM LABORATORIOS,"C LEONARDO DA VINCI, 16-22",PI. CAN SANT JOAN,www.dermofarm.com
GESTOR DE RESIDUS METÀL·LICS (REVISIO),DESCAT,"AV LLANA, 111",PI. LA LLANA,
EMMAGATZEMATGE I VALORITZACIÓ DE RESIDUS,DESFERRES CATALUNYA,"AV LLANA, 111",PI. LA LLANA,
"INSTAL:LACIONS DE GAS, ELECTRICITAT,FONTANERIA, ENERGIA SOLAR","DESPLEX ASISTENCIA, SL","C GUADALAJARA, 1",DA5,
OFICINA BANCÀRIA,DEUTSCHE BANK,"AV BARCELONA, 10",DA4,
CENTRE DE TERÀPIES ALTERNATIVES,DHARMA IOGA,"C EDUARD FONTSERE, 19 PB",DA6,
COMERÇ AL DETALL DE PRODUCTES D'ALIMENTACIÓ EN RÈGIM D'AUTOSERVEI,DIA,"C PITAGORAS, 5",DA6,
LOCUTORI,DANI PHONE CALL,"C ABAT ESCARRE, 22 LOC 2A",DA4,
PERRUQUERIA,PELUQUERIA PILAR FARRE,"C JOAN MARAGALL, 32 LOC",DA6,
SUPERMERCAT,DIA MARKET,"C MAGI RAMENTOL, 17-19 LOC 01",DA4,
FABRICACIO DE SOMIERS,DIAMON NORTON,"C STRAUSS, 9A NV 02",PI. CAN JARDI,
VENDA AL DETALL DE TÈXTILS PER LA LLAR,DIDAL,"PG FRANCESC MACIA, 53 01",DA4,
COMERÇ AL DETALL DE PRODUCTES ALIMENTARIS DE RÈGIM I DIETÈTICA,DIET FLASH,"PG FRANCESC MACIA, 22",DA4,
MAGATZEM,"DIEZUNA COMER, SL","AV ELECTRICITAT, 19",PI. CA N'ALZAMORA,
PERRUQUERIA,DIFERENT,"CTRA SANT CUGAT, 33",DA6,
COMERÇ AL DETALL DE PRODUCTES DE PAPERERIA I COPISTERIA,DIGITAL 6,"C TORRENT DE L'ALBA, 3",DA4,
CENTRE DE DESENVOLUPAMENT DE APLICACIONS INFORMÀTIQUES I ENGINYERIA,DIGITAL AERONAUTICS ENGINEERING,"AV ELECTRICITAT, 19 02 01",PI. CA N'ALZAMORA,
APARCAMENT PRIVAT DE VEHICLES,"DIMO, SL","C MAGALLANES, 1-3",DA4,
"ESTABLIMENT D'ENSENYAMENT NO REGLAT DE TEATRE, MUSICA I DANSA",DINAMIC CRESCENDO,"C VICTOR BALAGUER, 12 LOCAL",,
VENDA A L'ENGRÒS DE MATERIAL ELÈCTRIC I ELECTRÒNIC,"DIS-ELECTRIC, SA","AV CAN SUCARRATS, 101",PI. COVA SOLERA,
MAGATZEM DE PRODUCTES FARMACÈUTICS,DISALFARM,"PARC CAN SANT JOAN, 16A",PI. CAN SANT JOAN,www.disalfarm.com
MAGATZEM DE PRODUCTES FARMACÈUTICS,DISALFARM,"PARC CAN SANT JOAN, 16A",PI. CAN SANT JOAN,
MAGATZEM DE PRODUCTES PERILLOSOS,DISALFARM,"PARC CAN SANT JOAN, 16A",PI. CAN SANT JOAN,
MAGATZEM DE PRODUCTES FARMACÈUTICS,DISALFARM,"PARC CAN SANT JOAN, 16A",PI. CAN SANT JOAN,
INDÚSTRIA D'ARTS GRÀFIQUES,DISEC,"CTRA SABADELL, 247 NV 23",PI. LA BASTIDA,
COMERÇ A L'ENGRÒS DE MATERIAL DE LAMPISTERIA I CALEFACCIÓ,DISELFO RUBÍ,"CTRA MOLINS DE REI, 79A NV 03",PI. CA N'ALZAMORA,
CLÍNICA VETERINÀRIA,DISPENSARI VETERINARI DEL VALLES,"CTRA SANT CUGAT, 5",DA6,
CLÍNICA VETERINÀRIA,DISPENSARI VETERINARI DEL VALLES,"C GIMNAS, 15",DA4,
PERRUQUERIA I VETERINARI CANINA,DISPENSARI VETERINARI DEL VALLÈS,"CTRA SANT CUGAT, 5",DA6,
REPARACIÓ DE MAQUINARIA INDUSTRIAL,"DISTEMA, SL","C PARIS, 1-7 NV 04",PI. COVA SOLERA,
SUPERMERCAT,DISTOP,"C SABADELL, 41",DA5,
SUPERSERVEI D'ALIMENTACIÓ,DISTOP SUPERMERCATS,"C MARE DE DEU DE LOURDES, 34",DA5,
MAGATZEM AUTOSERVEI,DISTOP SUPERMERCATS,"C MARE DE DEU DE LOURDES, 32",DA5,
VENDA A L'ENGRÒS DE PRODUCTES ALIMENTARIS,DISTRIAL 98,"AV OLIMPIADES, 73A",PI. CAN ROSES,
DIPÒSIT DE GLP,DISTRIBUIDOR AUTORIZADO - GASOLEO A DOMICILIO,C AMPLE,PI. CA N'ALZAMORA,
COMERÇ AL DETALL DE FRUITES I VERDURES,DOLÇA FRUITA,"C MONTSERRAT, 21",DA4,
COMERÇ AL DETALL DE PRODUCTES DE CARNISSERIA,DOMINGO PEREZ,"CTRA SABADELL, 16 LOC 03",,
RESTAURANT,DON PEPPONE,"C PENEDES, 4 PB",DA3,www.donpeppone.com
OFICINA IMMOBILIÀRIA I ASSESSORIA,DON PISO,"C LLUIS RIBAS, 7",DA6,
PERRUQUERIA,DONNA PERRUQUERIA,"C MARE DE DEU DE FATIMA, 20",DA6,
BAR-RESTAURANT,DORI LA SALA,"PL MIQUEL CASAS BELL, 3 LOC 05",DA4,
BAR RESTAURANT,DORI SANT JORDI PARK,"AV FERRER I DOMINGO, 36-42",DA1,
FABRICACIO MATALASSOS (INF BOMBERS),DORMITI.COM,"C SCHUMANN, 21-25 NV 05",PI. CAN JARDI,
MAGATZEM LOGÍSTIC I TALLER DE MUNTATGE DE MOBILIARI,DORMITY,"C SCHUMANN, 21-25 NV 06",PI. CAN JARDI,
FABRICACIO DE CANAPES PER LLITS,DORMITY.COM,"C SCHUMANN, 25 NV 05",PI. CAN JARDI,
MAGATZEM DE MATALASSOS (INF. DE BOMBERS),DORMITY.COM,"C SCHUMANN, 36 NV 04",PI. CAN JARDI,
comerç matalassos,DORMITY.COM,"AV BARCELONA, 12-14 LOC 01",DA4,
"VENDA AL DETALL, INSTAL·LACIÓ I REPARACIÓ D'APARELLS DE CLIMATITZACIÓ I AIGUA CALENTA","DOUGLAS, SL","C SANTA FE, 2",DA5,
FABRICACIÓ D'ACESSORIS I COMPONENTS ELECTRONICS PER ALARMES,DOWER SECURITY,"C PARIS, 1-7 NV 11",PI. COVA SOLERA,
OFICINA D'EMPRESA CONSTRUCTORA,DOÑA I BEL,"C ASTURIES, 1",DA5,
CONSULTORI MÈDIC,DR. F. VAQUES ARIS,"C BARTRINA, 13 01 03",DA6,
MAGATZEM DE VIDRE,DREAMCRYSTAL,"AV CAN SUCARRATS, 91-95 NV 17",PI. COVA SOLERA,
COMERÇ AL DETALL DE JOGUINES I MOBILIARI INFANTIL,DRIM,"CTRA TERRASSA, 134",PI. CTRA. TERRASSA,
COMERÇ A L'ENGRÒS DE BEGUDES,DRINK CASH,"CTRA SABADELL, 92 PB",DA5,
OFICINES I MAGATZEM DE PRODUCTES RELACIONATS AMB CIGARRETES ELECTRÒNIQUES,DROPS E-LIQUID,"C EDUARD FONTSERE, 13 PB",DA6,
PERFUMERIA,DRUNI,"AV BARCELONA, 58-60 PB",DA4,
OFICINA OPERADORA DE TRANSPORTS,DUTRANS,"C ROMA, 25 NV 11",PI. COVA SOLERA,
OFICINA EMPRESA DE REFORMES DE CUINES I BANYS I COMERÇ D'ELECTRODOMESTICS,DYMYT,"PG TORRES, 20-22 LOC 02",DA3,
FABRICACIÓ DE MOBLES DE FUSTA,EBENUS,"PTGE DOCTOR FERRAN, 12 NV 15",PI. CA N'ALZAMORA,
MAGATZEM D'EQUIPS DE CLIMATITZACIÓ,ECO FRED RUBÍ,"C APEL.LES MESTRES, 6",DA6,www.ecofred.com
TALLER D'INSTAL.LACIONS ELÈCTRIQUES I CLIMATITZACIÓ,ECO FRED RUBÍ,"C APEL.LES MESTRES, 4 PB 01",DA6,
VENDA AL DETALL D'APARELLS DE CLIMATITZACIÓ,ECOFRED SISTEMAS,"C APEL.LES MESTRES, 4 PB 01",DA6,
SERVEIS DE VENDA DE CARTUTXOS RECICLATS INJKET I TONER,ECOLIDER,"AV ESTATUT, 20 Esc 1 PB 3B",DA6,
MAGATZEM FRIGORÍFIC DE CARNS,ECOMIDEN,"C CICLISME, 5",PI. CAN ROSES,
BASAR,ECONOMIK,"AV CAN CABANYES, 2 LOC 04",DA3,
VENDA A L'ENGRÒS DE SUMINISTRES INDUSTRIALS,ECONOMOS,"C PARIS, 1-7",PI. COVA SOLERA,
TALLER DE MANIPULACIÓ D'AL.LUMINI,ECOR ALUMINIO,"C JOAN MARAGALL, 45 Esc 1 PB 01",DA6,
OFICINES D'INDÚSTRIA,ECOSILOS,"C CICLISME, 45",PI. CAN ROSES,
"FABRICACIÓ I MAGATZEM DE PRODUCTES D'ALIMENTACIÓ, NETEJA I DROGUERIA","ED DALMAU OLIVERES, SL","C BACH, 8",PI. CAN JARDI,
FABRICACIÒ D'APARELLS ELEVADORS,EDEL,"C BEETHOVEN, 34 NV 05",PI. CAN JARDI,
FABRICACIÓ DE QUADRES ELÈCTRICS I COMPONENTS PER ASCENSORS,EDEL S.L.,"C WAGNER, 4A NV 01",PI. CAN JARDI,
MAGATZEM DE LLIBRES,EDICIONES OBELISCO,"C COLLITA, 23-25",PI. LA BASTIDA,www.edicionesobelisco.com
OFICINES INDUSTRIALS,EDIFICI BLANCHZUPAT,"C PAGESIA, 22-24",PI. LA BASTIDA,
APARCAMENT PRIVAWT DE VEHÍCLES LLEUGERS,EDIFICI BLANCHZUPAT,"C PAGESIA, 22-24",PI. LA BASTIDA,
APARCAMENT PRIVAT DE VEHICLES,"EDIROC, SA",C JOAN BOSCH,DA3,
APARCAMENT PRIVAT DE VEHICLES,"EDIROC, SA",C ORIOL MARTORELL,DA3,
APARCAMENT PRIVAT DE VEHICLES,"EDIROC, SA",C ORIOL MARTORELL,DA3,
MAGATZEM DE LLIBRES,EDITORIAL JUVENTUD,"AV COVA SOLERA, 13",PI. COVA SOLERA,
CENTRE PSICOLOGIC INFANTIL,EDUCAINFANTS,"C GENERAL PRIM, 33-35 03 01",DA4,
COMERÇ AL DETALL DE PRODUCTES DE VESTIR,EE BY ENRIC ESCUDE,"PG FRANCESC MACIA, 26",DA4,
CENTRE DE TATUATGES I PIERCINGS,EE ENCARNA TATOO,"C CERVANTES, 25",DA4,
VENDA A L'ENGRÒS DE TÈXTIL,"EGA TEXTIL, SA","C PARIS, 1-7 NV 23",PI. COVA SOLERA,
CONSULTORI MÈDIC,EGARSAT,"C ANTON DE BORJA, 7",DA5,
CONSULTORI MÈDIC,EGARSAT,"PG TORRES, 55 PB 02",DA3,
BAR,EL BARISTA,"C LLUIS RIBAS, 6 PB 05",,
BAR MUSICAL,EL BARN D'EN GREG,"C ALT, 1",PI. CA N'ALZAMORA,
BAR,EL BATMAN,"C ALT, 2",PI. CA N'ALZAMORA,
BAR RESTAURANT,EL BOSC DE LES BRASES,"CTRA TERRASSA, 125",PI. CTRA. TERRASSA,
BAR-RESTAURANT,EL BULLIDOR,"C DOCTOR GIMBERNAT, 7",DA4,
OFICINA DE CONSTRUCCIÓ I REFORMES DE LA LLAR,EL CALEÑO SL,"C MAXIMI FORNES, 48",DA4,
RESIDÈNCIA GERIÀTRICA,EL CEL DE RUBI,"AV ESTATUT, 119 PB 01",DA5,
AMPLIACIÓ ACTIVITAT CENTRE GERIÀTRIC,EL CEL DE RUBI,"AV ESTATUT, 119 PB 01",DA5,
MANTENIMENT I REPARACIO DE VEHICLES SENSE XAPA I PINTURA,EL CENTRE DE L'AUTOMOBIL,"C CA N'ALZAMORA, 6",PI. CA N'ALZAMORA,
COMERÇ AL DETALL DE PA AMB DEGUSTACIO,EL CHURRETE,"C ANGEL GUIMERA, 16 PB 01",DA6,
FORN DE PA AMB DEGUSTACIÓ,EL CHUSQUETE,"C LEPANT, 57-61 LOC 02",DA5,
RESTAURANT,EL CIBULET,"PL JOSEP SAPES, 6",DA1,
BAR MUSICAL,EL CLICK,"AV CATALUNYA, 2",DA3,
VENDA A L'ENGRÒS DE MAQUINÀRIA INDUSTRIAL,EL EQUIPOS DE LIMPIEZA,"C STRAUSS, 8",PI. CAN JARDI,
COMERÇ AL DETALL DE VENDA D'ALIMENTACIÓ I COMPLEMENTS PER MASCOTES,EL FLAMENCO ROSA,"PL JOSEP SAPES, 2 PB 02",DA1,
OBRADOR PA,EL FORNET DE LA MARINA,"C TRAFALGAR, 4",DA5,
FORN DE PA AMB OBRADOR,EL FORNET DE SAFIR,"C SAFIR, 1",DA1,
BAR-RESTAURANT,EL GLOTON BRASSERIA,"C AMPLE, 8",PI. CA N'ALZAMORA,
BAR RESTAURANT,EL HORREO,"C PITAGORAS, 7",DA6,
BAR,EL MANANTIAL,"C SANT CUGAT, 2",DA4,
VENDA AL DETALL D'ARTICLES DE FERRETERIA,EL MERCADO,"C LLUIS RIBAS, 27-29",DA6,
BAR,EL MOLLETE DEL TANO ( LA CAÇOLETA),"C LLUIS RIBAS, 37 LOC",DA6,
BAR- RESTAURANT,EL NASSET,"C SANT ISIDRE, 1-5",,
COMERÇ AL DETALL DE TOT TIPUS DE PRODUCTES,EL NIU,"C MOSSEN CINTO, 12",DA4,
"COMERÇ AL DETALL DE ROBA, BISUTERIA I COMPLEMENTS",EL PENJOLL,"C MONTURIOL, 16",DA6,
FORN DE PA AMB DEGUSTACIÓ,EL PEQUEÑO HORNO,"C CALDERON DE LA BARCA, 24-26 LOC",DA6,
VENDA A L'ENGRÒS DE PRODUCTES ALIMENTARIS,EL PUEBLO,"C LUMIERE, 18",DA6,
MAGATZEM INDUSTRIAL DE PINTURES,EL PUNT DE LES PINTURES,"CTRA MOLINS DE REI, 51",PI. CA N'ALZAMORA,
BAR-RESTAURANT,EL RACO DE LA SIDRA,"CTRA TERRASSA, 106",DA5,www.elracodelasidra.com
FORN DE PA AMB DEGUSTACIÓ,EL RACO DEL PA,"C JUAN RAMON JIMENEZ, 2 PB 03",DA6,
COMERÇ AL DETALL DE PA AMB DEGUSTACIÓ,EL RACÓ DEL BON GUST,"C ABAT ESCARRE, 28 LOC 01",DA6,
LIBRERÍA-PAPELERÍA,EL RACÓ DEL LLIBRE,"C DOCTOR ROBERT, 12",DA4,
COMERÇ AL DETALL D'EQUIPS INFORMÀTICS,EL RATOLÍ INFORMÀTIC,"TRAV TRAFALGAR, 38A PB",DA5,
AUTOSERVEI,EL REBOST DEL BARRI,"CTRA TERRASSA, 78",DA5,
VENDA AL DETALL D'ANIMALS DE COMPANYIA I COMPLEMENTS,EL REINO ANIMAL,"C PERE ESMENDIA, 10",DA4,
COMERÇ AL DETALL DE ROBA DE VESTIR,EL REY DE LOS SUETERS,"AV BARCELONA, 1",DA4,
COMERÇ AL DETALL DE FRUITES I VERDURES,EL SECRET DEL BARRI,"AV CAN CABANYES, 5 PB 03",DA3,
BAR RESTAURANT,EL SOLAR D'LAVOE,"AV CAN CABANYES, 8 Esc 1 ST 01",DA6,
COMERÇ AL DETALL DE PRODUCTES D'ALIMENTACIÓ,EL SUPER DE LAS TORRES,"PL NOVA, 1 LOC 01",DA3,
BAR RESTAURANT,EL SUSHIBAR,"C CERVANTES, 53",DA4,
TALLER DE REPARACIÓ DE MOTOCICLETES,EL TALLER,AV ESTATUT,DA6,
BAR-GRANJA-GELATERIA,EL TEU CAFE,"C SANT SEBASTIA, 19-21 PB A",DA4,
PASTISSERIA AMB OBRADOR,EL TRIGO ELABORADO,"C ALACANT, 2",DA5,
LABORATORI I TALLER PER ODONTOLOGIA,EL TURO,"C SANT JORDI, 32 LOC 02",DA5,
CLÍNICA DENTAL,EL TURO,"C SANT JORDI, 32 01 01",DA5,
BAR-RESTAURANT,EL VIEJO COWBOY,"C EIVISSA, 2",DA6,
COMERÇ AL DETALL I CONFECCIÓ DE ROBA,ELASTIC RUBÍ,"C MAGI RAMENTOL, 21",DA4,
FABRICACIÓ DE COMPONENTS ELÈCTRICS,ELECTRICFOR,"C CA N'ALZAMORA, 34",PI. CA N'ALZAMORA,
SERVEIS D'INSTAL·LACIONS ELÈCTRIQUES,ELECTRICITAT INDUSTRIAL,"C SABADELL, 83",DA5,
VENDA D'ELECTRODOMÈSTICS,ELECTRO OFERTA,"C BARTRINA, 9 Esc 1 PB 01",DA6,
VENDA AL DETALL I REPARACIÓ D'ELECTRODOMÈSTICS,ELECTRONICA RJ,"C TERRASSA, 1",DA4,
FABRICACIO D'ENVASOS I EMBALATGES I RECICLATGE,"ELENPLAST, SA","C WAGNER, 12-16",PI. CAN JARDI,
REPARACIÓ MAQUINÀRIA INDUSTRIAL,ELETTRORAVA IBERICA SERVICIOS,"C LISBOA, 5",PI. COVA SOLERA,
MAGATZEM DE VIGUES METÀL.LIQUES I MECANITZAT PREVI A LA INSTAL.LACIÓ,ELIFER,"C VERDI, 20-26 Bl A NV 05",PI. COVA SOLERA,
CENTRE MEDIC,ELIT CENTRE MEDIC,"AV CAN CABANYES, 13 Esc 2 PB 02",DA3,
OFTALMÒLEG,"ELVIS ORDOÑEZ OÑA, OFTALMOLOGIA","AV ESTATUT, 130",DA5,
REPARACIO I MANTENIMENT DE CARRETONS ELEVADORS AMB SECCIO DE PINTURA,EMAN - EGARA MANUTENCION,"PG RIERA, 212",PI. CTRA. TERRASSA,
"FABRICACIO I COMERCIALITZACIÓ DE CAIXES, BASES, PALETS DE FUSTADESTINATS A L'EMBALATGE",EMBALATGES MARMAN,"C SCHUMANN, 24 NV B2",PI. CAN JARDI,
MAGATZEM DE PRODUCTES PER L'EMBALATGE,"EMBILCO 2000, SL","PTGE DOCTOR FERRAN, 20 NV 19",PI. CA N'ALZAMORA,
FISIOTERAPIA,EN BONES MANS,"C ANTONI SEDO, 80-88A LOC 03",DA4,
ESTACIÓ DE SERVEI,ENERGETICS,"C WAGNER, 17",PI. CAN JARDI,
AUTOSERVEI ALIMENTACIÓ (AMPLIACIÓ VENDA CARBURANTS),ENERGETICS (DISTOP),"CTRA TERRASSA, 91",PI. CTRA. TERRASSA,
DISTRIBUCIÓ DE GAS-OIL I VENDA AL DETALL DE CARBURANTS,"ENERGÈTICS M. JULIÀ, SL","C WAGNER, 17",PI. CAN JARDI,
OFICINES ADMINISTRATIVES,ENGINYER JOSEP RECOLONS,"C TORRES ORIOL, 24",DA6,
MANIPULACIO I DISTRIBUCIO DE MATERIAL D'EMBALATGE,ENIPACK,"PTGE DOCTOR FERRAN, 24 NV 21",PI. CA N'ALZAMORA,
COMERÇ AL DETALL DE ROBA DE VESTIR,ENTRETELAS,"PTGE LLOBATERAS, 12 LOC 03",,
VENDA AL DETALL DE ROBA I COMPLEMENTS,ENTRETELAS,"C MAGALLANES, 52 PB",DA4,
FABRICACIÓ DE MAQUINÀRIA INDUSTRIAL,ENVAS TRONIC,"CTRA MOLINS DE REI, 60",PI. LA BASTIDA,
ENVASAT I MANIPULAT DE PRODUCTES,ENVASADOS A TERCEROS,"AV BIZET, 18",PI. COVA SOLERA,
MAGATZEM DE PRODUCTES DIVERSOS,EPIS AND TOOLS,"CTRA SABADELL, 247 NV 110",PI. LA BASTIDA,
EMPRESA DE TREBALL TEMPORAL,EPOS,"C LUMIERE, 2",DA6,
TALLER D'EQUILIBRATGE DE PECES ROTATIVES,"EQUILIBRADOS TECNICOS, SA","C SCHUMANN, 28 NV 01",PI. CAN JARDI,
FABRICACIÓ DE CABLES DE COMUNICACIÓ,ERHARDT SERVICIOS,"C SARDANA, 22",PI. COVA SOLERA,
OFICINA COMERCIAL,ERKE,"C CAL GERRER, 4 02 04",DA6,www.erke.biz
COMERÇ AL DETALL DE PA I PRODUCTES DE PASTISSERIA AMB DEGUSTACIÓ,ES PAN'S,"AV BARCELONA, 27",DA4,
RECICLATGE DE FERRALLA I REBUIG DE METALL,ESCALONA,"C SCHUMANN, 13",PI. CAN JARDI,
CENTRE D'ENSENYAMENT,ESCOLA D'ADULTS EL BULLIDOR,"C TERRASSA, 61",DA4,
ESCOLA DE BALL,ESCOLA DE BALL 8 TEMPS,"C SANTA FE, 7",DA5,
ESCOLA DE MÚSICA,ESCOLA DE MUSICA NURIA GARRIGA,"C CERVANTES, 50 02 02",DA4,www.nuriagarriga.com
ESCOLA DE REPOSTERIA,ESCOLA DE REPOSTERIA,"C JOAN MARAGALL, 41 Esc 2 PB 06",DA6,
CENTRE D'ENSENYAMENT,ESCOLA NOSTRA SENYORA DE MONTSERRAT,"C PINTOR COELLO, 7",DA4,
FABRICACIÓ DE PRODUCTES DE NETEJA,ESENCIAS DE JOCAR,"AV CAN ROSES, 20-22 NV 02",PI. CAN ROSES,
ESCOLA D'IDIOMES,ESPAI IDIOMES,"C SANT PERE, 11 PB 01",DA4,
LLOGUER D'ESPAIS PER L'ENSENYAMENT NO REGLAT,ESPAI IDIOMES,"C LLOBATERAS, 25",DA5,
CONSULTORI MÈDIC,ESPAI KUIDAT,"C PINTOR MURILLO, 62",DA4,
OFICINA D'INTERIORISME I DISSENY,"ESPAIS D'AUTOR GESTIÓ DISSENY, SL","C ANTONI SEDO, 80",DA4,
SUPERMERCAT,ESPUCARN,"C CA N'ALZAMORA, 1",PI. CA N'ALZAMORA,
CLÍNICA DENTAL,"ESTETIC DENT, SL","C CALDERON DE LA BARCA, 30 PB 01",DA6,
CENTRE D'ESTÈTICA,ESTETICA D'ARA,"C PITAGORAS, 3 Esc A AT 02",DA6,
VENDA AL DETALL DE CALÇAT I COMPLEMENTS,ESTEVE CALÇATS,"PG FRANCESC MACIA, 29 01",DA4,
FABRICACIÓ DE CABLES ELÈCTRICS,ESTIARE,"C PRAGA, 5",PI. COVA SOLERA,
PERRUQUERIA,ESTIL ROSA,"C LLOBATERAS, 6-10 LOC 03",DA4,
VENDA A L'ENGRÒS DE BEGUDES,ESTRELLA DAMM,"C LONDRES, 27 NV 17",PI. COVA SOLERA,
ESTUDIO SONIDO,ESTUDIO DE SONIDO,"AV FLORS, 29 PB 04",DA1,
MAGATZEM D'ACCESSORIS I RECANVIS PER L'AUTOMÒBIL,EUMA RECANVIS,"AV OLIMPIADES, 67",PI. CAN ROSES,
TALLER DE REPARACIÓ D'AUTOMÒBILS AMB OPERACIONS DE PINTURA,EURO TALLER,"PG TORRES, 65",PI. CA N'ALZAMORA,
