ANY_CONVOCATORIA,CODIGO_CONVOCATORIA,CONVOCATORIA,PARTIT_SIGLES,PARTIT_VOTS
1989,C89,Eleccions a Corts Generals 89,CIU,4289
2009,E09,Eleccions al Parlament Europeu 09,CIU,2264
2015,M2015,Eleccions Municipals 2015,PP,2327
1979,C79,Eleccions a Corts Generals 79,ULE,39
1993,C93,Eleccions a Corts Generals 93,ERC,983
2015,M2015,Eleccions Municipals 2015,FAVR,764
2014,E2014,Eleccions al Parlament Europeu 2014,PARTIDO-X,161
1986,C86,Eleccions a Corts Generals 86,P.E.D.,6
1999,E99,Eleccions al Parlament Europeu 99,AA,25
1987,M87,Eleccions Municipals 87,CDS,739
2012,A2012,Eleccions al Parlament de Catalunya 2012,CIU,6283
2009,E09,Eleccions al Parlament Europeu 09,LIBERTAS,67
1986,C86,Eleccions a Corts Generals 86,P.O.R.,34
2003,A03,Eleccions al Parlament  de Catalunya 03,MSR,4
2008,C08,Eleccions a Corts Generals 08,EV-LV,91
2009,E09,Eleccions al Parlament Europeu 09,PUM+J,37
2004,E04,Eleccions al Parlament Europeu 04,EC,6
2000,C00,Eleccions a Corts Generals 00,P.O.S.I.,40
1979,C79,Eleccions a Corts Generals 79,P.S.,86
1993,C93,Eleccions a Corts Generals 93,P.O.R.,32
2014,E2014,Eleccions al Parlament Europeu 2014,VOX,44
2011,C11,Eleccions a Corts Generals 2011,PxC,647
1993,C93,Eleccions a Corts Generals 93,P.H.,9
2008,C08,Eleccions a Corts Generals 08,EV-AE,132
2006,A06,Eleccions al Parlament de Catalunya 06,MSR,9
1989,E89,Eleccions al Parlament Europeu 89,A.V-M.E.C,269
2009,E09,Eleccions al Parlament Europeu 09,UNA,4
2011,C11,Eleccions a Corts Generals 2011,PACMA,293
2004,C04,Eleccions a Corts Generals 04,LF,10
2007,M07,Eleccions Municipals 07,IR-PRE,75
2004,E04,Eleccions al Parlament Europeu 04,UCL,2
2014,E2014,Eleccions al Parlament Europeu 2014,FE de las JONS,27
1999,E99,Eleccions al Parlament Europeu 99,PI,50
2003,A03,Eleccions al Parlament  de Catalunya 03,CDS,12
2014,E2014,Eleccions al Parlament Europeu 2014,P-LIB,11
2012,A2012,Eleccions al Parlament de Catalunya 2012,UCE,39
2015,M2015,Eleccions Municipals 2015,AUP-CAV-PA,2848
1994,E94,Eleccions al Parlament Europeu 94,GV,156
2009,E09,Eleccions al Parlament Europeu 09,POSI,21
2003,M03,Eleccions Municipals  03,UPR,2322
1986,C86,Eleccions a Corts Generals 86,ERC,408
1977,C77,Eleccions a Corts Generals 77,UC-DCC,602
1979,C79,Eleccions a Corts Generals 79,CD,257
1977,C77,Eleccions a Corts Generals 77,UCD,1814
1999,E99,Eleccions al Parlament Europeu 99,PLN,12
1980,A80,Eleccions al Parlament de Catalunya 80,PSC,3693
2008,C08,Eleccions a Corts Generals 08,PACMA,112
2009,E09,Eleccions al Parlament Europeu 09,UCE,3
2010,A2010,Eleccions al Parlament de Catalunya 2010,PIRATA.CAT,51
2007,M07,Eleccions Municipals 07,ICV-EUiA,2926
2005,RE05,Referèndum Constitució Europea 05,NO,4629
1999,A99,Eleccions al Parlament de Catalunya 99,FE de las JONS,6
1979,M79,Eleccions Municipals 79,ERC,1096
1982,C82,Eleccions a Corts Generals 82,UCD,251
1982,C82,Eleccions a Corts Generals 82,P.C.O.C.,20
2000,C00,Eleccions a Corts Generals 00,FEI,9
1979,C79,Eleccions a Corts Generals 79,P.P.,8
1984,A84,Eleccions al Parlament de Catalunya 84,P.C.O.C.,34
1980,A80,Eleccions al Parlament de Catalunya 80,CIU,3183
1976,RE76,Referendum 1976,NO,337
1995,A95,Eleccions al Parlament de Catalunya 95,ERC,1757
1999,E99,Eleccions al Parlament Europeu 99,URA,6
1992,A92,Eleccions al Parlament de Catalunya 92,S.I.,8
1999,A99,Eleccions al Parlament de Catalunya 99,P.O.S.I.,30
1979,M79,Eleccions Municipals 79,M.C.C-OEC,82
2006,A06,Eleccions al Parlament de Catalunya 06,PACMA,134
1979,C79,Eleccions a Corts Generals 79,FE de las JONS,29
2004,E04,Eleccions al Parlament Europeu 04,PCARLISTA,0
2000,C00,Eleccions a Corts Generals 00,PDE,5
2007,M07,Eleccions Municipals 07,ACR,1452
2014,E2014,Eleccions al Parlament Europeu 2014,IFEM,47
2014,E2014,Eleccions al Parlament Europeu 2014,MSR,12
2007,M07,Eleccions Municipals 07,FAVR,317
1999,E99,Eleccions al Parlament Europeu 99,CN+EP,955
1989,E89,Eleccions al Parlament Europeu 89,AEB,0
2014,E2014,Eleccions al Parlament Europeu 2014,DER,61
2007,M07,Eleccions Municipals 07,PP,2688
2004,E04,Eleccions al Parlament Europeu 04,FA,3
1989,E89,Eleccions al Parlament Europeu 89,PH,23
2010,A2010,Eleccions al Parlament de Catalunya 2010,PH,6
2014,E2014,Eleccions al Parlament Europeu 2014,PrimaveraEuropea,74
2004,C04,Eleccions a Corts Generals 04,PNCA,5
2007,M07,Eleccions Municipals 07,PSC,9418
1983,M83,Eleccions Municipals 83,P.O.R.E.,65
1980,A80,Eleccions al Parlament de Catalunya 80,PSA,870
1996,C96,Eleccions a Corts Generals 96,PICC,5
1993,C93,Eleccions a Corts Generals 93,UDLA,3
1988,A88,Eleccions al Parlament de Catalunya 88,L.O.C.,9
2014,E2014,Eleccions al Parlament Europeu 2014,ERC-EPDD,4053
1992,A92,Eleccions al Parlament de Catalunya 92,PEC-VERDE,71
2008,C08,Eleccions a Corts Generals 08,FE de las JONS,18
1999,A99,Eleccions al Parlament de Catalunya 99,PLN,10
1989,C89,Eleccions a Corts Generals 89,PEC-PCC,324
1988,A88,Eleccions al Parlament de Catalunya 88,UPR,1
2014,E2014,Eleccions al Parlament Europeu 2014,PT,5
1994,E94,Eleccions al Parlament Europeu 94,HB,25
2006,A06,Eleccions al Parlament de Catalunya 06,DECIDEIX.CAT,5
2007,M07,Eleccions Municipals 07,CIU,2023
2006,RE06,Referèndum Estatut de Catalunya 06,NO,4847
1999,E99,Eleccions al Parlament Europeu 99,BNG,23
2014,E2014,Eleccions al Parlament Europeu 2014,PACMA,401
1996,C96,Eleccions a Corts Generals 96,PEC-VERDE,40
1979,M79,Eleccions Municipals 79,CC,661
1999,E99,Eleccions al Parlament Europeu 99,PSOE-PROG,7938
2015,C2015,Eleccions Generals 2015,DL,2420
2006,A06,Eleccions al Parlament de Catalunya 06,AES-DN,24
2009,E09,Eleccions al Parlament Europeu 09,LV-GVE,152
2015,C2015,Eleccions Generals 2015,PACMA,511
1989,E89,Eleccions al Parlament Europeu 89,LVE,282
1995,A95,Eleccions al Parlament de Catalunya 95,PEC,47
2007,M07,Eleccions Municipals 07,ERC,2077
2004,E04,Eleccions al Parlament Europeu 04,FE de las JONS,1
2014,E2014,Eleccions al Parlament Europeu 2014,Cs,2008
1994,E94,Eleccions al Parlament Europeu 94,FORO-CDS,92
1979,C79,Eleccions a Corts Generals 79,P.C.-P.C.C,11
1989,E89,Eleccions al Parlament Europeu 89,LLV,219
2009,E09,Eleccions al Parlament Europeu 09,PH,7
1989,E89,Eleccions al Parlament Europeu 89,PA,164
2000,C00,Eleccions a Corts Generals 00,LF,9
2003,A03,Eleccions al Parlament  de Catalunya 03,PNCA,4
2015,C2015,Eleccions Generals 2015,Cs,6164
1987,E87,Eleccions al Parlament Europeu 87,null,0
1992,A92,Eleccions al Parlament de Catalunya 92,RUIZ-MATEO,56
1999,A99,Eleccions al Parlament de Catalunya 99,EV-AV,59
1995,A95,Eleccions al Parlament de Catalunya 95,ICV-EUiA,3467
1984,A84,Eleccions al Parlament de Catalunya 84,VERDE,50
2000,C00,Eleccions a Corts Generals 00,EC,12
1994,E94,Eleccions al Parlament Europeu 94,ICV-EUiA,2889
1995,A95,Eleccions al Parlament de Catalunya 95,NPS,7
2010,A2010,Eleccions al Parlament de Catalunya 2010,GN,12
2004,E04,Eleccions al Parlament Europeu 04,PREPAL,3
1984,A84,Eleccions al Parlament de Catalunya 84,ENTESA,223
1999,E99,Eleccions al Parlament Europeu 99,UPL,7
2015,C2015,Eleccions Generals 2015,PCPC,84
1996,C96,Eleccions a Corts Generals 96,FA,13
1992,A92,Eleccions al Parlament de Catalunya 92,EV-UV,127
2004,C04,Eleccions a Corts Generals 04,CDS,33
2010,A2010,Eleccions al Parlament de Catalunya 2010,UCE,4
1995,A95,Eleccions al Parlament de Catalunya 95,CIU,7306
1989,E89,Eleccions al Parlament Europeu 89,AE-EPV,27
2009,E09,Eleccions al Parlament Europeu 09,IF,65
1980,A80,Eleccions al Parlament de Catalunya 80,ERC,1197
2010,A2010,Eleccions al Parlament de Catalunya 2010,PDLPEA,26
1994,E94,Eleccions al Parlament Europeu 94,CIU,3717
2010,A2010,Eleccions al Parlament de Catalunya 2010,POSI,9
2004,E04,Eleccions al Parlament Europeu 04,CUP,18
1988,A88,Eleccions al Parlament de Catalunya 88,FE de las JONS,7
2006,A06,Eleccions al Parlament de Catalunya 06,Cs,1035
2014,E2014,Eleccions al Parlament Europeu 2014,PODEMOS,1463
1986,C86,Eleccions a Corts Generals 86,PSC,12394
1977,C77,Eleccions a Corts Generals 77,UPS,150
1977,C77,Eleccions a Corts Generals 77,P.P.,45
1994,E94,Eleccions al Parlament Europeu 94,CNPS,3
2003,A03,Eleccions al Parlament  de Catalunya 03,EC,19
1979,M79,Eleccions Municipals 79,CIU,2422
2003,A03,Eleccions al Parlament  de Catalunya 03,EBS,12
2015,C2015,Eleccions Generals 2015,UNIO,403
1988,A88,Eleccions al Parlament de Catalunya 88,PEC-VERDE,30
2008,C08,Eleccions a Corts Generals 08,PCPC,38
2004,E04,Eleccions al Parlament Europeu 04,EV-GVE,101
2000,C00,Eleccions a Corts Generals 00,PNCA,3
2000,S00,Eleccions al Senat 00,null,0
1989,E89,Eleccions al Parlament Europeu 89,UNA,15
1989,C89,Eleccions a Corts Generals 89,A.V-M.E.C,138
1999,E99,Eleccions al Parlament Europeu 99,CDTM,2
1977,C77,Eleccions a Corts Generals 77,FE de las JONS,78
1986,C86,Eleccions a Corts Generals 86,CIU,3837
2014,E2014,Eleccions al Parlament Europeu 2014,FAC,16
1982,C82,Eleccions a Corts Generals 82,FE de las JONS,31
1995,A95,Eleccions al Parlament de Catalunya 95,PRT,15
1994,E94,Eleccions al Parlament Europeu 94,PSC,6629
1979,C79,Eleccions a Corts Generals 79,FE - UF,0
1984,A84,Eleccions al Parlament de Catalunya 84,P.O.S.I.,42
1995,A95,Eleccions al Parlament de Catalunya 95,PSC,6735
1989,C89,Eleccions a Corts Generals 89,P.E.D.,14
2008,C08,Eleccions a Corts Generals 08,Cs,355
1999,E99,Eleccions al Parlament Europeu 99,PCARLISTA,0
1993,C93,Eleccions a Corts Generals 93,UCE,0
2012,A2012,Eleccions al Parlament de Catalunya 2012,PIRATA.CAT,214
1986,C86,Eleccions a Corts Generals 86,A.P.,1404
2006,A06,Eleccions al Parlament de Catalunya 06,PCPC,49
1994,E94,Eleccions al Parlament Europeu 94,PP,2921
2014,E2014,Eleccions al Parlament Europeu 2014,RRUE,3
1993,C93,Eleccions a Corts Generals 93,EV-CEC,367
1995,A95,Eleccions al Parlament de Catalunya 95,PP,2634
1979,M79,Eleccions Municipals 79,PSC,4948
1989,E89,Eleccions al Parlament Europeu 89,FN,23
2008,C08,Eleccions a Corts Generals 08,FALAUT,4
1987,M87,Eleccions Municipals 87,PDP,102
1989,E89,Eleccions al Parlament Europeu 89,PTE,202
2003,A03,Eleccions al Parlament  de Catalunya 03,PCPC,34
2004,C04,Eleccions a Corts Generals 04,EV-AE,265
1989,E89,Eleccions al Parlament Europeu 89,PP,908
2010,A2010,Eleccions al Parlament de Catalunya 2010,PP,3923
2009,E09,Eleccions al Parlament Europeu 09,SAIn,4
1988,A88,Eleccions al Parlament de Catalunya 88,P.O.R.E.,32
1984,A84,Eleccions al Parlament de Catalunya 84,P.S.T.,44
1994,E94,Eleccions al Parlament Europeu 94,URCL,7
1980,A80,Eleccions al Parlament de Catalunya 80,C.T.C.,41
1994,E94,Eleccions al Parlament Europeu 94,PREx,4
2015,M2015,Eleccions Municipals 2015,ERC-AM,4224
2011,M2011,Eleccions Municipals 2011,ICV-EUiA,2765
1993,C93,Eleccions a Corts Generals 93,CIU,5771
2009,E09,Eleccions al Parlament Europeu 09,AES,7
2003,M03,Eleccions Municipals  03,CDS,186
1989,E89,Eleccions al Parlament Europeu 89,PSC,8915
2010,A2010,Eleccions al Parlament de Catalunya 2010,PSC,5725
1989,C89,Eleccions a Corts Generals 89,ERC,525
1993,C93,Eleccions a Corts Generals 93,CNPS,7
2010,A2010,Eleccions al Parlament de Catalunya 2010,ALTERNATIVADEGOVERN,14
