CARRER_CODI,CARRER_TIPUS,CARRER_NOM
821,PTGE,CIUDAD DE MENDOZA
822,PTGE,DOCTOR FERRAN
823,C,MUSICA
960,C,SEMBRAT
961,C,VEREMA
962,PTGE,VEREMA
963,C,TRANSFORMADOR
964,C,TRES TORRES
968,C,MARE DE DEU DE MONTSERRAT
969,C,ESPIGA
970,PTGE,WALT DISNEY
972,PAS,AVINGUDA DE RUBI
101,C,SANT FRANCESC
1010,PL,MORERES
1011,C,MUSSOL
1012,PTGE,CERVOL
1013,PL,GERANIS
1014,AV,MOLI DE LA BASTIDA
1015,C,TORRENT DELS ALOUS
1016,PL,BONAVENTURA JOSA
1017,C,PINAR
1018,PL,ISABEL DE VILLENA
1019,PL,JOSEP PALET
102,C,SANT IGNASI
1020,C,BOBILA
1021,C,ARGILA
1022,C,FORNS
1023,C,CERAMICA
1024,C,TORRENT TALLAFIGUERES
1025,PL,LOUIS BRAILLE
1026,PL,JOAN PAU II
1027,PARC,CASTELL
1028,PARC,PAU I LA NATURA PERE YSAS
1029,PARC,IBERIC
374,PL,SANT ROC
377,CAMI,CAMPAMENT
380,URBAT,CASTELLNOU
389,C,EDISON
390,C,BERGUEDA
391,C,PENEDES
392,C,SANT SALVADOR
393,C,SEVILLA
819,PTGE,EDISON
820,PTGE,SERVET
941,PTGE,GARROFERS
942,PL,PI
943,C,PINEDA
944,PTGE,PINS I OLIVERES
945,C,PINS I OLIVERES
946,C,CAVA
947,PTGE,POMPEU FABRA
948,C,PONS CIRAC
949,PTGE,MILL
95,PTGE,SANT GAIETA
950,PTGE,RAIM
96,C,SANT GAIETA
38,C,ESPOZ I MINA
827,C,PIT-ROIG
828,CP,XIMELIS - CASETA POSTAL
829,PL,PLA I PALLEJA
831,PTGE,POESIA
211,PL,VIRTUTS
328,C,OR
352,C,PROGRES
353,C,INDUSTRIA
354,AV,MASSANA
355,C,ART
357,C,ANOIA
365,C,SANTA FE
366,C,SANTA ROSA
367,C,CIUDAD REAL
368,C,ASTURIES
369,C,CASTELLA
370,PTGE,XIMELIS
372,C,XIMELIS
373,CAMI,SANT MUÇ
394,C,NUMANCIA
395,C,FUTUR
396,C,ROSSELLO
397,C,NAVAS DE TOLOSA (LAS)
702,C,TAGA
286,C,JOSEP SERRANO
287,C,ALBENIZ
288,C,MANUEL DE FALLA
289,C,VERDI
577,C,NATACIO
590,C,TENNIS
592,PTGE,TOPAZI
593,C,URGELL
594,C,VALLES
595,C,VICTOR CATALA
596,.,APARTAT DE CORREUS
597,PTGE,CICLISME
598,C,GIMNASTICA
599,C,HANDBOL
603,C,EMILI SOLA
604,C,CESAR MARTINELL
605,C,DOMENECH I MONTANER
606,C,PUIG I GAIRALT
607,C,JOSEP M. JUJOL
608,PTGE,ASCO
438,PL,JESUS I MARIA
439,C,CARITAT
44,C,BLASCO DE GARAY
440,C,AMADEU VIVES
441,C,ARRIETA
443,.,CAN ROIG
444,AV,CAN TAPIS
45,C,BARTRINA
799,C,FRANCESC ROVIRA
80,C,PLANA DE CAN BERTRAN
8002,CTRA,BP 1503
8003,CTRA,C 243
8004,CP,CAN PI DE LA SERRA - CASETA POSTAL
801,PL,MEDITERRANI
802,C,XALOC
804,PTGE,LLEIDA
805,PTGE,FONT DEL FERRO
824,C,FREDERIC MOMPOU
825,C,JOSEP SALTO
826,C,GAVINA
830,CP,CAN MIR - CASETA POSTAL
832,C,ARRABASSADA
833,PL,MIGUEL HERNANDEZ
834,PL,RAMON RUSIÑOL
835,PL,ESBART DANSAIRE DE RUBI
836,PL,JOAN FUSTER
837,C,JOAN BOSCH
839,C,ORIOL MARTORELL
840,C,RAHOLA I D'ESPONA
841,C,PABLO IGLESIAS
842,PTGE,COL.LEGI
843,PL,ANTONIO MACHADO
844,PTGE,QUATRE VENTS
846,C,PTOLEMEU
847,C,TYCHO BRAHE
848,C,HIPATIA
849,PL,URANIA
85,.,CA N'ORIOL
850,C,KEPLER
851,C,GALILEU
852,AV,COMAS I SOLA
853,C,FLAMMARION
854,C,EDUARD FONTSERE
855,C,PRESSEGUERS
856,C,POMERES
