DENOMINACION;LOCALIZACION_TIPO DE VIA;LOCALIZACION_DENOMINACION DE LA  VIA;LOCALIZACION_NUMERO;C‡DIGO POSTAL;COORDENADA X;COORDENADA Y;TELêFONO;USO PRINCIPAL;ENTIDAD RESPONSABLE
C.P. Manuel BartolomÇ de Coss°o ;Calle;Eusebio Gonz†lez Su†rez;47;47014;353502,16;4610728,23;983355920;Actividades Educativas;Ayuntamiento de Valladolid
C.P. Fray Luis de Le¢n;Calle;Canterac;48;47012;357090,75;4611461,05;983271151;Actividades Educativas;Ayuntamiento de Valladolid
Vivienda;Calle;Soto;58;47010;356898,24;4614003,59;;Actividades Sociales;Ayuntamiento de Valladolid
C.P. Antonio Machado;Calle;Pilarica;59;47010;358131,46;4612870,57;983202461;Actividades Educativas;Ayuntamiento de Valladolid
Local de Participaci¢n Ciudadana;Calle;Olmo;63;47010;357169,45;4613985,78;983426100;Actividades de Participaci¢n Ciudadana;Ayuntamiento de Valladolid
Servicio Limpieza;Calle;Topacio;63;47012;357911,24;4607927,77;983352581;Limpieza y Tratamiento de Residuos;Ayuntamiento de Valladolid
C.P. Entre R°os;Calle;Soto;64;47010;356762,19;4614129,68;983252780;Actividades Educativas;Ayuntamiento de Valladolid
Vivienda;Paseo;Juan Carlos I;65;47012;357585,09;4611730,23;;Actividades Sociales;Ayuntamiento de Valladolid
Vivienda;Calle;Macizo de Gredos;66;47008;354157,53;4609067,60;;Actividades Sociales;Ayuntamiento de Valladolid
Vivienda;Calle;Portillo de Balboa;66;47010;355540,79;4614474,48;;Patrimonio Municipal;Ayuntamiento de Valladolid
Centro C°vico Parquesol;Calle;Eusebio Gonz†lez Su†rez;69;47014;353417,88;4610860,27;983376670;Actividades de Participaci¢n Ciudadana;Ayuntamiento de Valladolid
C.P. JosÇ M¶ Gabriel y Gal†n ;Paseo;Cauce;71;47005;357607,29;4612862,82;983299322;Actividades Educativas;Ayuntamiento de Valladolid
Vivienda;Calle;Macizo de Gredos;72;47008;354141,65;4609039,55;;Actividades Sociales;Ayuntamiento de Valladolid
Vivienda;Calle;Macizo de Gredos;74;47008;354138,95;4609033,65;;Actividades Sociales;Ayuntamiento de Valladolid
Vivienda;Paseo;Arco Ladrillo;75;47008;356231,42;4610150,35;;Actividades Sociales;Ayuntamiento de Valladolid
C.P. Francisco Pino;Calle;Hernando de Acu§a;81;47014;353104,71;4611368,73;983374610;Actividades Educativas;Ayuntamiento de Valladolid
C.P. Narciso Alonso CortÇs;Paseo;Juan Carlos I;84;47012;357901,31;4611974,21;983299171;Actividades Educativas;Ayuntamiento de Valladolid
C.P. El Peral;Calle;JosÇ Velicia ;88;47008;353899,63;4608803,76;983244080;Actividades Educativas;Ayuntamiento de Valladolid
Vivienda;Calle;Macizo de Gredos;90;47008;354122,60;4608999,84;;Patrimonio Municipal;Ayuntamiento de Valladolid
Vivienda;Calle;Macizo de Gredos;92;47008;354120,49;4608995,66;;Patrimonio Municipal;Ayuntamiento de Valladolid
CEAS La Rubia Zona Sur;Paseo;Zorrilla;101;47007;355233,18;4610453,61;983130030;Actividades Administrativas;Ayuntamiento de Valladolid
"Centro de estancias diurnas para Personas Mayores ""Zona Sur""";Paseo;Zorrilla;101;47007;355233,18;4610453,61;983457432;Actividades Sociales;Ayuntamiento de Valladolid
Escuela Municipal de Formaci¢n y Animaci¢n Juvenil;Paseo;Zorrilla;101;47007;355233,18;4610453,61;983134105;Actividades Educativas;Ayuntamiento de Valladolid
Espacio Joven;Paseo;Zorrilla;101;47007;355233,18;4610453,61;983134100;Actividades Culturales;Ayuntamiento de Valladolid
Centro Municipal Puente Duero;Calle;Real;105;47152;350755,01;4601965,96;983405133;Actividades de Participaci¢n Ciudadana;Ayuntamiento de Valladolid
C.P. Nuestra Se§ora del Duero;Calle;Real;115;47152;350721,37;4601894,63;983405136;Actividades Educativas;Ayuntamiento de Valladolid
Antiguo C.P. Pio del R°o Hortega;Calle;Villab†§ez;151;47017;358633,41;4612162,81;983291078;Actividades Educativas;Ayuntamiento de Valladolid
Vivienda;Paseo;Zorrilla;166;47008;355051,23;4610600,03;;Patrimonio Municipal;Ayuntamiento de Valladolid
C.P. Vicente Aleixandre I;Paseo;Zorrilla;186;47006;354969,94;4610300,29;983220351;Actividades Educativas;Ayuntamiento de Valladolid
Punto limpio Camino Viejo de Simancas;Cmno. ;Viejo de Simancas;233;47008;352662,05;4608643,73;608258017;Limpieza y Tratamiento de Residuos;Ayuntamiento de Valladolid
Estaci¢n Depuradora de Aguas Residuales (EDAR);Cmno. ;Viejo de Simancas;239;47008;352122,30;4608381,73;983236693;Limpieza y Tratamiento de Residuos;Ayuntamiento de Valladolid
Vivienda;Calle;Centro;12;47005;357422,92;4612461,99;;Actividades Sociales;Ayuntamiento de Valladolid
Oficina Municipal Casa del Barco;Paseo;Hospital Militar;11bis;47007;355995,74;4611678,97;983466218;Actividades Administrativas;Ayuntamiento de Valladolid
Vivienda;Paseo;Arco Ladrillo;17bis;47007;355964,06;4611530,23;;Actividades Sociales;Ayuntamiento de Valladolid
C.P. Miguel de Cervantes;Calle;Hermanitas de la Cruz;2A;47013;356578,86;4611272,84;983230376;Actividades Educativas;Ayuntamiento de Valladolid
Centro Infantil San Crist¢bal;Calle;Plata;37A;47012;358171,78;4609040,20;983480481;Actividades Educativas;Ayuntamiento de Valladolid
"Centro de estancias diurnas para Personas Mayores ""Delicias-Arca Real""";Calle;Arca Real;42C;47013;356332,04;4610575,13;983130398;Actividades Sociales;Ayuntamiento de Valladolid
C.P. JosÇ Zorrilla;Calle;Pinzones;4A;47010;357165,69;4614039,94;983255934;Actividades Educativas;Ayuntamiento de Valladolid
Local de Participaci¢n Ciudadana;Calle;Monasterio Sta. Mar°a de la Vid;6;47015;354887,71;4612212,86;626137186;Actividades de Participaci¢n Ciudadana;Ayuntamiento de Valladolid
Local de Participaci¢n Ciudadana;Calle;Monasterio Sta. Mar°a de la Vid;6;47015;354887,71;4612212,86;633197990;Actividades de Participaci¢n Ciudadana;Ayuntamiento de Valladolid
Local de Participaci¢n Ciudadana;Plaza;Viejo Coso;6;47003;356220,47;4613309,90;983357706;Actividades de Participaci¢n Ciudadana;Ayuntamiento de Valladolid
Local de Participaci¢n Ciudadana;Calle;Nelson Mandela;7;47013;356273,74;4611163,55;983226695;Actividades de Participaci¢n Ciudadana;Ayuntamiento de Valladolid
Local de Participaci¢n Ciudadana;Calle;Nelson Mandela;7;47013;356273,74;4611163,55;983226695;Actividades de Participaci¢n Ciudadana;Ayuntamiento de Valladolid
Local de Participaci¢n Ciudadana;Paseo;Cauce;75D;47011;357760,36;4612645,63;983426100;Actividades de Participaci¢n Ciudadana;Ayuntamiento de Valladolid
Vivienda;Paseo;Cauce;75F;47011;357833,71;4612634,91;;Actividades Sociales;Ayuntamiento de Valladolid
Vivienda;Paseo;Cauce;75F;47011;357833,71;4612634,91;;Actividades Sociales;Ayuntamiento de Valladolid
Vivienda;Paseo;Cauce;75G;47011;357870,27;4612680,86;;Actividades Sociales;Ayuntamiento de Valladolid
Vivienda;Paseo;Cauce;75G;47011;357870,27;4612680,86;;Actividades Sociales;Ayuntamiento de Valladolid
C.P. Le¢n Felipe ;Calle;Mirabel;9A;47003;356308,41;4613771,69;983356168;Actividades Educativas;Ayuntamiento de Valladolid
Planta de Recuperaci¢n y Compostaje de Residuos S¢lidos Urbanos;Ctra.;Le¢n;KM. 198;47009;351100,56;4615500,82;983358588;Limpieza y Tratamiento de Residuos;Ayuntamiento de Valladolid
Bar de las Moreras;Paseo;Isabel la Catolica;s/n;47003;355815,89;4613363,17;;Otras actividades;Ayuntamiento de Valladolid
Biblioteca Campo Grande;Calle;Acera de Recoletos;s/n;47004;356096,13;4612169,12;983300632;Actividades Culturales;Ayuntamiento de Valladolid
Centro de Recursos Tur°sticos;Calle ;Acera de Recoletos;s/n;47004;356117,52;4612214,98;983219310;Actividades Tur°sticas;Ayuntamiento de Valladolid
Dep¢sito Canino;Calle;Padre Bernardo Hoyos;s/n;47008;352886,15;4608234,11;983472004;Salud y Sanidad;Ayuntamiento de Valladolid
Antiguo C.P. Fray Luis de Granada;Calle;Calveras ;s/n;47009;357805,83;4617206,90;983426100;Sin actividad;Ayuntamiento de Valladolid
Imprenta Municipal;Calle;Sementera;s/n;47009;355271,46;4613618,77;983426003;Actividades Administrativas;Ayuntamiento de Valladolid
Oficinas Centro de Mantenimiento;Calle;Sementera;s/n;47009;355272,60;4613628,23;983426022;Actividades Administrativas;Ayuntamiento de Valladolid
Punto limpio Valle de Ar†n;Calle;Valle de Ar†n;s/n;47010;357210,38;4614435,79;639380766;Limpieza y Tratamiento de Residuos;Ayuntamiento de Valladolid
Local de Participaci¢n Ciudadana;Paseo;Almendros;s/n;47014;354475,90;4611143,11;983426100;Actividades de Participaci¢n Ciudadana;Ayuntamiento de Valladolid
Biblioteca Francisco Pino;Calle;Francisco Hern†ndez Pacheco;s/n;47014;355129,69;4612532,36;983143004;Actividades Culturales;Ayuntamiento de Valladolid
C£pula del Milenio;Plaza ;Milenio;s/n;47014;355598,15;4612468,23;983426245;Actividades Culturales;Ayuntamiento de Valladolid
Casa del Peregrino;Cmno. ;Aniago;s/n;47152;350436,40;4601835,00;678318188;Actividades Sociales;Ayuntamiento de Valladolid
Comisar°a Polic°a Nacional- Delicias;Calle;Gerona;16;47013;356494,35;4610358,48;983456116;Comisar°a Polic°a Nacional- Delicias;Cedido a la D.G. Polic°a
Bar La PÇrgola;Paseo;Zorrilla;18;47006;355867,96;4612185,79;;Actividades de ocio;Concesionario D. Ram¢n Garcia Aguado
Planta de Recuperaci¢n y Compostaje de Residuos S¢lidos Urbanos;Ctra.;Le¢n;KM. 198;47009;350714,09;4610841,49;;Limpieza y Tratamiento de Residuos;Concesionario Plante de Tratamiento de Valladolid UTE
Bar en Parque las Moreras;Paseo;Las Moreras;s/n;47013;355876,63;4613439,76;;Actividades de ocio;Concesi¢n Municipal
Aparcamiento Plaza Espa§a;Plaza;Espa§a;s/n;47001;356399,84;4612427,49;;Actividades de Seguridad y Movilidad;Concesionario: Aparcamientos Espa§oles
Aparcamiento Plaza Mayor;Plaza;Mayor;s/n;47001;356191,96;4612831,81;;Actividades de Seguridad y Movilidad;Concesionario: Aparcamientos Espa§oles
Aparcamiento Plaza Zorrila;Plaza;Zorrilla;s/n;47001;355995,50;4612286,68;;Actividades de Seguridad y Movilidad;Concesionario: Aparcamientos Espa§oles
Aparcamiento Romojaro;Calle ;Romojaro;s/n;47011;357221,91;4613774,11;;Actividades de Seguridad y Movilidad;Concesionario: Aparcamientos Romojaro, Sociedad Cooperativa
Aparcamiento Rondilla Santa Teresa;Calle ;Rondilla Santa Teresa;s/n;47010;356109,24;4613713,25;;Actividades de Seguridad y Movilidad;Concesionario: Aparcamientos San Nicol†s, S.C.L.
C.P. Jorge GuillÇn asociaci¢n Down Valladolid;Calle;Argentina;2;47014;354288,93;4610332,63;;Concesi¢n Municipal;Concesionario: Asociaci¢n Down Valladolid
Centro Social La Esperanza;Calle;Reja;17;47012;358421,36;4612186,13;;Concesi¢n Municipal;Concesionario: Asociaci¢n Parkinson Valladolid
Escuela de Hosteler°a;Calle;B†lago;s/n;47009;355426,86;4613440,97;;Concesi¢n Municipal;Concesionario: C†mara de Comercio e Industria
Aparcamiento  Antiguo Mercado Central;Plaza;Bi¢logo JosÇ Antonio Valverde;s/n;47012;357639,61;4611827,79;;Actividades de Seguridad y Movilidad;Concesionario: CEINSA, Contratas e Ingenier°a
C°rculo Campestre Pinar de Antequera;Calle;Acacias;s/n;47153;353896,67;4606089,94;;Concesi¢n Municipal;Concesionario: C°rculo Campestre
Aparcamiento Guip£zcoa;Calle ;Guipuzcoa;5;47013;357034,76;4611959,24;;Actividades de Seguridad y Movilidad;Concesionario: Cocheras Guip£zcoa
Aparcamiento  Circular;Plaza;Circular;s/n;47005;357089,99;4612205,78;;Actividades de Seguridad y Movilidad;Concesionario: Comunidad de Cesiones
Aparcamiento  Paseo Zorrilla;Paseo;Zorrilla;s/n;47006;355457,62;4611718,66;;Actividades de Seguridad y Movilidad;Concesionario: Comunidad de Cesiones
Aparcamiento Avenida de Palencia;Avenida;Palencia;41;47010;357176,38;4613837,15;;Actividades de Seguridad y Movilidad;Concesionario: Comunidad de Concesionarios
Aparcamiento Plaza EjÇrcito;Plaza;EjÇrcito;s/n;47007;355384,85;4611164,47;;Actividades de Seguridad y Movilidad;Concesionario: Comunidad de Concesionarios
Aparcamiento Gutierrez Sempr£n;Plaza;Gutierrez Sempr£n;s/n;47012;357161,05;4611638,01;;Actividades de Seguridad y Movilidad;Concesionario: Comunidad de Propietarios
Aparcamiento Sili¢;Calle ;Sili¢;s/n;47005;357384,37;4612569,96;;Actividades de Seguridad y Movilidad;Concesionario: Comunidad de Titulares
Aparcamiento Alberto Fern†ndez y Mirabel;Calle ;Alberto Fern†ndez;1;47010;356517,47;4614011,05;;Actividades de Seguridad y Movilidad;Concesionario: Comunidad de Usuarios
"Aparcamiento Centro de Personas Mayores ""Delicias""";Paseo;Juan Carlos I;28;47013;357216,91;4611402,84;;Actividades de Seguridad y Movilidad;Concesionario: CONSTRUCCIONES Y OBRAS LLORENTE, S.A.
Aparcamiento  Santa Mar°a La Antigua;Plaza;Santa Mar°a La Antigua;s/n;47003;356604,00;4612977,78;;Actividades de Seguridad y Movilidad;Concesionario: CORSAN-CORVIAM S.A.
Aparcamiento El Corte IngÇs;Plaza;Juan de Austria;11;47006;355202,25;4611240,42;;Actividades de Seguridad y Movilidad;Concesionario: El Corte InglÇs, S.A.
FASA-RENAULT Pinar Antequera;Ctra.;Rueda;s/n;47153;350771,72;4602151,10;;Concesi¢n Municipal;Concesionario: Fasa-Renault
C.P. Juan Mart°n El Empecinado;Calle;Tajahierro;2;47009;354795,55;4613091,00;;Concesi¢n Municipal;Concesionario: FEAFES VALLADOLID
Fundaci¢n Escuela de Negocios de Castilla y Le¢n;Calle;Mieses;28;47009;355096,17;4613386,75;;Concesi¢n Municipal;Concesionario: Fundaci¢n Escuela de Negocios de Castilla y Le¢n
Fundaci¢n Laboral de la Construcci¢n;Calle;Aperos;2D;47012;358520,86;4611899,02;;Concesi¢n Municipal;Concesionario: Fundaci¢n Laboral de la Construcci¢n
C.P. Giner de los R°os-Fundaci¢n Lengua Espa§ola;Avenida;JosÇ Luis Arrese;s/n;47014;354963,06;4612818,82;;Concesi¢n Municipal;Concesionario: Fundaci¢n Lengua Espa§ola
Parque Cultural Talleres del Pinar;Lugar;Pinar de Antequera;s/n;47153;353157,25;4606061,86;983340058;Actividades Culturales;Concesionario: Fundaci¢n Talleres del Pinar
Pabell¢n-Restaurante;Calle;Acera de Recoletos;s/n;47004;356174,26;4612153,08;;Concesi¢n Municipal;Concesionario: Grupo Inversor Garc°a Montaner
Kiosko Flores-Artesan°a;Calle;Acera de Recoletos;s/n;47004;356150,87;4612153,08;;Concesi¢n Municipal;Concesionario: Grupo Lince ASPRONA
Aparcamiento Plaza de Portugalete;Plaza;Portugalete;2;47002;356517,11;4612870,90;;Actividades de Seguridad y Movilidad;Concesionario: HIXAM GESTI‡N DE APARCAMIENTOS II, S.L.
Aparcamiento Plaza de Lola Herrera;Plaza;Lola Herrera;s/n;47013;356529,36;4611082,26;;Actividades de Seguridad y Movilidad;Concesionario: HIXAM GESTI‡N DE APARCAMIENTOS II, S.L.
Centro de Deporte y Ocio INGESPORT ;Calle;Asteroide;s/n;47011;358457,69;4613201,64;;Concesi¢n Municipal;Concesionario: INGESPORT HEALTH & SPA CONSULTING
Cafeter°a-Restaurante en Centro Municipal Polivalente ;Calle;P°o del R°o Hortega;13;47014;355074,36;4612521,67;;Concesi¢n Municipal;Concesionario: JAHOSVA S.L.
Bar Juana Prieto;Calle;Acacias;s/n;47153;353651,02;4602151,10;;Concesi¢n Municipal;Concesionario: Juana Prieto
Piscinas Rio Sol;Calle;Hogar;2A;47009;354701,71;4613207,31;;Concesi¢n Municipal;Concesionario: Piscina Riosol C.B.
Gasolinera Plaza Circular;Plaza;Circular;12;47005;357655,43;4612238,68;;Concesi¢n Municipal;Concesionario: REPSOL
Gasolinera Poniente;Plaza;Poniente;s/n;47003;356000,79;4612948,46;;Concesi¢n Municipal;Concesionario: REPSOL
Gasolinera Vallsur;Paseo;Zorrilla;s/n;47008;354502,36;4609668,50;;Concesi¢n Municipal;Concesionario: REPSOL
Aparcamiento Plaza del Milenio;Plaza;Milenio;s/n;47014;355598,15;4612468,23;;Actividades de Seguridad y Movilidad;Concesionario: SACYR, SAU
Aparcamiento Espanta;Calle ;Espanta;s/n;47007;355239,26;4609981,15;;Actividades de Seguridad y Movilidad;Concesionario: Salc¢n, S.A.
Centro de Ocio del Palero;Calle;Puerto Rico;2;47014;354540,86;4610839,51;;Concesi¢n Municipal;Concesionario: SIDECU S.L.
Aparcamiento  Solidaridad;Calle;Comuneros de Castilla;s/n;47009;355512,95;4614042,47;;Actividades de Seguridad y Movilidad;Concesionario: TECONSA
Centro de Ocio CDO Covaresa;Ctra.;Rueda;131;47008;354384,49;4608437,75;;Concesi¢n Municipal;Concesionario: URVA4 S.L.
Aparcamiento Isabel la Cat¢lica;Paseo;Isabel la Cat¢lica;5;47001;355875,83;4612791,26;;Actividades de Seguridad y Movilidad;Concesionario: Zarzuela, S.A.
Instalaciones de la Empresa Municipal de Transporte (AUVASA);Calle;Bronce ;3;47008;355372,15;4608809,07;983457720;Actividades de Seguridad y Movilidad;Empresa Municipal de Transporte (AUVASA)
Casa de la India;Calle;Puente Colgante;11;47007;355811,82;4611572,20;983228711;Actividades Culturales;Fundaci¢n Casa de la India
Teatro Calder¢n de la Barca;Calle;Angustias;1;47003;356523,79;4612994,02;983426444;Actividades Culturales;Fundaci¢n Municipal de Cultura
Casa Museo Zorrilla;Calle;Fray Luis de Granada;1;47003;356596,14;4613271,48;983426266;Actividades Culturales;Fundaci¢n Municipal de Cultura
Casa Museo Col¢n;Calle;Col¢n;1;47005;357057,92;4612929,95;983291353;Actividades Culturales;Fundaci¢n Municipal de Cultura
Casa Revilla;Calle;Torrecilla;5;47003;356624,22;4613246,73;983426100;Actividades Culturales;Fundaci¢n Municipal de Cultura
Museo del Toro;Calle;Peral;13;47007;355499,98;4611456,81;983271509;Actividades Culturales;Fundaci¢n Municipal de Cultura
Sala Municipal Las Francesas;Calle;Santiago;20;47001;356081,03;4612544,87;983373251;Actividades Culturales;Fundaci¢n Municipal de Cultura
Laboratorio de las Artes;Paseo;Zorrilla;101;47007;355158,99;4610426,94;983132228;Actividades Culturales;Fundaci¢n Municipal de Cultura
Sala Municipal La Pasi¢n;Calle;Pasi¢n;s/n;47001;356047,77;4612730,48;983374048;Actividades Culturales;Fundaci¢n Municipal de Cultura
Sala Municipal Teatro Calder¢n;Calle;Leopoldo Cano;s/n;47003;356486,66;4612984,41;983426450;Actividades Culturales;Fundaci¢n Municipal de Cultura
Complejo de Tenis Covaresa;Calle;Federico Garc°a Lorca;1;47008;354313,91;4608667,93;983249426;Activiades Deportivas;Fundaci¢n Municipal de Deportes
Pabell¢n Polideportivo Pisuerga;Plaza;MÇjico;1;47014;354742,28;4610544,53;983476166;Activiades Deportivas;Fundaci¢n Municipal de Deportes
Pabell¢n Polideportivo La Victoria;Calle;Comuneros de Castilla;2;47009;355488,13;4614071,50;609614864;Activiades Deportivas;Fundaci¢n Municipal de Deportes
Complejo Deportivo Parquesol;Calle;Profesor Adolfo Miaja de la Muela;2;47014;353838,37;4611587,01;983352611;Activiades Deportivas;Fundaci¢n Municipal de Deportes
Pabell¢n Polideportivo Gregorio Fern†ndez;Calle;India;3;47007;355799,92;4611493,74;618509452;Activiades Deportivas;Fundaci¢n Municipal de Deportes
Piscina Henar Alonso Pimentel;Plaza;Bi¢logo JosÇ Antonio Valverde;3;47012;357667,36;4611894,72;983212612;Activiades Deportivas;Fundaci¢n Municipal de Deportes
Complejo Deportivo Barrio Espa§a;Calle;Conde Arteche;4;47010;357313,54;4614166,23;983426305;Activiades Deportivas;Fundaci¢n Municipal de Deportes
Complejo Deportivo San Isidro;Calle;Santa Mar°a de la Cabeza;4;47012;358315,86;4611790,73;649828162;Activiades Deportivas;Fundaci¢n Municipal de Deportes
Gimnasio San Pedro Regalado;Calle;Aguilera;6;47011;358117,45;4614316,35;983251372;Activiades Deportivas;Fundaci¢n Municipal de Deportes
Complejo Deportivo Giner de los R°os;Calle;Francisco Hern†ndez Pacheco;6;47014;354959,94;4612649,04;983426305;Activiades Deportivas;Fundaci¢n Municipal de Deportes
Pabell¢n Polideportivo Pilar Fern†ndez Valderrama;Calle;Boedo;7;47008;354279,68;4609046,99;648236804;Activiades Deportivas;Fundaci¢n Municipal de Deportes
Pabell¢n Polideportivo Lalo Garc°a;Calle;Enrique Cubero;7;47014;353019,71;4611004,15;660325806;Activiades Deportivas;Fundaci¢n Municipal de Deportes
Complejo Deportivo Los Cerros;Calle;Oriental;8;47009;354868,66;4613281,66;983333666;Activiades Deportivas;Fundaci¢n Municipal de Deportes
Complejo Deportivo San Pedro Regalado;Calle;Aguilera;8;47011;358135,18;4614363,71;620974816;Activiades Deportivas;Fundaci¢n Municipal de Deportes
Pabell¢n Polideportivo Huerta del Rey;Calle;Joaqu°n Velasco Mart°n;9;47014;355299,76;4612308,24;983426305;Activiades Deportivas;Fundaci¢n Municipal de Deportes
Complejo Deportivo Soto de Medinilla;Calle;Valle de Ar†n;13;47010;357493,01;4614811,75;617508422;Activiades Deportivas;Fundaci¢n Municipal de Deportes
Polideportivo Mirian Blasco;Calle;Covadonga;16;47005;357472,13;4613209,06;680441149;Activiades Deportivas;Fundaci¢n Municipal de Deportes
Complejo Deportivo Canterac;Paseo;Juan Carlos I;16;47013;356915,71;4610750,02;983477904;Activiades Deportivas;Fundaci¢n Municipal de Deportes
Pabell¢n Polideportivo Crist¢bal Colon;Calle;CigÅe§a;26;47012;357780,72;4612237,22;983426305;Activiades Deportivas;Fundaci¢n Municipal de Deportes
Casa del Deporte;Avenida;Vicente Mortes;35;47014;355081,56;4613149,10;690367324;Activiades Deportivas;Fundaci¢n Municipal de Deportes
Complejo Deportivo la Victoria;Calle;Fuente el Sol;62;47009;355711,97;4614270,68;983344019;Activiades Deportivas;Fundaci¢n Municipal de Deportes
Pabell¢n Polideportivo Rondilla;Calle;Cardenal Torquemada;63;47010;357111,64;4614321,37;680441148;Activiades Deportivas;Fundaci¢n Municipal de Deportes
Piscina cubierta Benito Sanz de la Rica;Paseo;Zorrilla;101;47007;355209,81;4610420,94;983273782;Activiades Deportivas;Fundaci¢n Municipal de Deportes
Pabell¢n Polideportivo La Rubia;Paseo;Zorrilla;220;47008;354639,36;4609940,66;620319816;Activiades Deportivas;Fundaci¢n Municipal de Deportes
Piscina de verano de Puente Duero;Calle;Real;2B;47152;350953,80;4602619,06;983426306;Activiades Deportivas;Fundaci¢n Municipal de Deportes
Piscina cubierta Ribera de Castilla;Plaza;Ribera de Castilla;4A;47010;356936,22;4614290,48;983310307;Activiades Deportivas;Fundaci¢n Municipal de Deportes
Pabell¢n Polideportivo Pajarillos;Calle;Escribano;7A;47011;358426,04;4612532,23;620318496;Activiades Deportivas;Fundaci¢n Municipal de Deportes
Complejo Deportivo Ciudad de Valladolid (Renedo);Ctra.;Renedo;KM. 3,7;47011;360690,07;4613381,36;983251759;Activiades Deportivas;Fundaci¢n Municipal de Deportes
Complejo Deportivo Juan de Austria;Plaza;Juan de Austria;s/n;47006;355018,50;4611220,03;630136856;Activiades Deportivas;Fundaci¢n Municipal de Deportes
Campos de F£tbol Felic°simo de la Fuente;Calle;Daniel del Olmo Gonz†lez;s/n;47008;355188,31;4610260,05;983279808;Activiades Deportivas;Fundaci¢n Municipal de Deportes
Campos de F£tbol El Pinar;Ctra.;Rueda;s/n;47008;353611,53;4605513,96;983426306;Activiades Deportivas;Fundaci¢n Municipal de Deportes
Campos de F£tbol Paula L¢pez;Ctra.;Rueda;s/n;47008;354992,25;4609217,99;983279808;Activiades Deportivas;Fundaci¢n Municipal de Deportes
Pistas de tenis de Parquesol;Calle;Eusebio Gonz†lez Su†rez;s/n;47014;353932,23;4610596,15;983375847;Activiades Deportivas;Fundaci¢n Municipal de Deportes
Campos de F£tbol El Palero;Avenida;Medina del Campo;s/n;47014;354743,45;4610815,37;983471300;Activiades Deportivas;Fundaci¢n Municipal de Deportes
Estadio JosÇ Zorrilla;Avenida;Mundial 82;s/n;47014;353513,67;4612009,86;983360342;Activiades Deportivas;Fundaci¢n Municipal de Deportes
Campos de F£tbol Jose Luis Saso;Calle;Mart°n Santos Romero;s/n;47016;352782,35;4611567,92;983375847;Activiades Deportivas;Fundaci¢n Municipal de Deportes
Campo de Tiro El Rebollar;Ctra.;Cigu§uela a Robladillo;s/n;47191;341632,37;4610492,56;983362156;Activiades Deportivas;Fundaci¢n Municipal de Deportes
Complejo Motociclismo El Rebollar;Ctra.;Cigu§uela a Robladillo;s/n;47191;341503,43;4610390,74;983426306;Activiades Deportivas;Fundaci¢n Municipal de Deportes
Polideportivo CinegÇtico Faustino Alonso (El Rebollar);Ctra.;Cigu§uela a Robladillo;s/n;47191;341645,09;4612165,20;983426306;Activiades Deportivas;Fundaci¢n Municipal de Deportes
Edificio Anexo al Museo de la Ciencia;Avenida;Salamanca;59;47014;354769,92;4611279,44;983144330;Actividades Culturales;Fundaci¢n Museo de la Ciencia
Museo de la Ciencia;Avenida;Salamanca;59;47014;354720,86;4611237,25;983144300;Actividades Culturales;Fundaci¢n Museo de la Ciencia
Museo Patio Herreriano;Calle;Jorge GuillÇn;6;47003;356033,48;4613082,40;983362771;Actividades Culturales;Fundaci¢n Patio Herreriano
Cementerio El Carmen;Cmno. ;Cementerio ;1;47010;358438,02;4614474,78;983320079;Servicios Funerarios;Necr¢polis de Valladolid S.A. (NEVASA)
Cementerio Las Contiendas;Avenida;Gij¢n;71;47009;353799,86;4613601,65;983360405;Servicios Funerarios;Necr¢polis de Valladolid S.A. (NEVASA)
Cementerio Puente Duero;Cmno. ;Cementerio (Puente Duero);s/n;47152;351265,08;4602161,92;983360405;Servicios Funerarios;Necr¢polis de Valladolid S.A. (NEVASA)
Vivienda;Calle;Virgen de La Saleta;4;47010;356935,09;4614050,05;;Sociedad Municipal de Suelo y Vivienda de Valladolid (VIVA);Sociedad Municipal de Suelo y Vivienda de Valladolid (VIVA)
Oficinas Sociedad Municipal de Suelo y Vivienda de Valladolid (VIVA);Plaza;Rinconada;5;47001;356105,76;4612960,29;983370384;Actividades Administrativas;Sociedad Municipal de Suelo y Vivienda de Valladolid (VIVA)
Vivienda;Plaza;Nieves;6;47011;357987,49;4613493,14;;Sociedad Municipal de Suelo y Vivienda de Valladolid (VIVA);Sociedad Municipal de Suelo y Vivienda de Valladolid (VIVA)
Vivienda;Calle;Aguinaldo;14;47011;357897,94;4613367,78;;Sociedad Municipal de Suelo y Vivienda de Valladolid (VIVA);Sociedad Municipal de Suelo y Vivienda de Valladolid (VIVA)
Vivienda;Plaza;Churrer°a;22;47008;354188,99;4608923,14;;Sociedad Municipal de Suelo y Vivienda de Valladolid (VIVA);Sociedad Municipal de Suelo y Vivienda de Valladolid (VIVA)
Vivienda;Calle;Vinos de Rueda;22;47008;354170,88;4608874,91;;Sociedad Municipal de Suelo y Vivienda de Valladolid (VIVA);Sociedad Municipal de Suelo y Vivienda de Valladolid (VIVA)
Vivienda;Calle;Nicol†s Salmer¢n;33;47004;357020,66;4612190,13;;Sociedad Municipal de Suelo y Vivienda de Valladolid (VIVA);Sociedad Municipal de Suelo y Vivienda de Valladolid (VIVA)
