LOCALIZACI‡N;ZONA;TIPO;Nß DE PLAZAS;Coordenada X;Coordenada Y;;
CALLE ULTRAMAR;3;Normal;34;355110,44;4611459,27;;
PASEO DE ZORRILLA (Puente Colgante-Domingo Martinez) Impares;5;Normal;26;355378,79;4611448,24;;
CALLE TOREROS (Puente Colgante-Domingo Martinez);5;Normal;70;355555,36;4611444,11;;
CALLE GABILONDO (Puente Colgante-Domingo Mart°nez);5;Normal;35;355663,04;4611439,35;;
CALLE GUARDER÷A;5;Normal;55;355725,92;4611434,61;;
CALLE ESTADIO;3;Normal;69;355216,63;4611417,43;;
CALLE NORTE (Toreros-Gabilondo);5;Normal;28;355618,33;4611389,60;;
CALLE NORTE (Toreros-Domingo Martinez);5;Normal;21;355522,81;4611380,34;;
CALLE DOMINGO MART÷NEZ;5;Normal;106;355510,38;4611306,52;;
PASEO DE ZORRILLA (Estadio-Juan de Austria);3;Normal;22;355289,29;4611298,30;;
CALLE PAULINA HARRIET (Juan de Juni a San Ildefonso);3;Normal;13;355872,96;4611284,67;;
CALLE JUAN ALTISENT (Don Juan Austria-Falla);9;Normal;2;355076,94;4611145,14;;
CALLE JUAN ALTISENT (Falla-Joaqu°n Rodrigo);9;Normal;9;355167,96;4611130,86;;
CALLE TURINA (Falla-Don Juan de Austria);9;Normal;25;355059,48;4611124,77;;
CALLE TURINA (Joaqu°n Rodrigo-Falla);9;Normal;30;355170,61;4611108,37;;
PASEO DON JUAN DE AUSTRIA;9;Normal;44;355011,86;4611097,52;;
CALLE FALLA (AlbÇniz-Turina);9;Residentes;18;355100,76;4611084,56;;
CALLE ALBENIZ;9;Normal;23;355055,25;4611050,16;;
CALLE ESTEBAN DAZA;9;Normal;27;355148,38;4611043,54;;
CALLE JOAQU÷N RODRIGO (Granados-Turina);9;Normal;18;355198,39;4611036,14;;
CALLE FALLA (Granados-AlbÇniz);9;Residentes;14;355091,23;4611018,94;;
CALLE CHUECA;9;Normal;9;355138,86;4611012,32;;
CALLE GRANADOS;9;Normal;10;355151,29;4610977,40;;
CALLE FALLA (FÇlix Antonio-Granados);9;Residentes;32;355090,70;4610967,34;;
CALLE FELIX ANTONIO;9;Disuasorios;18;355042,55;4610951,47;;
CALLE VICENTE GOICOECHEA;9;Disuasorios;19;355134,62;4610924,48;;
CALLE JOAQUIN RODRIGO (Vives-Granados);9;Disuasorios;41;355165,31;4610893,26;;
CALLE SARASATE;9;Disuasorios;41;355010,27;4610882,15;;
CALLE FALLA (Goicohechea-Vives);9;Residentes;32;355085,94;4610881,09;;
CALLE VIVES (Sarasate-Falla);9;Disuasorios;18;355042,55;4610829,23;;
CALLE VIVES (Falla-Joaqu°n Rodrigo);9;Disuasorios;22;355118,22;4610816,53;;
CALLE CABALLERO;9;Disuasorios;16;355019,26;4610808,59;;
CALLE SERRANO (derecha Iglesia);9;Disuasorios;23;355051,39;4610781,87;;
CALLE SERRANO (izquierda Iglesia);9;Disuasorios;13;355106,43;4610775,39;;
PLAZA DOCTOR QUEMADA;9;Disuasorios;29;355068,74;4610733,98;;
