DENOMINACION;LOCALIZACION_TIPO DE VIA;LOCALIZACION_DENOMINACION DE LA  VIA;LOCALIZACION_NUMERO;C‡DIGO POSTAL;TELêFONO;COORDENADA X;COORDENADA Y;SIUACI‡N INMUEBLE;TIPO DE USO;ENTIDAD RESPONSABLE;;
Centro C°vico la Pilarica;Calle;Puente La Reina;1;47011;983396577;357818,81;4612792,33;Propiedad;Actividades de Participaci¢n Ciudadana;Ayuntamiento de Valladolid;;
Centro C°vico La Victoria;Calle;San Sebasti†n;7;47009;983424200;355902,72;4614088,16;Propiedad;Actividades de Participaci¢n Ciudadana;Ayuntamiento de Valladolid;;
Centro C°vico Parquesol;Calle;Eusebio Gonz†lez Su†rez;69;47014;983376670;353417,88;4610860,27;Propiedad;Actividades de Participaci¢n Ciudadana;Ayuntamiento de Valladolid;;
Centro C°vico Rondilla;Calle;Alberto Fern†ndez;3;47010;983426400;356452,07;4614065,27;Propiedad;Actividades de Participaci¢n Ciudadana;Ayuntamiento de Valladolid;;
Centro C°vico Zona Sur ;Plaza;Juan de Austria;11;47006;983426336;355203,76;4611242,86;Propiedad;Actividades de Participaci¢n Ciudadana;Ayuntamiento de Valladolid;;
Centro de Atenci¢n al Inmigrante (CAI);Calle;Arzobispo JosÇ Delicado;8;47014;983344343;355401,98;4612196,78;Propiedad;Actividades Sociales;Ayuntamiento de Valladolid;;
"Centro de estancias diurnas para Personas Mayores ""Delicias-Arca Real""";Calle;Arca Real;42-C;47013;983130398;356332,04;4610575,13;Propiedad;Actividades Sociales;Ayuntamiento de Valladolid;;
"Centro de estancias diurnas para Personas Mayores ""JosÇ Lu°s Mosquera"" (Huerta del Rey)";Calle;P°o del R÷o Hortega;13;47014;983363515;355059,20;4612523,36;Propiedad;Actividades Sociales;Ayuntamiento de Valladolid;;
"Centro de estancias diurnas para Personas Mayores ""Rondilla""";Calle;Cardenal Torquemada;52;47010;983266000;356840,18;4614090,73;Alquiler;Actividades Sociales;Ayuntamiento de Valladolid;;
"Centro de estancias diurnas para Personas Mayores ""Zona Este""";Plaza;Bi¢logo JosÇ Antonio Valverde;2;47012;983137990;357635,03;4611956,91;Propiedad;Actividades Sociales;Ayuntamiento de Valladolid;;
"Centro de estancias diurnas para Personas Mayores ""Zona Sur""";Paseo;Zorrilla;101;47007;983457432;355233,18;4610453,61;Propiedad;Actividades Sociales;Ayuntamiento de Valladolid;;
Centro de estancias temporales personas mayores/ Centro integrado de servicios a la dependencia ;Paseo;Extremadura;9;47009;983362732;356039,82;4614031,65;Propiedad;Actividades Sociales;Ayuntamiento de Valladolid;;
Centro de Formaci¢n Ocupacional Jacinto Benavente;Avenida;Esgueva;8;47011;983253556;356039,82;4614031,65;Propiedad;Actividades Educativas;Ayuntamiento de Valladolid;;
Centro de Iniciativas Ciudadanas Conde Ans£rez;Calle;Batuecas;24;47010;983426100;357363,99;4614308,69;Propiedad;Actividades de Participaci¢n Ciudadana;Ayuntamiento de Valladolid;;
Centro de Iniciativas Ciudadanas Constanza Mart°n;Calle;Arturo Moliner;17;47011;983252435;358098,01;4614363,87;Propiedad;Actividades de Participaci¢n Ciudadana;Ayuntamiento de Valladolid;;
Centro de Iniciativas Ciudadanas El Empecinado;Calle;Tajahierro;2;47009;983426154;354794,46;4613087,10;Propiedad;Actividades de Participaci¢n Ciudadana;Ayuntamiento de Valladolid;;
Centro de Iniciativas Ciudadanas Natividad µlvarez Chac¢n;Plaza;Carmen Ferreiro;3;47011;983426154;358013,89;4614469,88;Propiedad;Actividades de Participaci¢n Ciudadana;Ayuntamiento de Valladolid;;
Centro de Movilidad Urbana;Calle;Victoria ;4;47009;983426381;355873,85;4614146,72;Propiedad;Actividades de Seguridad y Movilidad;Ayuntamiento de Valladolid;;
Centro de Ocio CDO Covaresa;Ctra.;Rueda;131;47008;983114131;354384,49;4608437,75;Concesi¢n Municipal;Activiades Deportivas;Fundaci¢n Municipal de Deportes;;
Centro de Ocio del Palero;Calle;Puerto Rico;2;47014;983228755;354540,86;4610839,51;Concesi¢n Municipal;Activiades Deportivas;Fundaci¢n Municipal de Deportes;;
"Centro de Personas Mayores ""Delicias""";Paseo;Juan Carlos I;28;47013;983471138;357216,91;4611402,84;Propiedad;Actividades Sociales;Ayuntamiento de Valladolid;;
"Centro de Personas Mayores ""Delicias-Arca Real""";Calle;Arca Real;42-C;47013;983130398;356332,04;4610575,13;Propiedad;Actividades Sociales;Ayuntamiento de Valladolid;;
"Centro de Personas Mayores ""JosÇ Lu°s Mosquera"" (Huerta del Rey)";Calle;P°o del R÷o Hortega;13;47014;983363515;355059,20;4612523,36;Propiedad;Actividades Sociales;Ayuntamiento de Valladolid;;
"Centro de Personas Mayores ""La Victoria""";Calle;San Sebasti†n;3;47009;983344268;355878,54;4614108,36;Alquiler;Actividades Sociales;Ayuntamiento de Valladolid;;
"Centro de Personas Mayores ""R°o Esgueva""";Plaza;Encuentro de los Pueblos;2;47011;983214020;357867,50;4612700,20;Propiedad;Actividades Sociales;Ayuntamiento de Valladolid;;
"Centro de Personas Mayores ""Rondilla""";Calle;Cardenal Torquemada;52;47010;983266000;356840,18;4614090,73;Alquiler;Actividades Sociales;Ayuntamiento de Valladolid;;
"Centro de Personas Mayores ""Zona Este""";Plaza;Bi¢logo JosÇ Antonio Valverde;2;47012;983137990;357635,03;4611956,91;Propiedad;Actividades Sociales;Ayuntamiento de Valladolid;;
"Centro de Personas Mayores ""Zona Sur""";Paseo;Zorrilla;101;47007;983457432;355233,18;4610453,61;Propiedad;Actividades Sociales;Ayuntamiento de Valladolid;;
Centro de Personas Mayores Puente Colgante;Calle;Puente Colgante;42;47006;983223216;355310,96;4611563,43;Alquiler;Actividades Sociales;Ayuntamiento de Valladolid;;
Centro de Personas Mayores San Juan;Calle;Santa Luc°a;32 y 34;47005;983296394;357175,02;4612584,32;Alquiler;Actividades Sociales;Ayuntamiento de Valladolid;;
Centro de PiragÅismo Narciso Su†rez;Calle;R†bida;4;47010;650637870;357042,24;4614494,07;Propiedad;Activiades Deportivas;Fundaci¢n Municipal de Deportes;;
Centro de PiragÅismo Pisuerga;Plaza;MÇjico;s/n;47014;983426306;354824,30;4610661,31;Propiedad;Activiades Deportivas;Fundaci¢n Municipal de Deportes;;
Centro de Recursos Tur°sticos;Calle ;Acera de Recoletos;s/n;47004;983219310;356117,52;4612214,98;Propiedad;Actividades Tur°sticas;Ayuntamiento de Valladolid;;
Centro de Salud Laboral;Paseo;del Hospital Militar;22;47007;983426100;355822,82;4611789,18;Cedido al Ayuntamiento;Salud y Sanidad;Ayuntamiento de Valladolid;;
Centro de Servicios Sociales Segundo Montes;Calle;Durat¢n;2;47013;983426100;356817,39;4610742,10;Propiedad;Actividades Sociales;Ayuntamiento de Valladolid;;
Centro Espec°fico de Educaci¢n Especial Nß 1;Calle;Joaqu°n Velasco Mart°n;17;47014;983343226;355159,77;4612044,78;Propiedad;Actividades Educativas;Ayuntamiento de Valladolid;;
Centro Infantil San Crist¢bal;Calle;Plata;37A;47012;983480481;358171,78;4609040,20;Propiedad;Actividades Educativas;Ayuntamiento de Valladolid;;
