CODI,PRODUCTE,CARRER,NÚMERO,LOCALITZACIÓ
1346,ROBA DONA,PL ESGLESIA,10,"(41.607665, 2.286753)"
1348,ROBA INTERIOR,PL ESGLESIA,8,"(41.607652, 2.286579)"
1357,ROBA INTERIOR,PL ESGLESIA,6,"(41.60772, 2.286198)"
1363,ROBA DE LA LLAR,PL ESGLESIA,4,"(41.607764, 2.28573)"
1350,HERBORISTERIA,PL ESGLESIA,8,"(41.607654, 2.286429)"
1260,ROBA ORDINARIA,PL ESGLESIA,3,"(41.607834, 2.28589)"
1176,ROBA DONA,C SANT ROC,23,"(41.608357, 2.288795)"
1186,ROBA DONA,C SANT ROC,5,"(41.608462, 2.288116)"
1198,ROBA HOME/DONA,PL OLLES,14,"(41.608603, 2.287303)"
1209,BIJUTERIA,C SANTA ANNA,1,"(41.608602, 2.287113)"
1274,ROBA DONA,PL PORXADA,1,"(41.607906, 2.28696)"
1302,FRUITA I VERDURA,PL PORXADA,0,"(41.608146, 2.287752)"
1309,NO ESPECIFICAT,PL PORXADA,14,"(41.608221, 2.287772)"
1320,HERBORISTERIA,PL PORXADA,16,"(41.608378, 2.288011)"
1334,BASAR,C SANTA ESPERANÇA,6,"(41.607716, 2.288022)"
1335,NO ESPECIFICAT,C SANTA ESPERANÇA,8,"(41.607686, 2.288146)"
1341,ROBA DONA,PL PORXADA,36,"(41.607852, 2.287005)"
1345,ROBA INTERIOR,PL ESGLESIA,10,"(41.607718, 2.286755)"
1364,FRUITA I VERDURA,C SANT JAUME,5,"(41.607687, 2.285707)"
1392,FRUITA I VERDURA,C SANT JOSEP,7,"(41.607468, 2.283837)"
1403,FRUITA I VERDURA,C SANT JOSEP,4,"(41.607738, 2.284944)"
1413,BASAR,C SANT JAUME,30,"(41.608141, 2.28563)"
1079,MUSICA,C ANSELM CLAVE,31,"(41.607482, 2.288794)"
1005,ROBA HOME,C ANSELM CLAVE,6,"(41.608074, 2.28889)"
1111,FRUITA I VERDURA,PL LLUIS PERPINYA,18,"(41.609395, 2.289389)"
1042,ROSTISSERIA,PL CORONA,4,"(41.605525, 2.288294)"
1044,MAQUINES COSIR,PL CORONA,2,"(41.605436, 2.288275)"
1103,OLI I CONSERVES,PL LLUIS PERPINYA,30,"(41.609266, 2.28927)"
1121,ROBA HOME,PL LLUIS PERPINYA,13,"(41.609752, 2.289291)"
1123,NO ESPECIFICAT,C JOAN PRIM,4,"(41.609893, 2.289329)"
