ANY,ID,DATA,DIA,LLOC,INTERSECCIO AMB,NUM/PKM,DILIGÈNCIES,CLASSE,CAUSA,AMPLIACIÓ DE LA CAUSA,NOMBRE PERSONES ALCOHOL +,NOMBRE PERSONES ALCOHOL -,NEGATIVA A PROVA D'ALCHOLÈMIA,JUTJAT,DATA ENTREGA,OBSERVACIONS,TURISMES,CAMIONS,MOTOCICLETES,CICLOMOTORS,BICICLETES,FURGONETES,AUTOBUSOS,ALTRES,TOTAL VEHICLES,CONDUCTORS FERIT LLEUS,CONDUCTORS FERIT GREUS,CONDUCTORS MORTS,VIATGERS FERITS LLEUS,VIATGERS FERITS GREUS,VIATGERS MORTS,PEATONS FERITS LLEUS,PEATONS FERITS GREUS,PEATONS MORTS,VÍCTIMES
2010,760,18/03/2010 02:30:00 PM,Dijous,EMILI BOTEY ALSINA,,18,NO,Atropellament,Infracció,CREUAR INDEGUDAMENT,0,0,0,,,,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
2010,765,18/03/2010 04:30:00 PM,Dijous,GIRONA,LLEDONER,,NO,Col·lisió,Infracció,NO CEDIR PREFERENCIA,0,2,0,,,,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,2
2010,791,21/03/2010 01:25:00 PM,Diumenge,CALDES,MAS CARRENCA,,NO,Col·lisió,Infracció,NO CEDIR PREFERENCIA,0,0,0,,,MANCA PERMÍS (ADMINISTRATIVA),2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
2010,817,23/03/2010 05:55:00 PM,Dimarts,SANT ESTEVE,LLIRI,,NO,Col·lisió,Infracció,AVANÇAMENT INDEGUT,0,0,0,,,,1,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1
2010,851,27/03/2010 02:45:00 AM,Dissabte,SANT JULIA,,260,SI,Sortida de via,Infracció,VELOCITAT INADEQUADA,1,0,0,INSTRUCCIÓ 3,27/03/2010,ALCOHOLÈMIA POSITIVA + DANYS PATRIMONI,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2010,900,28/03/2010 08:30:00 AM,Diumenge,CONCA DEL BESOS,,S/N,NO,Col·lisió,Altra,ALTRES CAUSES,0,0,0,,,DANYS PATRIMONI + CONDUCTOR FUGIT,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2010,928,30/03/2010 04:40:00 PM,Dimarts,SANT FERRAN,BV-1432 GRANOLLERS-LLIÇA,,NO,Caiguda,Altra,ALTRES CAUSES,0,0,0,,,VEHICLE POLICIAL,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2010,957,03/04/2010 08:35:00 AM,Dissabte,GIRONA,,49,SI,Atropellament,Altra,ALTRES CAUSES,0,0,0,,,TEMPTATIVA SUÏCIDI,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
2010,959,04/04/2010 08:45:00 AM,Dijous,SANT JULIA,,241,NO,Col·lisió,Infracció,ALCOHOLEMIA,1,0,0,,,DANYS PATRIMONI + ALCOHOLÈMIA ADMINISTRATIVA,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
2010,966,05/04/2010 01:32:00 PM,Divendres,FOMENT,,49,NO,Atropellament,Infracció,CREUAR INDEGUDAMENT,0,0,0,,,,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
2010,1017,09/04/2010 11:38:00 PM,Dimarts,CORRO,,199,SI,Col·lisió,Infracció,ALCOHOLEMIA,1,0,0,INSTRUCCIÓ,,QUATRE (4) VEHICLES ESTACIONATS + T32,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
2010,1049,14/04/2010 08:10:00 AM,Diumenge,CAN FERRAN,,13-15,NO,Col·lisió,Distracció,MANCA D'ATENCIO,0,1,0,,,DANYS PATRINOMI (FANAL),0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2010,1084,17/04/2010 03:40:00 PM,Dimecres,NARCIS MONTURIOL,,,SI,Col·lisió,Infracció,STOP,1,0,0,INSTRUCCIÓ,,T32 (ALCOHOLÈMIA POSITIVA),2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
2010,1097,19/04/2010 12:22:00 PM,Dilluns,SERRAT I BONASTRE,,S/N,NO,Col·lisió,Infracció,CEDIU EL PAS,0,0,0,,,,1,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1
2010,1120,21/04/2010 04:50:00 PM,Dimecres,CAMP DE LES MORERES,,S/N,NO,Atropellament,Infracció,CREUAR INDEGUDAMENT,0,0,0,,,,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
2010,1125,22/04/2010 01:29:00 PM,Dijous,ROGER DE FLOR,ROGER DE LLURIA,,SI,Atropellament,Distracció,MANCA D'ATENCIO,0,1,0,INSTRUCCIÓ,,,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
2010,1126,22/04/2010 03:35:00 PM,Dijous,ESGLESIA,,2,NO,Altra,Distracció,MANCA D'ATENCIO,0,0,0,,,DANYS PATRIMONI,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2010,1135,23/04/2010 02:50:00 PM,Divendres,JOSEP UMBERT,,60,NO,Col·lisió,Distracció,MANCA D'ATENCIO,0,0,0,,,,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1
2010,1159,26/04/2010 10:30:00 AM,Dilluns,CORRO,,360,NO,Col·lisió,Distracció,MANCA D'ATENCIO,0,0,0,,,DANYS PATRIMONI (SENYAL VERTICAL),0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2010,1192,27/04/2010 06:40:00 PM,Dimarts,ESTACIO DEL NORD,RIBERA,,SI,Col·lisió,Distracció,MANCA D'ATENCIO,0,0,0,INSTRUCCIÓ,,,1,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1
2010,1195,28/04/2010 05:18:00 PM,Dijous,ISABEL DE VILLENA,,55,SI,Atropellament,Infracció,ALTRES INFRACCIONS,0,1,0,INSTRUCCIO 1,07/05/2010,EL VIANANT CAU A LA CALÇADA,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2010,1197,28/04/2010 10:00:00 AM,Dimecres,CASERNA,,S/N,NO,Col·lisió,Distracció,MANCA D'ATENCIO,0,1,0,,,DANYS PATRIMONI (FITÓ I PANOTS),0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2010,1208,29/04/2010 03:40:00 PM,Dijous,ESTEVE TERRADES,RONDA SUD,,NO,Col·lisió,Distracció,MANCA D'ATENCIO,0,0,0,,,,0,0,1,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,1
2010,1209,29/04/2010 02:30:00 PM,Dijous,CORONA,,S/N,NO,Col·lisió,Distracció,MANCA D'ATENCIO,0,0,0,,,DANYS PATRIMONI (CONTENIDOR RECOLLIDA SELECTIVA),0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2010,1217,30/04/2010 10:47:00 AM,Divendres,PARC,,S/N,NO,Atropellament,Infracció,VELOCITAT INADEQUADA,0,0,0,,,VEHICLE ESCAPOLIT (PEUGEOT 206 PLATEJAT),1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
2010,1859,17/07/2010 04:50:00 AM,Dissabte,JORDI CAMP,,5,NO,Atropellament,Infracció,ALCOHOLEMIA,1,0,0,,,ALCOHOLÈMIA VIANANT,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
2010,1227,01/05/2010 06:30:00 AM,Dissabte,LLUIS COMPANYS,ENRIC PRAT DE LA RIBA,,SI,Col·lisió,Infracció,SEMAFOR,1,1,0,INSTRUCCIÓ 2,14/06/2010,ACCIDENT + ALCOHOLÈMIA POSITIVA,2,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,2
2010,1247,29/04/2010 01:33:00 PM,Dijous,ROGER DE FLOR,JOAN PERE FONTANELLA,,NO,Col·lisió,Infracció,CEDIU EL PAS,0,0,0,,,,2,0,0,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1
2010,1250,04/05/2010 10:50:00 AM,Dimarts,MATARO,MANUEL DE FALLA,,NO,Col·lisió,Infracció,CEDIU EL PAS,0,2,0,,,,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1
2010,1280,06/05/2010 09:45:00 PM,Dijous,CEMENTIRI,C-251 GRAN. - GIRONA,,NO,Col·lisió,Altra,ALTRES CAUSES,0,0,0,,,MANCA PERÍCIA,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0,2,0,0,3
2010,1291,07/05/2010 04:00:00 PM,Divendres,C-251 GRAN. - GIRONA,,,SI,Sortida de via,Infracció,VELOCITAT INADEQUADA,0,0,0,INSTRUCCIÓ,,,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
2010,1307,09/05/2010 09:30:00 PM,Diumenge,ROGER DE FLOR,NAVARRA,,NO,Col·lisió,Infracció,SEMAFOR,0,2,0,,,,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0,2,0,0,3
2010,1308,09/05/2010 03:09:00 AM,Diumenge,ROGER DE FLOR,ISABEL DE VILLENA,,SI,Col·lisió,Infracció,SEMAFOR,1,0,0,INSTRUCCIÓ,,ACCIDENT + ALCOHOLÈMIA POSITIVA,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
2010,1324,10/05/2010 02:10:00 PM,Dilluns,JORDI CAMP,,115,NO,Col·lisió,Infracció,CREUAR INDEGUDAMENT,0,0,0,,,IMPLICATS TURISME I BICICLETA,1,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,1
2010,1330,11/05/2010 07:42:00 AM,Dimarts,CONCA DEL BESOS,,S/N,NO,Caiguda,Altra,ALTRES CAUSES,0,0,0,,,,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
2010,1333,11/05/2010 08:50:00 AM,Dimarts,FLUVIAL,,S/N,NO,Col·lisió,Infracció,OBRIR PORTA VEHICLE,0,0,0,,,,1,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,1
2010,1336,11/05/2010 12:15:00 PM,Dimarts,SANT JULIA,,168-180,NO,Col·lisió,Distracció,MANCA D'ATENCIO,0,1,0,,,QUATRE VEHICLES ESTACIONATS,5,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,1
2010,1337,11/05/2010 02:17:00 PM,Dimarts,CAL ROS DELS OCELLS,,S/N,NO,Col·lisió,Altra,ALTRES CAUSES,0,1,0,,,MATRÍCULA SEMIREMOLC  R0684BBS,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
2010,1355,13/05/2010 11:55:00 AM,Dijous,ENRIC PRAT DE LA RIBA,,59,NO,Col·lisió,Distracció,MANCA D'ATENCIO,0,0,0,,,DANYS PATRIMONI (ARBRE),0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2010,1369,17/05/2010 10:10:00 AM,Dilluns,ESTACIO DEL NORD,,S/N,NO,Col·lisió,Distracció,MANCA D'ATENCIO,0,0,0,,,,2,1,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1
2010,1378,17/05/2010 06:15:00 PM,Dilluns,JOSEP TORRAS I BAGES,CONSTITUCIO,,NO,Caiguda,Infracció,CIRC ZONA VIANANTS,0,0,0,,,,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1
2010,1382,18/05/2010 06:26:00 AM,Dimarts,RONDA SUD,,"17,600",NO,Col·lisió,Infracció,INV CARRIL CONTRARI,0,0,0,,,,2,1,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1
2010,1406,20/05/2010 09:15:00 PM,Dijous,CAMI VELL CANOVELLES,,,SI,Col·lisió,Infracció,DISTANCIA SEGURETAT,1,0,0,INSTRUCCIÓ 1,02/06/2010,ACCIDENT + ALCOHOLÈMIA POSITIVA,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1
