CODI,EPÍGRAF,NOM,ADREÇA,SUPERFICIE (m2),ÚS,SERVEI RESPONSABLE
583,1.1.b Places i vials urbans,C BERTRAN DE SEVA,,3374,carrer,
584,1.1.b Places i vials urbans,C MANUEL CORNELLA,,1582,carrer,
585,1.1.b Places i vials urbans,C BARTOMEU BRUFALT,,3014,carrer,
586,1.1.b Places i vials urbans,C JOSE ZORRILLA,,1160,carrer,
587,1.1.b Places i vials urbans,C TARRAGONA,,676,carrer,
588,1.1.b Places i vials urbans,PTGE MINETES,,252,carrer,
591,1.1.b Places i vials urbans,C ALEXANDER FLEMING,,1134,carrer,
593,1.1.b Places i vials urbans,C AUSIAS MARCH,,818,carrer,
590,1.1.b Places i vials urbans,PG MUNTANYA,,18092,carrer,
606,1.1.b Places i vials urbans,C ARGENTINA,,6992,carrer,
607,1.1.b Places i vials urbans,C EQUADOR,,4171,carrer,
608,1.1.b Places i vials urbans,C CAMPRODON,,1896,carrer,
609,1.1.b Places i vials urbans,C AGUSTI VINYAMATA,,4815,carrer,
611,1.1.b Places i vials urbans,TRVA MUNTANYA,,146,carrer,
613,1.1.b Places i vials urbans,C PERU,,348,carrer,
600,1.1.b Places i vials urbans,C JOSEP CARNER,,7783,carrer,
601,1.1.b Places i vials urbans,C CINGLES DE BERTI,,2539,carrer,
602,1.1.b Places i vials urbans,PTGE TORRETA,,337,carrer,
603,1.1.b Places i vials urbans,PG CAMPRODON,,96,carrer,
604,1.1.b Places i vials urbans,C TORRETA,,3940,carrer,
605,1.1.b Places i vials urbans,C NICARAGUA,,921,carrer,
630,1.1.b Places i vials urbans,C MURILLO,,2620,carrer,
633,1.1.b Places i vials urbans,C ALVAREZ DE CASTRO,,2234,carrer,
634,1.1.b Places i vials urbans,C SANT JOSEP CALASSANÇ,,6425,carrer,
614,1.1.b Places i vials urbans,C JOSEP UMBERT,,19026,carrer,
615,1.1.b Places i vials urbans,C MARESME,,2039,carrer,
616,1.1.b Places i vials urbans,C OSONA,,1424,carrer,
617,1.1.b Places i vials urbans,C OLIVAR,,4943,carrer,
619,1.1.b Places i vials urbans,CAMI CEMENTIRI,,7110,carrer,
620,1.1.b Places i vials urbans,C DR. SALVADOR LLOBET,,6444,carrer,
622,1.1.b Places i vials urbans,C FOMENT,,3738,carrer,
624,1.1.b Places i vials urbans,C MONTSENY,,6351,carrer,
626,1.1.b Places i vials urbans,C FRANCISCO DE QUEVEDO,,1083,carrer,
627,1.1.b Places i vials urbans,C ORIENT,,739,carrer,
643,1.1.b Places i vials urbans,C ARAGO,,2858,carrer,
644,1.1.b Places i vials urbans,PG ARAGO,,96,carrer,
646,1.1.b Places i vials urbans,C ENRIC PRAT DE LA RIBA,,19082,carrer,
648,1.1.b Places i vials urbans,C ROGER DE LLURIA,,3002,carrer,
635,1.1.b Places i vials urbans,C CONESTABLE DE PORTUGAL,,960,carrer,
637,1.1.b Places i vials urbans,C LLIRI,,904,carrer,
639,1.1.b Places i vials urbans,PG ALVAREZ DE CASTRO,,153,carrer,
640,1.1.b Places i vials urbans,C MALLORCA,,1001,carrer,
657,1.1.b Places i vials urbans,C GUAYAQUIL,,2154,carrer,
659,1.1.b Places i vials urbans,C LLORER,,165,carrer,
661,1.1.b Places i vials urbans,C TEATRE,,122,carrer,
649,1.1.b Places i vials urbans,C PRINCESA,,7632,carrer,
650,1.1.b Places i vials urbans,C MARE DE DEU DE MONTSERRAT,,13862,carrer,
651,1.1.b Places i vials urbans,PTGE SANT JAUME,,467,carrer,
656,1.1.b Places i vials urbans,C CASTELLA,,378,carrer,
654,1.1.b Places i vials urbans,C MIQUEL RICOMA,,2893,carrer,
719,1.1.b Places i vials urbans,C SABADELL,,3287,carrer,
721,1.1.b Places i vials urbans,C BADALONA,,2024,carrer,
723,1.1.b Places i vials urbans,C VIC,,3143,carrer,
728,1.1.b Places i vials urbans,C COPERNIC,,6547,carrer,
730,1.1.b Places i vials urbans,C MIQUEL SERVET,,3786,carrer,
736,1.1.b Places i vials urbans,PG CONCA DEL BESOS,,27200,carrer,
738,1.1.b Places i vials urbans,C FABRICA,,612,carrer,
740,1.1.b Places i vials urbans,C MOLLET,,7182,carrer,
741,1.1.b Places i vials urbans,C CASTELLTERÇOL,,2904,carrer,
743,1.1.b Places i vials urbans,AV EUROPA,,19130,carrer,
746,1.1.b Places i vials urbans,PTGE LLUIS COMPANYS,,1917,carrer,
744,1.1.b Places i vials urbans,C CAMI DEL MIG,,5726,carrer,
747,1.1.b Places i vials urbans,C LONDRES,,12411,carrer,
749,1.1.b Places i vials urbans,C VICENÇ BOU,,484,carrer,
751,1.1.b Places i vials urbans,C RAMON DAGA,,2025,carrer,
734,1.1.b Places i vials urbans,C SEVERO OCHOA,,10599,carrer,
716,1.1.b Places i vials urbans,CTRA MONTMELO,,51035,carretera,
725,1.1.b Places i vials urbans,PG ARENYS,,1308,carrer,
726,1.1.b Places i vials urbans,C ENRIC GRANADOS,,1900,carrer,
752,1.1.b Places i vials urbans,C MONTSERRAT ROIG,,3387,carrer,
754,1.1.b Places i vials urbans,C MARIA AURELIA CAPMANY,,5425,carrer,
680,1.1.b Places i vials urbans,C CAMP DE LES MORERES,,10267,carrer,
682,1.1.b Places i vials urbans,C JOSEP VICENÇ FOIX,,2464,carrer,
709,1.1.b Places i vials urbans,C EMPORDA,,6391,carrer,
710,1.1.b Places i vials urbans,C GUGLIELMO MARCONI,,22224,carrer,
711,1.1.b Places i vials urbans,C LOUIS PASTEUR,,1609,carrer,
713,1.1.b Places i vials urbans,C CAN CABANYES,,12972,carrer,
714,1.1.b Places i vials urbans,C CAMPSENTELLES,,2030,carrer,
662,1.1.b Places i vials urbans,C ANSELM CLAVE,,3819,carrer,
663,1.1.b Places i vials urbans,C SANTA ESPERANÇA,,339,carrer,
664,1.1.b Places i vials urbans,C MARIA MASPONS,,331,carrer,
665,1.1.b Places i vials urbans,C PORTALET,,231,carrer,
666,1.1.b Places i vials urbans,CDOR SANT CRISTOFOL,,555,carrer,
703,1.1.b Places i vials urbans,C TRES TORRES,,16460,carrer,
