DATA DE RECOLLIDA,SO2 (µg/m³),NO (µg/m³),NO2 (µg/m³),O3 (µg/m³),CO (mg/m³),PM10 (µg/m³)
23/11/2008,1,4,24,28,0.4,
24/11/2008,2,18,35,28,0.4,
25/11/2008,4,41,44,17,0.3,
26/11/2008,2,46,50,11,0.7,
27/11/2008,8,100,61,9,0.7,
28/11/2008,4,34,42,19,0.4,
29/11/2008,5,64,65,10,0.5,
30/11/2008,1,8,34,31,0.4,
01/12/2008,2,14,33,32,0.3,
02/12/2008,7,84,58,7,0.8,
03/12/2008,5,58,48,15,0.6,
04/12/2008,8,70,56,9,0.8,
05/12/2008,3,34,47,19,0.6,
06/12/2008,6,65,58,7,0.7,
07/12/2008,4,24,31,20,0.5,
08/12/2008,1,1,16,40,0.4,
09/12/2008,1,9,31,26,0.7,
10/12/2008,3,42,47,12,0.7,
11/12/2008,8,91,59,10,0.5,
12/12/2008,9,103,62,4,0.7,
13/12/2008,7,74,50,10,0.9,
14/12/2008,1,5,27,26,0.3,
15/12/2008,5,58,54,4,0.6,
16/12/2008,8,92,62,2,0.9,
17/12/2008,10,134,65,3,1.1,
18/12/2008,12,159,71,3,0.9,
19/12/2008,11,151,74,2,1,
20/12/2008,9,117,60,3,1.1,
21/12/2008,8,103,53,4,1.2,
22/12/2008,13,170,76,1,1.4,
23/12/2008,9,120,64,2,0.9,
24/12/2008,10,114,61,3,0.8,
25/12/2008,2,15,28,11,0.5,
26/12/2008,1,10,21,20,0.4,
27/12/2008,1,2,13,39,0.5,
28/12/2008,1,1,10,47,0.2,
29/12/2008,2,15,40,12,0.5,
30/12/2008,7,69,53,3,1,
31/12/2008,6,77,55,3,0.9,
01/01/2009,4,47,40,4,0.9,
02/01/2009,5,60,39,2,0.8,
03/01/2009,2,17,25,11,0.4,
04/01/2009,3,24,33,19,0.4,
05/01/2009,5,58,41,10,0.4,
06/01/2009,2,21,30,14,0.3,
07/01/2009,5,50,47,6,0.4,
08/01/2009,3,40,42,8,0.5,
09/01/2009,1,4,30,20,0.7,
10/01/2009,1,4,25,35,0.6,
11/01/2009,2,14,30,13,0.4,
12/01/2009,12,127,67,2,0.9,
13/01/2009,10,109,63,3,0.6,
14/01/2009,6,74,57,2,0.7,
15/01/2009,8,94,60,5,0.8,
16/01/2009,8,94,62,5,0.7,
17/01/2009,6,67,54,6,0.8,
18/01/2009,3,24,39,15,0.7,
19/01/2009,10,111,73,2,1.2,
20/01/2009,5,12,41,18,0.6,
21/01/2009,3,44,42,13,0.5,
22/01/2009,4,65,45,12,0.6,
23/01/2009,4,61,48,6,0.7,
24/01/2009,1,4,20,41,0.3,
25/01/2009,1,4,25,35,0.4,
26/01/2009,1,9,27,31,0.4,
27/01/2009,2,31,42,23,0.3,
28/01/2009,5,56,58,10,0.7,
29/01/2009,6,63,58,5,0.4,
30/01/2009,4,36,52,3,0.6,
31/01/2009,1,6,31,23,0.5,
01/02/2009,1,4,27,36,0.6,
02/02/2009,3,28,42,18,0.4,
03/02/2009,3,28,38,14,0.5,
04/02/2009,7,91,58,11,0.5,
05/02/2009,8,116,75,2,0.8,
06/02/2009,6,72,53,8,0.8,
07/02/2009,1,6,25,27,0.3,
08/02/2009,1,7,31,32,0.2,
09/02/2009,3,30,43,12,0.3,
10/02/2009,2,19,38,21,0.5,
11/02/2009,2,35,43,26,0.5,
12/02/2009,2,19,45,29,0.4,
13/02/2009,2,25,39,37,0.4,
14/02/2009,3,32,34,31,0.4,
15/02/2009,1,2,20,52,0.3,
16/02/2009,2,5,37,37,0.5,
17/02/2009,5,61,51,18,0.5,
18/02/2009,5,45,58,12,0.6,
19/02/2009,5,44,51,24,0.8,
20/02/2009,2,11,35,44,0.2,
21/02/2009,4,47,54,22,0.6,
22/02/2009,3,31,39,28,0.4,
23/02/2009,4,31,42,29,0.5,
24/02/2009,3,30,48,26,0.5,
25/02/2009,2,35,55,26,0.4,
26/02/2009,7,77,70,15,0.7,
27/02/2009,8,94,76,13,0.6,
28/02/2009,4,45,63,15,0.6,
01/03/2009,1,3,31,37,0.6,
02/03/2009,5,64,48,17,0.6,
03/03/2009,2,17,46,23,0.4,
04/03/2009,4,28,52,23,0.4,
05/03/2009,1,4,24,60,0.2,
06/03/2009,1,9,31,58,0.2,
07/03/2009,2,27,48,30,0.4,
08/03/2009,2,18,38,37,0.4,
09/03/2009,3,30,38,33,0.6,
10/03/2009,2,21,47,39,0.4,
11/03/2009,2,27,47,27,0.4,
12/03/2009,3,43,50,23,0.4,
13/03/2009,3,41,67,16,0.5,
14/03/2009,3,41,54,35,0.8,
15/03/2009,2,19,54,36,0.6,
16/03/2009,4,42,49,27,0.5,
17/03/2009,2,20,67,61,0.7,
18/03/2009,3,63,68,36,0.6,
19/03/2009,4,61,68,27,0.5,
20/03/2009,3,46,41,44,0.4,
21/03/2009,1,8,32,57,0.5,
22/03/2009,2,10,30,56,0.6,
23/03/2009,4,50,56,27,0.4,
24/03/2009,5,60,48,42,0.4,
25/03/2009,2,11,36,53,0.3,
26/03/2009,2,18,46,39,0.6,
27/03/2009,4,36,45,38,0.5,
28/03/2009,1,5,27,35,0.4,
29/03/2009,1,2,22,50,0.3,
30/03/2009,1,5,30,43,0.3,
31/03/2009,4,37,49,14,0.4,
01/04/2009,2,20,41,32,0.3,
02/04/2009,6,34,51,13,0.6,
03/04/2009,3,42,42,29,0.5,
04/04/2009,2,29,35,41,0.4,
05/04/2009,2,12,32,48,0.6,
06/04/2009,3,22,40,43,0.4,
07/04/2009,1,4,28,55,0.2,
08/04/2009,1,3,17,79,0.4,
09/04/2009,3,29,24,53,0.3,
10/04/2009,1,1,10,78,0.2,
11/04/2009,1,1,7,93,0.2,
12/04/2009,1,5,23,33,0.3,
13/04/2009,1,3,15,55,0.5,
14/04/2009,3,33,36,42,0.3,
15/04/2009,2,4,36,51,0.5,
16/04/2009,2,24,49,44,0.3,
17/04/2009,3,37,54,31,0.6,
18/04/2009,2,14,36,39,0.5,
19/04/2009,2,18,33,43,0.6,
20/04/2009,2,28,44,31,0.3,
21/04/2009,3,32,53,30,0.5,
22/04/2009,1,10,49,68,0.5,
23/04/2009,3,38,69,42,0.6,
24/04/2009,2,21,36,77,0.3,
25/04/2009,1,1,7,117,0.2,
26/04/2009,1,1,11,88,0.6,
27/04/2009,1,10,24,60,0.3,
28/04/2009,1,4,25,52,0.4,
29/04/2009,2,11,27,55,0.4,
30/04/2009,1,10,31,55,0.4,
01/05/2009,1,2,19,58,0.3,
02/05/2009,2,14,34,46,0.3,
03/05/2009,1,6,33,62,0.2,
04/05/2009,4,31,51,69,0.3,
05/05/2009,2,13,45,52,0.6,
06/05/2009,3,28,51,41,0.4,
07/05/2009,5,42,69,34,0.5,
08/05/2009,3,25,51,49,0.4,
09/05/2009,1,1,18,77,0.2,
10/05/2009,1,1,15,77,0.5,
11/05/2009,1,2,21,62,0.4,
12/05/2009,1,4,24,60,0.2,
13/05/2009,1,12,35,45,0.5,
14/05/2009,2,15,29,36,0.6,
15/05/2009,2,9,27,50,0.3,
16/05/2009,2,11,34,52,0.2,
17/05/2009,2,3,28,64,0.2,
18/05/2009,2,11,29,62,0.4,
19/05/2009,2,18,39,44,0.5,
20/05/2009,1,6,28,50,0.4,
21/05/2009,3,3,35,44,0.5,
22/05/2009,1,8,50,41,0.4,
23/05/2009,1,3,38,54,0.4,
24/05/2009,1,1,24,79,0.3,
25/05/2009,1,7,34,58,0.3,
26/05/2009,2,13,34,56,0.4,
27/05/2009,1,5,32,61,0.2,
28/05/2009,3,19,52,50,0.3,
29/05/2009,3,20,48,44,0.3,
30/05/2009,2,11,38,64,0.3,
31/05/2009,1,1,16,83,0.3,
01/06/2009,2,7,28,59,0.4,
02/06/2009,2,13,40,65,0.3,
03/06/2009,3,15,48,58,0.4,
04/06/2009,2,9,37,73,0.5,
05/06/2009,2,8,44,45,0.5,
06/06/2009,1,6,22,56,0.2,
07/06/2009,1,1,15,70,0.2,
08/06/2009,2,10,32,51,0.3,
09/06/2009,1,6,27,68,0.2,
10/06/2009,2,8,38,58,0.3,
11/06/2009,2,9,26,55,0.2,
12/06/2009,3,17,40,41,0.3,
13/06/2009,3,13,45,48,0.3,
14/06/2009,2,5,34,75,0.2,
15/06/2009,1,5,23,76,0.6,
16/06/2009,1,2,18,67,0.2,
17/06/2009,1,13,45,55,0.4,
18/06/2009,1,7,45,57,0.3,
19/06/2009,2,36,58,54,0.4,
20/06/2009,1,3,24,52,0.4,
21/06/2009,1,1,12,74,0.2,
22/06/2009,1,12,26,63,0.2,
23/06/2009,2,8,30,59,0.5,
24/06/2009,1,5,30,50,0.3,
25/06/2009,1,15,41,49,0.3,
26/06/2009,1,5,30,74,0.2,
27/06/2009,1,7,35,66,0.3,
28/06/2009,1,8,29,54,0.3,
29/06/2009,2,25,51,48,0.3,
30/06/2009,2,25,52,62,0.4,
01/07/2009,1,17,37,76,0.3,
02/07/2009,1,13,43,79,0.2,
03/07/2009,1,9,42,79,0.3,
04/07/2009,1,5,30,85,0.2,
05/07/2009,1,1,15,80,0.5,
06/07/2009,1,7,29,57,0.3,
07/07/2009,1,2,21,59,0.2,
08/07/2009,1,4,32,34,0.3,
09/07/2009,2,18,48,20,0.5,
10/07/2009,1,8,30,46,0.4,
11/07/2009,1,3,23,46,0.2,
12/07/2009,2,6,31,43,0.4,
13/07/2009,1,16,34,53,0.4,
14/07/2009,1,1,14,72,0.4,
15/07/2009,1,3,27,70,0.4,
16/07/2009,1,9,35,55,0.3,
17/07/2009,1,2,21,56,0.3,
18/07/2009,1,6,22,60,0.2,
19/07/2009,1,1,14,67,0.2,
20/07/2009,1,15,37,42,0.2,
21/07/2009,2,10,34,49,0.2,
22/07/2009,1,6,37,50,0.4,
23/07/2009,2,25,43,48,0.3,
24/07/2009,1,6,33,80,0.3,
25/07/2009,1,2,16,72,0.3,
26/07/2009,1,2,26,55,0.4,
27/07/2009,2,16,36,65,0.3,
28/07/2009,1,9,32,63,0.2,
29/07/2009,1,21,45,50,0.3,
30/07/2009,1,6,22,77,0.4,
31/07/2009,1,5,35,57,0.2,
01/08/2009,1,6,29,61,0.4,
02/08/2009,1,2,12,70,0.2,
03/08/2009,3,6,24,50,0.2,
04/08/2009,1,5,31,48,0.2,
05/08/2009,1,8,37,44,0.4,
06/08/2009,1,6,37,47,0.5,
07/08/2009,1,10,31,62,0.3,
08/08/2009,1,1,15,81,0.3,
09/08/2009,1,2,17,61,0.3,
10/08/2009,1,11,28,45,0.4,
11/08/2009,1,5,30,61,0.2,
12/08/2009,1,9,39,68,0.5,
13/08/2009,1,9,39,72,0.2,
14/08/2009,2,12,43,57,0.3,
15/08/2009,1,12,37,66,0.2,
16/08/2009,1,5,30,55,0.3,
17/08/2009,3,13,53,45,0.2,
18/08/2009,2,25,58,47,0.3,
19/08/2009,2,19,50,46,0.3,
20/08/2009,2,22,49,54,0.2,
21/08/2009,1,11,32,63,0.3,
22/08/2009,1,1,17,68,0.2,
23/08/2009,1,4,27,58,0.4,
24/08/2009,1,10,30,64,0.2,
25/08/2009,1,1,16,69,0.2,
26/08/2009,1,4,25,57,0.4,
27/08/2009,1,18,39,58,0.3,
28/08/2009,1,11,36,60,0.3,
29/08/2009,1,1,13,68,0.3,
30/08/2009,1,2,16,61,0.3,
31/08/2009,2,18,39,35,0.4,
01/09/2009,1,14,39,33,0.3,
02/09/2009,1,3,26,42,0.3,
03/09/2009,1,5,21,49,0.2,
04/09/2009,1,9,25,49,0.5,
05/09/2009,1,2,18,54,0.2,
06/09/2009,1,3,24,56,0.2,
07/09/2009,2,14,31,63,0.2,
08/09/2009,2,23,34,65,0.3,
09/09/2009,1,15,41,57,0.2,
10/09/2009,2,15,53,53,0.3,
11/09/2009,1,3,36,78,0.3,
12/09/2009,1,3,34,79,0.3,
13/09/2009,1,1,21,77,0.2,
14/09/2009,1,4,23,61,0.2,
15/09/2009,1,7,27,35,0.2,
16/09/2009,3,48,52,29,0.3,
17/09/2009,1,8,25,66,0.2,
18/09/2009,1,15,40,56,0.2,
19/09/2009,1,4,28,57,0.4,
20/09/2009,1,5,24,56,0.3,
21/09/2009,2,23,44,38,0.3,
22/09/2009,2,23,31,55,0.4,
23/09/2009,1,5,32,78,0.3,
24/09/2009,3,49,71,41,0.4,
25/09/2009,2,28,51,60,0.5,
26/09/2009,1,8,33,61,0.3,
27/09/2009,1,1,13,83,0.2,
28/09/2009,1,7,28,80,0.2,
29/09/2009,3,37,48,71,0.4,
30/09/2009,3,40,75,26,0.4,
01/10/2009,4,56,63,32,0.5,
02/10/2009,3,36,43,40,0.3,
03/10/2009,1,8,37,46,0.2,
04/10/2009,1,16,42,38,0.3,
05/10/2009,3,40,61,30,0.5,
06/10/2009,4,33,62,33,0.6,
07/10/2009,3,53,69,35,0.4,
08/10/2009,2,21,62,26,0.2,
09/10/2009,1,16,35,39,0.2,
10/10/2009,1,5,26,40,0.3,
11/10/2009,1,7,26,36,0.3,
12/10/2009,1,8,24,40,0.3,
13/10/2009,2,30,48,27,0.3,
14/10/2009,1,4,36,44,0.2,
15/10/2009,1,3,23,58,0.2,
16/10/2009,2,21,38,44,0.3,
17/10/2009,1,20,45,35,0.4,
18/10/2009,1,2,23,54,0.3,
19/10/2009,2,16,45,31,0.4,
20/10/2009,2,30,56,25,0.7,
21/10/2009,1,21,48,34,0.4,
22/10/2009,5,69,59,4,0.3,
23/10/2009,6,75,55,12,0.5,
24/10/2009,3,50,43,15,0.4,
25/10/2009,2,29,40,17,0.3,
26/10/2009,4,49,47,12,0.5,
27/10/2009,2,29,44,16,0.2,
28/10/2009,1,14,49,19,0.3,
29/10/2009,3,54,54,14,0.4,
30/10/2009,6,79,63,19,0.4,
31/10/2009,3,41,54,14,0.3,
01/11/2009,1,9,40,29,0.3,
02/11/2009,1,16,43,27,0.3,
03/11/2009,2,30,40,31,0.3,
04/11/2009,2,20,37,33,0.2,
05/11/2009,2,19,37,31,0.2,
06/11/2009,3,31,44,24,0.3,
07/11/2009,3,33,35,25,0.5,
08/11/2009,1,2,9,57,0.2,
09/11/2009,3,23,39,36,0.4,
10/11/2009,2,34,55,14,0.2,
11/11/2009,5,66,60,4,0.6,
12/11/2009,9,126,68,3,0.8,
13/11/2009,11,149,79,3,0.9,
14/11/2009,7,97,67,8,0.7,
15/11/2009,5,72,60,13,0.4,
16/11/2009,8,107,73,9,0.7,
17/11/2009,13,180,98,3,0.7,
18/11/2009,9,124,72,4,0.6,
19/11/2009,4,55,46,14,0.5,
20/11/2009,4,68,58,13,0.4,
21/11/2009,2,36,55,8,0.3,
22/11/2009,2,23,45,18,0.4,
23/11/2009,6,95,68,8,0.6,
24/11/2009,10,153,80,7,0.6,
25/11/2009,7,85,80,5,0.5,
26/11/2009,7,73,76,8,0.4,
27/11/2009,6,91,63,5,0.5,
28/11/2009,5,83,57,15,0.4,
29/11/2009,3,26,55,9,0.3,
30/11/2009,1,8,27,33,0.3,
01/12/2009,2,26,39,30,0.4,
02/12/2009,10,126,82,5,0.8,
03/12/2009,10,136,72,6,0.6,
04/12/2009,2,35,45,17,0.4,
05/12/2009,4,75,55,8,0.5,
06/12/2009,5,41,50,12,0.3,
07/12/2009,5,52,60,7,0.6,
08/12/2009,2,26,38,15,0.3,
09/12/2009,11,169,81,5,0.4,
10/12/2009,21,307,126,4,1.1,
11/12/2009,14,205,96,4,0.6,
12/12/2009,5,63,53,9,0.3,
13/12/2009,2,11,27,25,0.4,
14/12/2009,2,17,28,29,0.5,
15/12/2009,1,13,31,21,0.3,
16/12/2009,5,57,49,17,0.4,
17/12/2009,6,69,56,9,0.7,
18/12/2009,4,38,49,17,0.5,
19/12/2009,8,83,67,11,0.9,
20/12/2009,6,58,59,16,0.6,
21/12/2009,21,161,93,6,1.3,
22/12/2009,15,212,107,4,1.2,
23/12/2009,6,99,86,11,0.6,
24/12/2009,8,129,84,7,0.9,
25/12/2009,1,4,25,44,0.3,
26/12/2009,1,1,17,50,0.2,
27/12/2009,1,14,31,30,0.4,
28/12/2009,5,67,75,11,0.5,
29/12/2009,6,79,81,7,0.6,
30/12/2009,5,91,68,17,0.6,
31/12/2009,4,51,57,24,0.4,
01/01/2010,1,1,5,73,0.2,
02/01/2010,1,6,27,32,0.2,
03/01/2010,2,24,47,17,0.5,
04/01/2010,2,27,47,16,0.3,
05/01/2010,1,5,29,25,0.3,
06/01/2010,1,4,20,36,0.3,
07/01/2010,1,10,23,36,0.2,
08/01/2010,1,21,47,32,0.4,
09/01/2010,1,5,28,42,0.3,
10/01/2010,2,20,36,34,0.7,
11/01/2010,5,73,70,13,0.6,
12/01/2010,8,97,76,11,0.5,
13/01/2010,4,47,54,26,0.7,
14/01/2010,4,42,52,19,0.5,
15/01/2010,7,81,70,13,0.7,
16/01/2010,7,74,67,12,0.6,
17/01/2010,2,22,39,8,0.5,
18/01/2010,3,37,52,10,0.3,
19/01/2010,3,39,57,14,0.3,
20/01/2010,3,42,48,10,0.3,
21/01/2010,7,95,67,11,0.7,
22/01/2010,8,108,68,10,0.5,
23/01/2010,3,35,44,23,0.4,
24/01/2010,1,3,23,44,0.3,
25/01/2010,3,14,38,16,0.3,
26/01/2010,2,23,37,32,0.3,
27/01/2010,4,53,55,14,0.5,
28/01/2010,2,26,39,25,0.3,
29/01/2010,7,98,71,13,0.5,
30/01/2010,1,10,32,45,0.3,
31/01/2010,1,3,26,44,0.2,
01/02/2010,4,32,48,31,0.3,
02/02/2010,6,73,70,14,0.3,
03/02/2010,10,115,87,11,0.6,
04/02/2010,7,95,78,4,0.6,
05/02/2010,3,29,48,26,0.3,
06/02/2010,2,25,44,29,0.4,
07/02/2010,3,23,48,24,0.4,
08/02/2010,6,57,60,8,0.5,
09/02/2010,3,29,50,27,0.4,
10/02/2010,3,29,44,21,0.4,
11/02/2010,2,21,29,43,0.3,
12/02/2010,6,42,67,21,0.3,
13/02/2010,1,6,39,33,0.4,
14/02/2010,2,2,25,47,0.4,
15/02/2010,2,13,36,34,0.5,
16/02/2010,1,3,31,55,0.5,
17/02/2010,5,85,75,7,0.8,
18/02/2010,4,46,49,23,0.7,
19/02/2010,2,18,34,43,0.4,
20/02/2010,2,9,32,44,0.3,
21/02/2010,2,21,50,18,0.4,
22/02/2010,5,52,63,11,0.6,
23/02/2010,2,24,46,31,0.3,
24/02/2010,1,8,32,50,0.2,
25/02/2010,5,48,58,23,0.4,
26/02/2010,2,5,28,55,0.3,
27/02/2010,2,21,49,19,0.6,
28/02/2010,1,9,21,55,0.4,
01/03/2010,4,37,40,33,0.3,
02/03/2010,2,12,35,43,0.2,
03/03/2010,1,7,28,57,0.5,
04/03/2010,3,14,37,27,0.4,
05/03/2010,2,22,43,21,0.4,
06/03/2010,1,5,25,54,0.2,
07/03/2010,2,7,30,35,0.3,
08/03/2010,1,9,22,55,0.4,
09/03/2010,2,12,30,55,0.4,
10/03/2010,2,12,39,47,0.5,
11/03/2010,4,31,52,24,0.8,
12/03/2010,3,25,53,14,0.9,
13/03/2010,4,44,44,31,0.8,
14/03/2010,2,16,33,38,0.7,
15/03/2010,3,23,42,34,0.4,
16/03/2010,7,51,59,26,0.5,
17/03/2010,8,48,52,30,0.7,
18/03/2010,6,37,62,23,0.6,
19/03/2010,4,26,55,29,0.6,
20/03/2010,3,17,50,20,0.6,
21/03/2010,3,10,34,28,0.4,
22/03/2010,2,19,37,23,0.6,
23/03/2010,3,30,42,16,0.4,
24/03/2010,1,4,22,52,0.2,
25/03/2010,1,12,45,30,0.5,
26/03/2010,1,3,23,63,0.4,
27/03/2010,1,3,22,62,0.2,
28/03/2010,1,4,24,66,0.2,
29/03/2010,3,22,48,41,0.5,
30/03/2010,1,4,24,59,0.4,
31/03/2010,2,23,29,53,0.2,
01/04/2010,1,8,27,53,0.4,
02/04/2010,1,6,24,50,0.3,
03/04/2010,2,6,24,54,0.3,
04/04/2010,1,1,13,63,0.5,
05/04/2010,1,2,16,52,0.2,
06/04/2010,2,22,30,43,0.4,
07/04/2010,1,2,15,72,0.4,
08/04/2010,2,23,45,27,0.4,
09/04/2010,3,33,48,31,0.4,
10/04/2010,2,18,41,51,0.3,
11/04/2010,2,10,30,78,0.3,
12/04/2010,1,3,28,63,0.3,
13/04/2010,1,11,33,35,0.3,
14/04/2010,3,33,44,31,0.5,
15/04/2010,4,43,52,33,0.7,
16/04/2010,1,9,42,44,0.3,
17/04/2010,2,13,37,63,0.4,
18/04/2010,2,5,31,73,0.5,
19/04/2010,3,20,45,43,0.6,
20/04/2010,2,26,41,47,0.6,
21/04/2010,4,36,60,33,0.3,
22/04/2010,4,32,47,43,0.4,
23/04/2010,3,22,51,36,0.5,
24/04/2010,2,12,35,54,0.5,
25/04/2010,2,5,37,52,0.4,
26/04/2010,4,33,49,48,0.6,
27/04/2010,1,13,34,56,0.4,
28/04/2010,3,29,48,54,0.4,
29/04/2010,4,27,54,52,0.2,
30/04/2010,2,15,31,60,0.5,
01/05/2010,1,2,14,72,0.4,
02/05/2010,1,2,14,65,0.3,
03/05/2010,1,4,25,48,0.2,
04/05/2010,1,9,32,43,0.3,
05/05/2010,1,10,30,36,0.2,
06/05/2010,1,4,19,60,0.2,
07/05/2010,2,4,26,67,0.3,
08/05/2010,2,5,27,66,0.4,
09/05/2010,1,5,24,47,0.4,
10/05/2010,2,17,40,34,0.5,
11/05/2010,2,23,37,50,0.3,
12/05/2010,1,2,25,54,0.2,
13/05/2010,1,12,23,45,0.2,
14/05/2010,1,9,27,46,0.3,
15/05/2010,1,5,19,52,0.3,
16/05/2010,1,6,19,57,0.3,
17/05/2010,2,13,27,53,0.3,
18/05/2010,2,16,34,44,0.2,
19/05/2010,1,7,29,57,0.2,
20/05/2010,2,13,37,60,0.2,
21/05/2010,4,28,54,46,0.3,
22/05/2010,1,11,37,52,0.5,
23/05/2010,1,3,21,74,0.4,
24/05/2010,2,12,36,65,0.2,
25/05/2010,2,7,40,70,0.4,
26/05/2010,3,11,46,64,0.4,
27/05/2010,1,4,23,76,0.2,
28/05/2010,1,8,37,41,0.4,
29/05/2010,1,9,28,58,0.4,
30/05/2010,1,3,23,68,0.5,
31/05/2010,1,14,30,46,0.2,
01/06/2010,2,19,35,33,0.5,
02/06/2010,1,15,31,36,0.3,
03/06/2010,2,8,37,47,0.2,
04/06/2010,2,17,39,54,0.2,
05/06/2010,2,12,44,53,0.2,
06/06/2010,1,3,32,43,0.4,
07/06/2010,2,10,32,46,0.3,
08/06/2010,1,9,29,59,0.2,
09/06/2010,1,4,31,43,0.4,
10/06/2010,1,7,37,45,0.3,
11/06/2010,1,11,34,36,0.4,
12/06/2010,2,12,21,53,0.3,
13/06/2010,1,2,14,67,0.2,
14/06/2010,2,8,23,58,0.2,
15/06/2010,2,12,26,41,0.2,
16/06/2010,2,14,29,51,0.3,
17/06/2010,1,5,22,67,0.3,
18/06/2010,2,12,33,62,0.2,
19/06/2010,1,4,12,74,0.2,
20/06/2010,1,1,7,69,0.2,
21/06/2010,2,8,23,58,0.2,
22/06/2010,1,9,24,62,0.2,
23/06/2010,3,11,33,48,0.3,
24/06/2010,2,8,33,60,0.3,
25/06/2010,2,19,45,57,0.2,
26/06/2010,2,10,43,64,0.2,
27/06/2010,2,8,33,81,0.2,
28/06/2010,1,6,34,80,0.3,
29/06/2010,2,15,45,70,0.2,
30/06/2010,2,11,45,72,0.3,
01/07/2010,2,18,62,59,0.3,
02/07/2010,3,18,53,62,0.3,
03/07/2010,1,2,24,94,0.2,
04/07/2010,1,2,19,78,0.2,
05/07/2010,1,14,33,70,0.3,
06/07/2010,1,2,23,82,0.5,
07/07/2010,2,9,34,63,0.3,
08/07/2010,2,10,47,55,0.5,
09/07/2010,2,10,42,57,0.2,
10/07/2010,1,1,14,76,0.3,
11/07/2010,1,5,30,72,0.5,
12/07/2010,2,8,48,59,0.4,
13/07/2010,1,2,23,82,0.3,
14/07/2010,1,4,30,67,0.5,
15/07/2010,1,4,26,59,0.3,
16/07/2010,2,13,39,50,0.2,
17/07/2010,1,3,18,76,0.4,
18/07/2010,1,1,11,71,0.3,
19/07/2010,1,14,30,57,0.3,
20/07/2010,1,13,31,60,0.5,
21/07/2010,2,3,27,72,0.3,
22/07/2010,1,2,18,86,0.2,
23/07/2010,1,8,29,54,0.2,
24/07/2010,1,1,13,73,0.2,
25/07/2010,1,1,10,82,0.3,
26/07/2010,2,10,25,67,0.3,
27/07/2010,2,10,34,61,0.2,
28/07/2010,2,12,35,56,0.4,
29/07/2010,1,7,37,39,0.4,
30/07/2010,1,5,23,50,0.2,
31/07/2010,1,3,24,51,0.3,
01/08/2010,1,2,21,60,0.3,
02/08/2010,2,9,24,71,0.5,
03/08/2010,1,7,27,63,0.2,
04/08/2010,1,3,18,62,0.2,
05/08/2010,1,4,19,52,0.4,
06/08/2010,2,4,23,59,0.2,
07/08/2010,1,4,22,57,0.2,
08/08/2010,2,1,23,66,0.2,
09/08/2010,3,6,24,67,0.3,
10/08/2010,1,3,21,60,0.2,
11/08/2010,1,2,19,68,0.5,
12/08/2010,1,6,26,56,0.2,
13/08/2010,2,6,25,48,0.4,
14/08/2010,1,2,23,67,0.2,
15/08/2010,1,1,11,74,0.2,
16/08/2010,1,7,28,57,0.2,
17/08/2010,1,8,26,58,0.2,
18/08/2010,1,8,29,62,0.5,
19/08/2010,1,5,32,44,0.2,
20/08/2010,1,8,12,54,0.4,
21/08/2010,3,1,3,63,0.4,
22/08/2010,1,4,20,65,0.3,
23/08/2010,1,8,42,48,0.3,
24/08/2010,1,2,25,69,0.5,
25/08/2010,2,8,38,52,0.3,
26/08/2010,2,10,45,51,0.5,
27/08/2010,2,12,42,56,0.3,
28/08/2010,1,1,18,73,0.2,
29/08/2010,1,1,17,71,0.3,
30/08/2010,1,2,16,77,0.2,
31/08/2010,1,,,75,0.5,
01/09/2010,1,,,58,0.3,
02/09/2010,1,,,63,0.2,
03/09/2010,2,,,57,0.3,
04/09/2010,2,,,67,0.6,
05/09/2010,1,,,82,0.5,
06/09/2010,1,,,62,0.4,
07/09/2010,2,4,47,55,0.6,
08/09/2010,1,15,35,45,0.4,
09/09/2010,3,19,32,55,0.3,
10/09/2010,1,7,35,48,0.4,
11/09/2010,1,10,35,50,0.3,
12/09/2010,1,3,30,60,0.4,
13/09/2010,3,15,47,53,0.2,
14/09/2010,2,6,42,59,0.3,
15/09/2010,2,25,75,43,0.3,
16/09/2010,3,19,46,46,0.4,
17/09/2010,1,3,21,47,0.2,
18/09/2010,1,6,26,30,0.3,
19/09/2010,1,9,26,49,0.4,
20/09/2010,2,16,50,25,0.2,
21/09/2010,2,14,39,23,0.5,
22/09/2010,2,29,37,36,0.5,
23/09/2010,3,26,56,21,0.3,
24/09/2010,1,4,25,58,0.3,
25/09/2010,1,6,24,51,0.3,
26/09/2010,1,3,15,61,0.2,
27/09/2010,2,13,29,55,0.2,
28/09/2010,2,18,34,52,0.4,
29/09/2010,1,6,23,54,0.2,
30/09/2010,4,42,47,46,0.3,
01/10/2010,1,3,31,42,0.2,
02/10/2010,1,12,35,35,0.5,
03/10/2010,1,5,28,56,0.3,
04/10/2010,1,8,29,47,0.3,
05/10/2010,3,35,55,21,0.3,
06/10/2010,4,53,52,34,0.3,
07/10/2010,1,2,17,60,0.2,
08/10/2010,1,2,19,59,0.3,
09/10/2010,1,1,13,61,0.3,
10/10/2010,1,4,20,44,0.3,
11/10/2010,1,11,23,44,0.2,
12/10/2010,1,1,4,82,0.2,
13/10/2010,2,23,34,46,0.2,
14/10/2010,2,28,49,22,0.3,
15/10/2010,4,37,49,17,0.4,
16/10/2010,2,23,33,26,0.3,
17/10/2010,1,13,28,37,0.3,
18/10/2010,2,12,43,35,0.3,
19/10/2010,3,37,56,21,0.5,
20/10/2010,4,51,46,34,0.3,
