CODI,NOM DEL CENTRE,ADREÇA,TIPUS SUBMINISTRAMENT,ANY,MES,CONSUM,COST
EDI052,MUSEU MUNICIPAL,ANSELM CLAVÉ 40 - 42,Gas,2016,Agost,2988,€208.73
ESC008,COL.LEGI MESTRES MONTAÑA,CAMI CAN BASSA 1,Gas,2015,Desembre,30379,€1864.39
EDI026,CEMENTIRI,CAMI CEMENTIRI S/N,Electricitat,2014,Juny,502,€232.02
EDI128,Can Muntanyola,Can Muntanyola,Electricitat,2014,Juny,12313,€2157.15
ESP001,PALAU D'ESPORTS,AV FRANCESC MACIA S/N,Aigua,2015,Juliol,96,€139.47
EDI122,CENTRE EDUCACIÓ ESPECIAL MONTSERRAT MONTERO,"CAMÍ CAN BASSA , S/N",Electricitat,2014,Abril,5307,€994.03
EDI129,PIS D'ACOLLIDA SERVEIS SOCIALS,"MANRESA, 11",Electricitat,2013,Novembre,300,€98.74
ESC013,ESCOLA MUNICIPAL DEL TREBALL,C/ ROGER DE FLOR 66,Gas,2015,Novembre,44065,€2686.55
EDI016,BIBLIOTECA JOAN CAMPS,ROGER DE FLOR 66,Electricitat,2012,Novembre,38,€107.19
EDI123,CENTRE CULTURAL MUNICIPAL,"C/Joan Camps, 1, baixos",Electricitat,2016,Agost,11876,€1828.33
FLO018,URBANISME,URBANISME,Gasoil,2015,Setembre,569,€82.32
EDI094,ROCA UMBERT VIVENDA,ENRIC PRAT DE LA RIBA 75,Aigua,2013,Octubre,0,€41.38
REG176,FONT ORNAMENTAL CAN GILI,CAN GILI S/N,Electricitat,2011,Setembre,214,€53.57
REG156,JARDÍ DE FÀTIMA,CAMÍ VELL DE CANOVELLES,Electricitat,2012,Octubre,68,€40.09
EDI030,EDIFICI PORTALET,PORTALET 4,Aigua,2015,Juliol,62,€79.89
EDI034,OFICINA MUNICIPAL ACOLLIDA (ANTIC GRA),CORRO 49,Electricitat,2016,Gener,2989,€547.02
EDI095,ROCA UMBERT EL BAR,ENRIC PRAT DE LA RIBA 77,Gas,2013,Juliol,1105,€140.84
ESP012,CAMP DE FUTBOL C/ GIRONA,C/ GIRONA S/N,Aigua,2012,Gener,602,€155.91
EDI006,CENTRE CIVIC  CAN GILI,CTRA DE CALDES BXS,Aigua,2012,Març,163,€180.86
EDI017,ROCA UMBERT - IMPREMTA,LLUIS COMPANYS Nº 1,Electricitat,2013,Setembre,1236,€536.56
BOM004,BOMBA AIGUA,CARLES RIBA ESQ OLIVAR LOCAL,Electricitat,2016,Agost,39,€35.48
EDI010,CENTRE CIVIC JAUME OLLER,MARE DE DÉU DE MONTSERRAT 47,Aigua,2014,Gener,20,€47.24
ESP001,PALAU D'ESPORTS,AV FRANCESC MACIA S/N,Aigua,2013,Març,15,€53.11
BOM014,RAFAEL CASANOVAS S/N,RAFAEL CASANOVAS S/N,Electricitat,2011,Gener,145,€59.89
EDI017,ROCA UMBERT - IMPREMTA,LLUIS COMPANYS Nº 1,Electricitat,2014,Febrer,8269,€1925.49
EDI030,EDIFICI PORTALET,PORTALET 4,Aigua,2013,Març,89,€144.04
EDI058,EDIFICI ST JOSEP,SANT JOSEP 7,Aigua,2012,Gener,123,€127.38
ESC005,COL.LEGI PONENT,C/ RAFAEL DE CASANOVA,Electricitat,2012,Octubre,5625,€1211.93
FLO017,OBRES I PROJECTES,OBRES I PROJECTES,Gasoil,2012,Juny,338,€48.00
BOM008,AVINGUDA PARC TORRES VILLAR JTO/ E.T.,AVINGUDA PARC TORRES VILLAR JTO/ E.T.,Electricitat,2012,Agost,1410,€380.15
EDI089,CENTRE PER LA NORMALITZACIO LINGUISTICA,PRAT DE LA RIBA 82,Electricitat,2016,Febrer,4082,€860.81
ESP001,PALAU D'ESPORTS,AV FRANCESC MACIA S/N,Gas,2011,Octubre,16091,€1161.97
ESP009,PAVELLO MUNICIPAL D'ESPORTS (PARQUET),C/ LLUIS COMPANYS 1,Electricitat,2015,Abril,2363,€558.38
EDI001,PIS AJUDA POBLE SAHARAUI (7è),1ª MARQUES DE LES FRANQUESES 146 7- 4,Electricitat,2013,Gener,1369,€293.31
EDI100,AAVV CAN MONIC,PUIG I PERUCHO 2,Electricitat,2014,Juny,465,€181.29
BOM004,BOMBA AIGUA,CARLES RIBA ESQ OLIVAR LOCAL,Electricitat,2014,Abril,23,€87.98
EDI016,BIBLIOTECA JOAN CAMPS,ROGER DE FLOR 66,Electricitat,2014,Gener,94,€206.49
ESC009,COL.LEGI JOAN SOLANS,PLAÇA SANT MIQUEL 20,Electricitat,2013,Març,2844,€534.52
ESP017,CASAL DE L'ESPORT,C/ GIRONA 52 - 54,Electricitat,2015,Novembre,918,€250.18
FLO014,ALCALDIA,ALCALDIA,Gasoil,2013,Juny,947,€126.32
EDI030,EDIFICI PORTALET,PORTALET 4,Gas,2011,Octubre,81,€27.54
BOM011,SISTEMA DE REG DE LA PLAÇA DE LA PAU,MARIA PALAU C/JOAN VIDAL JUMBERT,Electricitat,2011,Gener,12,€11.94
EDI089,CENTRE PER LA NORMALITZACIO LINGUISTICA,PRAT DE LA RIBA 82,Aigua,2015,Octubre,130,€150.72
ESC001,COL.LEGI SALVADOR ESPRIU,C/ JOAN CAMPS 6 - 8,Electricitat,2013,Octubre,6621,€1281.10
ESC005,COL.LEGI PONENT,C/ RAFAEL DE CASANOVA,Aigua,2014,Març,642,€820.16
EDI123,CENTRE CULTURAL MUNICIPAL,"C/Joan Camps, 1, baixos",Electricitat,2014,Abril,2428,€691.72
EDI006,CENTRE CIVIC  CAN GILI,CTRA DE CALDES BXS,Electricitat,2014,Octubre,0,€152.10
EDI133,OFICINES SERVEIS,"C/. SANT JAUME 16-26, 5ª PLANTA -DESPATX 504",Electricitat,2015,Desembre,3157,€508.26
ESC003,COL·LEGI FERRER I GUÀRDIA,C/ ROGER DE FLOR 179,Electricitat,2015,Febrer,5233,€1055.23
ESC009,COL.LEGI JOAN SOLANS,PLAÇA SANT MIQUEL 20,Electricitat,2015,Juliol,1268,€308.42
EDI024,SALA CULTURA SANT FRANCESC,ESPI I GRAU 1,Electricitat,2013,Agost,329,€190.13
ESP006,CAMP DE FUTBOL PONENT,C/ RAFAEL DE CASANOVA S/N,Gas,2015,Juny,1894,€180.54
EDI015,CENTRE CIVIC CAN BASSA CULTURA,PL JOAN OLIVER 1,Electricitat,2013,Agost,2627,€619.85
ESP018,CAMP FUTBOL FONT VERDA,C/ JOSEP CARNER S/N,Electricitat,2012,Juny,177,€108.67
EDI052,MUSEU MUNICIPAL,ANSELM CLAVÉ 40 - 42,Gas,2014,Abril,5510,€517.65
ESC021,ESCOLA BRESSOL MUNICIPAL TORTUGA,C/ GARROTXA 8,Gas,2014,Novembre,7417,€561.98
BOM007,BOMBA BOMBEIG intermig,GUGLIELMO MARCONI CANT AV SANT JULIA,Electricitat,2012,Setembre,443,€109.43
EDI012,EDIFICI AJUNTAMENT,PL FOLCH I TORRES S/N,Electricitat,2014,Abril,16692,€2509.64
FLO001,SERVEIS UOS,SERVEIS UOS,Gasoil,2015,Setembre,10364,€1207.87
ESC002,ESCOLA GRANOLLERS,CTRA DE CALDES,Gas,2011,Octubre,3503,€313.43
REG190,FONT ORNAMENTAL PL SERRAT I BONASTRE,PL SERRAT I BONASTRE s/n,Electricitat,2014,Abril,76,€184.31
FLO013,ACTIVITATS,ACTIVITATS,Gasoil,2011,Agost,343,€47.78
ESC012,COL.LEGI PEREANTON,C/ ESPI I GRAU 3,Aigua,2012,Juliol,88,€117.54
EDI126,CENTRE D'ACOLLIDA D'ANIMALS DOMÈSTICS,"C/SEVERO OCHOA, 103 (FONT DEL RÀDIUM)",Electricitat,2014,Febrer,1885,€420.75
EDI049,AAVV GRANOLLERS NORD,C/ FIGUERES 15,Aigua,2014,Octubre,1,€25.76
ESC016,ESCOLA LLEDONER,C/ ROSELLÓ 95,Aigua,2013,Març,714,€766.82
EDI022,EBASP ZONA 1 LUDOTECA,ANTONI GAUDI S/N LOCAL 13,Electricitat,2015,Juliol,0,€157.54
EDI073,ESCOLA DE MUSICA JOSEP Ma RUERA,GREGORI RESINA,Electricitat,2016,Desembre,5,€-4505.23
EDI029,CAMPANAR,PL ESGLESIA S/N,Electricitat,2011,Juliol,22,€32.95
ESP002,PISTES MUNICIPALS D' ATLETISME,C/ CAMP DE LES MORERES S/N,Gas,2014,Octubre,8249,€678.34
ESP008,PAVELLÓ CLUB BÀSQUET GRANOLLERS,C/ GIRONA S/N,Electricitat,2012,Juny,9003,€1850.91
ESP009,PAVELLO MUNICIPAL D'ESPORTS (PARQUET),C/ LLUIS COMPANYS 1,Gas,2013,Octubre,8189,€679.73
ESC021,ESCOLA BRESSOL MUNICIPAL TORTUGA,C/ GARROTXA 8,Aigua,2016,Octubre,45,€75.52
EDI042,EDIFICI ADMINISTRATIU CAN PUNTES,SANTA ELISABET 16,Gas,2011,Desembre,19050,€1122.70
ESC016,ESCOLA LLEDONER,C/ ROSELLÓ 95,Aigua,2015,Juliol,392,€469.04
ESP021,PISTES MUNICIPALS DE TENNIS,C/. CAMP DE LES MORERES 0023 LOC 08401,Electricitat,2015,Octubre,4499,€895.55
EDI042,EDIFICI ADMINISTRATIU CAN PUNTES,SANTA ELISABET 16,Electricitat,2014,Maig,2089,€714.86
EDI082,CAN JONCH CENTRE CIVIC PER LA PAU,REC 19,Electricitat,2012,Agost,1305,€340.20
EDI020,SALA FRANCESC TARAFA,CORRO 47,Electricitat,2014,Març,692,€256.50
EDI011,MASIA TRES TORRES,DE LES TRES TORRES 18 - 20,Aigua,2016,Març,31,€51.81
ESC001,COL.LEGI SALVADOR ESPRIU,C/ JOAN CAMPS 6 - 8,Gas,2015,Abril,38409,€2374.48
ESC024,ESCOLA BRESSOL EL TELER,C/ JAUME CORBERA CANTONADA C/ CORRO,Electricitat,2015,Maig,2309,€515.87
ESC021,ESCOLA BRESSOL MUNICIPAL TORTUGA,C/ GARROTXA 8,Electricitat,2015,Febrer,2833,€523.89
ESP002,PISTES MUNICIPALS D' ATLETISME,C/ CAMP DE LES MORERES S/N,Electricitat,2016,Juny,16260,€2696.85
EDI010,CENTRE CIVIC JAUME OLLER,MARE DE DÉU DE MONTSERRAT 47,Electricitat,2012,Juny,1543,€328.43
ESP020,PISTES DE PETANCA GRANOLLERS,CAMP DE LES MORERES,Electricitat,2014,Desembre,344,€139.67
FLO008,SALUT PUBLICA I CONSUM,SALUT PUBLICA I CONSUM,Gasoil,2011,Octubre,1514,€206.93
EDI057,ESPAI ACTIU GENT GRAN,ST JOSEP DE CALASSANÇ 127,Aigua,2011,Juliol,12,€22.40
FLO018,URBANISME,URBANISME,Gasoil,2011,Gener,903,€120.76
EDI023,MUSEU CIÈNCIES NATURALS LA TELA,FRANCESC MACIÀ 51,Electricitat,2016,Setembre,6298,€1511.98
EDI058,EDIFICI ST JOSEP,SANT JOSEP 7,Electricitat,2014,Juny,15768,€2835.36
ESC003,COL·LEGI FERRER I GUÀRDIA,C/ ROGER DE FLOR 179,Gas,2014,Novembre,36879,€2412.24
ESC006,CENTRE VALLES (ESCOLA VALLES),VENEÇUELA S/N DAVANT CEMENTIRI,Electricitat,2015,Juliol,14473,€2580.98
EDI027,OFICINA D'INFORMACIO TURÍSTICA,SANT ROC 14,Electricitat,2013,Juliol,400,€85.80
EDI121,TEATRE AUDITORI,C/ GREGORI RESINA,Electricitat,2012,Gener,27157,€5045.33
EDI131,ESPAI CANGUR,AV PRAT DE LA RIBA 84,Electricitat,2013,Gener,992,€201.19
ESP003,PAVELLO EL TUB,C/ CAMP DE LES MORERES S/N,Gas,2016,Abril,14888,€752.18
ESP012,CAMP DE FUTBOL C/ GIRONA,C/ GIRONA S/N,Gas,2016,Octubre,529,€47.36
EDI009,CENTRE CIVIC DE PALOU,PSG DR FABREGAS 38 LOCAL,Electricitat,2015,Abril,808,€287.33
EDI021,BIBLIOTECA CAN PEDRALS,ESPI I GRAU 2,Electricitat,2014,Novembre,12051,€2100.35
EDI026,CEMENTIRI,CAMI CEMENTIRI S/N,Aigua,2012,Gener,149,€74.50
ESC010,COL.LEGI GRANULARIUS,C/ MARESME 4,Gas,2014,Octubre,8041,€618.79
EDI042,EDIFICI ADMINISTRATIU CAN PUNTES,SANTA ELISABET 16,Electricitat,2012,Juliol,2807,€675.64
EDI066,CTUG CENTRE TECNOLÒGIC I UNIVERSITARI DE GRANOLLERS,MONTSERRAT Nº 36,Electricitat,2011,Juny,10510,€2008.48
EDI071,CENTRE D'EDUCACIÓ AMBIENTAL CAN CABANYES,CAN GORDI - CAN CATALÀ,Electricitat,2015,Novembre,200,€96.06
ESC006,CENTRE VALLES (ESCOLA VALLES),VENEÇUELA S/N DAVANT CEMENTIRI,Electricitat,2013,Març,10786,€2096.40
ESP019,PAVELLO D' ESPORT CAN BASSA,C/ ESTEVE TERRADES S/N,Electricitat,2014,Novembre,6636,€1131.11
BOM014,RAFAEL CASANOVAS S/N,RAFAEL CASANOVAS S/N,Electricitat,2015,Setembre,288,€123.08
EDI027,OFICINA D'INFORMACIO TURÍSTICA,SANT ROC 14,Electricitat,2015,Març,0,€18.11
EDI081,CENTRE CIVIC NORD,ROSSELLO 79,Electricitat,2016,Agost,10803,€1671.23
ESC025,ESCOLA BRESSOL GIRAVOLTES,"CRTA. CALDES, 52",Electricitat,2016,Juliol,2457,€452.59
EDI002,PIS AJUDA POBLE SAHARAUI (8è),1ª MARQUES DE LES FRANQUESES 146 8 - 3,Electricitat,2014,Desembre,1228,€233.80
ESC012,COL.LEGI PEREANTON,C/ ESPI I GRAU 3,Gas,2016,Agost,0,€71.39
FLO010,ESPORTS,ESPORTS,Gasoil,2016,Febrer,420,€40.00
EDI024,SALA CULTURA SANT FRANCESC,ESPI I GRAU 1,Aigua,2016,Gener,10,€44.68
EDI048,MAGATZEM INFORMÀTICA,C/ TORRAS I BAGES 15 2n,Electricitat,2014,Abril,2549,€467.60
EDI095,ROCA UMBERT EL BAR,ENRIC PRAT DE LA RIBA 77,Gas,2015,Febrer,2711,€220.81
EDI082,CAN JONCH CENTRE CIVIC PER LA PAU,REC 19,Aigua,2011,Març,17,€29.24
EDI015,CENTRE CIVIC CAN BASSA CULTURA,PL JOAN OLIVER 1,Aigua,2016,Gener,102,€204.45
ESC004,ESCOLA MUNICIPAL SALVADOR LLOBET,C/ ROGER DE FLOR 64,Electricitat,2016,Abril,3982,€794.03
ESP008,PAVELLÓ CLUB BÀSQUET GRANOLLERS,C/ GIRONA S/N,Electricitat,2013,Abril,12097,€2639.05
ESC016,ESCOLA LLEDONER,C/ ROSELLÓ 95,Gas,2014,Agost,0,€116.40
EDI131,ESPAI CANGUR,AV PRAT DE LA RIBA 84,Gas,2012,Juliol,1863,€157.31
EDI034,OFICINA MUNICIPAL ACOLLIDA (ANTIC GRA),CORRO 49,Electricitat,2015,Novembre,1688,€407.70
BOM008,AVINGUDA PARC TORRES VILLAR JTO/ E.T.,AVINGUDA PARC TORRES VILLAR JTO/ E.T.,Electricitat,2015,Abril,364,€199.49
EDI023,MUSEU CIÈNCIES NATURALS LA TELA,FRANCESC MACIÀ 51,Electricitat,2011,Novembre,1425,€896.05
BOM003,BOMBA AIGUA PASSEIG FLUVIAL CASETA REG,PS FLUVIAL MARGE ESQUERRE CASETA BOMBA,Electricitat,2015,Octubre,0,€80.50
EDI013,AAVV PONENT,C/RAFAEL CASANOVA. 52,Electricitat,2016,Juliol,367,€89.89
FLO018,URBANISME,URBANISME,Gasoil,2014,Juliol,1394,€226.51
ESC013,ESCOLA MUNICIPAL DEL TREBALL,C/ ROGER DE FLOR 66,Gas,2016,Gener,61515,€3666.12
EDI005,EDIFICI AISS,AV DEL PARC 9,Electricitat,2011,Novembre,3904,€696.21
EDI017,ROCA UMBERT - IMPREMTA,LLUIS COMPANYS Nº 1,Electricitat,2014,Març,1414,€549.26
ESP013,PAVELLO EL CONGOST,MARIA PALAU S/N CTDA A GAUDI,Gas,2013,Abril,7484,€580.58
EDI066,CTUG CENTRE TECNOLÒGIC I UNIVERSITARI DE GRANOLLERS,MONTSERRAT Nº 36,Gas,2014,Abril,5213,€452.37
ESP010,CAMP DE FUTBOL PRIMER DE MAIG,C/ PIUS XII S/N,Aigua,2015,Març,777,€404.04
ESP018,CAMP FUTBOL FONT VERDA,C/ JOSEP CARNER S/N,Gas,2015,Octubre,2382,€171.58
FLO018,URBANISME,URBANISME,Gasoil,2013,Desembre,273,€40.94
EDI074,ROCA UMBERT CUB BUCS MUSICALS,MONTSERRAT S/N,Aigua,2012,Gener,7,€28.83
EDI131,ESPAI CANGUR,AV PRAT DE LA RIBA 84,Gas,2014,Maig,0,€20.36
EDI010,CENTRE CIVIC JAUME OLLER,MARE DE DÉU DE MONTSERRAT 47,Electricitat,2013,Abril,1284,€277.10
ESC008,COL.LEGI MESTRES MONTAÑA,CAMI CAN BASSA 1,Gas,2014,Febrer,60690,€3928.81
ESC008,COL.LEGI MESTRES MONTAÑA,CAMI CAN BASSA 1,Gas,2013,Setembre,0,€134.83
ESC009,COL.LEGI JOAN SOLANS,PLAÇA SANT MIQUEL 20,Electricitat,2016,Maig,2408,€424.89
ESC011,COL.LEGI FÀTIMA,C/ MARIA PALAU,Gas,2012,Novembre,24095,€1639.96
ESP006,CAMP DE FUTBOL PONENT,C/ RAFAEL DE CASANOVA S/N,Electricitat,2012,Octubre,182,€177.27
FLO008,SALUT PUBLICA I CONSUM,SALUT PUBLICA I CONSUM,Gasoil,2016,Abril,1050,€144.28
EDI029,CAMPANAR,PL ESGLESIA S/N,Electricitat,2014,Gener,29,€56.51
ESP010,CAMP DE FUTBOL PRIMER DE MAIG,C/ PIUS XII S/N,Aigua,2013,Juliol,1011,€561.37
EDI070,GUARDIA URBANA,ISABEL DE VILLENA S/N,Electricitat,2014,Juny,16903,€2405.67
EDI083,EDIFICI El GRA,PLAÇA DE L´ESGLESIA S/N,Electricitat,2015,Abril,13965,€2958.17
EDI017,ROCA UMBERT - IMPREMTA,LLUIS COMPANYS Nº 1,Electricitat,2015,Desembre,2636,€559.89
ESP003,PAVELLO EL TUB,C/ CAMP DE LES MORERES S/N,Gas,2011,Octubre,4774,€338.49
ESP012,CAMP DE FUTBOL C/ GIRONA,C/ GIRONA S/N,Gas,2011,Abril,9188,€555.34
FLO018,URBANISME,URBANISME,Gasoil,2012,Maig,447,€69.27
EDI030,EDIFICI PORTALET,PORTALET 4,Gas,2016,Abril,12,€10.02
EDI079,BIBLIOTECA ROCA UMBERT,"MARE DE DÉU DE MONTSERRAT, 36",Electricitat,2011,Març,83784,€18034.90
EDI126,CENTRE D'ACOLLIDA D'ANIMALS DOMÈSTICS,"C/SEVERO OCHOA, 103 (FONT DEL RÀDIUM)",Aigua,2012,Octubre,622,€633.50
ESC025,ESCOLA BRESSOL GIRAVOLTES,"CRTA. CALDES, 52",Electricitat,2015,Maig,2071,€391.39
FLO012,PAT.MUN.MUSEO,PAT.MUN.MUSEO,Gasoil,2012,Novembre,396,€57.01
FLO014,ALCALDIA,ALCALDIA,Gasoil,2012,Abril,325,€47.69
FLO016,MEDI AMBIENT,MEDI AMBIENT,Gasoil,2013,Juliol,465,€66.76
ESP001,PALAU D'ESPORTS,AV FRANCESC MACIA S/N,Gas,2016,Abril,21291,€1183.83
ESP013,PAVELLO EL CONGOST,MARIA PALAU S/N CTDA A GAUDI,Electricitat,2015,Octubre,8901,€1464.44
ESC013,ESCOLA MUNICIPAL DEL TREBALL,C/ ROGER DE FLOR 66,Electricitat,2015,Desembre,14921,€2923.43
ESC008,COL.LEGI MESTRES MONTAÑA,CAMI CAN BASSA 1,Electricitat,2015,Novembre,6010,€1031.11
EDI088,ESTACIO DE CONTROL DE CONTAMINACIO,FRANCESC MACIÀ 145,Electricitat,2012,Febrer,1169,€212.22
BOM011,SISTEMA DE REG DE LA PLAÇA DE LA PAU,MARIA PALAU C/JOAN VIDAL JUMBERT,Electricitat,2013,Desembre,184,€58.53
FLO016,MEDI AMBIENT,MEDI AMBIENT,Gasoil,2015,Març,846,€113.84
EDI081,CENTRE CIVIC NORD,ROSSELLO 79,Aigua,2013,Gener,49,€86.32
ESC006,CENTRE VALLES (ESCOLA VALLES),VENEÇUELA S/N DAVANT CEMENTIRI,Electricitat,2016,Maig,9290,€1665.90
BOM001,AFORES 100 BOMBA AGUA horts?,AFORES 100 BOMBA AGUA Horts?,Electricitat,2012,Gener,30,€100.52
ESC005,COL.LEGI PONENT,C/ RAFAEL DE CASANOVA,Gas,2013,Agost,0,€105.72
EDI010,CENTRE CIVIC JAUME OLLER,MARE DE DÉU DE MONTSERRAT 47,Gas,2015,Octubre,173,€56.84
EDI012,EDIFICI AJUNTAMENT,PL FOLCH I TORRES S/N,Gas,2011,Juny,0,€87.34
ESC024,ESCOLA BRESSOL EL TELER,C/ JAUME CORBERA CANTONADA C/ CORRO,Electricitat,2016,Juliol,2857,€804.07
ESP018,CAMP FUTBOL FONT VERDA,C/ JOSEP CARNER S/N,Electricitat,2013,Abril,219,€104.23
EDI022,EBASP ZONA 1 LUDOTECA,ANTONI GAUDI S/N LOCAL 13,Electricitat,2016,Maig,0,€72.94
ESC013,ESCOLA MUNICIPAL DEL TREBALL,C/ ROGER DE FLOR 66,Electricitat,2014,Març,19487,€3962.43
BOM013,RAFAEL CASANOVAS S/N,C/Rafael Casanovas,Electricitat,2015,Octubre,54,€158.51
EDI016,BIBLIOTECA JOAN CAMPS,ROGER DE FLOR 66,Electricitat,2011,Juliol,0,€69.29
EDI083,EDIFICI El GRA,PLAÇA DE L´ESGLESIA S/N,Gas,2013,Octubre,1767,€206.08
ESC002,ESCOLA GRANOLLERS,CTRA DE CALDES,Gas,2016,Abril,1510,€187.07
EDI017,ROCA UMBERT - IMPREMTA,LLUIS COMPANYS Nº 1,Gas,2016,Gener,24064,€1471.71
EDI052,MUSEU MUNICIPAL,ANSELM CLAVÉ 40 - 42,Electricitat,2011,Juny,4822,€1093.99
EDI073,ESCOLA DE MUSICA JOSEP Ma RUERA,GREGORI RESINA,Electricitat,2012,Març,9618,€2226.91
EDI008,ANTIGUES ESCOLES DE PALOU,CAMI RAL CANT PSEG FÀBREGAS,Electricitat,2014,Octubre,662,€327.45
FLO016,MEDI AMBIENT,MEDI AMBIENT,Gasoil,2014,Desembre,1899,€248.24
EDI083,EDIFICI El GRA,PLAÇA DE L´ESGLESIA S/N,Aigua,2011,Març,81,€99.19
EDI024,SALA CULTURA SANT FRANCESC,ESPI I GRAU 1,Gas,2012,Octubre,0,€24.78
BOM014,RAFAEL CASANOVAS S/N,RAFAEL CASANOVAS S/N,Electricitat,2014,Juliol,181,€96.55
EDI126,CENTRE D'ACOLLIDA D'ANIMALS DOMÈSTICS,"C/SEVERO OCHOA, 103 (FONT DEL RÀDIUM)",Electricitat,2015,Desembre,4604,€920.52
ESC002,ESCOLA GRANOLLERS,CTRA DE CALDES,Gas,2014,Agost,1148,€187.94
EDI071,CENTRE D'EDUCACIÓ AMBIENTAL CAN CABANYES,CAN GORDI - CAN CATALÀ,Electricitat,2016,Gener,57,€81.97
FLO013,ACTIVITATS,ACTIVITATS,Gasoil,2014,Octubre,314,€51.02
EDI010,CENTRE CIVIC JAUME OLLER,MARE DE DÉU DE MONTSERRAT 47,Aigua,2011,Juliol,27,€43.79
EDI015,CENTRE CIVIC CAN BASSA CULTURA,PL JOAN OLIVER 1,Gas,2012,Octubre,491,€123.73
EDI027,OFICINA D'INFORMACIO TURÍSTICA,SANT ROC 14,Aigua,2016,Octubre,1,€26.00
EDI087,CENTRE OBERT SUD,JULIA CENTELLES 14,Electricitat,2016,Març,65,€85.97
EDI008,ANTIGUES ESCOLES DE PALOU,CAMI RAL CANT PSEG FÀBREGAS,Aigua,2012,Març,17,€30.70
EDI066,CTUG CENTRE TECNOLÒGIC I UNIVERSITARI DE GRANOLLERS,MONTSERRAT Nº 36,Aigua,2012,Juliol,33,€71.60
EDI073,ESCOLA DE MUSICA JOSEP Ma RUERA,GREGORI RESINA,Aigua,2014,Octubre,48,€78.14
ESC006,CENTRE VALLES (ESCOLA VALLES),VENEÇUELA S/N DAVANT CEMENTIRI,Electricitat,2014,Setembre,6876,€1528.05
REG176,FONT ORNAMENTAL CAN GILI,CAN GILI S/N,Electricitat,2016,Novembre,13,€42.43
ESC025,ESCOLA BRESSOL GIRAVOLTES,"CRTA. CALDES, 52",Aigua,2013,Octubre,17,€27.93
FLO010,ESPORTS,ESPORTS,Gasoil,2016,Març,131,€17.33
ESC013,ESCOLA MUNICIPAL DEL TREBALL,C/ ROGER DE FLOR 66,Aigua,2012,Octubre,378,€385.51
ESC021,ESCOLA BRESSOL MUNICIPAL TORTUGA,C/ GARROTXA 8,Electricitat,2014,Desembre,2333,€432.82
ESP010,CAMP DE FUTBOL PRIMER DE MAIG,C/ PIUS XII S/N,Electricitat,2011,Abril,0,€90.18
ESC006,CENTRE VALLES (ESCOLA VALLES),VENEÇUELA S/N DAVANT CEMENTIRI,Electricitat,2013,Febrer,13909,€2679.12
EDI009,CENTRE CIVIC DE PALOU,PSG DR FABREGAS 38 LOCAL,Electricitat,2012,Agost,545,€241.18
EDI011,MASIA TRES TORRES,DE LES TRES TORRES 18 - 20,Electricitat,2015,Octubre,1568,€379.78
EDI006,CENTRE CIVIC  CAN GILI,CTRA DE CALDES BXS,Electricitat,2011,Agost,1344,€356.69
ESP008,PAVELLÓ CLUB BÀSQUET GRANOLLERS,C/ GIRONA S/N,Aigua,2011,Juliol,158,€204.42
EDI126,CENTRE D'ACOLLIDA D'ANIMALS DOMÈSTICS,"C/SEVERO OCHOA, 103 (FONT DEL RÀDIUM)",Electricitat,2014,Març,1475,€373.90
ESP020,PISTES DE PETANCA GRANOLLERS,CAMP DE LES MORERES,Electricitat,2015,Febrer,473,€161.44
EDI002,PIS AJUDA POBLE SAHARAUI (8è),1ª MARQUES DE LES FRANQUESES 146 8 - 3,Aigua,2016,Octubre,14,€22.36
EDI070,GUARDIA URBANA,ISABEL DE VILLENA S/N,Aigua,2012,Gener,149,€145.15
BOM014,RAFAEL CASANOVAS S/N,RAFAEL CASANOVAS S/N,Electricitat,2012,Maig,103,€51.45
FLO012,PAT.MUN.MUSEO,PAT.MUN.MUSEO,Gasoil,2014,Gener,1829,€251.53
EDI102,CASA DEL MESTRE DE PALOU,PS DOCTOR FABREGAS 38,Electricitat,2011,Novembre,34,€125.94
FLO011,ESPAIS VERDS,ESPAIS VERDS,Gasoil,2013,Octubre,9881,€1396.78
EDI030,EDIFICI PORTALET,PORTALET 4,Gas,2014,Agost,0,€14.34
ESC001,COL.LEGI SALVADOR ESPRIU,C/ JOAN CAMPS 6 - 8,Gas,2012,Agost,0,€113.29
EDI022,EBASP ZONA 1 LUDOTECA,ANTONI GAUDI S/N LOCAL 13,Electricitat,2013,Febrer,1564,€330.03
EDI002,PIS AJUDA POBLE SAHARAUI (8è),1ª MARQUES DE LES FRANQUESES 146 8 - 3,Electricitat,2015,Febrer,840,€174.24
FLO017,OBRES I PROJECTES,OBRES I PROJECTES,Gasoil,2013,Abril,272,€46.40
BOM001,AFORES 100 BOMBA AGUA horts?,AFORES 100 BOMBA AGUA Horts?,Electricitat,2014,Novembre,47,€251.00
EDI020,SALA FRANCESC TARAFA,CORRO 47,Electricitat,2013,Setembre,367,€185.70
ESP001,PALAU D'ESPORTS,AV FRANCESC MACIA S/N,Gas,2014,Agost,15658,€1273.78
ESP018,CAMP FUTBOL FONT VERDA,C/ JOSEP CARNER S/N,Aigua,2011,Juliol,76,€63.63
FLO015,SISTEMES INFORMACIO,SISTEMES INFORMACIO,Gasoil,2011,Març,446,€59.24
ESP006,CAMP DE FUTBOL PONENT,C/ RAFAEL DE CASANOVA S/N,Aigua,2014,Març,1162,€666.61
