CODI CARRER,CODI CARRER INE,SIGLA,NOM OFICIAL,NOM CURT,NÚMERO MÍNIM,NÚMERO MÀXIM
2443,2443,C,VICENÇ BOU,VICENÇ BOU,0,0
2444,2444,C,SALVADOR DALI,SALVADOR DALI,1,35
2445,2445,C,ANTONI ESPI I GRAU,ANTONI ESPI I GRAU,1,6
2446,2446,.,FONT DEL RADIUM,FONT DEL RADIUM,0,0
2447,2447,.,CAN PAGES DEL PLANTER,CAN PAGES DEL PLANTER,0,0
2448,2448,.,CAN BATZACS,CAN BATZACS,0,0
2450,2450,.,CAN PERDIU,CAN PERDIU,0,0
2451,2451,AUTO,A7,A7,0,0
2452,2452,C,JAUME FERRAN,JAUME FERRAN,1,8
2453,2453,.,CAN NINOU,CAN NINOU,0,0
2455,2455,AV,EUROPA,EUROPA,1,42
2456,2456,CAMI,SANTA QUITERIA,SANTA QUITERIA,0,0
2457,2457,C,LEONARDO TORRES QUEVEDO,LEONARDO TORRES QUEVEDO,1,23
2459,2459,.,CAN PERE RIERA VELL,CAN PERE RIERA VELL,0,0
2460,2460,CAMI,PARETS,PARETS,0,40
2461,2461,PG,ARENYS,ARENYS,1,18
2462,2462,.,CAN RIBA,CAN RIBA,0,0
2463,2463,.,CAN GIRO,CAN GIRO,0,0
2464,2464,.,CAN MORAGAS,CAN MORAGAS,0,0
2465,2465,C,EMPORDA,EMPORDA,1,38
2466,2466,C,PABLO PICASSO,PABLO PICASSO,1,16
2467,2467,C,GUGLIELMO MARCONI,GUGLIELMO MARCONI,1,102
2468,2468,PG,CAMPRODON,CAMPRODON,0,0
2469,2469,C,ENRIC MORERA,ENRIC MORERA,4,4
2470,2470,BARRI,BOU,BOU,0,0
2471,2471,C,SANT JORDI,SANT JORDI,0,0
2472,2472,CAMI,CEMENTIRI,CEMENTIRI,1,9
2473,2473,.,CAN SISLAU,CAN SISLAU,0,0
2474,2474,C,JOAN MIRO,JOAN MIRO,2,16
2475,2475,CAMI,CAN ROSSELLO,CAN ROSSELLO,0,0
2476,2476,.,CAN RONSES,CAN RONSES,0,0
2477,2477,.,CAN ROQUETA,CAN ROQUETA,0,0
2478,2478,.,CAN ROQUETA NOU,CAN ROQUETA NOU,0,0
2479,2479,CAMI,CAN BOU,CAN BOU,0,0
2480,2480,.,CAN SALVADOR RIBES DEL PLA,CAN SALVADOR RIBES DEL PLA,0,0
2481,2481,.,CAN SANG,CAN SANG,0,0
2482,2482,CAMI,SANT NICOLAU,SANT NICOLAU,0,0
2483,2483,.,CAN TORRENTS,CAN TORRENTS,0,0
2484,2484,.,CAN SOUS,CAN SOUS,0,0
2485,2485,.,CAN JOIA,CAN JOIA,0,0
2486,2486,.,CAN JULIA MALO,CAN JULIA MALO,0,0
2487,2487,CAMI,CAN JULIANET,CAN JULIANET,0,0
2488,2488,CAMI,CA L'ESQUELLA,CA L'ESQUELLA,0,2
2489,2489,CAMI,CAN RIERA,CAN RIERA,0,0
2490,2490,CAMI,CAN FERRAN,CAN FERRAN,1,18
2492,2492,C,COPERNIC,COPERNIC,1,20
2493,2493,C,GALILEU GALILEI,GALILEU GALILEI,1,76
2494,2494,CAMI,CAN NINOU,CAN NINOU,0,52
2495,2495,CAMI,SERRA (LA),SERRA (LA),0,10
2496,2496,BARRI,SANT SALVADOR,SANT SALVADOR,3,4
2497,2497,CAMI,PELADA (LA),PELADA (LA),4,18
2498,2498,C,OLIVAR,OLIVAR,1,10
2500,2500,.,CA L'ANGEL,CA L'ANGEL,0,0
2501,2501,.,CAN BATLLES,CAN BATLLES,0,0
2502,2502,CAMI,CAN BELITRE,CAN BELITRE,0,0
2503,2503,.,CAN CAPDEVILA,CAN CAPDEVILA,0,0
2504,2504,CAMI,CAN CASACA,CAN CASACA,0,0
2505,2505,CAMI,CAN CATALA,CAN CATALA,9,10
2506,2506,.,CAN CISCO GIRO,CAN CISCO GIRO,0,0
2507,2507,.,CAN CLIMENT ESQUELLA,CAN CLIMENT ESQUELLA,0,0
2508,2508,PL,COSTURA,COSTURA,1,4
2509,2509,.,CAN CRISTOFOL,CAN CRISTOFOL,0,0
2510,2510,CAMI,CAN CRISTOFOL,CAN CRISTOFOL,0,0
2511,2511,CAMI,ESCANYAT (L'),ESCANYAT (L'),2,2
2512,2512,CAMI,CAN GIRO,CAN GIRO,0,0
2513,2513,.,CAN GOL,CAN GOL,0,0
2514,2514,CAMI,CAN GORDI,CAN GORDI,1,1
2515,2515,CAMI,CAN GRAU,CAN GRAU,0,0
2516,2516,CAMI,CAN GURI,CAN GURI,1,24
2517,2517,.,CAN JANE DE BAIX,CAN GENER DE BAIX,0,0
2518,2518,.,CAN JAUME GIRO,CAN JAUME GIRO,0,0
2519,2519,PG,ANTONI JONCH I CUSPINERA,JONCH I CUSPINERA,2,14
2520,2520,.,CAN TRIES,CAN TRIES,0,0
2521,2521,CAMI,CAN GENER,CAN GENER,2,24
2522,2522,.,CAN VILA,CAN VILA,0,0
2523,2523,.,CAN FELIUA,CAN FELIUA,0,0
2524,2524,TRAV,FIGUERES,FIGUERES,1,1
2526,2526,.,JUNYENT (EL),JUNYENT (EL),0,0
2527,2527,.,MARIA DE CAL SIDRET CATALA,MARIA DE CAL SIDRET CATALA,0,0
2528,2528,.,CAN SERRADURES,CAN SERRADURES,0,0
2529,2529,CTRA,VIA INTERPOLAR,VIA INTERPOLAR,0,0
2530,2530,.,CA LA VINYETA,CA LA VINYETA,0,0
2531,2531,.,CAN CANAL,CAN CANAL,0,0
2532,2532,.,CAN CORCHS,CAN CORCHS,0,0
2533,2533,CAMI,CAN TIA,CAN TIA,0,0
2534,2534,.,CAN TINET,CAN TINET,0,0
2535,2535,CAMI,CAL MALO,CAL MALO,0,0
2536,2536,CAMI,CAN MANY,CAN MANY,1,8
2537,2537,CAMI,CAL MARINER,CAL MARINER,0,0
2539,2539,.,CAN MAYOL,CAN MAYOL,0,0
2540,2540,CAMI,CAN MAYOL,CAN MAYOL,0,0
2541,2541,.,CAN MAYOLET DE LA RIERA,CAN MAYOLET DE LA RIERA,0,0
2542,2542,.,CAL MESSIO,CAL MESSIO,0,0
2543,2543,.,CAN MET DE LA SERRA,CAN MET DE LA SERRA,0,0
2544,2544,C,CAMI DEL MIG,CAMI DEL MIG,1,43
2545,2545,.,MOLI D'EN MANY (EL),MOLI D'EN MANY (EL),0,0
2547,2547,CAMI,CAN MUNTANYOLA,CAN MUNTANYOLA,1,25
2548,2548,CAMI,CAL NEN,CAL NEN,0,0
2549,2549,.,CA LA NURIA,CA LA NURIA,0,0
2550,2550,.,PAGES DE LES BASSES NOU,PAGES DE LES BASSES NOU,0,0
2551,2551,CAMI,CAL PASTOR,CAL PASTOR,0,0
2552,2552,CAMI,PEP JULIA (EN),PEP JULIA (EN),0,0
2553,2553,.,CAN PEP MAYOL,CAN PEP MAYOL,0,0
2554,2554,.,CAL PEPET MALO,CAL PEPET MALO,0,0
2555,2555,CAMI,CAN RIBA DE LA SERRA,CAN RIBA DE LA SERRA,0,0
2556,2556,.,CAN PLA,CAN PLA,0,0
2557,2557,.,CAN POCURULL,CAN POCURULL,0,0
2558,2558,JDIN,CAN CORTS,CAN CORTS,0,0
2559,2559,PL,CICLISTA,CICLISTA,0,0
2561,2561,CAMI,CAN REI,CAN REI,0,0
2562,2562,CAMI,CAN RIBA,CAN RIBA,0,0
2563,2563,CAMI,CAN SALELLES,CAN SALELLES,0,0
2564,2564,CAMI,CAL ROS DELS OCELLS,CAL ROS DELS OCELLS,1,37
2565,2565,.,CAN MORAGAS NOU,CAN MORAGAS NOU,0,0
2566,2566,.,PAGES DE LES BASSES VELL,PAGES DE LES BASSES VELL,0,0
2567,2567,.,CAN QUICO DE CAN PRAT,CAN QUICO DE CAN PRAT,0,0
2568,2568,.,CAN SALVADOR,CAN SALVADOR,0,0
2569,2569,.,CAN CATALA,CAN CATALA,0,0
2570,2570,.,CAN CONGOST,CAN CONGOST,0,0
2571,2571,.,CA L'HELENA,CA L'HELENA,0,0
2572,2572,.,CAL CASIMIRO DE CAL MALO,CAL CASIMIRO DE CAL MALO,0,0
2573,2573,.,CAN TINET DE LA RIERA,CAN TINET DE LA RIERA,0,0
2574,2574,CAMI,CA L'USEL,CA L'USEL,0,0
2575,2575,CAMI,TORRE DE LES AIGUES (LA),TORRE DE LES AIGUES (LA),0,0
2576,2576,CAMI,CAN TORRES,CAN TORRES,0,0
2577,2577,.,CAN MARÇAL,CAN MARÇAL,0,0
2578,2578,BARRI,CAN TRIES,CAN TRIES,0,0
2579,2579,BARRI,VERGERS,CAN VERGERS,1,3
2581,2581,CAMI,MIRANDA (LA),MIRANDA (LA),0,0
2582,2582,PL,CAN TRULLAS,CAN TRULLAS,0,0
2650,2650,BARRI,REI,CAN REI,0,0
2652,2652,.,CAN CINTO MANY,CAN CINTO MANY,0,0
2653,2653,.,CAN OLIVERAS,CAN OLIVERAS,0,0
2654,2654,CTRA,C-251 GRANOLLERS - GIRONA,C-251 GRAN. - GIRONA,0,0
2655,2655,C,ISAAC PERAL,ISAAC PERAL,0,0
2656,2656,CTRA,BV-1432 GRANOLLERS-LLIÇA,BV-1432 GRANOLLERS-LLIÇA,0,0
2657,2657,C,DR. SALVADOR LLOBET,DR. SALVADOR LLOBET,1,16
2658,2658,C,MATAGALLS,MATAGALLS,1,11
2659,2659,.,CA L'ARNAU,CA L'ARNAU,0,0
2701,2701,PTGE,LLUIS COMPANYS,LLUIS COMPANYS,0,0
2712,2712,PTGE,JORDI CAMP,JORDI CAMP,1,16
2720,2720,CAMI,BOSC DE CAN PAGES (EL),BOSC DE CAN PAGES (EL),0,0
2722,2722,C,TURO DE L'HOME,TURO DE L'HOME,1,4
2723,2723,C,PLA DEL RAMASSAR,PLA DEL RAMASSAR,14,64
2724,2724,C,DIONIS PUIG,DIONIS PUIG,1,21
2725,2725,PL,CONVENT VELL,CONVENT VELL,0,0
2727,2727,C,SALVADOR CASANOVA,SALVADOR CASANOVA,1,13
2730,2730,C,CAN CABANYES,CAN CABANYES,50,101
2731,2731,C,CAMPSENTELLES,CAMPSENTELLES,0,0
2732,2732,C,MONTORNES,MONTORNES,0,0
2733,2733,JDIN,BOBILA,BOBILA,0,0
2734,2734,PG,LA RIBERA,RIBERA,1,33
2735,2735,PG,LA CONCA DEL BESOS,CONCA DEL BESOS,7,42
2736,2736,PTGE,PRINCESA,FERRER I GUARDIA,1,15
2737,2737,CTRA,N-152A,N-152A,0,0
2738,2738,AV,MARIE CURIE,MARIE CURIE,1,32
2739,2739,C,MARIA AURELIA CAPMANY,MARIA AURELIA CAPMANY,1,29
2740,2740,C,MARGARIDA XIRGU,MARGARIDA XIRGU,1,25
2741,2741,C,CATERINA ALBERT,CATERINA ALBERT,1,24
2742,2742,C,MONTSERRAT ROIG,MONTSERRAT ROIG,2,36
2743,2743,C,JOSEP ESCOBAR,JOSEP ESCOBAR,1,121
2744,2744,C,VALENTI ALMIRALL,VALENTI ALMIRALL,1,7
2745,2745,C,JOSEP FONTDEVILA,JOSEP FONTDEVILA,6,6
2747,2747,C,RONÇANA,RONÇANA,1,21
2748,2748,PTGE,FABRICA,FABRICA,3,24
2749,2749,CAMI,PLA (EL),PLA (EL),0,0
2750,2750,C,JOAN COROMINES,JOAN COROMINES,1,28
2751,2751,C,JOSEP PLA,JOSEP PLA,1,30
2752,2752,C,MARIA ANGELS ANGLADA,MARIA ANGELS ANGLADA,1,22
2753,2753,C,ALBERT EINSTEIN,ALBERT EINSTEIN,1,15
2754,2754,C,JULES VERNE,JULES VERNE,5,23
2755,2755,C,CORREDOSSOS DE CAN GINEBREDA,CORREDOSSOS DE CAN GINEBREDA,1,12
2756,2756,CAMI,TORRE DE PINOS (LA),TORRE DE PINOS (LA),0,0
2757,2757,AV,AUTOVIA DE L'AMETLLA,AUTOVIA DE L'AMETLLA,1,17
2758,2758,.,CAN BELITRE,CAN PAU BELITRE,0,0
2759,2759,C,MARIA LLUISA ALGARRA COMA,MARIA LLUISA ALGARRA COMA,0,0
2760,2760,C,MARIAN LASSUS,MARIAN LASSUS,2,46
2761,2761,C,JOSEP ESTRADA,JOSEP ESTRADA,1,19
2762,2762,C,JULI VIÑETA,JULI VIÑETA,1,23
2763,2763,C,JOAN TORRABADELL,JOAN TORRABADELL,1,24
2764,2764,C,JOSEP ALGUERO,JOSEP ALGUERO,1,22
2765,2765,PG,ANTONI CUMELLA,ANTONI CUMELLA,1,24
