idtrafico,nombreincidencia,detalleincidencia,fechainicio,fechafin,calle,longitud,latitud,url
"12687","Calle cortada","INSTALADO PIVOTE EXTRAIBLE CON LLAVE Nº 6, CUADRO LLAVES A, ENTRADA PROHIBIDA EXCEPTO PASO VEHICULOS DE EMERGENCIA Y VEHICULOS AUTORIZADOS DE M.M.A. 3.5 T.","26/04/2011 0:00:00","31/12/2017 0:00:00","CALLE DE ACCESO A PLAZA RESIDENCIAL EUROPA, POR PLAZA CARRUAJES, JUNTO AL VADO PERMANENTE, 556, EXP. 2517","-1.69634395211483","37.6723978624571","http://www.lorca.es/ficheros/File/trafico/detalle.asp?id=470&trafico=12687"
"19500","Calle cortada","OBRAS MEJORAS INFRAESTRUCTURAS, EMPRESA RESPONSABLE SEÑALIZA SEGÚN NORMATIVA VIGENTE.","17/05/2017 0:00:00","31/10/2017 0:00:00","C/. JUAN MINGUEZ-OBRAS RENOVACION URBANA Y PARTE DE C/. BEATO PEDRO SOLER-RESTO DE ESPACIO DESVIOS SEÑALIZADOS DOS SENTIDOS TRÁFICO RODADO, B  SAN CRISTOBAL, ,EXP. 748/2017","-1.696189917791","37.681557586227","http://www.lorca.es/ficheros/File/trafico/detalle.asp?id=470&trafico=19500"
"19547","Calle cortada","RENOVACIÓN DE INFRAESTRUCTURAS, EMPRESA RESPONSABLE  SEÑALIZA SEGÚN NORMATIVA VIGENTE","25/05/2017 0:00:00","31/10/2017 0:00:00","C/. TELLO,  BARRIO SAN CRISTOBAL DE LORCA,ENTRADA PROHIBIDA EXCEPTO PASO VEHÍCULOS DE EMERGENCIA Y PERSONAS A INMUEBLES.EXP.  796/2017","-1.69577108095086","37.6823819726988","http://www.lorca.es/ficheros/File/trafico/detalle.asp?id=470&trafico=19547"
"16901","Calle cortada","OBRAS PARA RECONSTRUCCION INMUEBLES Bº SAN FERNANDO POR DAÑOS SEISMOS.empresa responsable señaliza al tráfico según normativa vigente incluido sistema luminoso por la noche","09/10/2015 0:00:00","31/12/2017 0:00:00","C/. PINTOR EMILIANO ROJO, tramo entre C/. Tenor Mario Gabarron y Avda. Sutullena,ESTABLECIDO SENTIDO ÚNICO PARA EL TRAFICO RODADO SENTIDO AVDA. SUTULLENA.exp. 1323","-1.69550875078733","37.6623100458351","http://www.lorca.es/ficheros/File/trafico/detalle.asp?id=470&trafico=16901"
"19724","Calle cortada","PELIGRO CAÍDA FACHADA INMUEBLE, ACORDONADA ZONA DE PELIGRO CON VALLAS","29/06/2017 0:00:00","31/12/2017 0:00:00","C/ TERUEL, 5 CON C/. CALVARIO VIEJO, EXP. 1070/2017","-1.69499173005943","37.6828451754059","http://www.lorca.es/ficheros/File/trafico/detalle.asp?id=470&trafico=19724"
"12659","Calle cortada","PROHIBIDO ESTACIONAR POR DEMOLICION DE INMUEBLES DAÑOS SEISMOS Y RECONSTRUCCION","19/12/2012 0:00:00","31/12/2017 0:00:00","C/. RAFAEL SANCHEZ CAMPOY, C/. JOSE MATEOS FERRER, C. DIMAS MORALES, C/. EMILIANO ROJO Y DEMAS CALLES DEL BARRIO SAN FERNANDO, EXP.","-1.69491330038602","37.6626327875556","http://www.lorca.es/ficheros/File/trafico/detalle.asp?id=470&trafico=12659"
"19383","Calle cortada","- PROHIBIDO ESTACIONAR, PARA OBRAS RENOVACIÓN URBANA (SISMO DE 2011), EMPRESA RESPONSABLE PRESEÑALIZA CON CARTELES DE AVISO, desde rotonda de acceso a la ciudad,etc y señaliza según normativa vigente, los vehículos de hasta 6 m. de longitud, que circulen por Avda. SAnta Clara, sentido Centro Ciudad-Ovalo, serán desviados * POR Puente La Alberca-C/. Santo Domingo-c/. Lope Gisbert-Ovalo, o por C/. Poeta Gimeno Castellar-Fajardo El Bravo-Alameda Ramón y Cajal- Musso Valiente, Lope Gisbert--Ovalo. *INCLUIDO AUTOBUSES URBANOS Y TRANSPORTE ESCOLAR.","18/04/2017 0:00:00","30/11/2017 0:00:00","- AVDA. JUAN CARLOS I, SENTIDO OVALO, tramo entre Ovalo  y Avda. SAnta Clara, Y C/. EUGENIO UBEDA CORTADA PARA TRAFICO RODADO, ALTURA INTERSECCION CON AVDA. JUAN CARLOS I ,exp. 530/2017 y exp. 101/2017 ","-1.69470073782043","37.6764745985777","http://www.lorca.es/ficheros/File/trafico/detalle.asp?id=470&trafico=19383"
"19598","Calle cortada","PROHIBIDO ESTACIONAR, OBRAS  RENOVACIÓN URBANA, ENTRADA PROHIBIDA, R-101, EXCEPTO VEHÍCULOS DE EMERGENCIA. EMPRESA RESPONSABLE SEÑALIZA SEGUN NORMATIVA VIGENTE.","01/06/2017 0:00:00","31/10/2017 0:00:00","C/. TOMAS SOLER, OBRAS DE RENOVACION Y RESERVA ESPACIO PARA ACOPIO MATERIAL EN SOLAR ESQUINA CON C/. Abellaneda,exp. 946/2017","-1.69380576004937","37.6827881","http://www.lorca.es/ficheros/File/trafico/detalle.asp?id=470&trafico=19598"
"19699","Calle cortada","PROHIBIDO ESTACIONAR, PARA OBRAS MEJORA INFRAESTRUCTURAS BÁSICAS-RENOVACIÓN URBANA, EMPRESA RESPONSABLE SEÑALIZA SEGUN NORMATIVA VIGENTE.","28/06/2017 0:00:00","19/02/2018 0:00:00","C/. LOS VERAS, tramo entre C/. Higuerica y C/. Abellaneda,B  SAN CRISTOBAL. ENTRADA PROHIBIDA, EXCEPTO VEHÍCULOS DE EMERGENCIA Y PERSONAS A INMUEBLES. exp.  1023/2017","-1.69357938829114","37.6824475591065","http://www.lorca.es/ficheros/File/trafico/detalle.asp?id=470&trafico=19699"
"19959","Calle cortada","OBRAS DE MEJORA INFRAESTRUCTURAS BÁSICAS, EMPPRESA RESPONSABLE DEBE SEÑALIZAR SEGÚN NORMATIVA VIGENTE.","20/09/2017 0:00:00","20/03/2018 0:00:00","C/. JUAN LÓPEZ, C/. MIGUEL ANGEL, C/. FUNES Y C/. MONTIJO, B  SAN CRISTOBAL,EXP. 1354/2017","-1.69318437301638","37.6826975818962","http://www.lorca.es/ficheros/File/trafico/detalle.asp?id=470&trafico=19959"
