URTEA;UDAL KODEA;UDALAREN IZENA;KALE KODEA;KALEAREN IZENA;ESPEDIENTE MOTA;DESKRIBAPENA;ITXITAKO ESPEDIENTE KOPURUA;ITXI GABEKO ESPEDIENTE KOPURUA;.                                                                                                                                                                                                                                                                                                                                                                                                                                                           
2015;067;ERRENTERIA;1204;JUAN IGNACIO GAMON ZUMARDIA/AL;OMEN;Obra Txikiak;0;2;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
2015;067;ERRENTERIA;1204;JUAN IGNACIO GAMON ZUMARDIA/AL;OVIA;Lurzoru Publikoaren Okupazioa;10;2;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
2015;067;ERRENTERIA;1207;ASKATASUNAREN MARTIRIEN KALEA;HIGO;IGOGAILUAK;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
2015;067;ERRENTERIA;1208;NAFARROA HIRIBIDE/AVENIDA DE N;BAEX;Salbuespen Jardueraren Baja;2;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
2015;067;ERRENTERIA;1208;NAFARROA HIRIBIDE/AVENIDA DE N;EXEN;Salbuetsitako Jarduera;0;8;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
2015;067;ERRENTERIA;1208;NAFARROA HIRIBIDE/AVENIDA DE N;MINP;Sailkatutako Jardueren Lizentzia;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
2015;067;ERRENTERIA;1208;NAFARROA HIRIBIDE/AVENIDA DE N;OMEN;Obra Txikiak;2;12;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
2015;067;ERRENTERIA;1208;NAFARROA HIRIBIDE/AVENIDA DE N;OUGA;Garaje-plaza aldi baterako erabiltzeko baimena;0;2;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
2015;067;ERRENTERIA;1208;NAFARROA HIRIBIDE/AVENIDA DE N;OVIA;Lurzoru Publikoaren Okupazioa;2;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
2015;067;ERRENTERIA;1208;NAFARROA HIRIBIDE/AVENIDA DE N;SGMT;Zerga alorreko eskaera generikoa;1;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
2015;067;ERRENTERIA;1208;NAFARROA HIRIBIDE/AVENIDA DE N;VELA;Beilariak;2;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
2015;067;ERRENTERIA;1209;SANTXOENEA KALEA;BAEX;Salbuespen Jardueraren Baja;1;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
2015;067;ERRENTERIA;1209;SANTXOENEA KALEA;EXEN;Salbuetsitako Jarduera;0;3;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
2015;067;ERRENTERIA;1209;SANTXOENEA KALEA;OMEN;Obra Txikiak;0;2;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
2015;067;ERRENTERIA;1209;SANTXOENEA KALEA;OUGA;Garaje-plaza aldi baterako erabiltzeko baimena;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
2015;067;ERRENTERIA;1210;SANTA MARIA KALEA;EXEN;Salbuetsitako Jarduera;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
2015;067;ERRENTERIA;1210;SANTA MARIA KALEA;OMEN;Obra Txikiak;0;3;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
2015;067;ERRENTERIA;1211;URANTZU KALEA;OMEN;Obra Txikiak;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
2015;067;ERRENTERIA;1211;URANTZU KALEA;OUGA;Garaje-plaza aldi baterako erabiltzeko baimena;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
2015;067;ERRENTERIA;1212;BITERI KALEA;BAEX;Salbuespen Jardueraren Baja;3;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
2015;067;ERRENTERIA;1212;BITERI KALEA;EXEN;Salbuetsitako Jarduera;0;9;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
2015;067;ERRENTERIA;1212;BITERI KALEA;LOMA;Obra Handietarako Lizentzia;0;2;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
2015;067;ERRENTERIA;1212;BITERI KALEA;MINP;Sailkatutako Jardueren Lizentzia;0;2;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
2015;067;ERRENTERIA;1212;BITERI KALEA;OMEN;Obra Txikiak;0;14;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
2015;067;ERRENTERIA;1212;BITERI KALEA;OUGA;Garaje-plaza aldi baterako erabiltzeko baimena;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
2015;067;ERRENTERIA;1212;BITERI KALEA;OVIA;Lurzoru Publikoaren Okupazioa;2;3;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
2015;067;ERRENTERIA;1212;BITERI KALEA;VELA;Beilariak;1;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
2015;067;ERRENTERIA;1213;ZAMALBIDE KALEA;OMEN;Obra Txikiak;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
2015;067;ERRENTERIA;1214;ZUBIAURRE KALEA;OMEN;Obra Txikiak;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
2015;067;ERRENTERIA;1301;FORU PLAZA;EXEN;Salbuetsitako Jarduera;0;2;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
2015;067;ERRENTERIA;1301;FORU PLAZA;OMEN;Obra Txikiak;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
2015;067;ERRENTERIA;1301;FORU PLAZA;OVIA;Lurzoru Publikoaren Okupazioa;3;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
2015;067;ERRENTERIA;1302;BARRIO GAZTAÑO/GAZTAÑO AUZOA;EXEN;Salbuetsitako Jarduera;0;2;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
2015;067;ERRENTERIA;1302;BARRIO GAZTAÑO/GAZTAÑO AUZOA;OMEN;Obra Txikiak;0;5;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
2015;067;ERRENTERIA;1304;MARIA LEZO KALEA;BAEX;Salbuespen Jardueraren Baja;1;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
2015;067;ERRENTERIA;1304;MARIA LEZO KALEA;EXEN;Salbuetsitako Jarduera;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
2015;067;ERRENTERIA;1304;MARIA LEZO KALEA;HAIS;Aisialdi alternatiborako lokalak;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
2015;067;ERRENTERIA;1304;MARIA LEZO KALEA;OMEN;Obra Txikiak;0;6;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
2015;067;ERRENTERIA;1304;MARIA LEZO KALEA;VELA;Beilariak;1;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
2015;067;ERRENTERIA;1401;AIZPITARTE PASABIDEA/PASAJE AI;HAIS;Aisialdi alternatiborako lokalak;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
2015;067;ERRENTERIA;1401;AIZPITARTE PASABIDEA/PASAJE AI;OMEN;Obra Txikiak;0;2;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
2015;067;ERRENTERIA;1402;ALEXANDER FLEMING KALEA;OMEN;Obra Txikiak;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
2015;067;ERRENTERIA;1403;FANDERIA PASEALEKUA/PASEO FAND;BAEX;Salbuespen Jardueraren Baja;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
2015;067;ERRENTERIA;1403;FANDERIA PASEALEKUA/PASEO FAND;BIFN;Familia ugaria dela eta OHZ hobaria;1;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
2015;067;ERRENTERIA;1403;FANDERIA PASEALEKUA/PASEO FAND;EXEN;Salbuetsitako Jarduera;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
2015;067;ERRENTERIA;1403;FANDERIA PASEALEKUA/PASEO FAND;OMEN;Obra Txikiak;0;4;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
2015;067;ERRENTERIA;1404;BARRIO LARTZABAL/LARTZABAL AUZ;OMEN;Obra Txikiak;0;5;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
2015;067;ERRENTERIA;1406;SALK ETA SABIN KALEA;EXEN;Salbuetsitako Jarduera;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
2015;067;ERRENTERIA;1406;SALK ETA SABIN KALEA;HAIS;Aisialdi alternatiborako lokalak;1;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
2015;067;ERRENTERIA;1406;SALK ETA SABIN KALEA;OMEN;Obra Txikiak;0;5;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
2015;067;ERRENTERIA;1407;TOMAS LOPEZ KALEA;EIVM;T.M ibilgailuen gaineko zergan minusba. salbuespen;1;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
2015;067;ERRENTERIA;1407;TOMAS LOPEZ KALEA;EXEN;Salbuetsitako Jarduera;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
2015;067;ERRENTERIA;1407;TOMAS LOPEZ KALEA;OMEN;Obra Txikiak;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
2015;067;ERRENTERIA;1408;GABIERROTA PASEALEKUA/PASEO GA;HIGO;IGOGAILUAK;0;4;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
2015;067;ERRENTERIA;1408;GABIERROTA PASEALEKUA/PASEO GA;ORDE;Udal Ordenantzak;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
2015;067;ERRENTERIA;1408;GABIERROTA PASEALEKUA/PASEO GA;OUGA;Garaje-plaza aldi baterako erabiltzeko baimena;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
2015;067;ERRENTERIA;1408;GABIERROTA PASEALEKUA/PASEO GA;OVIA;Lurzoru Publikoaren Okupazioa;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
2015;067;ERRENTERIA;1501;BEHEKO KALEA / CALLE ABAJO;EXEN;Salbuetsitako Jarduera;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
2015;067;ERRENTERIA;1501;BEHEKO KALEA / CALLE ABAJO;OMEN;Obra Txikiak;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
2015;067;ERRENTERIA;1501;BEHEKO KALEA / CALLE ABAJO;VELA;Beilariak;1;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
2015;067;ERRENTERIA;1507;SANTA KLARA PLAZA;OMEN;Obra Txikiak;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
2015;067;ERRENTERIA;1507;SANTA KLARA PLAZA;OUGA;Garaje-plaza aldi baterako erabiltzeko baimena;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
2015;067;ERRENTERIA;1507;SANTA KLARA PLAZA;OVIA;Lurzoru Publikoaren Okupazioa;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
2015;067;ERRENTERIA;1507;SANTA KLARA PLAZA;SGMT;Zerga alorreko eskaera generikoa;1;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
2015;067;ERRENTERIA;1601;AñARBE KALEA;HAIS;Aisialdi alternatiborako lokalak;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
2015;067;ERRENTERIA;1601;AñARBE KALEA;OMEN;Obra Txikiak;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
2015;067;ERRENTERIA;1601;AñARBE KALEA;OVIA;Lurzoru Publikoaren Okupazioa;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
2015;067;ERRENTERIA;1601;AñARBE KALEA;ZZKO;Herri jabaria hartzea kirol probak egiteko;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
2015;067;ERRENTERIA;1602;BIDASOA KALEA;EXEN;Salbuetsitako Jarduera;0;3;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
2015;067;ERRENTERIA;1603;LOPE ISASTI KALEA;OMEN;Obra Txikiak;0;2;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
2015;067;ERRENTERIA;1604;KALETXIKI;OMEN;Obra Txikiak;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
2015;067;ERRENTERIA;1605;MARTIN ETXEBERRIA KALEA;BAEX;Salbuespen Jardueraren Baja;1;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
2015;067;ERRENTERIA;1605;MARTIN ETXEBERRIA KALEA;EXEN;Salbuetsitako Jarduera;0;2;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
2015;067;ERRENTERIA;1605;MARTIN ETXEBERRIA KALEA;HAIS;Aisialdi alternatiborako lokalak;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
2015;067;ERRENTERIA;1605;MARTIN ETXEBERRIA KALEA;OMEN;Obra Txikiak;0;9;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
2015;067;ERRENTERIA;1605;MARTIN ETXEBERRIA KALEA;OVIA;Lurzoru Publikoaren Okupazioa;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
