URTEA;UDAL KODEA;UDALAREN IZENA;KALE KODEA;KALEAREN IZENA;KALIFIKAZIOA;ISUNEN KOPURUA;ORDAINDUTAKO ZENBATEKOA;EXEKUTIBOAN KOBRATZEKE ZENBATEKOA;.                                                                                                                                                                                                                                                                                                                                                                                                                                                             
2016;067;ERRENTERIA;2201;DONOSTIA KALEA/CALLE SAN SEBAS;ARINA;158;3.024,80;2.728,10;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
2016;067;ERRENTERIA;2202;IZTIETA PASEALEKUA/PASEO IZTIE;LARRIA;7;400,00;714,85;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
2016;067;ERRENTERIA;2202;IZTIETA PASEALEKUA/PASEO IZTIE;ARINA;131;2.818,45;2.208,50;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
2016;067;ERRENTERIA;2203;LEZO PASEALEKUA/PASEO LEZO;LARRIA;1;0,00;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
2016;067;ERRENTERIA;2203;LEZO PASEALEKUA/PASEO LEZO;OSO LARRIA;1;0,00;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
2016;067;ERRENTERIA;2205;PASAIA KALEA;LARRIA;8;434,95;724,85;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
2016;067;ERRENTERIA;2205;PASAIA KALEA;ARINA;132;1.671,02;2.867,58;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
2016;067;ERRENTERIA;2205;PASAIA KALEA;OSO LARRIA;1;0,00;604,95;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
2016;067;ERRENTERIA;2303;HONDARRIBIA KALEA;LARRIA;1;0,00;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
2016;067;ERRENTERIA;2303;HONDARRIBIA KALEA;ARINA;23;627,76;191,09;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
2016;067;ERRENTERIA;2304;IRUN KALEA;LARRIA;12;900,00;244,95;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
2016;067;ERRENTERIA;2304;IRUN KALEA;ARINA;120;1.939,20;2.113,35;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
2016;067;ERRENTERIA;2307;OIARTZUN KALEA;LARRIA;20;1.432,43;1.342,22;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
2016;067;ERRENTERIA;2307;OIARTZUN KALEA;ARINA;170;2.247,65;2.860,21;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
2016;067;ERRENTERIA;2307;OIARTZUN KALEA;OSO LARRIA;1;0,00;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
2016;067;ERRENTERIA;2401;AMASA KALEA;LARRIA;5;434,95;244,95;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
2016;067;ERRENTERIA;2401;AMASA KALEA;ARINA;88;1.459,30;1.935,60;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
2016;067;ERRENTERIA;2406;ASTIGARRAGA KALEA;LARRIA;9;979,90;489,90;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
2016;067;ERRENTERIA;2406;ASTIGARRAGA KALEA;ARINA;34;417,35;449,65;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
2016;067;ERRENTERIA;2502;JAIZKIBEL KALEA;LARRIA;4;140,00;489,90;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
2016;067;ERRENTERIA;2502;JAIZKIBEL KALEA;ARINA;7;240,00;96,95;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
2016;067;ERRENTERIA;2502;JAIZKIBEL KALEA;OSO LARRIA;1;0,00;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
2016;067;ERRENTERIA;2504;URDABURU KALEA;LARRIA;5;300,00;234,95;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
2016;067;ERRENTERIA;2504;URDABURU KALEA;ARINA;32;1.056,95;496,75;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
2016;067;ERRENTERIA;2504;URDABURU KALEA;OSO LARRIA;1;0,00;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
2016;067;ERRENTERIA;2601;ERNIO KALEA;LARRIA;2;240,37;204,59;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
2016;067;ERRENTERIA;2601;ERNIO KALEA;ARINA;3;40,00;100,95;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
2016;067;ERRENTERIA;2602;IRUMUGARRIETA KALEA;LARRIA;2;344,95;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
2016;067;ERRENTERIA;2603;LARRUNARRI KALEA;ARINA;1;0,00;96,95;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
2016;067;ERRENTERIA;2604;MANDOEGI KALEA;LARRIA;3;300,00;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
2016;067;ERRENTERIA;2604;MANDOEGI KALEA;ARINA;5;256,95;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
2016;067;ERRENTERIA;2605;MURUMENDI KALEA;LARRIA;2;200,00;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
2016;067;ERRENTERIA;2605;MURUMENDI KALEA;ARINA;3;120,00;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
2016;067;ERRENTERIA;2701;ARALAR PLAZA;LARRIA;3;100,00;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
2016;067;ERRENTERIA;2701;ARALAR PLAZA;ARINA;17;444,75;127,40;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
2016;067;ERRENTERIA;2701;ARALAR PLAZA;OSO LARRIA;1;0,00;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
2016;067;ERRENTERIA;2901;MOJA AGUSTINDARREN E./AGUSTINA;LARRIA;1;100,00;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
2016;067;ERRENTERIA;2901;MOJA AGUSTINDARREN E./AGUSTINA;ARINA;2;50,00;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
2016;067;ERRENTERIA;2904;HOMBRADOS OÑATIBIA KALEA;ARINA;1;40,00;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
2016;067;ERRENTERIA;2905;MARKOLA ETORBIDEA/AVENIDA MARK;LARRIA;5;200,00;234,95;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
2016;067;ERRENTERIA;2905;MARKOLA ETORBIDEA/AVENIDA MARK;ARINA;4;160,00;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
2016;067;ERRENTERIA;2907;RESURRECCION Mª AZKUE KALEA;LARRIA;1;100,00;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
2016;067;ERRENTERIA;2907;RESURRECCION Mª AZKUE KALEA;ARINA;13;506,90;64,95;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
2016;067;ERRENTERIA;3001;BARRIO OLIBET/OLIBET AUZOA;LARRIA;17;1.500,00;234,95;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
2016;067;ERRENTERIA;3001;BARRIO OLIBET/OLIBET AUZOA;ARINA;306;3.978,39;6.133,26;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
2016;067;ERRENTERIA;3201;ARDITURRI KALEA;ARINA;8;280,00;100,95;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
